force,displacement,judge,name
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0,0,JWK Black CV2
0,0.005,0,JWK Black CV2
0,0.005,0,JWK Black CV2
0,0.005,0,JWK Black CV2
0,0.005,0,JWK Black CV2
0,0.005,0,JWK Black CV2
0,0.005,0,JWK Black CV2
0,0.01,0,JWK Black CV2
0,0.01,0,JWK Black CV2
0,0.01,0,JWK Black CV2
0,0.01,0,JWK Black CV2
0,0.01,0,JWK Black CV2
0,0.01,0,JWK Black CV2
0.3,0.015,0,JWK Black CV2
0.6,0.015,0,JWK Black CV2
0.8,0.015,0,JWK Black CV2
1.1,0.015,0,JWK Black CV2
1.4,0.015,0,JWK Black CV2
1.5,0.015,0,JWK Black CV2
1.6,0.02,0,JWK Black CV2
1.7,0.02,0,JWK Black CV2
1.8,0.02,0,JWK Black CV2
2.4,0.02,0,JWK Black CV2
3.3,0.025,0,JWK Black CV2
4.5,0.025,0,JWK Black CV2
5.6,0.025,0,JWK Black CV2
6.8,0.03,0,JWK Black CV2
8.1,0.03,0,JWK Black CV2
9.6,0.03,0,JWK Black CV2
11.6,0.035,0,JWK Black CV2
13.8,0.035,0,JWK Black CV2
15.6,0.035,0,JWK Black CV2
17.4,0.04,0,JWK Black CV2
18.8,0.04,0,JWK Black CV2
20.3,0.04,0,JWK Black CV2
21.8,0.045,0,JWK Black CV2
24,0.045,0,JWK Black CV2
26.7,0.05,0,JWK Black CV2
27.2,0.05,0,JWK Black CV2
27.5,0.055,0,JWK Black CV2
27.4,0.055,0,JWK Black CV2
27.9,0.06,0,JWK Black CV2
28.5,0.065,0,JWK Black CV2
29,0.065,0,JWK Black CV2
29.4,0.07,0,JWK Black CV2
29.8,0.07,0,JWK Black CV2
30.2,0.07,0,JWK Black CV2
30.7,0.075,0,JWK Black CV2
30.7,0.075,0,JWK Black CV2
30.8,0.08,0,JWK Black CV2
30.6,0.08,0,JWK Black CV2
30.5,0.08,0,JWK Black CV2
30.4,0.08,0,JWK Black CV2
30.5,0.085,0,JWK Black CV2
30.5,0.085,0,JWK Black CV2
30.5,0.085,0,JWK Black CV2
30.6,0.09,0,JWK Black CV2
30.7,0.09,0,JWK Black CV2
30.7,0.095,0,JWK Black CV2
30.6,0.095,0,JWK Black CV2
30.5,0.1,0,JWK Black CV2
30.5,0.1,0,JWK Black CV2
30.5,0.105,0,JWK Black CV2
30.4,0.105,0,JWK Black CV2
30.4,0.11,0,JWK Black CV2
30.3,0.11,0,JWK Black CV2
30.2,0.115,0,JWK Black CV2
30.2,0.12,0,JWK Black CV2
30.1,0.12,0,JWK Black CV2
29.9,0.125,0,JWK Black CV2
30.1,0.125,0,JWK Black CV2
30,0.13,0,JWK Black CV2
30.1,0.13,0,JWK Black CV2
30.1,0.135,0,JWK Black CV2
30.2,0.135,0,JWK Black CV2
30.2,0.14,0,JWK Black CV2
30.2,0.14,0,JWK Black CV2
30.3,0.14,0,JWK Black CV2
30.3,0.145,0,JWK Black CV2
30.2,0.145,0,JWK Black CV2
30.3,0.145,0,JWK Black CV2
30.4,0.15,0,JWK Black CV2
30.3,0.15,0,JWK Black CV2
30.1,0.15,0,JWK Black CV2
30.2,0.15,0,JWK Black CV2
30.1,0.15,0,JWK Black CV2
30.1,0.15,0,JWK Black CV2
30.2,0.155,0,JWK Black CV2
30.2,0.155,0,JWK Black CV2
30.2,0.155,0,JWK Black CV2
30.2,0.155,0,JWK Black CV2
30.2,0.155,0,JWK Black CV2
30.2,0.155,0,JWK Black CV2
30.2,0.155,0,JWK Black CV2
30.2,0.155,0,JWK Black CV2
30.1,0.155,0,JWK Black CV2
30.1,0.155,0,JWK Black CV2
30.2,0.155,0,JWK Black CV2
30.4,0.16,0,JWK Black CV2
30.2,0.16,0,JWK Black CV2
30.3,0.16,0,JWK Black CV2
30.3,0.16,0,JWK Black CV2
30.3,0.16,0,JWK Black CV2
30.2,0.16,0,JWK Black CV2
30.3,0.16,0,JWK Black CV2
30.2,0.16,0,JWK Black CV2
30.3,0.16,0,JWK Black CV2
30.3,0.16,0,JWK Black CV2
30.2,0.16,0,JWK Black CV2
30.3,0.16,0,JWK Black CV2
30.3,0.165,0,JWK Black CV2
30.3,0.165,0,JWK Black CV2
30.4,0.165,0,JWK Black CV2
30.3,0.165,0,JWK Black CV2
30.4,0.165,0,JWK Black CV2
30.4,0.165,0,JWK Black CV2
30.5,0.165,0,JWK Black CV2
30.4,0.165,0,JWK Black CV2
30.4,0.17,0,JWK Black CV2
30.4,0.17,0,JWK Black CV2
30.5,0.17,0,JWK Black CV2
30.5,0.17,0,JWK Black CV2
30.3,0.17,0,JWK Black CV2
30.3,0.17,0,JWK Black CV2
30.3,0.17,0,JWK Black CV2
30.4,0.17,0,JWK Black CV2
30.6,0.17,0,JWK Black CV2
30.5,0.175,0,JWK Black CV2
30.5,0.175,0,JWK Black CV2
30.6,0.175,0,JWK Black CV2
30.6,0.175,0,JWK Black CV2
30.7,0.175,0,JWK Black CV2
30.7,0.175,0,JWK Black CV2
30.5,0.18,0,JWK Black CV2
30.6,0.18,0,JWK Black CV2
30.5,0.18,0,JWK Black CV2
30.4,0.18,0,JWK Black CV2
30.5,0.18,0,JWK Black CV2
30.5,0.18,0,JWK Black CV2
30.9,0.18,0,JWK Black CV2
30.8,0.185,0,JWK Black CV2
30.7,0.185,0,JWK Black CV2
30.7,0.185,0,JWK Black CV2
30.8,0.185,0,JWK Black CV2
30.9,0.19,0,JWK Black CV2
30.8,0.19,0,JWK Black CV2
30.7,0.19,0,JWK Black CV2
30.8,0.19,0,JWK Black CV2
30.9,0.195,0,JWK Black CV2
30.9,0.195,0,JWK Black CV2
30.8,0.195,0,JWK Black CV2
30.7,0.195,0,JWK Black CV2
30.8,0.2,0,JWK Black CV2
30.8,0.2,0,JWK Black CV2
30.8,0.2,0,JWK Black CV2
30.9,0.205,0,JWK Black CV2
30.8,0.205,0,JWK Black CV2
30.8,0.21,0,JWK Black CV2
30.8,0.21,0,JWK Black CV2
30.9,0.215,0,JWK Black CV2
30.9,0.215,0,JWK Black CV2
31,0.22,0,JWK Black CV2
30.9,0.225,0,JWK Black CV2
31,0.225,0,JWK Black CV2
31,0.23,0,JWK Black CV2
31.2,0.235,0,JWK Black CV2
31.1,0.24,0,JWK Black CV2
31,0.245,0,JWK Black CV2
31.1,0.25,0,JWK Black CV2
31.1,0.255,0,JWK Black CV2
31.2,0.255,0,JWK Black CV2
31.2,0.26,0,JWK Black CV2
31.2,0.26,0,JWK Black CV2
31.2,0.265,0,JWK Black CV2
31.2,0.265,0,JWK Black CV2
31.2,0.27,0,JWK Black CV2
31.1,0.27,0,JWK Black CV2
31.2,0.275,0,JWK Black CV2
31.2,0.275,0,JWK Black CV2
31.3,0.28,0,JWK Black CV2
31.3,0.28,0,JWK Black CV2
31.3,0.285,0,JWK Black CV2
31.3,0.285,0,JWK Black CV2
31.4,0.29,0,JWK Black CV2
31.4,0.29,0,JWK Black CV2
31.4,0.295,0,JWK Black CV2
31.4,0.295,0,JWK Black CV2
31.3,0.3,0,JWK Black CV2
31.3,0.305,0,JWK Black CV2
31.4,0.305,0,JWK Black CV2
31.4,0.31,0,JWK Black CV2
31.4,0.31,0,JWK Black CV2
31.3,0.315,0,JWK Black CV2
31.2,0.315,0,JWK Black CV2
31.3,0.32,0,JWK Black CV2
31.4,0.32,0,JWK Black CV2
31.5,0.325,0,JWK Black CV2
31.5,0.325,0,JWK Black CV2
31.4,0.33,0,JWK Black CV2
31.4,0.33,0,JWK Black CV2
31.4,0.335,0,JWK Black CV2
31.3,0.335,0,JWK Black CV2
31.4,0.335,0,JWK Black CV2
31.4,0.34,0,JWK Black CV2
31.4,0.34,0,JWK Black CV2
31.5,0.34,0,JWK Black CV2
31.5,0.345,0,JWK Black CV2
31.5,0.345,0,JWK Black CV2
31.5,0.35,0,JWK Black CV2
31.6,0.35,0,JWK Black CV2
31.6,0.355,0,JWK Black CV2
31.6,0.36,0,JWK Black CV2
31.6,0.365,0,JWK Black CV2
31.6,0.37,0,JWK Black CV2
31.7,0.375,0,JWK Black CV2
31.8,0.375,0,JWK Black CV2
31.9,0.38,0,JWK Black CV2
31.9,0.385,0,JWK Black CV2
31.8,0.39,0,JWK Black CV2
31.8,0.39,0,JWK Black CV2
31.8,0.395,0,JWK Black CV2
31.6,0.395,0,JWK Black CV2
31.6,0.4,0,JWK Black CV2
31.6,0.4,0,JWK Black CV2
31.6,0.4,0,JWK Black CV2
31.6,0.405,0,JWK Black CV2
31.7,0.405,0,JWK Black CV2
31.7,0.41,0,JWK Black CV2
31.9,0.41,0,JWK Black CV2
31.8,0.415,0,JWK Black CV2
31.7,0.42,0,JWK Black CV2
31.6,0.42,0,JWK Black CV2
31.6,0.425,0,JWK Black CV2
31.7,0.425,0,JWK Black CV2
31.7,0.425,0,JWK Black CV2
31.6,0.425,0,JWK Black CV2
31.6,0.425,0,JWK Black CV2
31.6,0.425,0,JWK Black CV2
31.6,0.43,0,JWK Black CV2
31.6,0.43,0,JWK Black CV2
31.6,0.43,0,JWK Black CV2
31.5,0.43,0,JWK Black CV2
31.4,0.43,0,JWK Black CV2
31.4,0.43,0,JWK Black CV2
31.4,0.43,0,JWK Black CV2
31.6,0.43,0,JWK Black CV2
31.6,0.43,0,JWK Black CV2
31.8,0.43,0,JWK Black CV2
31.9,0.43,0,JWK Black CV2
31.8,0.435,0,JWK Black CV2
31.8,0.435,0,JWK Black CV2
32,0.435,0,JWK Black CV2
31.5,0.435,0,JWK Black CV2
31.7,0.435,0,JWK Black CV2
31.7,0.435,0,JWK Black CV2
31.9,0.435,0,JWK Black CV2
32.1,0.44,0,JWK Black CV2
32,0.44,0,JWK Black CV2
32.2,0.44,0,JWK Black CV2
32.1,0.445,0,JWK Black CV2
32,0.445,0,JWK Black CV2
32.1,0.445,0,JWK Black CV2
32.3,0.45,0,JWK Black CV2
32.2,0.455,0,JWK Black CV2
32.3,0.455,0,JWK Black CV2
32.2,0.46,0,JWK Black CV2
32.2,0.46,0,JWK Black CV2
32.1,0.465,0,JWK Black CV2
32.1,0.465,0,JWK Black CV2
32.2,0.465,0,JWK Black CV2
32.2,0.47,0,JWK Black CV2
32.1,0.47,0,JWK Black CV2
32.2,0.475,0,JWK Black CV2
32.2,0.475,0,JWK Black CV2
32.2,0.475,0,JWK Black CV2
32.1,0.475,0,JWK Black CV2
32.2,0.48,0,JWK Black CV2
32.3,0.48,0,JWK Black CV2
32.4,0.48,0,JWK Black CV2
32.4,0.485,0,JWK Black CV2
32.4,0.485,0,JWK Black CV2
32.4,0.485,0,JWK Black CV2
32.5,0.49,0,JWK Black CV2
32.5,0.49,0,JWK Black CV2
32.5,0.495,0,JWK Black CV2
32.5,0.495,0,JWK Black CV2
32.5,0.5,0,JWK Black CV2
32.4,0.5,0,JWK Black CV2
32.4,0.5,0,JWK Black CV2
32.4,0.5,0,JWK Black CV2
32.5,0.5,0,JWK Black CV2
32.5,0.505,0,JWK Black CV2
32.6,0.505,0,JWK Black CV2
32.5,0.505,0,JWK Black CV2
32.5,0.51,0,JWK Black CV2
32.4,0.51,0,JWK Black CV2
32.6,0.51,0,JWK Black CV2
32.7,0.515,0,JWK Black CV2
32.7,0.515,0,JWK Black CV2
32.9,0.52,0,JWK Black CV2
33,0.525,0,JWK Black CV2
33.2,0.53,0,JWK Black CV2
33.2,0.535,0,JWK Black CV2
33.1,0.545,0,JWK Black CV2
33,0.55,0,JWK Black CV2
32.9,0.555,0,JWK Black CV2
32.9,0.56,0,JWK Black CV2
32.9,0.565,0,JWK Black CV2
32.9,0.57,0,JWK Black CV2
33,0.575,0,JWK Black CV2
33,0.575,0,JWK Black CV2
33,0.58,0,JWK Black CV2
33,0.585,0,JWK Black CV2
33.1,0.59,0,JWK Black CV2
33.1,0.595,0,JWK Black CV2
33.1,0.595,0,JWK Black CV2
33.1,0.6,0,JWK Black CV2
33.1,0.6,0,JWK Black CV2
33.1,0.605,0,JWK Black CV2
33.2,0.605,0,JWK Black CV2
33.2,0.61,0,JWK Black CV2
33.2,0.615,0,JWK Black CV2
33.3,0.62,0,JWK Black CV2
33.3,0.62,0,JWK Black CV2
33.3,0.625,0,JWK Black CV2
33.2,0.63,0,JWK Black CV2
33.3,0.63,0,JWK Black CV2
33.3,0.635,0,JWK Black CV2
33.3,0.635,0,JWK Black CV2
33.4,0.635,0,JWK Black CV2
33.5,0.64,0,JWK Black CV2
33.3,0.645,0,JWK Black CV2
33.2,0.645,0,JWK Black CV2
33.2,0.65,0,JWK Black CV2
33.3,0.65,0,JWK Black CV2
33.3,0.655,0,JWK Black CV2
33.3,0.655,0,JWK Black CV2
33.3,0.655,0,JWK Black CV2
33.3,0.66,0,JWK Black CV2
33.3,0.66,0,JWK Black CV2
33.3,0.665,0,JWK Black CV2
33.3,0.665,0,JWK Black CV2
33.3,0.665,0,JWK Black CV2
33.3,0.67,0,JWK Black CV2
33.3,0.67,0,JWK Black CV2
33.3,0.67,0,JWK Black CV2
33.3,0.675,0,JWK Black CV2
33.3,0.675,0,JWK Black CV2
33.3,0.68,0,JWK Black CV2
33.4,0.68,0,JWK Black CV2
33.4,0.685,0,JWK Black CV2
33.4,0.685,0,JWK Black CV2
33.3,0.69,0,JWK Black CV2
33.3,0.69,0,JWK Black CV2
33.3,0.695,0,JWK Black CV2
33.3,0.695,0,JWK Black CV2
33.3,0.695,0,JWK Black CV2
33.3,0.7,0,JWK Black CV2
33.3,0.7,0,JWK Black CV2
33.2,0.705,0,JWK Black CV2
33.3,0.705,0,JWK Black CV2
33.3,0.71,0,JWK Black CV2
33.4,0.715,0,JWK Black CV2
33.5,0.715,0,JWK Black CV2
33.5,0.72,0,JWK Black CV2
33.5,0.72,0,JWK Black CV2
33.5,0.725,0,JWK Black CV2
33.6,0.725,0,JWK Black CV2
33.5,0.73,0,JWK Black CV2
33.6,0.73,0,JWK Black CV2
33.6,0.735,0,JWK Black CV2
33.6,0.735,0,JWK Black CV2
33.6,0.74,0,JWK Black CV2
33.6,0.74,0,JWK Black CV2
33.6,0.74,0,JWK Black CV2
33.6,0.745,0,JWK Black CV2
33.6,0.745,0,JWK Black CV2
33.7,0.75,0,JWK Black CV2
33.8,0.75,0,JWK Black CV2
33.8,0.755,0,JWK Black CV2
33.9,0.755,0,JWK Black CV2
33.9,0.76,0,JWK Black CV2
33.9,0.76,0,JWK Black CV2
34,0.765,0,JWK Black CV2
34,0.77,0,JWK Black CV2
34,0.77,0,JWK Black CV2
34,0.775,0,JWK Black CV2
34,0.78,0,JWK Black CV2
34,0.78,0,JWK Black CV2
34,0.785,0,JWK Black CV2
34,0.785,0,JWK Black CV2
34,0.79,0,JWK Black CV2
34,0.79,0,JWK Black CV2
34,0.795,0,JWK Black CV2
34,0.8,0,JWK Black CV2
34,0.8,0,JWK Black CV2
34.1,0.805,0,JWK Black CV2
34.2,0.81,0,JWK Black CV2
34.2,0.815,0,JWK Black CV2
34.2,0.82,0,JWK Black CV2
34.3,0.825,0,JWK Black CV2
34.3,0.835,0,JWK Black CV2
34.2,0.84,0,JWK Black CV2
34.3,0.845,0,JWK Black CV2
34.4,0.855,0,JWK Black CV2
34.6,0.865,0,JWK Black CV2
34.7,0.875,0,JWK Black CV2
34.7,0.89,0,JWK Black CV2
34.7,0.9,0,JWK Black CV2
34.7,0.91,0,JWK Black CV2
34.9,0.92,0,JWK Black CV2
34.9,0.935,0,JWK Black CV2
35,0.94,0,JWK Black CV2
34.9,0.95,0,JWK Black CV2
34.9,0.96,0,JWK Black CV2
35,0.965,0,JWK Black CV2
34.7,0.97,0,JWK Black CV2
34.8,0.975,0,JWK Black CV2
34.9,0.975,0,JWK Black CV2
