force,displacement,judge,name
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
-0.1,0,0,JWK Blue Lotus
-0.1,0,0,JWK Blue Lotus
-0.1,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0,0,JWK Blue Lotus
0,0.005,0,JWK Blue Lotus
0,0.005,0,JWK Blue Lotus
0,0.005,0,JWK Blue Lotus
0,0.005,0,JWK Blue Lotus
0,0.01,0,JWK Blue Lotus
0,0.015,0,JWK Blue Lotus
5.5,0.025,0,JWK Blue Lotus
12.5,0.03,0,JWK Blue Lotus
18.8,0.04,0,JWK Blue Lotus
23.9,0.045,0,JWK Blue Lotus
28.5,0.045,0,JWK Blue Lotus
32.2,0.05,0,JWK Blue Lotus
35.2,0.055,0,JWK Blue Lotus
37.7,0.06,0,JWK Blue Lotus
38.9,0.065,0,JWK Blue Lotus
39.8,0.07,0,JWK Blue Lotus
39.7,0.075,0,JWK Blue Lotus
39.6,0.08,0,JWK Blue Lotus
39.5,0.08,0,JWK Blue Lotus
39.4,0.085,0,JWK Blue Lotus
39.2,0.09,0,JWK Blue Lotus
39.1,0.095,0,JWK Blue Lotus
38.9,0.1,0,JWK Blue Lotus
38.9,0.1,0,JWK Blue Lotus
38.8,0.105,0,JWK Blue Lotus
38.8,0.105,0,JWK Blue Lotus
39,0.11,0,JWK Blue Lotus
39.1,0.11,0,JWK Blue Lotus
38.9,0.115,0,JWK Blue Lotus
38.8,0.125,0,JWK Blue Lotus
38.7,0.135,0,JWK Blue Lotus
38.7,0.145,0,JWK Blue Lotus
38.6,0.15,0,JWK Blue Lotus
38.7,0.155,0,JWK Blue Lotus
38.5,0.16,0,JWK Blue Lotus
38.7,0.165,0,JWK Blue Lotus
38.7,0.165,0,JWK Blue Lotus
38.7,0.17,0,JWK Blue Lotus
38.7,0.17,0,JWK Blue Lotus
38.7,0.175,0,JWK Blue Lotus
38.6,0.18,0,JWK Blue Lotus
