force,displacement,judge,name
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0,0,JWK PointWorks Purple
0,0.005,0,JWK PointWorks Purple
0,0.005,0,JWK PointWorks Purple
0,0.005,0,JWK PointWorks Purple
0,0.01,0,JWK PointWorks Purple
2.3,0.015,0,JWK PointWorks Purple
6.8,0.02,0,JWK PointWorks Purple
11,0.02,0,JWK PointWorks Purple
14.2,0.025,0,JWK PointWorks Purple
17,0.03,0,JWK PointWorks Purple
19.7,0.03,0,JWK PointWorks Purple
21.8,0.035,0,JWK PointWorks Purple
23.4,0.035,0,JWK PointWorks Purple
24.8,0.035,0,JWK PointWorks Purple
26.2,0.035,0,JWK PointWorks Purple
28,0.04,0,JWK PointWorks Purple
29.5,0.04,0,JWK PointWorks Purple
31.6,0.045,0,JWK PointWorks Purple
33.7,0.045,0,JWK PointWorks Purple
35.1,0.045,0,JWK PointWorks Purple
36.3,0.05,0,JWK PointWorks Purple
37.7,0.05,0,JWK PointWorks Purple
38.8,0.05,0,JWK PointWorks Purple
40.1,0.055,0,JWK PointWorks Purple
41.4,0.055,0,JWK PointWorks Purple
42.5,0.06,0,JWK PointWorks Purple
43.5,0.06,0,JWK PointWorks Purple
44.2,0.065,0,JWK PointWorks Purple
45.4,0.065,0,JWK PointWorks Purple
47,0.07,0,JWK PointWorks Purple
48.9,0.07,0,JWK PointWorks Purple
50.5,0.075,0,JWK PointWorks Purple
51.2,0.075,0,JWK PointWorks Purple
51.7,0.08,0,JWK PointWorks Purple
51.9,0.08,0,JWK PointWorks Purple
51.9,0.08,0,JWK PointWorks Purple
51.8,0.085,0,JWK PointWorks Purple
51.9,0.085,0,JWK PointWorks Purple
51.8,0.09,0,JWK PointWorks Purple
51.7,0.09,0,JWK PointWorks Purple
51.6,0.095,0,JWK PointWorks Purple
51.4,0.1,0,JWK PointWorks Purple
51.1,0.105,0,JWK PointWorks Purple
51,0.11,0,JWK PointWorks Purple
51,0.115,0,JWK PointWorks Purple
50.9,0.12,0,JWK PointWorks Purple
50.9,0.125,0,JWK PointWorks Purple
51,0.13,0,JWK PointWorks Purple
50.9,0.135,0,JWK PointWorks Purple
50.9,0.14,0,JWK PointWorks Purple
50.9,0.145,0,JWK PointWorks Purple
51,0.145,0,JWK PointWorks Purple
51.1,0.15,0,JWK PointWorks Purple
51.1,0.155,0,JWK PointWorks Purple
51.1,0.155,0,JWK PointWorks Purple
51.1,0.155,0,JWK PointWorks Purple
51,0.16,0,JWK PointWorks Purple
51.1,0.165,0,JWK PointWorks Purple
51,0.165,0,JWK PointWorks Purple
