force,displacement,judge,name
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0,0,Jerrzi Blue (Clear Bottom)
0,0.005,0,Jerrzi Blue (Clear Bottom)
0,0.005,0,Jerrzi Blue (Clear Bottom)
0,0.005,0,Jerrzi Blue (Clear Bottom)
0,0.005,0,Jerrzi Blue (Clear Bottom)
0,0.005,0,Jerrzi Blue (Clear Bottom)
0,0.005,0,Jerrzi Blue (Clear Bottom)
0,0.01,0,Jerrzi Blue (Clear Bottom)
0,0.01,0,Jerrzi Blue (Clear Bottom)
0,0.01,0,Jerrzi Blue (Clear Bottom)
0,0.015,0,Jerrzi Blue (Clear Bottom)
0,0.015,0,Jerrzi Blue (Clear Bottom)
0,0.02,0,Jerrzi Blue (Clear Bottom)
0.2,0.02,0,Jerrzi Blue (Clear Bottom)
3.7,0.025,0,Jerrzi Blue (Clear Bottom)
6.8,0.03,0,Jerrzi Blue (Clear Bottom)
9.6,0.035,0,Jerrzi Blue (Clear Bottom)
13.1,0.035,0,Jerrzi Blue (Clear Bottom)
16.5,0.04,0,Jerrzi Blue (Clear Bottom)
19.7,0.045,0,Jerrzi Blue (Clear Bottom)
23.2,0.05,0,Jerrzi Blue (Clear Bottom)
26.2,0.05,0,Jerrzi Blue (Clear Bottom)
29.4,0.055,0,Jerrzi Blue (Clear Bottom)
32.6,0.06,0,Jerrzi Blue (Clear Bottom)
35.2,0.06,0,Jerrzi Blue (Clear Bottom)
36.9,0.065,0,Jerrzi Blue (Clear Bottom)
36.4,0.07,0,Jerrzi Blue (Clear Bottom)
36.3,0.07,0,Jerrzi Blue (Clear Bottom)
36.2,0.075,0,Jerrzi Blue (Clear Bottom)
36.2,0.075,0,Jerrzi Blue (Clear Bottom)
