force,displacement,judge,name
0,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
0.1,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
0.1,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
-0.1,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
0,0,0,Jerrzi Dustproof Pink
0.6,0.005,0,Jerrzi Dustproof Pink
3.1,0.005,0,Jerrzi Dustproof Pink
6.4,0.01,0,Jerrzi Dustproof Pink
10,0.015,0,Jerrzi Dustproof Pink
14.6,0.015,0,Jerrzi Dustproof Pink
18.4,0.02,0,Jerrzi Dustproof Pink
20.7,0.025,0,Jerrzi Dustproof Pink
22.7,0.025,0,Jerrzi Dustproof Pink
24.4,0.025,0,Jerrzi Dustproof Pink
26,0.03,0,Jerrzi Dustproof Pink
27.6,0.03,0,Jerrzi Dustproof Pink
28.4,0.03,0,Jerrzi Dustproof Pink
28.9,0.035,0,Jerrzi Dustproof Pink
29.1,0.035,0,Jerrzi Dustproof Pink
29.1,0.035,0,Jerrzi Dustproof Pink
29.1,0.04,0,Jerrzi Dustproof Pink
29,0.04,0,Jerrzi Dustproof Pink
29,0.04,0,Jerrzi Dustproof Pink
29,0.045,0,Jerrzi Dustproof Pink
29.1,0.045,0,Jerrzi Dustproof Pink
29.1,0.045,0,Jerrzi Dustproof Pink
29.1,0.05,0,Jerrzi Dustproof Pink
29.1,0.05,0,Jerrzi Dustproof Pink
29.1,0.055,0,Jerrzi Dustproof Pink
29.1,0.055,0,Jerrzi Dustproof Pink
29.1,0.06,0,Jerrzi Dustproof Pink
29.1,0.06,0,Jerrzi Dustproof Pink
29.3,0.06,0,Jerrzi Dustproof Pink
29.2,0.065,0,Jerrzi Dustproof Pink
29.2,0.065,0,Jerrzi Dustproof Pink
29.3,0.07,0,Jerrzi Dustproof Pink
29.3,0.07,0,Jerrzi Dustproof Pink
29.3,0.07,0,Jerrzi Dustproof Pink
29.4,0.075,0,Jerrzi Dustproof Pink
29.5,0.075,0,Jerrzi Dustproof Pink
29.6,0.08,0,Jerrzi Dustproof Pink
29.7,0.08,0,Jerrzi Dustproof Pink
29.6,0.085,0,Jerrzi Dustproof Pink
29.6,0.09,0,Jerrzi Dustproof Pink
29.7,0.09,0,Jerrzi Dustproof Pink
29.7,0.095,0,Jerrzi Dustproof Pink
29.7,0.095,0,Jerrzi Dustproof Pink
29.7,0.095,0,Jerrzi Dustproof Pink
29.6,0.1,0,Jerrzi Dustproof Pink
29.6,0.1,0,Jerrzi Dustproof Pink
29.6,0.105,0,Jerrzi Dustproof Pink
29.6,0.105,0,Jerrzi Dustproof Pink
29.6,0.105,0,Jerrzi Dustproof Pink
29.6,0.11,0,Jerrzi Dustproof Pink
29.5,0.11,0,Jerrzi Dustproof Pink
29.5,0.115,0,Jerrzi Dustproof Pink
29.4,0.12,0,Jerrzi Dustproof Pink
29.3,0.125,0,Jerrzi Dustproof Pink
29.2,0.13,0,Jerrzi Dustproof Pink
29.1,0.13,0,Jerrzi Dustproof Pink
29.1,0.135,0,Jerrzi Dustproof Pink
28.9,0.135,0,Jerrzi Dustproof Pink
29,0.14,0,Jerrzi Dustproof Pink
29,0.14,0,Jerrzi Dustproof Pink
29,0.145,0,Jerrzi Dustproof Pink
29,0.145,0,Jerrzi Dustproof Pink
28.9,0.15,0,Jerrzi Dustproof Pink
29,0.155,0,Jerrzi Dustproof Pink
28.9,0.155,0,Jerrzi Dustproof Pink
28.9,0.16,0,Jerrzi Dustproof Pink
28.9,0.16,0,Jerrzi Dustproof Pink
28.9,0.16,0,Jerrzi Dustproof Pink
29,0.165,0,Jerrzi Dustproof Pink
28.9,0.165,0,Jerrzi Dustproof Pink
29,0.17,0,Jerrzi Dustproof Pink
28.9,0.17,0,Jerrzi Dustproof Pink
28.9,0.175,0,Jerrzi Dustproof Pink
28.9,0.175,0,Jerrzi Dustproof Pink
28.9,0.175,0,Jerrzi Dustproof Pink
28.9,0.18,0,Jerrzi Dustproof Pink
28.9,0.18,0,Jerrzi Dustproof Pink
28.9,0.18,0,Jerrzi Dustproof Pink
28.9,0.185,0,Jerrzi Dustproof Pink
28.8,0.185,0,Jerrzi Dustproof Pink
28.8,0.185,0,Jerrzi Dustproof Pink
28.9,0.19,0,Jerrzi Dustproof Pink
28.8,0.19,0,Jerrzi Dustproof Pink
