force,displacement,judge,name
0,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
-0.1,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
0.1,0,0,Jerrzi Dustproof White
-0.1,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
-0.1,0,0,Jerrzi Dustproof White
0,0,0,Jerrzi Dustproof White
-0.1,0,0,Jerrzi Dustproof White
0,0.005,0,Jerrzi Dustproof White
0,0.005,0,Jerrzi Dustproof White
0,0.005,0,Jerrzi Dustproof White
0,0.01,0,Jerrzi Dustproof White
0,0.01,0,Jerrzi Dustproof White
0,0.015,0,Jerrzi Dustproof White
0,0.02,0,Jerrzi Dustproof White
0.4,0.025,0,Jerrzi Dustproof White
1.2,0.03,0,Jerrzi Dustproof White
2.1,0.03,0,Jerrzi Dustproof White
4.9,0.035,0,Jerrzi Dustproof White
7.5,0.04,0,Jerrzi Dustproof White
9.9,0.04,0,Jerrzi Dustproof White
12.1,0.045,0,Jerrzi Dustproof White
14.3,0.045,0,Jerrzi Dustproof White
16.1,0.05,0,Jerrzi Dustproof White
18,0.05,0,Jerrzi Dustproof White
19.8,0.05,0,Jerrzi Dustproof White
21.7,0.055,0,Jerrzi Dustproof White
23.6,0.055,0,Jerrzi Dustproof White
25.3,0.06,0,Jerrzi Dustproof White
26.5,0.06,0,Jerrzi Dustproof White
27.5,0.06,0,Jerrzi Dustproof White
28.4,0.065,0,Jerrzi Dustproof White
29,0.065,0,Jerrzi Dustproof White
29.3,0.065,0,Jerrzi Dustproof White
29.1,0.07,0,Jerrzi Dustproof White
29,0.07,0,Jerrzi Dustproof White
28.9,0.07,0,Jerrzi Dustproof White
29,0.075,0,Jerrzi Dustproof White
28.9,0.075,0,Jerrzi Dustproof White
29.1,0.075,0,Jerrzi Dustproof White
29,0.075,0,Jerrzi Dustproof White
29.2,0.08,0,Jerrzi Dustproof White
29,0.08,0,Jerrzi Dustproof White
28.8,0.08,0,Jerrzi Dustproof White
28.9,0.08,0,Jerrzi Dustproof White
29.2,0.085,0,Jerrzi Dustproof White
29.4,0.085,0,Jerrzi Dustproof White
29,0.085,0,Jerrzi Dustproof White
29.2,0.085,0,Jerrzi Dustproof White
29.4,0.09,0,Jerrzi Dustproof White
29.4,0.095,0,Jerrzi Dustproof White
29.2,0.1,0,Jerrzi Dustproof White
29.4,0.1,0,Jerrzi Dustproof White
29.4,0.105,0,Jerrzi Dustproof White
29.5,0.11,0,Jerrzi Dustproof White
29.4,0.115,0,Jerrzi Dustproof White
29.2,0.115,0,Jerrzi Dustproof White
29.2,0.115,0,Jerrzi Dustproof White
29.4,0.12,0,Jerrzi Dustproof White
29.5,0.12,0,Jerrzi Dustproof White
29.4,0.125,0,Jerrzi Dustproof White
29.4,0.125,0,Jerrzi Dustproof White
29.4,0.13,0,Jerrzi Dustproof White
29.4,0.13,0,Jerrzi Dustproof White
29.5,0.135,0,Jerrzi Dustproof White
29.5,0.135,0,Jerrzi Dustproof White
29.4,0.14,0,Jerrzi Dustproof White
29.5,0.14,0,Jerrzi Dustproof White
29.5,0.145,0,Jerrzi Dustproof White
29.5,0.145,0,Jerrzi Dustproof White
29.5,0.15,0,Jerrzi Dustproof White
29.5,0.155,0,Jerrzi Dustproof White
29.4,0.155,0,Jerrzi Dustproof White
29.4,0.16,0,Jerrzi Dustproof White
29.4,0.165,0,Jerrzi Dustproof White
29.3,0.17,0,Jerrzi Dustproof White
29.2,0.175,0,Jerrzi Dustproof White
29.3,0.175,0,Jerrzi Dustproof White
29.2,0.18,0,Jerrzi Dustproof White
29.3,0.18,0,Jerrzi Dustproof White
29.3,0.185,0,Jerrzi Dustproof White
29.3,0.185,0,Jerrzi Dustproof White
29.3,0.19,0,Jerrzi Dustproof White
29.2,0.19,0,Jerrzi Dustproof White
29.3,0.195,0,Jerrzi Dustproof White
29.2,0.2,0,Jerrzi Dustproof White
29.2,0.205,0,Jerrzi Dustproof White
29.2,0.21,0,Jerrzi Dustproof White
29.2,0.215,0,Jerrzi Dustproof White
29.3,0.22,0,Jerrzi Dustproof White
29.3,0.225,0,Jerrzi Dustproof White
29.4,0.235,0,Jerrzi Dustproof White
29.3,0.235,0,Jerrzi Dustproof White
29.4,0.24,0,Jerrzi Dustproof White
29.4,0.245,0,Jerrzi Dustproof White
29.4,0.25,0,Jerrzi Dustproof White
29.4,0.25,0,Jerrzi Dustproof White
29.5,0.255,0,Jerrzi Dustproof White
29.4,0.255,0,Jerrzi Dustproof White
29.4,0.26,0,Jerrzi Dustproof White
29.4,0.26,0,Jerrzi Dustproof White
29.3,0.265,0,Jerrzi Dustproof White
29.4,0.265,0,Jerrzi Dustproof White
29.4,0.265,0,Jerrzi Dustproof White
29.3,0.265,0,Jerrzi Dustproof White
29.4,0.27,0,Jerrzi Dustproof White
29.5,0.27,0,Jerrzi Dustproof White
29.5,0.27,0,Jerrzi Dustproof White
29.6,0.275,0,Jerrzi Dustproof White
29.5,0.275,0,Jerrzi Dustproof White
29.5,0.275,0,Jerrzi Dustproof White
29.5,0.275,0,Jerrzi Dustproof White
29.6,0.28,0,Jerrzi Dustproof White
29.7,0.28,0,Jerrzi Dustproof White
29.8,0.285,0,Jerrzi Dustproof White
29.8,0.285,0,Jerrzi Dustproof White
29.8,0.29,0,Jerrzi Dustproof White
29.7,0.295,0,Jerrzi Dustproof White
29.7,0.3,0,Jerrzi Dustproof White
29.7,0.305,0,Jerrzi Dustproof White
29.7,0.31,0,Jerrzi Dustproof White
29.7,0.315,0,Jerrzi Dustproof White
29.7,0.32,0,Jerrzi Dustproof White
29.6,0.325,0,Jerrzi Dustproof White
29.5,0.33,0,Jerrzi Dustproof White
29.6,0.33,0,Jerrzi Dustproof White
29.6,0.335,0,Jerrzi Dustproof White
29.7,0.34,0,Jerrzi Dustproof White
29.7,0.34,0,Jerrzi Dustproof White
29.6,0.345,0,Jerrzi Dustproof White
29.7,0.35,0,Jerrzi Dustproof White
29.7,0.35,0,Jerrzi Dustproof White
29.8,0.355,0,Jerrzi Dustproof White
29.8,0.36,0,Jerrzi Dustproof White
29.8,0.365,0,Jerrzi Dustproof White
29.7,0.37,0,Jerrzi Dustproof White
29.7,0.37,0,Jerrzi Dustproof White
29.7,0.375,0,Jerrzi Dustproof White
29.7,0.38,0,Jerrzi Dustproof White
