force,displacement,judge,name
0,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
-0.1,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
0.1,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
-0.2,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
0.1,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
0,0,0,Jerrzi Dustproof Yellow
0.1,0.005,0,Jerrzi Dustproof Yellow
0,0.005,0,Jerrzi Dustproof Yellow
0,0.005,0,Jerrzi Dustproof Yellow
-0.1,0.005,0,Jerrzi Dustproof Yellow
0,0.005,0,Jerrzi Dustproof Yellow
0,0.005,0,Jerrzi Dustproof Yellow
0,0.01,0,Jerrzi Dustproof Yellow
0,0.015,0,Jerrzi Dustproof Yellow
-0.1,0.015,0,Jerrzi Dustproof Yellow
0,0.02,0,Jerrzi Dustproof Yellow
0.1,0.03,0,Jerrzi Dustproof Yellow
3.4,0.035,0,Jerrzi Dustproof Yellow
5.2,0.04,0,Jerrzi Dustproof Yellow
8,0.045,0,Jerrzi Dustproof Yellow
12.1,0.05,0,Jerrzi Dustproof Yellow
16,0.055,0,Jerrzi Dustproof Yellow
20,0.055,0,Jerrzi Dustproof Yellow
23.7,0.06,0,Jerrzi Dustproof Yellow
26.9,0.065,0,Jerrzi Dustproof Yellow
30,0.07,0,Jerrzi Dustproof Yellow
32.9,0.07,0,Jerrzi Dustproof Yellow
35.3,0.075,0,Jerrzi Dustproof Yellow
35.2,0.075,0,Jerrzi Dustproof Yellow
34.8,0.08,0,Jerrzi Dustproof Yellow
34.7,0.08,0,Jerrzi Dustproof Yellow
34.7,0.08,0,Jerrzi Dustproof Yellow
34.6,0.085,0,Jerrzi Dustproof Yellow
34.6,0.085,0,Jerrzi Dustproof Yellow
34.6,0.085,0,Jerrzi Dustproof Yellow
