force,displacement,judge,name
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
-0.1,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
-0.1,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0,0,Jerrzi Fortune
0,0.005,0,Jerrzi Fortune
0,0.005,0,Jerrzi Fortune
0,0.005,0,Jerrzi Fortune
0,0.005,0,Jerrzi Fortune
0,0.01,0,Jerrzi Fortune
0,0.015,0,Jerrzi Fortune
0,0.015,0,Jerrzi Fortune
0,0.02,0,Jerrzi Fortune
0,0.025,0,Jerrzi Fortune
0,0.025,0,Jerrzi Fortune
0,0.03,0,Jerrzi Fortune
0,0.035,0,Jerrzi Fortune
0,0.035,0,Jerrzi Fortune
0,0.04,0,Jerrzi Fortune
0,0.04,0,Jerrzi Fortune
0,0.045,0,Jerrzi Fortune
0,0.045,0,Jerrzi Fortune
0,0.05,0,Jerrzi Fortune
0,0.055,0,Jerrzi Fortune
0,0.055,0,Jerrzi Fortune
0,0.06,0,Jerrzi Fortune
0,0.065,0,Jerrzi Fortune
0,0.07,0,Jerrzi Fortune
0,0.075,0,Jerrzi Fortune
0,0.08,0,Jerrzi Fortune
0,0.085,0,Jerrzi Fortune
0.2,0.09,0,Jerrzi Fortune
4.5,0.095,0,Jerrzi Fortune
10,0.105,0,Jerrzi Fortune
15.3,0.11,0,Jerrzi Fortune
20.3,0.115,0,Jerrzi Fortune
24.8,0.12,0,Jerrzi Fortune
28.5,0.125,0,Jerrzi Fortune
31,0.125,0,Jerrzi Fortune
32.7,0.13,0,Jerrzi Fortune
34.4,0.135,0,Jerrzi Fortune
35.9,0.135,0,Jerrzi Fortune
35.6,0.14,0,Jerrzi Fortune
35.5,0.14,0,Jerrzi Fortune
35.4,0.145,0,Jerrzi Fortune
35.2,0.15,0,Jerrzi Fortune
35,0.15,0,Jerrzi Fortune
34.9,0.155,0,Jerrzi Fortune
34.7,0.16,0,Jerrzi Fortune
34.5,0.165,0,Jerrzi Fortune
34.4,0.165,0,Jerrzi Fortune
34.4,0.17,0,Jerrzi Fortune
34.3,0.175,0,Jerrzi Fortune
34.2,0.175,0,Jerrzi Fortune
34.2,0.18,0,Jerrzi Fortune
34.2,0.185,0,Jerrzi Fortune
34.2,0.185,0,Jerrzi Fortune
34.1,0.19,0,Jerrzi Fortune
34,0.195,0,Jerrzi Fortune
