force,displacement,judge,name
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0,0,Jerrzi Kyria Red
0,0.005,0,Jerrzi Kyria Red
0,0.005,0,Jerrzi Kyria Red
0,0.01,0,Jerrzi Kyria Red
0,0.01,0,Jerrzi Kyria Red
0,0.015,0,Jerrzi Kyria Red
0,0.025,0,Jerrzi Kyria Red
0,0.03,0,Jerrzi Kyria Red
4.3,0.04,0,Jerrzi Kyria Red
11.9,0.045,0,Jerrzi Kyria Red
18.8,0.055,0,Jerrzi Kyria Red
25.4,0.06,0,Jerrzi Kyria Red
30.8,0.07,0,Jerrzi Kyria Red
30.6,0.075,0,Jerrzi Kyria Red
29.9,0.085,0,Jerrzi Kyria Red
29.6,0.09,0,Jerrzi Kyria Red
29.5,0.095,0,Jerrzi Kyria Red
29.4,0.1,0,Jerrzi Kyria Red
29.4,0.105,0,Jerrzi Kyria Red
29.4,0.11,0,Jerrzi Kyria Red
29.6,0.115,0,Jerrzi Kyria Red
29.7,0.12,0,Jerrzi Kyria Red
29.8,0.125,0,Jerrzi Kyria Red
29.9,0.13,0,Jerrzi Kyria Red
29.9,0.13,0,Jerrzi Kyria Red
30.1,0.135,0,Jerrzi Kyria Red
30.2,0.14,0,Jerrzi Kyria Red
30.2,0.145,0,Jerrzi Kyria Red
30.2,0.15,0,Jerrzi Kyria Red
30.3,0.16,0,Jerrzi Kyria Red
30.2,0.165,0,Jerrzi Kyria Red
30.2,0.175,0,Jerrzi Kyria Red
30.1,0.18,0,Jerrzi Kyria Red
30.1,0.19,0,Jerrzi Kyria Red
30,0.195,0,Jerrzi Kyria Red
30,0.205,0,Jerrzi Kyria Red
30,0.21,0,Jerrzi Kyria Red
30.1,0.21,0,Jerrzi Kyria Red
30.2,0.215,0,Jerrzi Kyria Red
30.2,0.22,0,Jerrzi Kyria Red
30.2,0.225,0,Jerrzi Kyria Red
30.2,0.23,0,Jerrzi Kyria Red
30.3,0.235,0,Jerrzi Kyria Red
30.3,0.24,0,Jerrzi Kyria Red
30.3,0.24,0,Jerrzi Kyria Red
30.3,0.245,0,Jerrzi Kyria Red
30.2,0.25,0,Jerrzi Kyria Red
30.1,0.25,0,Jerrzi Kyria Red
30,0.255,0,Jerrzi Kyria Red
30.1,0.255,0,Jerrzi Kyria Red
30.1,0.255,0,Jerrzi Kyria Red
30.1,0.26,0,Jerrzi Kyria Red
30.1,0.26,0,Jerrzi Kyria Red
30.2,0.26,0,Jerrzi Kyria Red
30.1,0.265,0,Jerrzi Kyria Red
30.2,0.265,0,Jerrzi Kyria Red
30.1,0.27,0,Jerrzi Kyria Red
30.1,0.27,0,Jerrzi Kyria Red
30.1,0.275,0,Jerrzi Kyria Red
30.2,0.275,0,Jerrzi Kyria Red
30.2,0.28,0,Jerrzi Kyria Red
30.2,0.28,0,Jerrzi Kyria Red
30.1,0.28,0,Jerrzi Kyria Red
30.2,0.285,0,Jerrzi Kyria Red
30.2,0.285,0,Jerrzi Kyria Red
30.2,0.29,0,Jerrzi Kyria Red
30.1,0.29,0,Jerrzi Kyria Red
30.1,0.29,0,Jerrzi Kyria Red
30.1,0.29,0,Jerrzi Kyria Red
30.1,0.295,0,Jerrzi Kyria Red
30.2,0.295,0,Jerrzi Kyria Red
30.3,0.295,0,Jerrzi Kyria Red
30.3,0.295,0,Jerrzi Kyria Red
30.3,0.3,0,Jerrzi Kyria Red
30.5,0.3,0,Jerrzi Kyria Red
30.5,0.305,0,Jerrzi Kyria Red
30.4,0.305,0,Jerrzi Kyria Red
30.4,0.305,0,Jerrzi Kyria Red
30.5,0.31,0,Jerrzi Kyria Red
30.4,0.31,0,Jerrzi Kyria Red
30.4,0.31,0,Jerrzi Kyria Red
30.5,0.315,0,Jerrzi Kyria Red
30.5,0.315,0,Jerrzi Kyria Red
30.6,0.315,0,Jerrzi Kyria Red
30.6,0.315,0,Jerrzi Kyria Red
30.6,0.32,0,Jerrzi Kyria Red
30.6,0.32,0,Jerrzi Kyria Red
30.6,0.32,0,Jerrzi Kyria Red
30.6,0.32,0,Jerrzi Kyria Red
30.6,0.32,0,Jerrzi Kyria Red
30.6,0.32,0,Jerrzi Kyria Red
30.5,0.325,0,Jerrzi Kyria Red
30.6,0.325,0,Jerrzi Kyria Red
30.6,0.325,0,Jerrzi Kyria Red
30.6,0.325,0,Jerrzi Kyria Red
30.7,0.325,0,Jerrzi Kyria Red
30.7,0.325,0,Jerrzi Kyria Red
30.7,0.33,0,Jerrzi Kyria Red
30.7,0.33,0,Jerrzi Kyria Red
30.5,0.33,0,Jerrzi Kyria Red
30.7,0.33,0,Jerrzi Kyria Red
30.7,0.33,0,Jerrzi Kyria Red
30.8,0.33,0,Jerrzi Kyria Red
30.8,0.335,0,Jerrzi Kyria Red
30.7,0.335,0,Jerrzi Kyria Red
30.7,0.335,0,Jerrzi Kyria Red
30.8,0.335,0,Jerrzi Kyria Red
30.9,0.335,0,Jerrzi Kyria Red
30.9,0.34,0,Jerrzi Kyria Red
30.8,0.34,0,Jerrzi Kyria Red
30.9,0.34,0,Jerrzi Kyria Red
30.9,0.34,0,Jerrzi Kyria Red
30.9,0.345,0,Jerrzi Kyria Red
31,0.345,0,Jerrzi Kyria Red
31.1,0.35,0,Jerrzi Kyria Red
31,0.35,0,Jerrzi Kyria Red
31.1,0.355,0,Jerrzi Kyria Red
31.1,0.355,0,Jerrzi Kyria Red
31.1,0.355,0,Jerrzi Kyria Red
31.1,0.36,0,Jerrzi Kyria Red
31.1,0.36,0,Jerrzi Kyria Red
31.2,0.36,0,Jerrzi Kyria Red
31.2,0.365,0,Jerrzi Kyria Red
31.2,0.365,0,Jerrzi Kyria Red
31.2,0.37,0,Jerrzi Kyria Red
31.2,0.37,0,Jerrzi Kyria Red
31.2,0.375,0,Jerrzi Kyria Red
31.1,0.38,0,Jerrzi Kyria Red
