force,displacement,judge,name
-0.1,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
-0.1,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
-0.1,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
0.1,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
0.1,0,0,Jerrzi Yellow
0,0,0,Jerrzi Yellow
0.1,0.005,0,Jerrzi Yellow
0.1,0.005,0,Jerrzi Yellow
0,0.005,0,Jerrzi Yellow
0,0.01,0,Jerrzi Yellow
0.1,0.01,0,Jerrzi Yellow
-0.1,0.015,0,Jerrzi Yellow
0,0.02,0,Jerrzi Yellow
0,0.02,0,Jerrzi Yellow
0,0.025,0,Jerrzi Yellow
1.7,0.03,0,Jerrzi Yellow
5.9,0.035,0,Jerrzi Yellow
10.3,0.045,0,Jerrzi Yellow
13.1,0.045,0,Jerrzi Yellow
16.2,0.05,0,Jerrzi Yellow
19.6,0.055,0,Jerrzi Yellow
22.7,0.06,0,Jerrzi Yellow
26,0.065,0,Jerrzi Yellow
29.3,0.065,0,Jerrzi Yellow
31.9,0.07,0,Jerrzi Yellow
34.5,0.075,0,Jerrzi Yellow
35.6,0.075,0,Jerrzi Yellow
36.6,0.08,0,Jerrzi Yellow
36.8,0.08,0,Jerrzi Yellow
36.7,0.085,0,Jerrzi Yellow
36.6,0.085,0,Jerrzi Yellow
36.6,0.09,0,Jerrzi Yellow
36.7,0.09,0,Jerrzi Yellow
36.7,0.095,0,Jerrzi Yellow
36.7,0.095,0,Jerrzi Yellow
36.6,0.1,0,Jerrzi Yellow
36.6,0.1,0,Jerrzi Yellow
36.6,0.105,0,Jerrzi Yellow
36.6,0.105,0,Jerrzi Yellow
36.6,0.11,0,Jerrzi Yellow
36.5,0.11,0,Jerrzi Yellow
36.4,0.115,0,Jerrzi Yellow
36.4,0.115,0,Jerrzi Yellow
36.4,0.12,0,Jerrzi Yellow
36.3,0.12,0,Jerrzi Yellow
36.1,0.12,0,Jerrzi Yellow
36,0.125,0,Jerrzi Yellow
36.1,0.125,0,Jerrzi Yellow
36.1,0.125,0,Jerrzi Yellow
36.1,0.125,0,Jerrzi Yellow
36.2,0.13,0,Jerrzi Yellow
36,0.13,0,Jerrzi Yellow
35.9,0.13,0,Jerrzi Yellow
36,0.13,0,Jerrzi Yellow
36.1,0.135,0,Jerrzi Yellow
36.1,0.135,0,Jerrzi Yellow
36,0.135,0,Jerrzi Yellow
36.1,0.14,0,Jerrzi Yellow
36.1,0.14,0,Jerrzi Yellow
36,0.14,0,Jerrzi Yellow
36,0.14,0,Jerrzi Yellow
36,0.145,0,Jerrzi Yellow
35.9,0.145,0,Jerrzi Yellow
35.9,0.145,0,Jerrzi Yellow
36,0.145,0,Jerrzi Yellow
36,0.145,0,Jerrzi Yellow
36,0.15,0,Jerrzi Yellow
36.1,0.15,0,Jerrzi Yellow
36.1,0.15,0,Jerrzi Yellow
36,0.15,0,Jerrzi Yellow
36,0.155,0,Jerrzi Yellow
36,0.155,0,Jerrzi Yellow
36,0.155,0,Jerrzi Yellow
36.1,0.16,0,Jerrzi Yellow
36.2,0.16,0,Jerrzi Yellow
36.3,0.165,0,Jerrzi Yellow
36.2,0.17,0,Jerrzi Yellow
36.1,0.175,0,Jerrzi Yellow
36,0.18,0,Jerrzi Yellow
36,0.185,0,Jerrzi Yellow
35.8,0.19,0,Jerrzi Yellow
35.8,0.195,0,Jerrzi Yellow
35.8,0.2,0,Jerrzi Yellow
35.8,0.205,0,Jerrzi Yellow
35.7,0.205,0,Jerrzi Yellow
35.7,0.21,0,Jerrzi Yellow
35.6,0.215,0,Jerrzi Yellow
35.7,0.215,0,Jerrzi Yellow
35.7,0.22,0,Jerrzi Yellow
35.6,0.22,0,Jerrzi Yellow
35.5,0.22,0,Jerrzi Yellow
35.6,0.225,0,Jerrzi Yellow
35.7,0.225,0,Jerrzi Yellow
35.7,0.225,0,Jerrzi Yellow
35.7,0.23,0,Jerrzi Yellow
35.7,0.23,0,Jerrzi Yellow
35.7,0.235,0,Jerrzi Yellow
35.7,0.235,0,Jerrzi Yellow
35.7,0.235,0,Jerrzi Yellow
35.7,0.24,0,Jerrzi Yellow
35.7,0.24,0,Jerrzi Yellow
35.8,0.245,0,Jerrzi Yellow
35.8,0.245,0,Jerrzi Yellow
35.7,0.245,0,Jerrzi Yellow
36,0.25,0,Jerrzi Yellow
36,0.255,0,Jerrzi Yellow
36,0.26,0,Jerrzi Yellow
35.9,0.265,0,Jerrzi Yellow
35.9,0.27,0,Jerrzi Yellow
35.8,0.27,0,Jerrzi Yellow
35.8,0.275,0,Jerrzi Yellow
35.8,0.28,0,Jerrzi Yellow
35.9,0.285,0,Jerrzi Yellow
35.8,0.285,0,Jerrzi Yellow
35.8,0.29,0,Jerrzi Yellow
35.9,0.295,0,Jerrzi Yellow
36,0.295,0,Jerrzi Yellow
35.9,0.3,0,Jerrzi Yellow
35.9,0.305,0,Jerrzi Yellow
35.9,0.305,0,Jerrzi Yellow
35.9,0.31,0,Jerrzi Yellow
35.9,0.315,0,Jerrzi Yellow
35.9,0.315,0,Jerrzi Yellow
35.9,0.32,0,Jerrzi Yellow
36,0.32,0,Jerrzi Yellow
36,0.325,0,Jerrzi Yellow
36,0.325,0,Jerrzi Yellow
36,0.33,0,Jerrzi Yellow
36,0.33,0,Jerrzi Yellow
36.1,0.335,0,Jerrzi Yellow
