force,displacement,judge,name
-0.1,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0,0,Jixian Blue (White Bottom)
0,0.005,0,Jixian Blue (White Bottom)
0,0.005,0,Jixian Blue (White Bottom)
0,0.005,0,Jixian Blue (White Bottom)
0,0.005,0,Jixian Blue (White Bottom)
0,0.005,0,Jixian Blue (White Bottom)
0,0.01,0,Jixian Blue (White Bottom)
0,0.01,0,Jixian Blue (White Bottom)
0,0.015,0,Jixian Blue (White Bottom)
0,0.02,0,Jixian Blue (White Bottom)
0,0.02,0,Jixian Blue (White Bottom)
0,0.02,0,Jixian Blue (White Bottom)
0,0.025,0,Jixian Blue (White Bottom)
0,0.025,0,Jixian Blue (White Bottom)
0,0.03,0,Jixian Blue (White Bottom)
0,0.03,0,Jixian Blue (White Bottom)
0,0.03,0,Jixian Blue (White Bottom)
0,0.035,0,Jixian Blue (White Bottom)
0,0.035,0,Jixian Blue (White Bottom)
0,0.04,0,Jixian Blue (White Bottom)
0,0.045,0,Jixian Blue (White Bottom)
1.6,0.045,0,Jixian Blue (White Bottom)
3.5,0.05,0,Jixian Blue (White Bottom)
4.8,0.05,0,Jixian Blue (White Bottom)
6.6,0.05,0,Jixian Blue (White Bottom)
8.5,0.055,0,Jixian Blue (White Bottom)
10.1,0.055,0,Jixian Blue (White Bottom)
11.9,0.055,0,Jixian Blue (White Bottom)
13.5,0.06,0,Jixian Blue (White Bottom)
15,0.06,0,Jixian Blue (White Bottom)
16.6,0.06,0,Jixian Blue (White Bottom)
18.7,0.065,0,Jixian Blue (White Bottom)
20.9,0.065,0,Jixian Blue (White Bottom)
22.8,0.07,0,Jixian Blue (White Bottom)
24.6,0.07,0,Jixian Blue (White Bottom)
26,0.07,0,Jixian Blue (White Bottom)
26.9,0.075,0,Jixian Blue (White Bottom)
27.7,0.075,0,Jixian Blue (White Bottom)
28.6,0.075,0,Jixian Blue (White Bottom)
29.4,0.08,0,Jixian Blue (White Bottom)
30,0.08,0,Jixian Blue (White Bottom)
30.4,0.08,0,Jixian Blue (White Bottom)
30.9,0.085,0,Jixian Blue (White Bottom)
31.4,0.085,0,Jixian Blue (White Bottom)
31.5,0.09,0,Jixian Blue (White Bottom)
31.5,0.09,0,Jixian Blue (White Bottom)
31.6,0.095,0,Jixian Blue (White Bottom)
31.8,0.095,0,Jixian Blue (White Bottom)
31.9,0.095,0,Jixian Blue (White Bottom)
32,0.1,0,Jixian Blue (White Bottom)
32.1,0.1,0,Jixian Blue (White Bottom)
32.2,0.1,0,Jixian Blue (White Bottom)
32.1,0.105,0,Jixian Blue (White Bottom)
32.3,0.105,0,Jixian Blue (White Bottom)
32.4,0.105,0,Jixian Blue (White Bottom)
32.6,0.11,0,Jixian Blue (White Bottom)
32.8,0.11,0,Jixian Blue (White Bottom)
33,0.11,0,Jixian Blue (White Bottom)
33.2,0.11,0,Jixian Blue (White Bottom)
33.2,0.11,0,Jixian Blue (White Bottom)
33.6,0.115,0,Jixian Blue (White Bottom)
33.9,0.115,0,Jixian Blue (White Bottom)
33.8,0.115,0,Jixian Blue (White Bottom)
33.9,0.115,0,Jixian Blue (White Bottom)
33.9,0.115,0,Jixian Blue (White Bottom)
34,0.115,0,Jixian Blue (White Bottom)
34.1,0.12,0,Jixian Blue (White Bottom)
34.3,0.12,0,Jixian Blue (White Bottom)
34.4,0.12,0,Jixian Blue (White Bottom)
34.5,0.12,0,Jixian Blue (White Bottom)
34.5,0.12,0,Jixian Blue (White Bottom)
34.5,0.12,0,Jixian Blue (White Bottom)
34.5,0.12,0,Jixian Blue (White Bottom)
34.5,0.12,0,Jixian Blue (White Bottom)
34.5,0.125,0,Jixian Blue (White Bottom)
34.5,0.125,0,Jixian Blue (White Bottom)
34.6,0.125,0,Jixian Blue (White Bottom)
34.6,0.125,0,Jixian Blue (White Bottom)
34.6,0.125,0,Jixian Blue (White Bottom)
34.6,0.125,0,Jixian Blue (White Bottom)
34.6,0.125,0,Jixian Blue (White Bottom)
34.6,0.13,0,Jixian Blue (White Bottom)
