force,displacement,judge,name
0,0,0,KFA N2O Laughing Gas
0.1,0,0,KFA N2O Laughing Gas
0,0,0,KFA N2O Laughing Gas
-0.1,0,0,KFA N2O Laughing Gas
0,0,0,KFA N2O Laughing Gas
0,0,0,KFA N2O Laughing Gas
0,0,0,KFA N2O Laughing Gas
0,0,0,KFA N2O Laughing Gas
-0.1,0,0,KFA N2O Laughing Gas
0,0,0,KFA N2O Laughing Gas
0,0,0,KFA N2O Laughing Gas
0,0,0,KFA N2O Laughing Gas
-0.1,0,0,KFA N2O Laughing Gas
-0.1,0,0,KFA N2O Laughing Gas
-0.1,0,0,KFA N2O Laughing Gas
-0.1,0,0,KFA N2O Laughing Gas
-0.1,0,0,KFA N2O Laughing Gas
-0.1,0.005,0,KFA N2O Laughing Gas
2.6,0.01,0,KFA N2O Laughing Gas
6.5,0.015,0,KFA N2O Laughing Gas
11.8,0.02,0,KFA N2O Laughing Gas
17.2,0.025,0,KFA N2O Laughing Gas
21.7,0.03,0,KFA N2O Laughing Gas
26.1,0.035,0,KFA N2O Laughing Gas
29.1,0.04,0,KFA N2O Laughing Gas
32.7,0.04,0,KFA N2O Laughing Gas
35.8,0.045,0,KFA N2O Laughing Gas
38.3,0.05,0,KFA N2O Laughing Gas
40.8,0.05,0,KFA N2O Laughing Gas
42.9,0.055,0,KFA N2O Laughing Gas
44.4,0.055,0,KFA N2O Laughing Gas
45.3,0.06,0,KFA N2O Laughing Gas
46,0.06,0,KFA N2O Laughing Gas
46.5,0.065,0,KFA N2O Laughing Gas
46.6,0.065,0,KFA N2O Laughing Gas
46.7,0.065,0,KFA N2O Laughing Gas
46.8,0.07,0,KFA N2O Laughing Gas
46.8,0.07,0,KFA N2O Laughing Gas
46.9,0.07,0,KFA N2O Laughing Gas
47.1,0.075,0,KFA N2O Laughing Gas
47.4,0.075,0,KFA N2O Laughing Gas
47.5,0.075,0,KFA N2O Laughing Gas
47.6,0.075,0,KFA N2O Laughing Gas
47.7,0.08,0,KFA N2O Laughing Gas
47.7,0.08,0,KFA N2O Laughing Gas
47.7,0.085,0,KFA N2O Laughing Gas
47.8,0.085,0,KFA N2O Laughing Gas
48,0.085,0,KFA N2O Laughing Gas
48.1,0.09,0,KFA N2O Laughing Gas
48.4,0.095,0,KFA N2O Laughing Gas
48.8,0.095,0,KFA N2O Laughing Gas
49.6,0.1,0,KFA N2O Laughing Gas
50.4,0.105,0,KFA N2O Laughing Gas
51.8,0.11,0,KFA N2O Laughing Gas
53.4,0.115,0,KFA N2O Laughing Gas
53.6,0.115,0,KFA N2O Laughing Gas
53.2,0.12,0,KFA N2O Laughing Gas
53.1,0.125,0,KFA N2O Laughing Gas
52.9,0.13,0,KFA N2O Laughing Gas
52.8,0.13,0,KFA N2O Laughing Gas
52.7,0.135,0,KFA N2O Laughing Gas
52.7,0.135,0,KFA N2O Laughing Gas
52.8,0.14,0,KFA N2O Laughing Gas
52.7,0.14,0,KFA N2O Laughing Gas
52.7,0.145,0,KFA N2O Laughing Gas
52.7,0.145,0,KFA N2O Laughing Gas
52.8,0.145,0,KFA N2O Laughing Gas
52.8,0.15,0,KFA N2O Laughing Gas
52.8,0.15,0,KFA N2O Laughing Gas
52.8,0.15,0,KFA N2O Laughing Gas
