force,displacement,judge,name
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
-0.1,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0,0,KTT Carpenteria
0,0.005,0,KTT Carpenteria
0,0.005,0,KTT Carpenteria
0,0.005,0,KTT Carpenteria
0,0.005,0,KTT Carpenteria
0,0.01,0,KTT Carpenteria
0,0.01,0,KTT Carpenteria
0,0.01,0,KTT Carpenteria
0,0.015,0,KTT Carpenteria
0,0.015,0,KTT Carpenteria
0,0.015,0,KTT Carpenteria
0,0.02,0,KTT Carpenteria
0,0.02,0,KTT Carpenteria
0,0.025,0,KTT Carpenteria
0,0.025,0,KTT Carpenteria
0.9,0.03,0,KTT Carpenteria
2.5,0.03,0,KTT Carpenteria
4.3,0.03,0,KTT Carpenteria
6.1,0.035,0,KTT Carpenteria
8.1,0.035,0,KTT Carpenteria
10.1,0.035,0,KTT Carpenteria
12,0.04,0,KTT Carpenteria
14.4,0.04,0,KTT Carpenteria
16.6,0.045,0,KTT Carpenteria
19.2,0.045,0,KTT Carpenteria
21.9,0.05,0,KTT Carpenteria
24.8,0.05,0,KTT Carpenteria
27.5,0.055,0,KTT Carpenteria
29.8,0.06,0,KTT Carpenteria
31.7,0.06,0,KTT Carpenteria
33.5,0.06,0,KTT Carpenteria
35.1,0.065,0,KTT Carpenteria
36.4,0.065,0,KTT Carpenteria
37.6,0.065,0,KTT Carpenteria
38.9,0.07,0,KTT Carpenteria
40.3,0.07,0,KTT Carpenteria
41.5,0.07,0,KTT Carpenteria
42.5,0.07,0,KTT Carpenteria
43.3,0.075,0,KTT Carpenteria
44.1,0.075,0,KTT Carpenteria
44.8,0.075,0,KTT Carpenteria
45.4,0.075,0,KTT Carpenteria
45.2,0.075,0,KTT Carpenteria
45.3,0.08,0,KTT Carpenteria
45.4,0.08,0,KTT Carpenteria
45.6,0.08,0,KTT Carpenteria
45.7,0.08,0,KTT Carpenteria
45.9,0.08,0,KTT Carpenteria
46.1,0.08,0,KTT Carpenteria
46.2,0.08,0,KTT Carpenteria
46.4,0.085,0,KTT Carpenteria
46.5,0.085,0,KTT Carpenteria
46.6,0.085,0,KTT Carpenteria
46.7,0.085,0,KTT Carpenteria
46.6,0.085,0,KTT Carpenteria
46.6,0.085,0,KTT Carpenteria
46.6,0.085,0,KTT Carpenteria
46.6,0.09,0,KTT Carpenteria
46.7,0.09,0,KTT Carpenteria
46.7,0.09,0,KTT Carpenteria
