force,displacement,judge,name
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0,0,KTT Cheese Blue
0,0.005,0,KTT Cheese Blue
0,0.005,0,KTT Cheese Blue
0,0.005,0,KTT Cheese Blue
0,0.005,0,KTT Cheese Blue
0,0.005,0,KTT Cheese Blue
0,0.01,0,KTT Cheese Blue
0,0.01,0,KTT Cheese Blue
0,0.01,0,KTT Cheese Blue
0.1,0.01,0,KTT Cheese Blue
0.1,0.015,0,KTT Cheese Blue
0,0.015,0,KTT Cheese Blue
0,0.015,0,KTT Cheese Blue
0.6,0.015,0,KTT Cheese Blue
1.3,0.015,0,KTT Cheese Blue
2.4,0.02,0,KTT Cheese Blue
3.5,0.02,0,KTT Cheese Blue
4.7,0.02,0,KTT Cheese Blue
6.5,0.02,0,KTT Cheese Blue
8,0.025,0,KTT Cheese Blue
9.2,0.025,0,KTT Cheese Blue
10.2,0.025,0,KTT Cheese Blue
11.3,0.025,0,KTT Cheese Blue
12,0.03,0,KTT Cheese Blue
12.6,0.03,0,KTT Cheese Blue
12.9,0.03,0,KTT Cheese Blue
13.2,0.03,0,KTT Cheese Blue
14.1,0.03,0,KTT Cheese Blue
17.9,0.035,0,KTT Cheese Blue
23.2,0.04,0,KTT Cheese Blue
28.2,0.045,0,KTT Cheese Blue
31.7,0.05,0,KTT Cheese Blue
34.8,0.055,0,KTT Cheese Blue
37,0.06,0,KTT Cheese Blue
37.5,0.06,0,KTT Cheese Blue
37.5,0.065,0,KTT Cheese Blue
37.2,0.065,0,KTT Cheese Blue
37.4,0.07,0,KTT Cheese Blue
37.4,0.075,0,KTT Cheese Blue
37,0.08,0,KTT Cheese Blue
36.8,0.08,0,KTT Cheese Blue
36.7,0.085,0,KTT Cheese Blue
36.9,0.085,0,KTT Cheese Blue
36.8,0.09,0,KTT Cheese Blue
36.8,0.095,0,KTT Cheese Blue
36.5,0.095,0,KTT Cheese Blue
36.3,0.095,0,KTT Cheese Blue
36.5,0.1,0,KTT Cheese Blue
36.4,0.1,0,KTT Cheese Blue
36.6,0.1,0,KTT Cheese Blue
36.7,0.105,0,KTT Cheese Blue
36.7,0.105,0,KTT Cheese Blue
36.6,0.11,0,KTT Cheese Blue
36.5,0.11,0,KTT Cheese Blue
36.6,0.115,0,KTT Cheese Blue
36.6,0.115,0,KTT Cheese Blue
36.5,0.115,0,KTT Cheese Blue
36.5,0.12,0,KTT Cheese Blue
36.5,0.12,0,KTT Cheese Blue
36.5,0.125,0,KTT Cheese Blue
36.5,0.125,0,KTT Cheese Blue
36.7,0.13,0,KTT Cheese Blue
36.7,0.13,0,KTT Cheese Blue
36.7,0.135,0,KTT Cheese Blue
36.7,0.14,0,KTT Cheese Blue
36.7,0.14,0,KTT Cheese Blue
36.7,0.145,0,KTT Cheese Blue
36.7,0.155,0,KTT Cheese Blue
36.6,0.16,0,KTT Cheese Blue
36.7,0.165,0,KTT Cheese Blue
36.9,0.17,0,KTT Cheese Blue
36.9,0.175,0,KTT Cheese Blue
36.8,0.18,0,KTT Cheese Blue
36.6,0.185,0,KTT Cheese Blue
36.6,0.19,0,KTT Cheese Blue
36.5,0.195,0,KTT Cheese Blue
36.5,0.2,0,KTT Cheese Blue
36.5,0.2,0,KTT Cheese Blue
36.6,0.205,0,KTT Cheese Blue
36.6,0.205,0,KTT Cheese Blue
36.6,0.21,0,KTT Cheese Blue
36.7,0.215,0,KTT Cheese Blue
36.8,0.215,0,KTT Cheese Blue
36.8,0.22,0,KTT Cheese Blue
36.8,0.225,0,KTT Cheese Blue
36.8,0.23,0,KTT Cheese Blue
36.8,0.235,0,KTT Cheese Blue
36.8,0.245,0,KTT Cheese Blue
36.9,0.25,0,KTT Cheese Blue
37,0.255,0,KTT Cheese Blue
37,0.26,0,KTT Cheese Blue
37,0.27,0,KTT Cheese Blue
36.9,0.275,0,KTT Cheese Blue
36.8,0.285,0,KTT Cheese Blue
36.7,0.29,0,KTT Cheese Blue
36.9,0.295,0,KTT Cheese Blue
37,0.3,0,KTT Cheese Blue
37,0.31,0,KTT Cheese Blue
37,0.315,0,KTT Cheese Blue
37,0.32,0,KTT Cheese Blue
37,0.33,0,KTT Cheese Blue
36.9,0.335,0,KTT Cheese Blue
36.9,0.34,0,KTT Cheese Blue
37.1,0.345,0,KTT Cheese Blue
37.1,0.35,0,KTT Cheese Blue
37.1,0.355,0,KTT Cheese Blue
37,0.36,0,KTT Cheese Blue
37,0.36,0,KTT Cheese Blue
37,0.365,0,KTT Cheese Blue
37,0.37,0,KTT Cheese Blue
37,0.37,0,KTT Cheese Blue
37,0.375,0,KTT Cheese Blue
37.1,0.38,0,KTT Cheese Blue
37.1,0.38,0,KTT Cheese Blue
37,0.385,0,KTT Cheese Blue
37,0.39,0,KTT Cheese Blue
37.1,0.39,0,KTT Cheese Blue
37.2,0.395,0,KTT Cheese Blue
37.1,0.4,0,KTT Cheese Blue
37.1,0.4,0,KTT Cheese Blue
37,0.405,0,KTT Cheese Blue
37.1,0.41,0,KTT Cheese Blue
37.2,0.41,0,KTT Cheese Blue
37.2,0.415,0,KTT Cheese Blue
37.2,0.415,0,KTT Cheese Blue
37.1,0.42,0,KTT Cheese Blue
37.1,0.42,0,KTT Cheese Blue
37.2,0.425,0,KTT Cheese Blue
37.2,0.425,0,KTT Cheese Blue
37.2,0.43,0,KTT Cheese Blue
37.2,0.43,0,KTT Cheese Blue
37.2,0.435,0,KTT Cheese Blue
37.3,0.435,0,KTT Cheese Blue
37.4,0.44,0,KTT Cheese Blue
37.4,0.44,0,KTT Cheese Blue
37.4,0.445,0,KTT Cheese Blue
37.4,0.445,0,KTT Cheese Blue
37.4,0.45,0,KTT Cheese Blue
37.4,0.45,0,KTT Cheese Blue
37.4,0.455,0,KTT Cheese Blue
37.4,0.455,0,KTT Cheese Blue
37.3,0.46,0,KTT Cheese Blue
37.3,0.465,0,KTT Cheese Blue
37.3,0.465,0,KTT Cheese Blue
37.3,0.47,0,KTT Cheese Blue
37.3,0.47,0,KTT Cheese Blue
37.2,0.475,0,KTT Cheese Blue
37.2,0.475,0,KTT Cheese Blue
37.2,0.475,0,KTT Cheese Blue
37.3,0.48,0,KTT Cheese Blue
37.4,0.48,0,KTT Cheese Blue
37.3,0.485,0,KTT Cheese Blue
37.2,0.49,0,KTT Cheese Blue
37.3,0.49,0,KTT Cheese Blue
37.3,0.495,0,KTT Cheese Blue
37.4,0.495,0,KTT Cheese Blue
37.4,0.5,0,KTT Cheese Blue
37.4,0.5,0,KTT Cheese Blue
37.4,0.505,0,KTT Cheese Blue
37.4,0.505,0,KTT Cheese Blue
37.4,0.51,0,KTT Cheese Blue
37.4,0.51,0,KTT Cheese Blue
37.4,0.51,0,KTT Cheese Blue
37.4,0.515,0,KTT Cheese Blue
37.4,0.515,0,KTT Cheese Blue
37.4,0.52,0,KTT Cheese Blue
37.5,0.52,0,KTT Cheese Blue
37.3,0.52,0,KTT Cheese Blue
37,0.52,0,KTT Cheese Blue
37.3,0.525,0,KTT Cheese Blue
37.5,0.525,0,KTT Cheese Blue
37.6,0.525,0,KTT Cheese Blue
37.5,0.53,0,KTT Cheese Blue
37.3,0.53,0,KTT Cheese Blue
37.2,0.53,0,KTT Cheese Blue
37.2,0.53,0,KTT Cheese Blue
37.2,0.53,0,KTT Cheese Blue
37.3,0.53,0,KTT Cheese Blue
37.4,0.53,0,KTT Cheese Blue
37.3,0.53,0,KTT Cheese Blue
37.3,0.535,0,KTT Cheese Blue
37.3,0.535,0,KTT Cheese Blue
37.1,0.535,0,KTT Cheese Blue
37.1,0.535,0,KTT Cheese Blue
37.1,0.535,0,KTT Cheese Blue
