force,displacement,judge,name
0,0,0,KTT Gold
0,0,0,KTT Gold
0,0,0,KTT Gold
0,0,0,KTT Gold
0,0,0,KTT Gold
0,0,0,KTT Gold
-0.1,0,0,KTT Gold
-0.1,0,0,KTT Gold
0,0,0,KTT Gold
-0.1,0,0,KTT Gold
-0.1,0,0,KTT Gold
0,0,0,KTT Gold
0.1,0,0,KTT Gold
0,0,0,KTT Gold
-0.1,0,0,KTT Gold
-0.1,0,0,KTT Gold
0,0.005,0,KTT Gold
-0.1,0.005,0,KTT Gold
0,0.005,0,KTT Gold
0.1,0.005,0,KTT Gold
0.1,0.005,0,KTT Gold
0,0.01,0,KTT Gold
0,0.01,0,KTT Gold
0,0.015,0,KTT Gold
-0.1,0.02,0,KTT Gold
-0.1,0.02,0,KTT Gold
0,0.025,0,KTT Gold
0.1,0.03,0,KTT Gold
1.8,0.03,0,KTT Gold
3.9,0.035,0,KTT Gold
6,0.035,0,KTT Gold
7.5,0.04,0,KTT Gold
8.7,0.04,0,KTT Gold
9.7,0.045,0,KTT Gold
10.3,0.045,0,KTT Gold
10.8,0.045,0,KTT Gold
11.1,0.05,0,KTT Gold
11.6,0.05,0,KTT Gold
12,0.055,0,KTT Gold
12.6,0.055,0,KTT Gold
13.1,0.055,0,KTT Gold
13.5,0.06,0,KTT Gold
13.9,0.06,0,KTT Gold
14.3,0.06,0,KTT Gold
14.6,0.065,0,KTT Gold
14.7,0.065,0,KTT Gold
14.9,0.065,0,KTT Gold
15.1,0.07,0,KTT Gold
15.4,0.07,0,KTT Gold
15.6,0.07,0,KTT Gold
16,0.07,0,KTT Gold
16.3,0.075,0,KTT Gold
16.5,0.075,0,KTT Gold
16.8,0.075,0,KTT Gold
17.4,0.075,0,KTT Gold
17.7,0.08,0,KTT Gold
18.1,0.08,0,KTT Gold
18.2,0.08,0,KTT Gold
18.3,0.08,0,KTT Gold
18.5,0.085,0,KTT Gold
18.5,0.085,0,KTT Gold
18.6,0.085,0,KTT Gold
19,0.085,0,KTT Gold
20,0.085,0,KTT Gold
20.9,0.085,0,KTT Gold
21.8,0.09,0,KTT Gold
22.8,0.09,0,KTT Gold
23.6,0.09,0,KTT Gold
24.4,0.09,0,KTT Gold
25,0.09,0,KTT Gold
25.8,0.095,0,KTT Gold
26.4,0.095,0,KTT Gold
27.2,0.095,0,KTT Gold
27.8,0.095,0,KTT Gold
28.5,0.095,0,KTT Gold
29.4,0.095,0,KTT Gold
30.3,0.1,0,KTT Gold
31.5,0.1,0,KTT Gold
32.5,0.1,0,KTT Gold
33.4,0.1,0,KTT Gold
34.4,0.1,0,KTT Gold
35.4,0.105,0,KTT Gold
36.4,0.105,0,KTT Gold
37.4,0.105,0,KTT Gold
38.3,0.105,0,KTT Gold
39.5,0.11,0,KTT Gold
39.7,0.11,0,KTT Gold
39.7,0.11,0,KTT Gold
39.6,0.115,0,KTT Gold
39.6,0.115,0,KTT Gold
39.5,0.115,0,KTT Gold
39.5,0.12,0,KTT Gold
39.5,0.12,0,KTT Gold
39.5,0.12,0,KTT Gold
39.5,0.125,0,KTT Gold
39.5,0.125,0,KTT Gold
39.5,0.125,0,KTT Gold
39.5,0.13,0,KTT Gold
39.5,0.13,0,KTT Gold
39.5,0.135,0,KTT Gold
39.5,0.135,0,KTT Gold
39.5,0.135,0,KTT Gold
39.5,0.14,0,KTT Gold
39.6,0.14,0,KTT Gold
39.6,0.145,0,KTT Gold
39.6,0.145,0,KTT Gold
39.6,0.15,0,KTT Gold
39.7,0.15,0,KTT Gold
39.6,0.155,0,KTT Gold
39.7,0.155,0,KTT Gold
39.7,0.16,0,KTT Gold
39.8,0.165,0,KTT Gold
39.8,0.17,0,KTT Gold
39.8,0.17,0,KTT Gold
39.8,0.175,0,KTT Gold
39.8,0.175,0,KTT Gold
39.8,0.18,0,KTT Gold
39.9,0.18,0,KTT Gold
39.9,0.185,0,KTT Gold
39.9,0.185,0,KTT Gold
39.9,0.19,0,KTT Gold
39.9,0.19,0,KTT Gold
39.9,0.195,0,KTT Gold
39.9,0.195,0,KTT Gold
39.9,0.2,0,KTT Gold
39.9,0.2,0,KTT Gold
39.9,0.205,0,KTT Gold
39.9,0.205,0,KTT Gold
40,0.21,0,KTT Gold
40,0.21,0,KTT Gold
40,0.215,0,KTT Gold
40,0.215,0,KTT Gold
40.1,0.22,0,KTT Gold
40,0.22,0,KTT Gold
40.1,0.22,0,KTT Gold
40.1,0.225,0,KTT Gold
40.1,0.225,0,KTT Gold
40.1,0.23,0,KTT Gold
40.1,0.23,0,KTT Gold
40.2,0.235,0,KTT Gold
40.2,0.235,0,KTT Gold
40.2,0.24,0,KTT Gold
40.2,0.24,0,KTT Gold
40.3,0.245,0,KTT Gold
40.3,0.245,0,KTT Gold
40.2,0.25,0,KTT Gold
40.2,0.25,0,KTT Gold
40.3,0.25,0,KTT Gold
40.3,0.255,0,KTT Gold
40.3,0.255,0,KTT Gold
40.3,0.26,0,KTT Gold
40.3,0.26,0,KTT Gold
40.3,0.265,0,KTT Gold
40.4,0.265,0,KTT Gold
40.3,0.265,0,KTT Gold
40.4,0.27,0,KTT Gold
40.4,0.27,0,KTT Gold
40.4,0.27,0,KTT Gold
40.4,0.275,0,KTT Gold
40.4,0.275,0,KTT Gold
40.4,0.275,0,KTT Gold
40.4,0.28,0,KTT Gold
40.4,0.28,0,KTT Gold
40.5,0.28,0,KTT Gold
40.5,0.285,0,KTT Gold
40.6,0.285,0,KTT Gold
40.6,0.29,0,KTT Gold
40.5,0.29,0,KTT Gold
40.5,0.29,0,KTT Gold
40.6,0.295,0,KTT Gold
40.6,0.295,0,KTT Gold
40.6,0.3,0,KTT Gold
40.6,0.3,0,KTT Gold
40.6,0.3,0,KTT Gold
40.6,0.305,0,KTT Gold
40.6,0.305,0,KTT Gold
40.6,0.31,0,KTT Gold
40.6,0.31,0,KTT Gold
40.7,0.315,0,KTT Gold
40.7,0.315,0,KTT Gold
40.7,0.32,0,KTT Gold
40.8,0.325,0,KTT Gold
40.7,0.325,0,KTT Gold
40.8,0.33,0,KTT Gold
40.8,0.335,0,KTT Gold
40.8,0.335,0,KTT Gold
40.8,0.34,0,KTT Gold
40.9,0.345,0,KTT Gold
40.9,0.35,0,KTT Gold
41,0.355,0,KTT Gold
41,0.36,0,KTT Gold
41,0.365,0,KTT Gold
41.1,0.37,0,KTT Gold
41.1,0.37,0,KTT Gold
41.1,0.375,0,KTT Gold
41.1,0.38,0,KTT Gold
41,0.385,0,KTT Gold
41.1,0.385,0,KTT Gold
41.2,0.39,0,KTT Gold
41.1,0.395,0,KTT Gold
41.2,0.4,0,KTT Gold
41.3,0.4,0,KTT Gold
41.4,0.405,0,KTT Gold
41.4,0.41,0,KTT Gold
41.5,0.415,0,KTT Gold
41.6,0.415,0,KTT Gold
41.7,0.42,0,KTT Gold
41.6,0.425,0,KTT Gold
41.6,0.425,0,KTT Gold
41.6,0.43,0,KTT Gold
41.7,0.435,0,KTT Gold
41.7,0.44,0,KTT Gold
41.7,0.44,0,KTT Gold
41.7,0.445,0,KTT Gold
41.8,0.45,0,KTT Gold
41.8,0.45,0,KTT Gold
41.8,0.455,0,KTT Gold
41.8,0.455,0,KTT Gold
41.8,0.46,0,KTT Gold
41.9,0.465,0,KTT Gold
41.8,0.465,0,KTT Gold
41.9,0.47,0,KTT Gold
41.9,0.475,0,KTT Gold
41.9,0.475,0,KTT Gold
41.8,0.475,0,KTT Gold
41.9,0.48,0,KTT Gold
41.9,0.48,0,KTT Gold
41.9,0.485,0,KTT Gold
41.9,0.485,0,KTT Gold
41.9,0.485,0,KTT Gold
41.9,0.49,0,KTT Gold
42,0.49,0,KTT Gold
41.9,0.495,0,KTT Gold
42,0.495,0,KTT Gold
42,0.495,0,KTT Gold
42,0.5,0,KTT Gold
42,0.5,0,KTT Gold
42,0.505,0,KTT Gold
42,0.505,0,KTT Gold
42,0.51,0,KTT Gold
42,0.515,0,KTT Gold
42,0.515,0,KTT Gold
42.1,0.52,0,KTT Gold
42.1,0.52,0,KTT Gold
42.1,0.525,0,KTT Gold
42.1,0.53,0,KTT Gold
42.2,0.53,0,KTT Gold
42.2,0.535,0,KTT Gold
42.2,0.535,0,KTT Gold
42.2,0.54,0,KTT Gold
42.2,0.54,0,KTT Gold
42.2,0.545,0,KTT Gold
42.2,0.55,0,KTT Gold
42.2,0.55,0,KTT Gold
42.3,0.55,0,KTT Gold
42.3,0.555,0,KTT Gold
42.3,0.555,0,KTT Gold
42.3,0.555,0,KTT Gold
42.3,0.56,0,KTT Gold
42.3,0.56,0,KTT Gold
42.4,0.565,0,KTT Gold
42.3,0.565,0,KTT Gold
42.3,0.57,0,KTT Gold
42.4,0.57,0,KTT Gold
42.4,0.575,0,KTT Gold
42.4,0.575,0,KTT Gold
42.4,0.58,0,KTT Gold
