force,displacement,judge,name
0,0,0,KTT Grey Sample
0,0,0,KTT Grey Sample
0,0,0,KTT Grey Sample
0,0,0,KTT Grey Sample
0,0,0,KTT Grey Sample
0,0,0,KTT Grey Sample
-0.4,0,0,KTT Grey Sample
-0.1,0,0,KTT Grey Sample
0.1,0,0,KTT Grey Sample
-0.1,0,0,KTT Grey Sample
0,0,0,KTT Grey Sample
0.2,0,0,KTT Grey Sample
0.1,0,0,KTT Grey Sample
0,0,0,KTT Grey Sample
0,0,0,KTT Grey Sample
0,0.005,0,KTT Grey Sample
-0.1,0.005,0,KTT Grey Sample
0,0.005,0,KTT Grey Sample
0,0.005,0,KTT Grey Sample
0,0.005,0,KTT Grey Sample
0,0.005,0,KTT Grey Sample
0,0.005,0,KTT Grey Sample
0.1,0.01,0,KTT Grey Sample
0,0.01,0,KTT Grey Sample
0,0.01,0,KTT Grey Sample
0,0.01,0,KTT Grey Sample
0,0.015,0,KTT Grey Sample
0,0.015,0,KTT Grey Sample
0,0.015,0,KTT Grey Sample
0,0.015,0,KTT Grey Sample
0,0.015,0,KTT Grey Sample
0,0.02,0,KTT Grey Sample
0,0.02,0,KTT Grey Sample
2.8,0.025,0,KTT Grey Sample
5.5,0.03,0,KTT Grey Sample
7.2,0.03,0,KTT Grey Sample
9.9,0.035,0,KTT Grey Sample
11.6,0.035,0,KTT Grey Sample
13.2,0.035,0,KTT Grey Sample
14.2,0.035,0,KTT Grey Sample
14.9,0.04,0,KTT Grey Sample
15.7,0.04,0,KTT Grey Sample
16.8,0.04,0,KTT Grey Sample
18,0.04,0,KTT Grey Sample
19,0.04,0,KTT Grey Sample
20.1,0.045,0,KTT Grey Sample
21.3,0.045,0,KTT Grey Sample
22.6,0.045,0,KTT Grey Sample
23.5,0.045,0,KTT Grey Sample
24.7,0.05,0,KTT Grey Sample
26.7,0.05,0,KTT Grey Sample
28.4,0.05,0,KTT Grey Sample
29.6,0.055,0,KTT Grey Sample
30.8,0.055,0,KTT Grey Sample
31.9,0.055,0,KTT Grey Sample
33.2,0.055,0,KTT Grey Sample
34.6,0.06,0,KTT Grey Sample
36.3,0.06,0,KTT Grey Sample
37.6,0.06,0,KTT Grey Sample
