force,displacement,judge,name
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0,0,KTT Hyacinth
0,0.005,0,KTT Hyacinth
0,0.005,0,KTT Hyacinth
1.2,0.01,0,KTT Hyacinth
5.3,0.015,0,KTT Hyacinth
9.9,0.02,0,KTT Hyacinth
14.3,0.025,0,KTT Hyacinth
17.4,0.025,0,KTT Hyacinth
20.2,0.03,0,KTT Hyacinth
22.5,0.035,0,KTT Hyacinth
24.6,0.035,0,KTT Hyacinth
26.8,0.04,0,KTT Hyacinth
29.1,0.04,0,KTT Hyacinth
31.6,0.045,0,KTT Hyacinth
34.4,0.045,0,KTT Hyacinth
37.3,0.05,0,KTT Hyacinth
39.8,0.055,0,KTT Hyacinth
40.9,0.055,0,KTT Hyacinth
41.5,0.06,0,KTT Hyacinth
41.5,0.065,0,KTT Hyacinth
41.4,0.07,0,KTT Hyacinth
41.3,0.07,0,KTT Hyacinth
41.2,0.075,0,KTT Hyacinth
41.2,0.075,0,KTT Hyacinth
41.2,0.08,0,KTT Hyacinth
41.2,0.085,0,KTT Hyacinth
41.2,0.085,0,KTT Hyacinth
41.1,0.09,0,KTT Hyacinth
41,0.095,0,KTT Hyacinth
41.1,0.1,0,KTT Hyacinth
40.8,0.105,0,KTT Hyacinth
40.9,0.11,0,KTT Hyacinth
40.8,0.115,0,KTT Hyacinth
40.8,0.12,0,KTT Hyacinth
40.6,0.125,0,KTT Hyacinth
40.6,0.13,0,KTT Hyacinth
40.6,0.135,0,KTT Hyacinth
40.5,0.145,0,KTT Hyacinth
40.3,0.155,0,KTT Hyacinth
40.2,0.16,0,KTT Hyacinth
40.2,0.17,0,KTT Hyacinth
40.1,0.18,0,KTT Hyacinth
40.1,0.185,0,KTT Hyacinth
40.1,0.195,0,KTT Hyacinth
40.1,0.2,0,KTT Hyacinth
40,0.21,0,KTT Hyacinth
40,0.215,0,KTT Hyacinth
40,0.225,0,KTT Hyacinth
40,0.23,0,KTT Hyacinth
39.9,0.235,0,KTT Hyacinth
40,0.24,0,KTT Hyacinth
40.1,0.25,0,KTT Hyacinth
39.8,0.255,0,KTT Hyacinth
39.7,0.26,0,KTT Hyacinth
39.7,0.265,0,KTT Hyacinth
39.8,0.265,0,KTT Hyacinth
39.7,0.27,0,KTT Hyacinth
39.8,0.275,0,KTT Hyacinth
39.8,0.275,0,KTT Hyacinth
39.8,0.28,0,KTT Hyacinth
39.9,0.28,0,KTT Hyacinth
39.9,0.285,0,KTT Hyacinth
39.9,0.29,0,KTT Hyacinth
39.9,0.295,0,KTT Hyacinth
39.9,0.295,0,KTT Hyacinth
39.9,0.3,0,KTT Hyacinth
39.9,0.305,0,KTT Hyacinth
39.9,0.305,0,KTT Hyacinth
40,0.31,0,KTT Hyacinth
40,0.315,0,KTT Hyacinth
39.9,0.315,0,KTT Hyacinth
40,0.32,0,KTT Hyacinth
40,0.325,0,KTT Hyacinth
40,0.33,0,KTT Hyacinth
40,0.33,0,KTT Hyacinth
39.9,0.335,0,KTT Hyacinth
39.9,0.34,0,KTT Hyacinth
39.9,0.345,0,KTT Hyacinth
39.9,0.345,0,KTT Hyacinth
39.9,0.35,0,KTT Hyacinth
39.9,0.35,0,KTT Hyacinth
39.8,0.355,0,KTT Hyacinth
40,0.355,0,KTT Hyacinth
40,0.36,0,KTT Hyacinth
40,0.36,0,KTT Hyacinth
40,0.365,0,KTT Hyacinth
40,0.37,0,KTT Hyacinth
40.1,0.37,0,KTT Hyacinth
40,0.375,0,KTT Hyacinth
40.1,0.38,0,KTT Hyacinth
40.1,0.385,0,KTT Hyacinth
40,0.39,0,KTT Hyacinth
40,0.39,0,KTT Hyacinth
40.1,0.395,0,KTT Hyacinth
40.1,0.4,0,KTT Hyacinth
40.1,0.4,0,KTT Hyacinth
40.1,0.405,0,KTT Hyacinth
40.2,0.405,0,KTT Hyacinth
40.2,0.41,0,KTT Hyacinth
40.2,0.41,0,KTT Hyacinth
40.2,0.415,0,KTT Hyacinth
40.2,0.415,0,KTT Hyacinth
40.2,0.415,0,KTT Hyacinth
40.3,0.42,0,KTT Hyacinth
40.6,0.425,0,KTT Hyacinth
40.5,0.43,0,KTT Hyacinth
40.2,0.435,0,KTT Hyacinth
40.2,0.44,0,KTT Hyacinth
40.1,0.44,0,KTT Hyacinth
40.3,0.445,0,KTT Hyacinth
40.3,0.445,0,KTT Hyacinth
40.4,0.45,0,KTT Hyacinth
40.4,0.45,0,KTT Hyacinth
40.4,0.455,0,KTT Hyacinth
40.4,0.46,0,KTT Hyacinth
40.3,0.46,0,KTT Hyacinth
40.2,0.465,0,KTT Hyacinth
40.3,0.47,0,KTT Hyacinth
40.3,0.47,0,KTT Hyacinth
