force,displacement,judge,name
-0.1,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0.1,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0,0,KTT Light Tone
0,0.005,0,KTT Light Tone
0,0.005,0,KTT Light Tone
0,0.005,0,KTT Light Tone
0,0.005,0,KTT Light Tone
0,0.005,0,KTT Light Tone
0,0.01,0,KTT Light Tone
1.2,0.01,0,KTT Light Tone
2.8,0.01,0,KTT Light Tone
4.2,0.015,0,KTT Light Tone
5.5,0.015,0,KTT Light Tone
6.6,0.015,0,KTT Light Tone
7.8,0.015,0,KTT Light Tone
9.5,0.02,0,KTT Light Tone
11.5,0.02,0,KTT Light Tone
12.8,0.025,0,KTT Light Tone
13.6,0.025,0,KTT Light Tone
14.3,0.025,0,KTT Light Tone
15.1,0.025,0,KTT Light Tone
16.2,0.025,0,KTT Light Tone
17.5,0.03,0,KTT Light Tone
18.5,0.03,0,KTT Light Tone
19.6,0.03,0,KTT Light Tone
20.6,0.03,0,KTT Light Tone
21.8,0.035,0,KTT Light Tone
23.2,0.035,0,KTT Light Tone
23.9,0.035,0,KTT Light Tone
24.7,0.04,0,KTT Light Tone
25.5,0.04,0,KTT Light Tone
26.7,0.04,0,KTT Light Tone
28.1,0.045,0,KTT Light Tone
29.8,0.05,0,KTT Light Tone
30.9,0.05,0,KTT Light Tone
31.6,0.05,0,KTT Light Tone
32,0.055,0,KTT Light Tone
31.9,0.055,0,KTT Light Tone
32,0.055,0,KTT Light Tone
32.3,0.06,0,KTT Light Tone
32.1,0.06,0,KTT Light Tone
32.1,0.065,0,KTT Light Tone
32.1,0.065,0,KTT Light Tone
32.2,0.07,0,KTT Light Tone
32.2,0.07,0,KTT Light Tone
32,0.075,0,KTT Light Tone
32,0.075,0,KTT Light Tone
32.1,0.08,0,KTT Light Tone
32.1,0.085,0,KTT Light Tone
32,0.085,0,KTT Light Tone
31.9,0.09,0,KTT Light Tone
31.9,0.095,0,KTT Light Tone
31.9,0.095,0,KTT Light Tone
31.7,0.1,0,KTT Light Tone
31.7,0.1,0,KTT Light Tone
31.9,0.105,0,KTT Light Tone
31.8,0.11,0,KTT Light Tone
31.7,0.11,0,KTT Light Tone
31.7,0.115,0,KTT Light Tone
31.7,0.12,0,KTT Light Tone
31.7,0.125,0,KTT Light Tone
31.7,0.13,0,KTT Light Tone
31.7,0.13,0,KTT Light Tone
31.7,0.135,0,KTT Light Tone
31.8,0.14,0,KTT Light Tone
31.8,0.145,0,KTT Light Tone
31.8,0.15,0,KTT Light Tone
31.8,0.155,0,KTT Light Tone
31.9,0.155,0,KTT Light Tone
31.9,0.16,0,KTT Light Tone
31.9,0.165,0,KTT Light Tone
31.9,0.17,0,KTT Light Tone
31.8,0.17,0,KTT Light Tone
32,0.175,0,KTT Light Tone
31.9,0.18,0,KTT Light Tone
31.9,0.18,0,KTT Light Tone
32,0.185,0,KTT Light Tone
32.1,0.19,0,KTT Light Tone
32.1,0.2,0,KTT Light Tone
31.9,0.205,0,KTT Light Tone
31.8,0.21,0,KTT Light Tone
31.7,0.215,0,KTT Light Tone
31.7,0.215,0,KTT Light Tone
31.8,0.22,0,KTT Light Tone
31.9,0.22,0,KTT Light Tone
31.9,0.225,0,KTT Light Tone
31.8,0.23,0,KTT Light Tone
32.1,0.235,0,KTT Light Tone
32,0.245,0,KTT Light Tone
32,0.25,0,KTT Light Tone
32,0.255,0,KTT Light Tone
31.7,0.255,0,KTT Light Tone
32,0.26,0,KTT Light Tone
32,0.26,0,KTT Light Tone
32.3,0.265,0,KTT Light Tone
32.2,0.27,0,KTT Light Tone
32.3,0.28,0,KTT Light Tone
32.3,0.285,0,KTT Light Tone
32.3,0.295,0,KTT Light Tone
32,0.3,0,KTT Light Tone
32.1,0.3,0,KTT Light Tone
32.2,0.305,0,KTT Light Tone
32.2,0.31,0,KTT Light Tone
32.1,0.31,0,KTT Light Tone
32.3,0.315,0,KTT Light Tone
32.2,0.32,0,KTT Light Tone
32.3,0.325,0,KTT Light Tone
32.2,0.33,0,KTT Light Tone
32.3,0.335,0,KTT Light Tone
32.2,0.34,0,KTT Light Tone
32.3,0.34,0,KTT Light Tone
32.3,0.345,0,KTT Light Tone
32.4,0.35,0,KTT Light Tone
32.4,0.355,0,KTT Light Tone
32.3,0.355,0,KTT Light Tone
32.4,0.36,0,KTT Light Tone
32.5,0.36,0,KTT Light Tone
32.5,0.365,0,KTT Light Tone
32.5,0.37,0,KTT Light Tone
32.5,0.375,0,KTT Light Tone
32.5,0.375,0,KTT Light Tone
32.5,0.38,0,KTT Light Tone
32.5,0.385,0,KTT Light Tone
32.5,0.39,0,KTT Light Tone
32.5,0.39,0,KTT Light Tone
32.5,0.395,0,KTT Light Tone
32.5,0.395,0,KTT Light Tone
32.5,0.4,0,KTT Light Tone
32.4,0.4,0,KTT Light Tone
32.4,0.405,0,KTT Light Tone
32.6,0.405,0,KTT Light Tone
32.6,0.41,0,KTT Light Tone
32.6,0.41,0,KTT Light Tone
32.6,0.415,0,KTT Light Tone
32.6,0.415,0,KTT Light Tone
32.6,0.42,0,KTT Light Tone
32.6,0.425,0,KTT Light Tone
32.6,0.425,0,KTT Light Tone
32.6,0.43,0,KTT Light Tone
32.7,0.43,0,KTT Light Tone
32.7,0.435,0,KTT Light Tone
32.7,0.44,0,KTT Light Tone
32.8,0.44,0,KTT Light Tone
32.8,0.445,0,KTT Light Tone
32.8,0.45,0,KTT Light Tone
32.7,0.45,0,KTT Light Tone
32.9,0.455,0,KTT Light Tone
32.8,0.46,0,KTT Light Tone
32.8,0.46,0,KTT Light Tone
32.8,0.46,0,KTT Light Tone
33,0.465,0,KTT Light Tone
33,0.47,0,KTT Light Tone
33,0.475,0,KTT Light Tone
32.9,0.475,0,KTT Light Tone
32.8,0.48,0,KTT Light Tone
32.9,0.485,0,KTT Light Tone
32.8,0.485,0,KTT Light Tone
33,0.485,0,KTT Light Tone
33,0.49,0,KTT Light Tone
33,0.495,0,KTT Light Tone
33.1,0.495,0,KTT Light Tone
33.1,0.5,0,KTT Light Tone
33,0.505,0,KTT Light Tone
33,0.505,0,KTT Light Tone
33.1,0.51,0,KTT Light Tone
33.2,0.51,0,KTT Light Tone
33.2,0.515,0,KTT Light Tone
33.3,0.52,0,KTT Light Tone
33.3,0.525,0,KTT Light Tone
33.4,0.525,0,KTT Light Tone
33.5,0.53,0,KTT Light Tone
33.5,0.535,0,KTT Light Tone
33.5,0.54,0,KTT Light Tone
33.5,0.545,0,KTT Light Tone
33.5,0.55,0,KTT Light Tone
33.5,0.555,0,KTT Light Tone
33.6,0.56,0,KTT Light Tone
33.6,0.565,0,KTT Light Tone
33.4,0.57,0,KTT Light Tone
33.5,0.575,0,KTT Light Tone
33.5,0.58,0,KTT Light Tone
33.5,0.58,0,KTT Light Tone
33.5,0.585,0,KTT Light Tone
33.6,0.59,0,KTT Light Tone
33.6,0.59,0,KTT Light Tone
33.5,0.595,0,KTT Light Tone
