force,displacement,judge,name
0.2,0,0,KTT Lightning
0.1,0,0,KTT Lightning
-0.1,0,0,KTT Lightning
-0.4,0,0,KTT Lightning
0,0,0,KTT Lightning
0.2,0,0,KTT Lightning
0.1,0,0,KTT Lightning
-0.1,0,0,KTT Lightning
-0.1,0,0,KTT Lightning
0.1,0,0,KTT Lightning
0.1,0,0,KTT Lightning
-0.1,0,0,KTT Lightning
-0.1,0,0,KTT Lightning
0,0,0,KTT Lightning
0,0,0,KTT Lightning
-0.1,0,0,KTT Lightning
-0.2,0,0,KTT Lightning
0,0,0,KTT Lightning
0,0,0,KTT Lightning
0.1,0,0,KTT Lightning
0,0,0,KTT Lightning
-0.2,0.005,0,KTT Lightning
0,0.005,0,KTT Lightning
1.1,0.01,0,KTT Lightning
3.9,0.01,0,KTT Lightning
6.3,0.015,0,KTT Lightning
8.3,0.015,0,KTT Lightning
9.6,0.02,0,KTT Lightning
10.6,0.02,0,KTT Lightning
11.1,0.02,0,KTT Lightning
12.3,0.02,0,KTT Lightning
13.1,0.02,0,KTT Lightning
14.2,0.025,0,KTT Lightning
15.2,0.025,0,KTT Lightning
16.4,0.025,0,KTT Lightning
17.9,0.025,0,KTT Lightning
19.5,0.03,0,KTT Lightning
21,0.03,0,KTT Lightning
22.7,0.03,0,KTT Lightning
24.8,0.035,0,KTT Lightning
27.4,0.035,0,KTT Lightning
29.7,0.04,0,KTT Lightning
32.7,0.04,0,KTT Lightning
35.7,0.045,0,KTT Lightning
37.9,0.05,0,KTT Lightning
38.3,0.055,0,KTT Lightning
39.1,0.055,0,KTT Lightning
39.7,0.06,0,KTT Lightning
40.2,0.06,0,KTT Lightning
40.6,0.065,0,KTT Lightning
40.7,0.065,0,KTT Lightning
40.7,0.07,0,KTT Lightning
40.7,0.07,0,KTT Lightning
40.7,0.075,0,KTT Lightning
40.8,0.075,0,KTT Lightning
40.7,0.075,0,KTT Lightning
40.9,0.08,0,KTT Lightning
40.9,0.08,0,KTT Lightning
41,0.085,0,KTT Lightning
41,0.085,0,KTT Lightning
41,0.09,0,KTT Lightning
41,0.09,0,KTT Lightning
40.8,0.095,0,KTT Lightning
40.7,0.1,0,KTT Lightning
40.6,0.1,0,KTT Lightning
40.6,0.105,0,KTT Lightning
40.6,0.105,0,KTT Lightning
40.6,0.11,0,KTT Lightning
