force,displacement,judge,name
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0.1,0,0,KTT Low Profile Red
-0.1,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0.1,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
-0.1,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0.1,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0,0,KTT Low Profile Red
0,0.005,0,KTT Low Profile Red
0,0.005,0,KTT Low Profile Red
0,0.005,0,KTT Low Profile Red
0,0.01,0,KTT Low Profile Red
0,0.01,0,KTT Low Profile Red
0,0.01,0,KTT Low Profile Red
0,0.015,0,KTT Low Profile Red
0,0.015,0,KTT Low Profile Red
0,0.015,0,KTT Low Profile Red
0,0.015,0,KTT Low Profile Red
0.1,0.015,0,KTT Low Profile Red
1,0.02,0,KTT Low Profile Red
2,0.02,0,KTT Low Profile Red
2.6,0.02,0,KTT Low Profile Red
2.9,0.025,0,KTT Low Profile Red
3.2,0.025,0,KTT Low Profile Red
3.6,0.025,0,KTT Low Profile Red
4.1,0.025,0,KTT Low Profile Red
4.7,0.025,0,KTT Low Profile Red
5.5,0.025,0,KTT Low Profile Red
6.3,0.03,0,KTT Low Profile Red
7.1,0.03,0,KTT Low Profile Red
7.4,0.03,0,KTT Low Profile Red
7.5,0.03,0,KTT Low Profile Red
7.8,0.03,0,KTT Low Profile Red
8,0.03,0,KTT Low Profile Red
8.1,0.03,0,KTT Low Profile Red
8.3,0.03,0,KTT Low Profile Red
8.4,0.03,0,KTT Low Profile Red
8.7,0.03,0,KTT Low Profile Red
8.8,0.03,0,KTT Low Profile Red
9.1,0.03,0,KTT Low Profile Red
9.4,0.03,0,KTT Low Profile Red
9.9,0.035,0,KTT Low Profile Red
10.5,0.035,0,KTT Low Profile Red
11.3,0.035,0,KTT Low Profile Red
11.8,0.035,0,KTT Low Profile Red
12.3,0.035,0,KTT Low Profile Red
12.9,0.04,0,KTT Low Profile Red
