force,displacement,judge,name
-0.1,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0.1,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
0,0,0,KTT Macaron Green
-0.1,0.005,0,KTT Macaron Green
-0.1,0.005,0,KTT Macaron Green
0,0.005,0,KTT Macaron Green
0,0.005,0,KTT Macaron Green
0,0.005,0,KTT Macaron Green
0,0.01,0,KTT Macaron Green
0,0.01,0,KTT Macaron Green
0,0.01,0,KTT Macaron Green
0,0.015,0,KTT Macaron Green
0,0.015,0,KTT Macaron Green
0.2,0.02,0,KTT Macaron Green
1.3,0.02,0,KTT Macaron Green
2.9,0.025,0,KTT Macaron Green
4.4,0.025,0,KTT Macaron Green
5.7,0.025,0,KTT Macaron Green
6.8,0.025,0,KTT Macaron Green
7.9,0.03,0,KTT Macaron Green
9,0.03,0,KTT Macaron Green
9.9,0.03,0,KTT Macaron Green
11,0.03,0,KTT Macaron Green
12,0.035,0,KTT Macaron Green
12.4,0.035,0,KTT Macaron Green
13,0.035,0,KTT Macaron Green
13.7,0.035,0,KTT Macaron Green
14.6,0.04,0,KTT Macaron Green
16.1,0.04,0,KTT Macaron Green
17.8,0.04,0,KTT Macaron Green
19,0.045,0,KTT Macaron Green
20.2,0.045,0,KTT Macaron Green
21.3,0.045,0,KTT Macaron Green
22.6,0.045,0,KTT Macaron Green
23.3,0.05,0,KTT Macaron Green
23.7,0.05,0,KTT Macaron Green
24.1,0.05,0,KTT Macaron Green
24.5,0.05,0,KTT Macaron Green
24.9,0.05,0,KTT Macaron Green
25.3,0.05,0,KTT Macaron Green
25.8,0.05,0,KTT Macaron Green
26.3,0.05,0,KTT Macaron Green
27.2,0.05,0,KTT Macaron Green
28.3,0.055,0,KTT Macaron Green
29.2,0.055,0,KTT Macaron Green
30.1,0.055,0,KTT Macaron Green
30.7,0.055,0,KTT Macaron Green
31.2,0.055,0,KTT Macaron Green
31.7,0.055,0,KTT Macaron Green
31.9,0.055,0,KTT Macaron Green
32.2,0.055,0,KTT Macaron Green
32.5,0.06,0,KTT Macaron Green
32.9,0.06,0,KTT Macaron Green
33.2,0.06,0,KTT Macaron Green
33.5,0.06,0,KTT Macaron Green
33.7,0.06,0,KTT Macaron Green
33.7,0.06,0,KTT Macaron Green
33.9,0.06,0,KTT Macaron Green
34.1,0.06,0,KTT Macaron Green
34.3,0.06,0,KTT Macaron Green
34.5,0.065,0,KTT Macaron Green
34.7,0.065,0,KTT Macaron Green
35,0.065,0,KTT Macaron Green
35.1,0.065,0,KTT Macaron Green
35.4,0.065,0,KTT Macaron Green
35.6,0.07,0,KTT Macaron Green
35.8,0.07,0,KTT Macaron Green
36.1,0.07,0,KTT Macaron Green
36.2,0.07,0,KTT Macaron Green
36.2,0.07,0,KTT Macaron Green
36.1,0.07,0,KTT Macaron Green
35.9,0.075,0,KTT Macaron Green
35.9,0.075,0,KTT Macaron Green
35.9,0.075,0,KTT Macaron Green
36,0.075,0,KTT Macaron Green
35.9,0.075,0,KTT Macaron Green
36,0.075,0,KTT Macaron Green
36.1,0.08,0,KTT Macaron Green
36.1,0.08,0,KTT Macaron Green
36,0.08,0,KTT Macaron Green
35.8,0.085,0,KTT Macaron Green
35.7,0.085,0,KTT Macaron Green
35.6,0.085,0,KTT Macaron Green
35.9,0.085,0,KTT Macaron Green
36.1,0.085,0,KTT Macaron Green
36.1,0.085,0,KTT Macaron Green
36,0.09,0,KTT Macaron Green
35.8,0.09,0,KTT Macaron Green
36,0.09,0,KTT Macaron Green
35.6,0.09,0,KTT Macaron Green
35.8,0.09,0,KTT Macaron Green
35.8,0.09,0,KTT Macaron Green
35.8,0.09,0,KTT Macaron Green
35.5,0.095,0,KTT Macaron Green
35.7,0.095,0,KTT Macaron Green
35.9,0.095,0,KTT Macaron Green
35.8,0.095,0,KTT Macaron Green
35.9,0.095,0,KTT Macaron Green
36.1,0.095,0,KTT Macaron Green
36,0.095,0,KTT Macaron Green
35.7,0.1,0,KTT Macaron Green
35.8,0.1,0,KTT Macaron Green
35.9,0.105,0,KTT Macaron Green
35.6,0.105,0,KTT Macaron Green
35.7,0.11,0,KTT Macaron Green
35.8,0.115,0,KTT Macaron Green
35.4,0.115,0,KTT Macaron Green
35.3,0.12,0,KTT Macaron Green
35.3,0.12,0,KTT Macaron Green
35.5,0.12,0,KTT Macaron Green
35.5,0.125,0,KTT Macaron Green
35.4,0.125,0,KTT Macaron Green
35.4,0.13,0,KTT Macaron Green
35.3,0.13,0,KTT Macaron Green
35.4,0.135,0,KTT Macaron Green
35.3,0.14,0,KTT Macaron Green
35.3,0.145,0,KTT Macaron Green
35.3,0.15,0,KTT Macaron Green
35.3,0.155,0,KTT Macaron Green
35.3,0.155,0,KTT Macaron Green
35.3,0.16,0,KTT Macaron Green
35.2,0.165,0,KTT Macaron Green
35.2,0.17,0,KTT Macaron Green
35.3,0.175,0,KTT Macaron Green
35.2,0.18,0,KTT Macaron Green
35.1,0.185,0,KTT Macaron Green
35.2,0.19,0,KTT Macaron Green
35.1,0.195,0,KTT Macaron Green
35.2,0.2,0,KTT Macaron Green
35.2,0.2,0,KTT Macaron Green
35.1,0.205,0,KTT Macaron Green
35.2,0.21,0,KTT Macaron Green
35.2,0.215,0,KTT Macaron Green
35.2,0.215,0,KTT Macaron Green
35.2,0.22,0,KTT Macaron Green
35.2,0.225,0,KTT Macaron Green
35.2,0.23,0,KTT Macaron Green
