force,displacement,judge,name
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
-0.1,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0,0,KTT Macaron Pink
0,0.005,0,KTT Macaron Pink
0,0.005,0,KTT Macaron Pink
0,0.005,0,KTT Macaron Pink
0,0.005,0,KTT Macaron Pink
0,0.005,0,KTT Macaron Pink
0,0.01,0,KTT Macaron Pink
0.1,0.01,0,KTT Macaron Pink
0.9,0.01,0,KTT Macaron Pink
1.6,0.01,0,KTT Macaron Pink
2.3,0.01,0,KTT Macaron Pink
2.8,0.01,0,KTT Macaron Pink
3.2,0.015,0,KTT Macaron Pink
3.6,0.015,0,KTT Macaron Pink
4,0.015,0,KTT Macaron Pink
4.4,0.015,0,KTT Macaron Pink
4.9,0.015,0,KTT Macaron Pink
5.6,0.015,0,KTT Macaron Pink
6.2,0.015,0,KTT Macaron Pink
6.8,0.015,0,KTT Macaron Pink
7.4,0.015,0,KTT Macaron Pink
8,0.02,0,KTT Macaron Pink
8.7,0.02,0,KTT Macaron Pink
9.6,0.02,0,KTT Macaron Pink
10.4,0.02,0,KTT Macaron Pink
11.2,0.02,0,KTT Macaron Pink
11.9,0.02,0,KTT Macaron Pink
12.6,0.025,0,KTT Macaron Pink
13.3,0.025,0,KTT Macaron Pink
13.8,0.025,0,KTT Macaron Pink
14.3,0.025,0,KTT Macaron Pink
14.9,0.025,0,KTT Macaron Pink
15.6,0.025,0,KTT Macaron Pink
16.4,0.025,0,KTT Macaron Pink
17.2,0.025,0,KTT Macaron Pink
18.4,0.03,0,KTT Macaron Pink
19.4,0.03,0,KTT Macaron Pink
20.4,0.03,0,KTT Macaron Pink
21.4,0.03,0,KTT Macaron Pink
22.2,0.035,0,KTT Macaron Pink
23,0.035,0,KTT Macaron Pink
23.6,0.035,0,KTT Macaron Pink
24.4,0.035,0,KTT Macaron Pink
25.2,0.035,0,KTT Macaron Pink
26.2,0.035,0,KTT Macaron Pink
27.2,0.04,0,KTT Macaron Pink
28.4,0.04,0,KTT Macaron Pink
29.5,0.04,0,KTT Macaron Pink
30.7,0.04,0,KTT Macaron Pink
31.9,0.045,0,KTT Macaron Pink
32.3,0.045,0,KTT Macaron Pink
32.6,0.045,0,KTT Macaron Pink
33,0.045,0,KTT Macaron Pink
33.4,0.05,0,KTT Macaron Pink
33.8,0.05,0,KTT Macaron Pink
34.1,0.05,0,KTT Macaron Pink
34.5,0.055,0,KTT Macaron Pink
34.9,0.055,0,KTT Macaron Pink
35.2,0.055,0,KTT Macaron Pink
35.6,0.055,0,KTT Macaron Pink
35.9,0.06,0,KTT Macaron Pink
36,0.06,0,KTT Macaron Pink
36,0.065,0,KTT Macaron Pink
35.9,0.065,0,KTT Macaron Pink
35.9,0.065,0,KTT Macaron Pink
35.8,0.07,0,KTT Macaron Pink
35.9,0.07,0,KTT Macaron Pink
35.8,0.075,0,KTT Macaron Pink
35.7,0.075,0,KTT Macaron Pink
35.6,0.08,0,KTT Macaron Pink
35.6,0.085,0,KTT Macaron Pink
35.3,0.09,0,KTT Macaron Pink
35.1,0.095,0,KTT Macaron Pink
35.1,0.1,0,KTT Macaron Pink
35,0.105,0,KTT Macaron Pink
34.9,0.11,0,KTT Macaron Pink
34.8,0.115,0,KTT Macaron Pink
34.7,0.12,0,KTT Macaron Pink
34.7,0.125,0,KTT Macaron Pink
34.6,0.13,0,KTT Macaron Pink
34.5,0.14,0,KTT Macaron Pink
34.5,0.145,0,KTT Macaron Pink
34.6,0.15,0,KTT Macaron Pink
34.6,0.155,0,KTT Macaron Pink
34.4,0.155,0,KTT Macaron Pink
34.4,0.16,0,KTT Macaron Pink
34.3,0.165,0,KTT Macaron Pink
34.4,0.165,0,KTT Macaron Pink
34.4,0.17,0,KTT Macaron Pink
34.4,0.17,0,KTT Macaron Pink
34.2,0.175,0,KTT Macaron Pink
34.2,0.175,0,KTT Macaron Pink
34.2,0.18,0,KTT Macaron Pink
34.1,0.18,0,KTT Macaron Pink
34.3,0.18,0,KTT Macaron Pink
34.4,0.185,0,KTT Macaron Pink
34.4,0.19,0,KTT Macaron Pink
34.4,0.19,0,KTT Macaron Pink
34.6,0.195,0,KTT Macaron Pink
34.6,0.195,0,KTT Macaron Pink
34.6,0.2,0,KTT Macaron Pink
34.4,0.2,0,KTT Macaron Pink
34.4,0.2,0,KTT Macaron Pink
34.5,0.205,0,KTT Macaron Pink
34.5,0.205,0,KTT Macaron Pink
34.4,0.21,0,KTT Macaron Pink
34.4,0.21,0,KTT Macaron Pink
34.5,0.21,0,KTT Macaron Pink
34.5,0.215,0,KTT Macaron Pink
34.5,0.215,0,KTT Macaron Pink
34.5,0.22,0,KTT Macaron Pink
34.6,0.225,0,KTT Macaron Pink
34.7,0.23,0,KTT Macaron Pink
34.7,0.23,0,KTT Macaron Pink
34.7,0.235,0,KTT Macaron Pink
34.7,0.24,0,KTT Macaron Pink
34.8,0.245,0,KTT Macaron Pink
34.9,0.25,0,KTT Macaron Pink
34.7,0.255,0,KTT Macaron Pink
34.8,0.26,0,KTT Macaron Pink
34.8,0.265,0,KTT Macaron Pink
34.9,0.27,0,KTT Macaron Pink
34.9,0.275,0,KTT Macaron Pink
35.1,0.285,0,KTT Macaron Pink
35,0.29,0,KTT Macaron Pink
35.1,0.3,0,KTT Macaron Pink
35.1,0.305,0,KTT Macaron Pink
35.2,0.31,0,KTT Macaron Pink
35.2,0.315,0,KTT Macaron Pink
35.2,0.325,0,KTT Macaron Pink
35.2,0.33,0,KTT Macaron Pink
35.2,0.335,0,KTT Macaron Pink
35.2,0.34,0,KTT Macaron Pink
35.3,0.35,0,KTT Macaron Pink
35.3,0.355,0,KTT Macaron Pink
35.2,0.36,0,KTT Macaron Pink
35.2,0.37,0,KTT Macaron Pink
35.3,0.375,0,KTT Macaron Pink
35.3,0.38,0,KTT Macaron Pink
35.2,0.385,0,KTT Macaron Pink
35.3,0.385,0,KTT Macaron Pink
35.4,0.39,0,KTT Macaron Pink
35.4,0.395,0,KTT Macaron Pink
35.3,0.4,0,KTT Macaron Pink
35.3,0.405,0,KTT Macaron Pink
35.3,0.41,0,KTT Macaron Pink
35.4,0.42,0,KTT Macaron Pink
35.3,0.425,0,KTT Macaron Pink
35.4,0.43,0,KTT Macaron Pink
35.4,0.43,0,KTT Macaron Pink
35.4,0.435,0,KTT Macaron Pink
35.4,0.44,0,KTT Macaron Pink
35.5,0.44,0,KTT Macaron Pink
35.5,0.445,0,KTT Macaron Pink
35.7,0.45,0,KTT Macaron Pink
35.7,0.455,0,KTT Macaron Pink
35.7,0.46,0,KTT Macaron Pink
35.7,0.465,0,KTT Macaron Pink
35.8,0.47,0,KTT Macaron Pink
35.8,0.48,0,KTT Macaron Pink
36,0.485,0,KTT Macaron Pink
36.1,0.495,0,KTT Macaron Pink
36,0.505,0,KTT Macaron Pink
35.9,0.51,0,KTT Macaron Pink
36.1,0.515,0,KTT Macaron Pink
36.2,0.52,0,KTT Macaron Pink
36.3,0.525,0,KTT Macaron Pink
36.4,0.53,0,KTT Macaron Pink
36.4,0.535,0,KTT Macaron Pink
36.5,0.54,0,KTT Macaron Pink
36.6,0.545,0,KTT Macaron Pink
36.5,0.55,0,KTT Macaron Pink
36.5,0.555,0,KTT Macaron Pink
36.6,0.56,0,KTT Macaron Pink
36.6,0.565,0,KTT Macaron Pink
36.6,0.57,0,KTT Macaron Pink
36.6,0.575,0,KTT Macaron Pink
36.6,0.58,0,KTT Macaron Pink
36.6,0.585,0,KTT Macaron Pink
36.7,0.59,0,KTT Macaron Pink
36.7,0.595,0,KTT Macaron Pink
36.7,0.6,0,KTT Macaron Pink
36.7,0.605,0,KTT Macaron Pink
36.8,0.61,0,KTT Macaron Pink
36.8,0.62,0,KTT Macaron Pink
36.8,0.625,0,KTT Macaron Pink
36.8,0.63,0,KTT Macaron Pink
36.9,0.635,0,KTT Macaron Pink
37,0.64,0,KTT Macaron Pink
37.2,0.645,0,KTT Macaron Pink
37.2,0.65,0,KTT Macaron Pink
37.2,0.65,0,KTT Macaron Pink
37.2,0.655,0,KTT Macaron Pink
37.2,0.66,0,KTT Macaron Pink
37.3,0.665,0,KTT Macaron Pink
37.3,0.67,0,KTT Macaron Pink
37.2,0.67,0,KTT Macaron Pink
37.3,0.675,0,KTT Macaron Pink
37.3,0.675,0,KTT Macaron Pink
37.4,0.68,0,KTT Macaron Pink
37.5,0.685,0,KTT Macaron Pink
37.4,0.69,0,KTT Macaron Pink
37.4,0.695,0,KTT Macaron Pink
37.3,0.7,0,KTT Macaron Pink
37.4,0.705,0,KTT Macaron Pink
37.4,0.71,0,KTT Macaron Pink
37.4,0.715,0,KTT Macaron Pink
37.5,0.72,0,KTT Macaron Pink
37.4,0.725,0,KTT Macaron Pink
37.4,0.73,0,KTT Macaron Pink
37.5,0.735,0,KTT Macaron Pink
37.4,0.74,0,KTT Macaron Pink
37.4,0.745,0,KTT Macaron Pink
37.5,0.75,0,KTT Macaron Pink
37.5,0.755,0,KTT Macaron Pink
37.6,0.765,0,KTT Macaron Pink
37.8,0.77,0,KTT Macaron Pink
37.7,0.775,0,KTT Macaron Pink
37.7,0.78,0,KTT Macaron Pink
37.7,0.79,0,KTT Macaron Pink
37.7,0.795,0,KTT Macaron Pink
37.9,0.8,0,KTT Macaron Pink
37.8,0.805,0,KTT Macaron Pink
37.9,0.81,0,KTT Macaron Pink
37.9,0.815,0,KTT Macaron Pink
38,0.825,0,KTT Macaron Pink
38,0.83,0,KTT Macaron Pink
38,0.835,0,KTT Macaron Pink
38.1,0.845,0,KTT Macaron Pink
38.3,0.855,0,KTT Macaron Pink
38.1,0.86,0,KTT Macaron Pink
38.2,0.865,0,KTT Macaron Pink
38.2,0.87,0,KTT Macaron Pink
38.1,0.875,0,KTT Macaron Pink
38.1,0.875,0,KTT Macaron Pink
38.2,0.88,0,KTT Macaron Pink
38.2,0.885,0,KTT Macaron Pink
38.3,0.89,0,KTT Macaron Pink
38.3,0.895,0,KTT Macaron Pink
38.4,0.9,0,KTT Macaron Pink
38.4,0.905,0,KTT Macaron Pink
38.3,0.91,0,KTT Macaron Pink
38.4,0.915,0,KTT Macaron Pink
38.3,0.92,0,KTT Macaron Pink
38.4,0.925,0,KTT Macaron Pink
38.3,0.93,0,KTT Macaron Pink
38.4,0.935,0,KTT Macaron Pink
38.5,0.935,0,KTT Macaron Pink
38.6,0.94,0,KTT Macaron Pink
38.5,0.945,0,KTT Macaron Pink
38.6,0.95,0,KTT Macaron Pink
38.6,0.95,0,KTT Macaron Pink
38.6,0.96,0,KTT Macaron Pink
38.7,0.965,0,KTT Macaron Pink
38.7,0.97,0,KTT Macaron Pink
38.8,0.975,0,KTT Macaron Pink
38.8,0.985,0,KTT Macaron Pink
38.7,0.985,0,KTT Macaron Pink
38.8,0.99,0,KTT Macaron Pink
38.8,0.995,0,KTT Macaron Pink
38.8,1,0,KTT Macaron Pink
38.8,1.005,0,KTT Macaron Pink
38.8,1.01,0,KTT Macaron Pink
38.9,1.015,0,KTT Macaron Pink
38.9,1.02,0,KTT Macaron Pink
38.8,1.02,0,KTT Macaron Pink
38.8,1.025,0,KTT Macaron Pink
38.8,1.03,0,KTT Macaron Pink
38.8,1.03,0,KTT Macaron Pink
38.8,1.035,0,KTT Macaron Pink
38.8,1.035,0,KTT Macaron Pink
38.8,1.04,0,KTT Macaron Pink
38.9,1.045,0,KTT Macaron Pink
38.9,1.045,0,KTT Macaron Pink
38.9,1.05,0,KTT Macaron Pink
38.9,1.055,0,KTT Macaron Pink
39,1.055,0,KTT Macaron Pink
39.1,1.06,0,KTT Macaron Pink
39,1.06,0,KTT Macaron Pink
39.1,1.065,0,KTT Macaron Pink
39,1.065,0,KTT Macaron Pink
39,1.07,0,KTT Macaron Pink
38.9,1.07,0,KTT Macaron Pink
39,1.075,0,KTT Macaron Pink
39,1.075,0,KTT Macaron Pink
