force,displacement,judge,name
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0,0,KTT Macaron Yellow
0,0.005,0,KTT Macaron Yellow
0,0.005,0,KTT Macaron Yellow
0.1,0.005,0,KTT Macaron Yellow
-0.1,0.005,0,KTT Macaron Yellow
0,0.005,0,KTT Macaron Yellow
0,0.005,0,KTT Macaron Yellow
0,0.005,0,KTT Macaron Yellow
0,0.01,0,KTT Macaron Yellow
0,0.01,0,KTT Macaron Yellow
0,0.01,0,KTT Macaron Yellow
0,0.01,0,KTT Macaron Yellow
0,0.015,0,KTT Macaron Yellow
0.7,0.015,0,KTT Macaron Yellow
3,0.015,0,KTT Macaron Yellow
5.4,0.02,0,KTT Macaron Yellow
7.3,0.02,0,KTT Macaron Yellow
8.7,0.025,0,KTT Macaron Yellow
9.3,0.025,0,KTT Macaron Yellow
10,0.025,0,KTT Macaron Yellow
10.5,0.025,0,KTT Macaron Yellow
11.2,0.025,0,KTT Macaron Yellow
11.7,0.025,0,KTT Macaron Yellow
11.8,0.025,0,KTT Macaron Yellow
11.7,0.025,0,KTT Macaron Yellow
12,0.025,0,KTT Macaron Yellow
12.5,0.025,0,KTT Macaron Yellow
13.1,0.025,0,KTT Macaron Yellow
13.5,0.03,0,KTT Macaron Yellow
14.1,0.03,0,KTT Macaron Yellow
14.7,0.03,0,KTT Macaron Yellow
15.1,0.03,0,KTT Macaron Yellow
16,0.03,0,KTT Macaron Yellow
16.9,0.03,0,KTT Macaron Yellow
18.1,0.03,0,KTT Macaron Yellow
19.3,0.035,0,KTT Macaron Yellow
20.7,0.035,0,KTT Macaron Yellow
21.9,0.035,0,KTT Macaron Yellow
23.3,0.04,0,KTT Macaron Yellow
24.7,0.04,0,KTT Macaron Yellow
25.7,0.04,0,KTT Macaron Yellow
26.5,0.04,0,KTT Macaron Yellow
27.3,0.045,0,KTT Macaron Yellow
28.2,0.045,0,KTT Macaron Yellow
29,0.045,0,KTT Macaron Yellow
29.6,0.045,0,KTT Macaron Yellow
30.5,0.045,0,KTT Macaron Yellow
31.5,0.05,0,KTT Macaron Yellow
32.4,0.05,0,KTT Macaron Yellow
33.3,0.05,0,KTT Macaron Yellow
33.6,0.055,0,KTT Macaron Yellow
33.9,0.055,0,KTT Macaron Yellow
34.2,0.055,0,KTT Macaron Yellow
34.1,0.055,0,KTT Macaron Yellow
34.3,0.06,0,KTT Macaron Yellow
34.4,0.06,0,KTT Macaron Yellow
34.5,0.06,0,KTT Macaron Yellow
34.5,0.06,0,KTT Macaron Yellow
34.4,0.06,0,KTT Macaron Yellow
34.5,0.065,0,KTT Macaron Yellow
34.7,0.065,0,KTT Macaron Yellow
34.7,0.065,0,KTT Macaron Yellow
34.8,0.07,0,KTT Macaron Yellow
35,0.07,0,KTT Macaron Yellow
34.9,0.075,0,KTT Macaron Yellow
34.9,0.08,0,KTT Macaron Yellow
34.9,0.085,0,KTT Macaron Yellow
34.7,0.085,0,KTT Macaron Yellow
34.7,0.09,0,KTT Macaron Yellow
34.6,0.09,0,KTT Macaron Yellow
34.6,0.095,0,KTT Macaron Yellow
34.6,0.095,0,KTT Macaron Yellow
34.5,0.1,0,KTT Macaron Yellow
34.4,0.1,0,KTT Macaron Yellow
34.4,0.105,0,KTT Macaron Yellow
34.5,0.105,0,KTT Macaron Yellow
34.4,0.11,0,KTT Macaron Yellow
34.4,0.11,0,KTT Macaron Yellow
34.4,0.115,0,KTT Macaron Yellow
34.3,0.115,0,KTT Macaron Yellow
34.3,0.12,0,KTT Macaron Yellow
34.3,0.125,0,KTT Macaron Yellow
34.3,0.125,0,KTT Macaron Yellow
34.1,0.13,0,KTT Macaron Yellow
34.3,0.13,0,KTT Macaron Yellow
34.2,0.135,0,KTT Macaron Yellow
34.1,0.135,0,KTT Macaron Yellow
34,0.14,0,KTT Macaron Yellow
34,0.145,0,KTT Macaron Yellow
34,0.145,0,KTT Macaron Yellow
34,0.15,0,KTT Macaron Yellow
34,0.15,0,KTT Macaron Yellow
34,0.155,0,KTT Macaron Yellow
34,0.155,0,KTT Macaron Yellow
34,0.16,0,KTT Macaron Yellow
34,0.16,0,KTT Macaron Yellow
34.1,0.165,0,KTT Macaron Yellow
34.1,0.165,0,KTT Macaron Yellow
34,0.17,0,KTT Macaron Yellow
34,0.175,0,KTT Macaron Yellow
34,0.175,0,KTT Macaron Yellow
34,0.18,0,KTT Macaron Yellow
33.9,0.18,0,KTT Macaron Yellow
33.9,0.18,0,KTT Macaron Yellow
33.9,0.185,0,KTT Macaron Yellow
34.1,0.185,0,KTT Macaron Yellow
34.1,0.19,0,KTT Macaron Yellow
34.2,0.195,0,KTT Macaron Yellow
34.2,0.195,0,KTT Macaron Yellow
34.2,0.2,0,KTT Macaron Yellow
34.2,0.205,0,KTT Macaron Yellow
34.2,0.205,0,KTT Macaron Yellow
34.2,0.21,0,KTT Macaron Yellow
34.2,0.215,0,KTT Macaron Yellow
34.2,0.215,0,KTT Macaron Yellow
34.2,0.215,0,KTT Macaron Yellow
34.2,0.22,0,KTT Macaron Yellow
34.2,0.22,0,KTT Macaron Yellow
34.2,0.22,0,KTT Macaron Yellow
34.2,0.225,0,KTT Macaron Yellow
34.2,0.225,0,KTT Macaron Yellow
34.3,0.23,0,KTT Macaron Yellow
34.3,0.23,0,KTT Macaron Yellow
34.2,0.235,0,KTT Macaron Yellow
34.1,0.24,0,KTT Macaron Yellow
34.2,0.24,0,KTT Macaron Yellow
34.3,0.245,0,KTT Macaron Yellow
34.3,0.245,0,KTT Macaron Yellow
34.3,0.25,0,KTT Macaron Yellow
34.3,0.25,0,KTT Macaron Yellow
34.3,0.255,0,KTT Macaron Yellow
34.3,0.26,0,KTT Macaron Yellow
34.2,0.26,0,KTT Macaron Yellow
34.2,0.265,0,KTT Macaron Yellow
34.2,0.27,0,KTT Macaron Yellow
34.2,0.275,0,KTT Macaron Yellow
34.2,0.275,0,KTT Macaron Yellow
34.2,0.28,0,KTT Macaron Yellow
34.2,0.28,0,KTT Macaron Yellow
34.3,0.28,0,KTT Macaron Yellow
34.4,0.285,0,KTT Macaron Yellow
34.5,0.285,0,KTT Macaron Yellow
34.6,0.29,0,KTT Macaron Yellow
34.5,0.295,0,KTT Macaron Yellow
34.4,0.295,0,KTT Macaron Yellow
34.5,0.3,0,KTT Macaron Yellow
34.5,0.3,0,KTT Macaron Yellow
34.6,0.305,0,KTT Macaron Yellow
34.3,0.305,0,KTT Macaron Yellow
34.5,0.305,0,KTT Macaron Yellow
34.5,0.31,0,KTT Macaron Yellow
34.6,0.31,0,KTT Macaron Yellow
34.6,0.315,0,KTT Macaron Yellow
34.6,0.315,0,KTT Macaron Yellow
34.6,0.32,0,KTT Macaron Yellow
34.7,0.32,0,KTT Macaron Yellow
34.6,0.32,0,KTT Macaron Yellow
34.7,0.325,0,KTT Macaron Yellow
34.8,0.325,0,KTT Macaron Yellow
34.8,0.33,0,KTT Macaron Yellow
34.8,0.335,0,KTT Macaron Yellow
34.8,0.34,0,KTT Macaron Yellow
34.8,0.345,0,KTT Macaron Yellow
34.8,0.35,0,KTT Macaron Yellow
34.9,0.35,0,KTT Macaron Yellow
34.9,0.355,0,KTT Macaron Yellow
34.9,0.355,0,KTT Macaron Yellow
34.9,0.36,0,KTT Macaron Yellow
34.9,0.36,0,KTT Macaron Yellow
35,0.365,0,KTT Macaron Yellow
35.1,0.37,0,KTT Macaron Yellow
35.1,0.37,0,KTT Macaron Yellow
35.1,0.375,0,KTT Macaron Yellow
35.1,0.375,0,KTT Macaron Yellow
35.1,0.38,0,KTT Macaron Yellow
35.1,0.385,0,KTT Macaron Yellow
35.1,0.385,0,KTT Macaron Yellow
35.2,0.39,0,KTT Macaron Yellow
35.2,0.395,0,KTT Macaron Yellow
35.2,0.4,0,KTT Macaron Yellow
35.2,0.405,0,KTT Macaron Yellow
35.2,0.405,0,KTT Macaron Yellow
35.2,0.41,0,KTT Macaron Yellow
35.3,0.415,0,KTT Macaron Yellow
35.3,0.42,0,KTT Macaron Yellow
35.2,0.425,0,KTT Macaron Yellow
35.3,0.43,0,KTT Macaron Yellow
35.3,0.435,0,KTT Macaron Yellow
35.4,0.44,0,KTT Macaron Yellow
35.3,0.445,0,KTT Macaron Yellow
35.3,0.455,0,KTT Macaron Yellow
35.5,0.46,0,KTT Macaron Yellow
35.5,0.465,0,KTT Macaron Yellow
35.4,0.47,0,KTT Macaron Yellow
35.5,0.47,0,KTT Macaron Yellow
35.5,0.475,0,KTT Macaron Yellow
35.5,0.475,0,KTT Macaron Yellow
35.5,0.48,0,KTT Macaron Yellow
35.5,0.48,0,KTT Macaron Yellow
35.6,0.485,0,KTT Macaron Yellow
35.6,0.485,0,KTT Macaron Yellow
35.6,0.49,0,KTT Macaron Yellow
35.5,0.495,0,KTT Macaron Yellow
35.6,0.5,0,KTT Macaron Yellow
35.6,0.505,0,KTT Macaron Yellow
35.5,0.505,0,KTT Macaron Yellow
35.5,0.51,0,KTT Macaron Yellow
35.5,0.51,0,KTT Macaron Yellow
35.5,0.515,0,KTT Macaron Yellow
35.5,0.515,0,KTT Macaron Yellow
35.5,0.52,0,KTT Macaron Yellow
35.6,0.52,0,KTT Macaron Yellow
35.6,0.525,0,KTT Macaron Yellow
35.7,0.53,0,KTT Macaron Yellow
35.6,0.535,0,KTT Macaron Yellow
35.5,0.535,0,KTT Macaron Yellow
35.5,0.54,0,KTT Macaron Yellow
35.6,0.54,0,KTT Macaron Yellow
35.7,0.545,0,KTT Macaron Yellow
35.6,0.545,0,KTT Macaron Yellow
35.6,0.55,0,KTT Macaron Yellow
35.7,0.55,0,KTT Macaron Yellow
35.7,0.555,0,KTT Macaron Yellow
35.7,0.555,0,KTT Macaron Yellow
35.6,0.56,0,KTT Macaron Yellow
35.6,0.56,0,KTT Macaron Yellow
35.6,0.56,0,KTT Macaron Yellow
35.7,0.565,0,KTT Macaron Yellow
35.7,0.565,0,KTT Macaron Yellow
35.7,0.565,0,KTT Macaron Yellow
35.8,0.57,0,KTT Macaron Yellow
35.8,0.57,0,KTT Macaron Yellow
35.7,0.57,0,KTT Macaron Yellow
35.6,0.575,0,KTT Macaron Yellow
35.6,0.575,0,KTT Macaron Yellow
35.7,0.575,0,KTT Macaron Yellow
35.7,0.575,0,KTT Macaron Yellow
35.8,0.58,0,KTT Macaron Yellow
35.8,0.58,0,KTT Macaron Yellow
35.8,0.58,0,KTT Macaron Yellow
35.8,0.58,0,KTT Macaron Yellow
35.8,0.585,0,KTT Macaron Yellow
35.8,0.585,0,KTT Macaron Yellow
35.9,0.585,0,KTT Macaron Yellow
35.9,0.585,0,KTT Macaron Yellow
35.9,0.59,0,KTT Macaron Yellow
35.9,0.59,0,KTT Macaron Yellow
35.9,0.59,0,KTT Macaron Yellow
35.9,0.595,0,KTT Macaron Yellow
35.9,0.595,0,KTT Macaron Yellow
36,0.595,0,KTT Macaron Yellow
36,0.6,0,KTT Macaron Yellow
36,0.6,0,KTT Macaron Yellow
35.9,0.605,0,KTT Macaron Yellow
35.9,0.605,0,KTT Macaron Yellow
35.9,0.61,0,KTT Macaron Yellow
35.9,0.61,0,KTT Macaron Yellow
35.7,0.61,0,KTT Macaron Yellow
35.7,0.61,0,KTT Macaron Yellow
35.7,0.61,0,KTT Macaron Yellow
35.7,0.61,0,KTT Macaron Yellow
35.8,0.61,0,KTT Macaron Yellow
35.5,0.61,0,KTT Macaron Yellow
35.7,0.615,0,KTT Macaron Yellow
35.9,0.615,0,KTT Macaron Yellow
35.6,0.615,0,KTT Macaron Yellow
35.9,0.615,0,KTT Macaron Yellow
35.7,0.615,0,KTT Macaron Yellow
35.9,0.615,0,KTT Macaron Yellow
35.9,0.615,0,KTT Macaron Yellow
35.9,0.62,0,KTT Macaron Yellow
36,0.62,0,KTT Macaron Yellow
36,0.62,0,KTT Macaron Yellow
35.9,0.625,0,KTT Macaron Yellow
35.7,0.625,0,KTT Macaron Yellow
35.7,0.625,0,KTT Macaron Yellow
35.9,0.625,0,KTT Macaron Yellow
35.9,0.625,0,KTT Macaron Yellow
36,0.63,0,KTT Macaron Yellow
36,0.63,0,KTT Macaron Yellow
36,0.635,0,KTT Macaron Yellow
35.9,0.635,0,KTT Macaron Yellow
35.9,0.635,0,KTT Macaron Yellow
36,0.635,0,KTT Macaron Yellow
36.1,0.64,0,KTT Macaron Yellow
35.9,0.64,0,KTT Macaron Yellow
36,0.64,0,KTT Macaron Yellow
36.1,0.64,0,KTT Macaron Yellow
36,0.64,0,KTT Macaron Yellow
36.1,0.645,0,KTT Macaron Yellow
36.1,0.645,0,KTT Macaron Yellow
36.2,0.645,0,KTT Macaron Yellow
36.2,0.645,0,KTT Macaron Yellow
36.4,0.65,0,KTT Macaron Yellow
36.3,0.655,0,KTT Macaron Yellow
36.2,0.66,0,KTT Macaron Yellow
36.3,0.66,0,KTT Macaron Yellow
36.4,0.665,0,KTT Macaron Yellow
36.3,0.67,0,KTT Macaron Yellow
36.1,0.67,0,KTT Macaron Yellow
36.2,0.675,0,KTT Macaron Yellow
36.3,0.675,0,KTT Macaron Yellow
36.3,0.675,0,KTT Macaron Yellow
36.4,0.68,0,KTT Macaron Yellow
36.5,0.68,0,KTT Macaron Yellow
36.4,0.68,0,KTT Macaron Yellow
36.5,0.685,0,KTT Macaron Yellow
36.6,0.685,0,KTT Macaron Yellow
36.6,0.69,0,KTT Macaron Yellow
36.6,0.695,0,KTT Macaron Yellow
36.5,0.695,0,KTT Macaron Yellow
36.6,0.7,0,KTT Macaron Yellow
36.6,0.705,0,KTT Macaron Yellow
36.6,0.71,0,KTT Macaron Yellow
36.4,0.715,0,KTT Macaron Yellow
36.4,0.72,0,KTT Macaron Yellow
36.6,0.72,0,KTT Macaron Yellow
36.6,0.725,0,KTT Macaron Yellow
36.6,0.73,0,KTT Macaron Yellow
36.5,0.74,0,KTT Macaron Yellow
36.6,0.745,0,KTT Macaron Yellow
36.7,0.755,0,KTT Macaron Yellow
36.7,0.765,0,KTT Macaron Yellow
36.7,0.77,0,KTT Macaron Yellow
36.8,0.78,0,KTT Macaron Yellow
36.9,0.79,0,KTT Macaron Yellow
36.9,0.8,0,KTT Macaron Yellow
36.9,0.81,0,KTT Macaron Yellow
36.9,0.815,0,KTT Macaron Yellow
37,0.825,0,KTT Macaron Yellow
37,0.83,0,KTT Macaron Yellow
36.9,0.835,0,KTT Macaron Yellow
37.1,0.84,0,KTT Macaron Yellow
37.1,0.845,0,KTT Macaron Yellow
37.2,0.855,0,KTT Macaron Yellow
37.2,0.86,0,KTT Macaron Yellow
37.2,0.87,0,KTT Macaron Yellow
37.3,0.88,0,KTT Macaron Yellow
37.3,0.89,0,KTT Macaron Yellow
37.4,0.895,0,KTT Macaron Yellow
37.5,0.9,0,KTT Macaron Yellow
37.5,0.91,0,KTT Macaron Yellow
37.5,0.915,0,KTT Macaron Yellow
37.4,0.92,0,KTT Macaron Yellow
37.2,0.925,0,KTT Macaron Yellow
37.1,0.925,0,KTT Macaron Yellow
37.1,0.93,0,KTT Macaron Yellow
37.3,0.93,0,KTT Macaron Yellow
37.3,0.935,0,KTT Macaron Yellow
37.4,0.94,0,KTT Macaron Yellow
37.3,0.945,0,KTT Macaron Yellow
37.3,0.945,0,KTT Macaron Yellow
37.4,0.95,0,KTT Macaron Yellow
37.4,0.955,0,KTT Macaron Yellow
37.4,0.96,0,KTT Macaron Yellow
37.4,0.965,0,KTT Macaron Yellow
37.4,0.97,0,KTT Macaron Yellow
37.4,0.975,0,KTT Macaron Yellow
37.3,0.98,0,KTT Macaron Yellow
37.3,0.985,0,KTT Macaron Yellow
37.4,0.985,0,KTT Macaron Yellow
37.4,0.99,0,KTT Macaron Yellow
37.3,0.995,0,KTT Macaron Yellow
37.4,1,0,KTT Macaron Yellow
37.3,1,0,KTT Macaron Yellow
37.4,1,0,KTT Macaron Yellow
37.3,1.005,0,KTT Macaron Yellow
37.5,1.005,0,KTT Macaron Yellow
37.6,1.005,0,KTT Macaron Yellow
37.6,1.01,0,KTT Macaron Yellow
37.6,1.015,0,KTT Macaron Yellow
37.7,1.015,0,KTT Macaron Yellow
37.7,1.02,0,KTT Macaron Yellow
37.7,1.025,0,KTT Macaron Yellow
37.8,1.025,0,KTT Macaron Yellow
37.9,1.03,0,KTT Macaron Yellow
38,1.035,0,KTT Macaron Yellow
38.1,1.04,0,KTT Macaron Yellow
38.1,1.045,0,KTT Macaron Yellow
38.1,1.055,0,KTT Macaron Yellow
38,1.06,0,KTT Macaron Yellow
38,1.065,0,KTT Macaron Yellow
38.1,1.07,0,KTT Macaron Yellow
38.1,1.08,0,KTT Macaron Yellow
38.1,1.085,0,KTT Macaron Yellow
38,1.09,0,KTT Macaron Yellow
38,1.095,0,KTT Macaron Yellow
38,1.1,0,KTT Macaron Yellow
38.1,1.1,0,KTT Macaron Yellow
38.1,1.105,0,KTT Macaron Yellow
38.1,1.105,0,KTT Macaron Yellow
38.1,1.11,0,KTT Macaron Yellow
38,1.115,0,KTT Macaron Yellow
38.1,1.115,0,KTT Macaron Yellow
38.2,1.12,0,KTT Macaron Yellow
38.2,1.12,0,KTT Macaron Yellow
38.2,1.125,0,KTT Macaron Yellow
38.2,1.13,0,KTT Macaron Yellow
38.3,1.135,0,KTT Macaron Yellow
38.4,1.14,0,KTT Macaron Yellow
38.4,1.145,0,KTT Macaron Yellow
38.5,1.155,0,KTT Macaron Yellow
38.5,1.16,0,KTT Macaron Yellow
38.6,1.165,0,KTT Macaron Yellow
38.6,1.175,0,KTT Macaron Yellow
38.7,1.18,0,KTT Macaron Yellow
38.8,1.19,0,KTT Macaron Yellow
38.9,1.2,0,KTT Macaron Yellow
38.9,1.21,0,KTT Macaron Yellow
39,1.225,0,KTT Macaron Yellow
38.9,1.235,0,KTT Macaron Yellow
38.9,1.24,0,KTT Macaron Yellow
38.8,1.245,0,KTT Macaron Yellow
38.8,1.25,0,KTT Macaron Yellow
38.8,1.255,0,KTT Macaron Yellow
38.8,1.26,0,KTT Macaron Yellow
38.7,1.265,0,KTT Macaron Yellow
38.8,1.27,0,KTT Macaron Yellow
38.8,1.275,0,KTT Macaron Yellow
38.8,1.28,0,KTT Macaron Yellow
38.8,1.28,0,KTT Macaron Yellow
38.9,1.285,0,KTT Macaron Yellow
39,1.285,0,KTT Macaron Yellow
39,1.29,0,KTT Macaron Yellow
38.9,1.295,0,KTT Macaron Yellow
38.9,1.295,0,KTT Macaron Yellow
38.9,1.3,0,KTT Macaron Yellow
38.9,1.3,0,KTT Macaron Yellow
39,1.305,0,KTT Macaron Yellow
39.1,1.305,0,KTT Macaron Yellow
39.1,1.305,0,KTT Macaron Yellow
39.1,1.31,0,KTT Macaron Yellow
39.1,1.315,0,KTT Macaron Yellow
39.1,1.315,0,KTT Macaron Yellow
39.1,1.32,0,KTT Macaron Yellow
39,1.32,0,KTT Macaron Yellow
39.1,1.325,0,KTT Macaron Yellow
39.1,1.325,0,KTT Macaron Yellow
39.2,1.33,0,KTT Macaron Yellow
39.3,1.335,0,KTT Macaron Yellow
39.2,1.335,0,KTT Macaron Yellow
39.2,1.34,0,KTT Macaron Yellow
39.2,1.34,0,KTT Macaron Yellow
39.3,1.345,0,KTT Macaron Yellow
39.3,1.345,0,KTT Macaron Yellow
39.4,1.345,0,KTT Macaron Yellow
39.4,1.35,0,KTT Macaron Yellow
39.3,1.355,0,KTT Macaron Yellow
39.3,1.355,0,KTT Macaron Yellow
39.4,1.36,0,KTT Macaron Yellow
39.4,1.365,0,KTT Macaron Yellow
39.4,1.37,0,KTT Macaron Yellow
39.4,1.37,0,KTT Macaron Yellow
39.5,1.375,0,KTT Macaron Yellow
39.5,1.38,0,KTT Macaron Yellow
39.5,1.385,0,KTT Macaron Yellow
39.4,1.39,0,KTT Macaron Yellow
39.3,1.395,0,KTT Macaron Yellow
39.2,1.4,0,KTT Macaron Yellow
39.2,1.4,0,KTT Macaron Yellow
39.3,1.405,0,KTT Macaron Yellow
39.4,1.41,0,KTT Macaron Yellow
39.4,1.41,0,KTT Macaron Yellow
39.3,1.415,0,KTT Macaron Yellow
39.2,1.42,0,KTT Macaron Yellow
39.3,1.42,0,KTT Macaron Yellow
39.4,1.425,0,KTT Macaron Yellow
39.4,1.43,0,KTT Macaron Yellow
39.4,1.43,0,KTT Macaron Yellow
39.3,1.435,0,KTT Macaron Yellow
39.4,1.44,0,KTT Macaron Yellow
39.4,1.44,0,KTT Macaron Yellow
39.4,1.445,0,KTT Macaron Yellow
39.5,1.445,0,KTT Macaron Yellow
39.5,1.45,0,KTT Macaron Yellow
39.5,1.455,0,KTT Macaron Yellow
39.5,1.455,0,KTT Macaron Yellow
39.5,1.46,0,KTT Macaron Yellow
39.5,1.46,0,KTT Macaron Yellow
39.5,1.465,0,KTT Macaron Yellow
39.6,1.465,0,KTT Macaron Yellow
39.7,1.47,0,KTT Macaron Yellow
39.6,1.47,0,KTT Macaron Yellow
39.6,1.475,0,KTT Macaron Yellow
39.6,1.475,0,KTT Macaron Yellow
39.7,1.48,0,KTT Macaron Yellow
39.7,1.48,0,KTT Macaron Yellow
39.8,1.485,0,KTT Macaron Yellow
39.8,1.485,0,KTT Macaron Yellow
39.7,1.49,0,KTT Macaron Yellow
39.8,1.49,0,KTT Macaron Yellow
39.7,1.495,0,KTT Macaron Yellow
39.8,1.495,0,KTT Macaron Yellow
39.8,1.5,0,KTT Macaron Yellow
39.8,1.5,0,KTT Macaron Yellow
39.9,1.505,0,KTT Macaron Yellow
39.9,1.51,0,KTT Macaron Yellow
39.8,1.515,0,KTT Macaron Yellow
39.8,1.52,0,KTT Macaron Yellow
40,1.52,0,KTT Macaron Yellow
40,1.525,0,KTT Macaron Yellow
40.1,1.53,0,KTT Macaron Yellow
40.1,1.535,0,KTT Macaron Yellow
40,1.54,0,KTT Macaron Yellow
40,1.545,0,KTT Macaron Yellow
40,1.545,0,KTT Macaron Yellow
40,1.55,0,KTT Macaron Yellow
40.1,1.555,0,KTT Macaron Yellow
40.1,1.56,0,KTT Macaron Yellow
40.2,1.565,0,KTT Macaron Yellow
40.1,1.57,0,KTT Macaron Yellow
40.1,1.57,0,KTT Macaron Yellow
40.2,1.575,0,KTT Macaron Yellow
40.3,1.58,0,KTT Macaron Yellow
40.3,1.58,0,KTT Macaron Yellow
40.2,1.585,0,KTT Macaron Yellow
40.1,1.59,0,KTT Macaron Yellow
40.1,1.59,0,KTT Macaron Yellow
40.1,1.595,0,KTT Macaron Yellow
40.1,1.595,0,KTT Macaron Yellow
40.2,1.595,0,KTT Macaron Yellow
40.2,1.6,0,KTT Macaron Yellow
40.2,1.6,0,KTT Macaron Yellow
40.3,1.6,0,KTT Macaron Yellow
40.3,1.605,0,KTT Macaron Yellow
40.3,1.605,0,KTT Macaron Yellow
40.2,1.61,0,KTT Macaron Yellow
40.2,1.61,0,KTT Macaron Yellow
40.2,1.615,0,KTT Macaron Yellow
40.4,1.615,0,KTT Macaron Yellow
40.4,1.62,0,KTT Macaron Yellow
40.3,1.62,0,KTT Macaron Yellow
40.3,1.625,0,KTT Macaron Yellow
40.3,1.625,0,KTT Macaron Yellow
40.3,1.63,0,KTT Macaron Yellow
40.3,1.63,0,KTT Macaron Yellow
40.3,1.63,0,KTT Macaron Yellow
40.4,1.635,0,KTT Macaron Yellow
40.4,1.635,0,KTT Macaron Yellow
40.3,1.64,0,KTT Macaron Yellow
40.4,1.64,0,KTT Macaron Yellow
40.4,1.645,0,KTT Macaron Yellow
40.5,1.65,0,KTT Macaron Yellow
40.5,1.65,0,KTT Macaron Yellow
40.5,1.65,0,KTT Macaron Yellow
40.6,1.655,0,KTT Macaron Yellow
