force,displacement,judge,name
0.1,0,0,KTT Phalaenopsis
0,0,0,KTT Phalaenopsis
-0.1,0,0,KTT Phalaenopsis
0.1,0,0,KTT Phalaenopsis
0,0,0,KTT Phalaenopsis
0,0,0,KTT Phalaenopsis
0,0,0,KTT Phalaenopsis
-0.1,0,0,KTT Phalaenopsis
-0.1,0,0,KTT Phalaenopsis
0.1,0,0,KTT Phalaenopsis
0.1,0,0,KTT Phalaenopsis
0,0,0,KTT Phalaenopsis
0,0,0,KTT Phalaenopsis
-0.1,0,0,KTT Phalaenopsis
0,0,0,KTT Phalaenopsis
0.1,0,0,KTT Phalaenopsis
0.1,0.005,0,KTT Phalaenopsis
-0.1,0.005,0,KTT Phalaenopsis
-0.1,0.005,0,KTT Phalaenopsis
-0.1,0.005,0,KTT Phalaenopsis
0.1,0.005,0,KTT Phalaenopsis
0,0.01,0,KTT Phalaenopsis
0,0.01,0,KTT Phalaenopsis
-0.1,0.015,0,KTT Phalaenopsis
-0.1,0.015,0,KTT Phalaenopsis
0,0.02,0,KTT Phalaenopsis
1,0.02,0,KTT Phalaenopsis
2.9,0.025,0,KTT Phalaenopsis
4.9,0.025,0,KTT Phalaenopsis
6.8,0.03,0,KTT Phalaenopsis
8.4,0.03,0,KTT Phalaenopsis
9.8,0.035,0,KTT Phalaenopsis
11.1,0.035,0,KTT Phalaenopsis
12.6,0.035,0,KTT Phalaenopsis
13.9,0.04,0,KTT Phalaenopsis
15.5,0.04,0,KTT Phalaenopsis
17.3,0.045,0,KTT Phalaenopsis
18.7,0.045,0,KTT Phalaenopsis
20.1,0.05,0,KTT Phalaenopsis
21.6,0.05,0,KTT Phalaenopsis
22.8,0.055,0,KTT Phalaenopsis
23.9,0.055,0,KTT Phalaenopsis
24.9,0.055,0,KTT Phalaenopsis
25.7,0.06,0,KTT Phalaenopsis
26.1,0.06,0,KTT Phalaenopsis
26.5,0.06,0,KTT Phalaenopsis
26.9,0.065,0,KTT Phalaenopsis
27.4,0.065,0,KTT Phalaenopsis
27.9,0.07,0,KTT Phalaenopsis
28.1,0.07,0,KTT Phalaenopsis
28.5,0.07,0,KTT Phalaenopsis
28.8,0.075,0,KTT Phalaenopsis
29.4,0.075,0,KTT Phalaenopsis
30.2,0.075,0,KTT Phalaenopsis
31.3,0.08,0,KTT Phalaenopsis
32.4,0.08,0,KTT Phalaenopsis
33.6,0.085,0,KTT Phalaenopsis
34.8,0.085,0,KTT Phalaenopsis
36.1,0.09,0,KTT Phalaenopsis
37.1,0.09,0,KTT Phalaenopsis
37.2,0.095,0,KTT Phalaenopsis
36.9,0.095,0,KTT Phalaenopsis
36.6,0.1,0,KTT Phalaenopsis
36.5,0.1,0,KTT Phalaenopsis
36.4,0.105,0,KTT Phalaenopsis
36,0.105,0,KTT Phalaenopsis
35.7,0.11,0,KTT Phalaenopsis
35.8,0.11,0,KTT Phalaenopsis
35.9,0.115,0,KTT Phalaenopsis
35.5,0.12,0,KTT Phalaenopsis
35.4,0.12,0,KTT Phalaenopsis
35.5,0.125,0,KTT Phalaenopsis
35.5,0.13,0,KTT Phalaenopsis
35.8,0.13,0,KTT Phalaenopsis
36.7,0.135,0,KTT Phalaenopsis
