force,displacement,judge,name
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
-0.2,0,0,KTT Pink and Green Sample
-0.1,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0,0,KTT Pink and Green Sample
0,0.005,0,KTT Pink and Green Sample
0,0.005,0,KTT Pink and Green Sample
0,0.005,0,KTT Pink and Green Sample
0,0.005,0,KTT Pink and Green Sample
0,0.005,0,KTT Pink and Green Sample
0,0.01,0,KTT Pink and Green Sample
0,0.01,0,KTT Pink and Green Sample
0,0.01,0,KTT Pink and Green Sample
0,0.01,0,KTT Pink and Green Sample
0,0.015,0,KTT Pink and Green Sample
0,0.015,0,KTT Pink and Green Sample
0,0.02,0,KTT Pink and Green Sample
0,0.02,0,KTT Pink and Green Sample
0.1,0.03,0,KTT Pink and Green Sample
0.1,0.035,0,KTT Pink and Green Sample
0.4,0.045,0,KTT Pink and Green Sample
5.8,0.05,0,KTT Pink and Green Sample
11.4,0.055,0,KTT Pink and Green Sample
20.1,0.065,0,KTT Pink and Green Sample
27.1,0.075,0,KTT Pink and Green Sample
31,0.08,0,KTT Pink and Green Sample
33.7,0.085,0,KTT Pink and Green Sample
36.1,0.085,0,KTT Pink and Green Sample
37.1,0.09,0,KTT Pink and Green Sample
37.2,0.095,0,KTT Pink and Green Sample
37.5,0.1,0,KTT Pink and Green Sample
36.7,0.105,0,KTT Pink and Green Sample
36.9,0.105,0,KTT Pink and Green Sample
37.1,0.11,0,KTT Pink and Green Sample
37.2,0.115,0,KTT Pink and Green Sample
37.5,0.115,0,KTT Pink and Green Sample
39.8,0.12,0,KTT Pink and Green Sample
39.5,0.125,0,KTT Pink and Green Sample
39.4,0.13,0,KTT Pink and Green Sample
39.3,0.13,0,KTT Pink and Green Sample
39.2,0.135,0,KTT Pink and Green Sample
39.2,0.135,0,KTT Pink and Green Sample
39.2,0.14,0,KTT Pink and Green Sample
39.3,0.14,0,KTT Pink and Green Sample
39.2,0.145,0,KTT Pink and Green Sample
39,0.155,0,KTT Pink and Green Sample
38.8,0.155,0,KTT Pink and Green Sample
38.8,0.16,0,KTT Pink and Green Sample
38.6,0.16,0,KTT Pink and Green Sample
38.6,0.165,0,KTT Pink and Green Sample
38.6,0.165,0,KTT Pink and Green Sample
38.5,0.165,0,KTT Pink and Green Sample
38.5,0.165,0,KTT Pink and Green Sample
38.5,0.165,0,KTT Pink and Green Sample
38.6,0.17,0,KTT Pink and Green Sample
38.7,0.17,0,KTT Pink and Green Sample
38.7,0.17,0,KTT Pink and Green Sample
38.6,0.175,0,KTT Pink and Green Sample
38.5,0.175,0,KTT Pink and Green Sample
38.6,0.175,0,KTT Pink and Green Sample
38.6,0.175,0,KTT Pink and Green Sample
38.6,0.18,0,KTT Pink and Green Sample
38.7,0.18,0,KTT Pink and Green Sample
38.7,0.185,0,KTT Pink and Green Sample
38.7,0.185,0,KTT Pink and Green Sample
38.6,0.19,0,KTT Pink and Green Sample
38.6,0.19,0,KTT Pink and Green Sample
38.8,0.195,0,KTT Pink and Green Sample
38.7,0.195,0,KTT Pink and Green Sample
38.6,0.2,0,KTT Pink and Green Sample
38.5,0.2,0,KTT Pink and Green Sample
38.6,0.205,0,KTT Pink and Green Sample
38.5,0.205,0,KTT Pink and Green Sample
38.6,0.21,0,KTT Pink and Green Sample
38.6,0.21,0,KTT Pink and Green Sample
38.6,0.215,0,KTT Pink and Green Sample
38.5,0.215,0,KTT Pink and Green Sample
38.5,0.215,0,KTT Pink and Green Sample
38.5,0.22,0,KTT Pink and Green Sample
38.5,0.22,0,KTT Pink and Green Sample
38.6,0.22,0,KTT Pink and Green Sample
38.6,0.225,0,KTT Pink and Green Sample
38.6,0.225,0,KTT Pink and Green Sample
38.6,0.23,0,KTT Pink and Green Sample
38.6,0.23,0,KTT Pink and Green Sample
38.6,0.23,0,KTT Pink and Green Sample
38.6,0.235,0,KTT Pink and Green Sample
38.6,0.235,0,KTT Pink and Green Sample
38.5,0.235,0,KTT Pink and Green Sample
38.5,0.235,0,KTT Pink and Green Sample
38.4,0.24,0,KTT Pink and Green Sample
38.4,0.24,0,KTT Pink and Green Sample
38.5,0.24,0,KTT Pink and Green Sample
38.5,0.24,0,KTT Pink and Green Sample
38.5,0.24,0,KTT Pink and Green Sample
38.5,0.24,0,KTT Pink and Green Sample
38.5,0.24,0,KTT Pink and Green Sample
38.5,0.245,0,KTT Pink and Green Sample
38.5,0.245,0,KTT Pink and Green Sample
38.7,0.245,0,KTT Pink and Green Sample
38.8,0.245,0,KTT Pink and Green Sample
38.7,0.25,0,KTT Pink and Green Sample
38.8,0.25,0,KTT Pink and Green Sample
38.8,0.255,0,KTT Pink and Green Sample
38.7,0.255,0,KTT Pink and Green Sample
38.6,0.255,0,KTT Pink and Green Sample
38.7,0.26,0,KTT Pink and Green Sample
38.8,0.26,0,KTT Pink and Green Sample
38.6,0.265,0,KTT Pink and Green Sample
38.6,0.27,0,KTT Pink and Green Sample
38.6,0.27,0,KTT Pink and Green Sample
38.6,0.27,0,KTT Pink and Green Sample
38.6,0.27,0,KTT Pink and Green Sample
38.6,0.275,0,KTT Pink and Green Sample
38.5,0.275,0,KTT Pink and Green Sample
38.5,0.275,0,KTT Pink and Green Sample
38.5,0.275,0,KTT Pink and Green Sample
38.6,0.275,0,KTT Pink and Green Sample
38.6,0.28,0,KTT Pink and Green Sample
38.6,0.28,0,KTT Pink and Green Sample
38.6,0.28,0,KTT Pink and Green Sample
38.6,0.28,0,KTT Pink and Green Sample
38.5,0.28,0,KTT Pink and Green Sample
38.5,0.28,0,KTT Pink and Green Sample
38.6,0.285,0,KTT Pink and Green Sample
38.4,0.285,0,KTT Pink and Green Sample
38.4,0.285,0,KTT Pink and Green Sample
38.6,0.285,0,KTT Pink and Green Sample
38.7,0.285,0,KTT Pink and Green Sample
38.9,0.285,0,KTT Pink and Green Sample
38.7,0.29,0,KTT Pink and Green Sample
38.8,0.29,0,KTT Pink and Green Sample
38.8,0.295,0,KTT Pink and Green Sample
38.9,0.295,0,KTT Pink and Green Sample
38.8,0.295,0,KTT Pink and Green Sample
38.9,0.3,0,KTT Pink and Green Sample
39,0.305,0,KTT Pink and Green Sample
39,0.305,0,KTT Pink and Green Sample
38.9,0.31,0,KTT Pink and Green Sample
39,0.315,0,KTT Pink and Green Sample
38.9,0.315,0,KTT Pink and Green Sample
38.9,0.32,0,KTT Pink and Green Sample
38.9,0.32,0,KTT Pink and Green Sample
38.9,0.325,0,KTT Pink and Green Sample
38.9,0.325,0,KTT Pink and Green Sample
38.9,0.33,0,KTT Pink and Green Sample
38.9,0.33,0,KTT Pink and Green Sample
38.9,0.33,0,KTT Pink and Green Sample
38.9,0.335,0,KTT Pink and Green Sample
38.9,0.335,0,KTT Pink and Green Sample
38.9,0.34,0,KTT Pink and Green Sample
38.8,0.34,0,KTT Pink and Green Sample
38.8,0.34,0,KTT Pink and Green Sample
38.8,0.345,0,KTT Pink and Green Sample
38.7,0.345,0,KTT Pink and Green Sample
38.7,0.345,0,KTT Pink and Green Sample
38.8,0.345,0,KTT Pink and Green Sample
39,0.35,0,KTT Pink and Green Sample
39,0.35,0,KTT Pink and Green Sample
39,0.355,0,KTT Pink and Green Sample
38.9,0.355,0,KTT Pink and Green Sample
38.8,0.355,0,KTT Pink and Green Sample
38.8,0.36,0,KTT Pink and Green Sample
38.8,0.36,0,KTT Pink and Green Sample
38.8,0.36,0,KTT Pink and Green Sample
38.8,0.36,0,KTT Pink and Green Sample
38.9,0.365,0,KTT Pink and Green Sample
39,0.365,0,KTT Pink and Green Sample
39.1,0.37,0,KTT Pink and Green Sample
39,0.37,0,KTT Pink and Green Sample
39,0.375,0,KTT Pink and Green Sample
39.1,0.38,0,KTT Pink and Green Sample
39.1,0.385,0,KTT Pink and Green Sample
39,0.39,0,KTT Pink and Green Sample
39.2,0.395,0,KTT Pink and Green Sample
39.1,0.4,0,KTT Pink and Green Sample
39,0.405,0,KTT Pink and Green Sample
38.9,0.405,0,KTT Pink and Green Sample
39.1,0.41,0,KTT Pink and Green Sample
38.9,0.415,0,KTT Pink and Green Sample
38.9,0.415,0,KTT Pink and Green Sample
38.9,0.415,0,KTT Pink and Green Sample
39,0.42,0,KTT Pink and Green Sample
39,0.42,0,KTT Pink and Green Sample
39,0.42,0,KTT Pink and Green Sample
39,0.425,0,KTT Pink and Green Sample
39,0.425,0,KTT Pink and Green Sample
39,0.425,0,KTT Pink and Green Sample
39,0.43,0,KTT Pink and Green Sample
39.1,0.43,0,KTT Pink and Green Sample
39.1,0.435,0,KTT Pink and Green Sample
39.2,0.435,0,KTT Pink and Green Sample
39.2,0.44,0,KTT Pink and Green Sample
39.2,0.44,0,KTT Pink and Green Sample
39.2,0.445,0,KTT Pink and Green Sample
39.3,0.445,0,KTT Pink and Green Sample
39.2,0.45,0,KTT Pink and Green Sample
39.2,0.45,0,KTT Pink and Green Sample
39.3,0.45,0,KTT Pink and Green Sample
39.3,0.455,0,KTT Pink and Green Sample
39.2,0.455,0,KTT Pink and Green Sample
39.2,0.455,0,KTT Pink and Green Sample
39.3,0.46,0,KTT Pink and Green Sample
39.3,0.46,0,KTT Pink and Green Sample
39.3,0.46,0,KTT Pink and Green Sample
39.3,0.465,0,KTT Pink and Green Sample
39.3,0.465,0,KTT Pink and Green Sample
39.3,0.465,0,KTT Pink and Green Sample
39.3,0.47,0,KTT Pink and Green Sample
39.3,0.47,0,KTT Pink and Green Sample
39.3,0.47,0,KTT Pink and Green Sample
39.3,0.47,0,KTT Pink and Green Sample
39.3,0.475,0,KTT Pink and Green Sample
39.4,0.475,0,KTT Pink and Green Sample
39.4,0.475,0,KTT Pink and Green Sample
39.5,0.48,0,KTT Pink and Green Sample
39.5,0.48,0,KTT Pink and Green Sample
