force,displacement,judge,name
-0.1,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
-0.1,0,0,KTT Pink and Lime Green Sample
0.1,0,0,KTT Pink and Lime Green Sample
-0.1,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0,0,KTT Pink and Lime Green Sample
0,0.005,0,KTT Pink and Lime Green Sample
0,0.005,0,KTT Pink and Lime Green Sample
0,0.005,0,KTT Pink and Lime Green Sample
0,0.005,0,KTT Pink and Lime Green Sample
0,0.005,0,KTT Pink and Lime Green Sample
0,0.01,0,KTT Pink and Lime Green Sample
0,0.01,0,KTT Pink and Lime Green Sample
0,0.01,0,KTT Pink and Lime Green Sample
0,0.015,0,KTT Pink and Lime Green Sample
0,0.015,0,KTT Pink and Lime Green Sample
0,0.02,0,KTT Pink and Lime Green Sample
0,0.02,0,KTT Pink and Lime Green Sample
0,0.025,0,KTT Pink and Lime Green Sample
0,0.03,0,KTT Pink and Lime Green Sample
0,0.035,0,KTT Pink and Lime Green Sample
0,0.04,0,KTT Pink and Lime Green Sample
0,0.045,0,KTT Pink and Lime Green Sample
1.2,0.05,0,KTT Pink and Lime Green Sample
6.5,0.055,0,KTT Pink and Lime Green Sample
11.7,0.06,0,KTT Pink and Lime Green Sample
16.8,0.065,0,KTT Pink and Lime Green Sample
21.6,0.07,0,KTT Pink and Lime Green Sample
25.9,0.075,0,KTT Pink and Lime Green Sample
30,0.08,0,KTT Pink and Lime Green Sample
33.5,0.085,0,KTT Pink and Lime Green Sample
