force,displacement,judge,name
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.005,0,KTT Pink and Yellow Sample
0,0.01,0,KTT Pink and Yellow Sample
0.1,0.01,0,KTT Pink and Yellow Sample
1.8,0.01,0,KTT Pink and Yellow Sample
3.7,0.015,0,KTT Pink and Yellow Sample
5.1,0.015,0,KTT Pink and Yellow Sample
6.3,0.015,0,KTT Pink and Yellow Sample
7.3,0.02,0,KTT Pink and Yellow Sample
8.1,0.02,0,KTT Pink and Yellow Sample
9.1,0.02,0,KTT Pink and Yellow Sample
9.9,0.02,0,KTT Pink and Yellow Sample
10.7,0.02,0,KTT Pink and Yellow Sample
11.2,0.02,0,KTT Pink and Yellow Sample
11.8,0.02,0,KTT Pink and Yellow Sample
12.6,0.025,0,KTT Pink and Yellow Sample
13.5,0.025,0,KTT Pink and Yellow Sample
14.7,0.025,0,KTT Pink and Yellow Sample
16,0.025,0,KTT Pink and Yellow Sample
17.4,0.03,0,KTT Pink and Yellow Sample
19.3,0.03,0,KTT Pink and Yellow Sample
21.5,0.03,0,KTT Pink and Yellow Sample
23.3,0.035,0,KTT Pink and Yellow Sample
25,0.035,0,KTT Pink and Yellow Sample
26.3,0.035,0,KTT Pink and Yellow Sample
27.7,0.04,0,KTT Pink and Yellow Sample
29.3,0.04,0,KTT Pink and Yellow Sample
30.8,0.04,0,KTT Pink and Yellow Sample
31.8,0.045,0,KTT Pink and Yellow Sample
33,0.045,0,KTT Pink and Yellow Sample
33.9,0.045,0,KTT Pink and Yellow Sample
34.8,0.045,0,KTT Pink and Yellow Sample
35.5,0.05,0,KTT Pink and Yellow Sample
36.6,0.05,0,KTT Pink and Yellow Sample
