force,displacement,judge,name
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
-0.1,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0,0,KTT Purple Sauce - 51000 Actuations
0,0.005,0,KTT Purple Sauce - 51000 Actuations
0,0.005,0,KTT Purple Sauce - 51000 Actuations
0,0.005,0,KTT Purple Sauce - 51000 Actuations
0,0.005,0,KTT Purple Sauce - 51000 Actuations
0,0.005,0,KTT Purple Sauce - 51000 Actuations
0,0.01,0,KTT Purple Sauce - 51000 Actuations
0,0.01,0,KTT Purple Sauce - 51000 Actuations
0,0.01,0,KTT Purple Sauce - 51000 Actuations
0,0.01,0,KTT Purple Sauce - 51000 Actuations
0,0.01,0,KTT Purple Sauce - 51000 Actuations
0,0.01,0,KTT Purple Sauce - 51000 Actuations
0,0.015,0,KTT Purple Sauce - 51000 Actuations
0,0.015,0,KTT Purple Sauce - 51000 Actuations
0,0.015,0,KTT Purple Sauce - 51000 Actuations
0,0.015,0,KTT Purple Sauce - 51000 Actuations
0,0.015,0,KTT Purple Sauce - 51000 Actuations
0,0.02,0,KTT Purple Sauce - 51000 Actuations
0,0.02,0,KTT Purple Sauce - 51000 Actuations
0,0.02,0,KTT Purple Sauce - 51000 Actuations
0,0.02,0,KTT Purple Sauce - 51000 Actuations
0,0.025,0,KTT Purple Sauce - 51000 Actuations
0,0.025,0,KTT Purple Sauce - 51000 Actuations
0,0.03,0,KTT Purple Sauce - 51000 Actuations
0,0.03,0,KTT Purple Sauce - 51000 Actuations
0,0.03,0,KTT Purple Sauce - 51000 Actuations
0,0.035,0,KTT Purple Sauce - 51000 Actuations
0,0.04,0,KTT Purple Sauce - 51000 Actuations
1.6,0.04,0,KTT Purple Sauce - 51000 Actuations
4.6,0.045,0,KTT Purple Sauce - 51000 Actuations
7.3,0.05,0,KTT Purple Sauce - 51000 Actuations
9.1,0.05,0,KTT Purple Sauce - 51000 Actuations
10.6,0.05,0,KTT Purple Sauce - 51000 Actuations
12.3,0.055,0,KTT Purple Sauce - 51000 Actuations
13.4,0.055,0,KTT Purple Sauce - 51000 Actuations
15,0.055,0,KTT Purple Sauce - 51000 Actuations
17.3,0.06,0,KTT Purple Sauce - 51000 Actuations
20,0.065,0,KTT Purple Sauce - 51000 Actuations
22.5,0.065,0,KTT Purple Sauce - 51000 Actuations
25.2,0.07,0,KTT Purple Sauce - 51000 Actuations
28.4,0.07,0,KTT Purple Sauce - 51000 Actuations
29.1,0.075,0,KTT Purple Sauce - 51000 Actuations
29.9,0.08,0,KTT Purple Sauce - 51000 Actuations
30.2,0.085,0,KTT Purple Sauce - 51000 Actuations
31.1,0.085,0,KTT Purple Sauce - 51000 Actuations
31.4,0.09,0,KTT Purple Sauce - 51000 Actuations
31.4,0.09,0,KTT Purple Sauce - 51000 Actuations
31.8,0.095,0,KTT Purple Sauce - 51000 Actuations
32.7,0.095,0,KTT Purple Sauce - 51000 Actuations
33.2,0.095,0,KTT Purple Sauce - 51000 Actuations
33.4,0.1,0,KTT Purple Sauce - 51000 Actuations
33.8,0.1,0,KTT Purple Sauce - 51000 Actuations
34.3,0.1,0,KTT Purple Sauce - 51000 Actuations
34.8,0.105,0,KTT Purple Sauce - 51000 Actuations
35.4,0.105,0,KTT Purple Sauce - 51000 Actuations
35.5,0.105,0,KTT Purple Sauce - 51000 Actuations
35.5,0.105,0,KTT Purple Sauce - 51000 Actuations
35.5,0.11,0,KTT Purple Sauce - 51000 Actuations
35.5,0.11,0,KTT Purple Sauce - 51000 Actuations
35.5,0.11,0,KTT Purple Sauce - 51000 Actuations
35.5,0.115,0,KTT Purple Sauce - 51000 Actuations
35.5,0.115,0,KTT Purple Sauce - 51000 Actuations
35.5,0.115,0,KTT Purple Sauce - 51000 Actuations
35.5,0.115,0,KTT Purple Sauce - 51000 Actuations
35.5,0.115,0,KTT Purple Sauce - 51000 Actuations
35.5,0.12,0,KTT Purple Sauce - 51000 Actuations
35.5,0.12,0,KTT Purple Sauce - 51000 Actuations
35.5,0.12,0,KTT Purple Sauce - 51000 Actuations
35.5,0.12,0,KTT Purple Sauce - 51000 Actuations
35.5,0.12,0,KTT Purple Sauce - 51000 Actuations
35.6,0.12,0,KTT Purple Sauce - 51000 Actuations
35.6,0.125,0,KTT Purple Sauce - 51000 Actuations
35.6,0.125,0,KTT Purple Sauce - 51000 Actuations
35.6,0.125,0,KTT Purple Sauce - 51000 Actuations
35.6,0.13,0,KTT Purple Sauce - 51000 Actuations
35.6,0.13,0,KTT Purple Sauce - 51000 Actuations
35.6,0.135,0,KTT Purple Sauce - 51000 Actuations
35.6,0.14,0,KTT Purple Sauce - 51000 Actuations
35.6,0.14,0,KTT Purple Sauce - 51000 Actuations
35.6,0.145,0,KTT Purple Sauce - 51000 Actuations
35.6,0.15,0,KTT Purple Sauce - 51000 Actuations
35.6,0.15,0,KTT Purple Sauce - 51000 Actuations
35.6,0.155,0,KTT Purple Sauce - 51000 Actuations
35.6,0.155,0,KTT Purple Sauce - 51000 Actuations
35.6,0.16,0,KTT Purple Sauce - 51000 Actuations
35.6,0.165,0,KTT Purple Sauce - 51000 Actuations
35.7,0.165,0,KTT Purple Sauce - 51000 Actuations
35.7,0.17,0,KTT Purple Sauce - 51000 Actuations
35.7,0.17,0,KTT Purple Sauce - 51000 Actuations
35.7,0.175,0,KTT Purple Sauce - 51000 Actuations
35.7,0.175,0,KTT Purple Sauce - 51000 Actuations
35.7,0.18,0,KTT Purple Sauce - 51000 Actuations
35.7,0.18,0,KTT Purple Sauce - 51000 Actuations
35.7,0.185,0,KTT Purple Sauce - 51000 Actuations
35.7,0.185,0,KTT Purple Sauce - 51000 Actuations
35.7,0.19,0,KTT Purple Sauce - 51000 Actuations
35.7,0.19,0,KTT Purple Sauce - 51000 Actuations
35.7,0.195,0,KTT Purple Sauce - 51000 Actuations
35.7,0.195,0,KTT Purple Sauce - 51000 Actuations
35.7,0.2,0,KTT Purple Sauce - 51000 Actuations
35.8,0.2,0,KTT Purple Sauce - 51000 Actuations
35.8,0.205,0,KTT Purple Sauce - 51000 Actuations
35.9,0.205,0,KTT Purple Sauce - 51000 Actuations
35.9,0.205,0,KTT Purple Sauce - 51000 Actuations
35.9,0.21,0,KTT Purple Sauce - 51000 Actuations
35.9,0.21,0,KTT Purple Sauce - 51000 Actuations
35.8,0.215,0,KTT Purple Sauce - 51000 Actuations
35.8,0.215,0,KTT Purple Sauce - 51000 Actuations
35.8,0.22,0,KTT Purple Sauce - 51000 Actuations
35.9,0.22,0,KTT Purple Sauce - 51000 Actuations
35.9,0.225,0,KTT Purple Sauce - 51000 Actuations
35.9,0.225,0,KTT Purple Sauce - 51000 Actuations
35.9,0.23,0,KTT Purple Sauce - 51000 Actuations
