force,displacement,judge,name
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0,0,KTT Purple Sauce 3
0,0.005,0,KTT Purple Sauce 3
0,0.005,0,KTT Purple Sauce 3
0,0.01,0,KTT Purple Sauce 3
0,0.01,0,KTT Purple Sauce 3
0,0.015,0,KTT Purple Sauce 3
0,0.015,0,KTT Purple Sauce 3
0,0.015,0,KTT Purple Sauce 3
0,0.02,0,KTT Purple Sauce 3
0,0.02,0,KTT Purple Sauce 3
0,0.025,0,KTT Purple Sauce 3
0,0.025,0,KTT Purple Sauce 3
0,0.025,0,KTT Purple Sauce 3
0,0.03,0,KTT Purple Sauce 3
0,0.03,0,KTT Purple Sauce 3
0,0.03,0,KTT Purple Sauce 3
1.8,0.035,0,KTT Purple Sauce 3
4.3,0.04,0,KTT Purple Sauce 3
6.2,0.04,0,KTT Purple Sauce 3
7.6,0.045,0,KTT Purple Sauce 3
9.1,0.045,0,KTT Purple Sauce 3
10.7,0.05,0,KTT Purple Sauce 3
12.8,0.05,0,KTT Purple Sauce 3
15.7,0.055,0,KTT Purple Sauce 3
19.9,0.06,0,KTT Purple Sauce 3
22.8,0.06,0,KTT Purple Sauce 3
25,0.065,0,KTT Purple Sauce 3
25.8,0.07,0,KTT Purple Sauce 3
25.9,0.075,0,KTT Purple Sauce 3
26.3,0.075,0,KTT Purple Sauce 3
26.6,0.08,0,KTT Purple Sauce 3
27.1,0.085,0,KTT Purple Sauce 3
27,0.09,0,KTT Purple Sauce 3
27.5,0.09,0,KTT Purple Sauce 3
28,0.095,0,KTT Purple Sauce 3
28.1,0.1,0,KTT Purple Sauce 3
28.9,0.105,0,KTT Purple Sauce 3
29.4,0.105,0,KTT Purple Sauce 3
29.5,0.105,0,KTT Purple Sauce 3
29.9,0.11,0,KTT Purple Sauce 3
31,0.115,0,KTT Purple Sauce 3
31.4,0.115,0,KTT Purple Sauce 3
31.7,0.115,0,KTT Purple Sauce 3
31.9,0.12,0,KTT Purple Sauce 3
32,0.12,0,KTT Purple Sauce 3
32.2,0.12,0,KTT Purple Sauce 3
32.3,0.125,0,KTT Purple Sauce 3
32.5,0.125,0,KTT Purple Sauce 3
32.9,0.125,0,KTT Purple Sauce 3
33.6,0.125,0,KTT Purple Sauce 3
34.6,0.13,0,KTT Purple Sauce 3
35,0.135,0,KTT Purple Sauce 3
35.3,0.135,0,KTT Purple Sauce 3
35.6,0.135,0,KTT Purple Sauce 3
35.7,0.135,0,KTT Purple Sauce 3
35.8,0.135,0,KTT Purple Sauce 3
35.8,0.14,0,KTT Purple Sauce 3
35.4,0.14,0,KTT Purple Sauce 3
35.6,0.14,0,KTT Purple Sauce 3
35.9,0.14,0,KTT Purple Sauce 3
35.9,0.145,0,KTT Purple Sauce 3
35.8,0.145,0,KTT Purple Sauce 3
35.7,0.145,0,KTT Purple Sauce 3
35.8,0.15,0,KTT Purple Sauce 3
35.7,0.15,0,KTT Purple Sauce 3
35.7,0.155,0,KTT Purple Sauce 3
35.6,0.16,0,KTT Purple Sauce 3
35.6,0.16,0,KTT Purple Sauce 3
35.6,0.165,0,KTT Purple Sauce 3
35.7,0.17,0,KTT Purple Sauce 3
35.7,0.17,0,KTT Purple Sauce 3
35.7,0.175,0,KTT Purple Sauce 3
35.7,0.18,0,KTT Purple Sauce 3
35.7,0.18,0,KTT Purple Sauce 3
35.7,0.185,0,KTT Purple Sauce 3
35.7,0.19,0,KTT Purple Sauce 3
35.7,0.19,0,KTT Purple Sauce 3
35.7,0.19,0,KTT Purple Sauce 3
35.7,0.195,0,KTT Purple Sauce 3
35.7,0.2,0,KTT Purple Sauce 3
35.7,0.205,0,KTT Purple Sauce 3
35.8,0.205,0,KTT Purple Sauce 3
35.8,0.21,0,KTT Purple Sauce 3
35.8,0.21,0,KTT Purple Sauce 3
35.8,0.21,0,KTT Purple Sauce 3
35.8,0.215,0,KTT Purple Sauce 3
35.8,0.215,0,KTT Purple Sauce 3
35.8,0.215,0,KTT Purple Sauce 3
35.9,0.215,0,KTT Purple Sauce 3
35.9,0.215,0,KTT Purple Sauce 3
35.9,0.22,0,KTT Purple Sauce 3
35.9,0.22,0,KTT Purple Sauce 3
35.9,0.22,0,KTT Purple Sauce 3
35.9,0.22,0,KTT Purple Sauce 3
35.9,0.22,0,KTT Purple Sauce 3
35.9,0.225,0,KTT Purple Sauce 3
35.9,0.225,0,KTT Purple Sauce 3
35.9,0.225,0,KTT Purple Sauce 3
35.9,0.23,0,KTT Purple Sauce 3
35.9,0.23,0,KTT Purple Sauce 3
35.9,0.235,0,KTT Purple Sauce 3
36,0.24,0,KTT Purple Sauce 3
36,0.245,0,KTT Purple Sauce 3
36,0.25,0,KTT Purple Sauce 3
36,0.255,0,KTT Purple Sauce 3
36,0.26,0,KTT Purple Sauce 3
36,0.265,0,KTT Purple Sauce 3
36,0.265,0,KTT Purple Sauce 3
36,0.27,0,KTT Purple Sauce 3
36,0.27,0,KTT Purple Sauce 3
36,0.27,0,KTT Purple Sauce 3
36,0.275,0,KTT Purple Sauce 3
36,0.275,0,KTT Purple Sauce 3
36,0.275,0,KTT Purple Sauce 3
36.1,0.28,0,KTT Purple Sauce 3
36.1,0.28,0,KTT Purple Sauce 3
36.1,0.28,0,KTT Purple Sauce 3
36.1,0.285,0,KTT Purple Sauce 3
36.2,0.285,0,KTT Purple Sauce 3
36.2,0.29,0,KTT Purple Sauce 3
36.2,0.29,0,KTT Purple Sauce 3
36.2,0.295,0,KTT Purple Sauce 3
36.2,0.3,0,KTT Purple Sauce 3
36.2,0.305,0,KTT Purple Sauce 3
36.3,0.31,0,KTT Purple Sauce 3
36.3,0.32,0,KTT Purple Sauce 3
36.3,0.325,0,KTT Purple Sauce 3
36.3,0.33,0,KTT Purple Sauce 3
36.3,0.335,0,KTT Purple Sauce 3
36.4,0.34,0,KTT Purple Sauce 3
36.5,0.35,0,KTT Purple Sauce 3
36.5,0.355,0,KTT Purple Sauce 3
36.5,0.36,0,KTT Purple Sauce 3
36.5,0.37,0,KTT Purple Sauce 3
36.5,0.38,0,KTT Purple Sauce 3
36.6,0.385,0,KTT Purple Sauce 3
36.7,0.395,0,KTT Purple Sauce 3
36.7,0.4,0,KTT Purple Sauce 3
36.8,0.405,0,KTT Purple Sauce 3
36.7,0.41,0,KTT Purple Sauce 3
36.7,0.415,0,KTT Purple Sauce 3
36.7,0.415,0,KTT Purple Sauce 3
36.8,0.415,0,KTT Purple Sauce 3
36.8,0.42,0,KTT Purple Sauce 3
36.8,0.42,0,KTT Purple Sauce 3
36.8,0.425,0,KTT Purple Sauce 3
36.8,0.425,0,KTT Purple Sauce 3
36.8,0.43,0,KTT Purple Sauce 3
36.8,0.43,0,KTT Purple Sauce 3
36.8,0.435,0,KTT Purple Sauce 3
36.8,0.44,0,KTT Purple Sauce 3
36.8,0.445,0,KTT Purple Sauce 3
36.9,0.445,0,KTT Purple Sauce 3
36.9,0.45,0,KTT Purple Sauce 3
36.9,0.455,0,KTT Purple Sauce 3
36.9,0.455,0,KTT Purple Sauce 3
37,0.46,0,KTT Purple Sauce 3
36.9,0.465,0,KTT Purple Sauce 3
37,0.47,0,KTT Purple Sauce 3
37,0.47,0,KTT Purple Sauce 3
37,0.475,0,KTT Purple Sauce 3
37,0.475,0,KTT Purple Sauce 3
37,0.48,0,KTT Purple Sauce 3
37.1,0.48,0,KTT Purple Sauce 3
37.1,0.485,0,KTT Purple Sauce 3
37.1,0.485,0,KTT Purple Sauce 3
37.2,0.49,0,KTT Purple Sauce 3
37.2,0.49,0,KTT Purple Sauce 3
37.3,0.495,0,KTT Purple Sauce 3
37.3,0.495,0,KTT Purple Sauce 3
37.3,0.5,0,KTT Purple Sauce 3
37.3,0.505,0,KTT Purple Sauce 3
37.3,0.505,0,KTT Purple Sauce 3
37.2,0.51,0,KTT Purple Sauce 3
37.2,0.51,0,KTT Purple Sauce 3
37.2,0.515,0,KTT Purple Sauce 3
37.2,0.52,0,KTT Purple Sauce 3
37.3,0.525,0,KTT Purple Sauce 3
37.2,0.53,0,KTT Purple Sauce 3
37.3,0.535,0,KTT Purple Sauce 3
37.3,0.54,0,KTT Purple Sauce 3
37.4,0.545,0,KTT Purple Sauce 3
37.4,0.55,0,KTT Purple Sauce 3
37.4,0.555,0,KTT Purple Sauce 3
37.4,0.56,0,KTT Purple Sauce 3
37.4,0.565,0,KTT Purple Sauce 3
37.4,0.57,0,KTT Purple Sauce 3
37.4,0.57,0,KTT Purple Sauce 3
37.5,0.575,0,KTT Purple Sauce 3
37.5,0.58,0,KTT Purple Sauce 3
37.5,0.585,0,KTT Purple Sauce 3
37.5,0.59,0,KTT Purple Sauce 3
37.5,0.595,0,KTT Purple Sauce 3
37.6,0.6,0,KTT Purple Sauce 3
37.5,0.605,0,KTT Purple Sauce 3
37.5,0.605,0,KTT Purple Sauce 3
37.5,0.61,0,KTT Purple Sauce 3
37.5,0.61,0,KTT Purple Sauce 3
37.5,0.61,0,KTT Purple Sauce 3
37.5,0.61,0,KTT Purple Sauce 3
37.6,0.615,0,KTT Purple Sauce 3
37.6,0.615,0,KTT Purple Sauce 3
37.6,0.615,0,KTT Purple Sauce 3
37.6,0.62,0,KTT Purple Sauce 3
37.6,0.62,0,KTT Purple Sauce 3
37.6,0.62,0,KTT Purple Sauce 3
37.6,0.625,0,KTT Purple Sauce 3
37.6,0.625,0,KTT Purple Sauce 3
37.6,0.625,0,KTT Purple Sauce 3
37.6,0.625,0,KTT Purple Sauce 3
37.6,0.625,0,KTT Purple Sauce 3
37.6,0.625,0,KTT Purple Sauce 3
37.6,0.63,0,KTT Purple Sauce 3
37.7,0.63,0,KTT Purple Sauce 3
37.7,0.635,0,KTT Purple Sauce 3
37.7,0.64,0,KTT Purple Sauce 3
37.7,0.64,0,KTT Purple Sauce 3
37.7,0.645,0,KTT Purple Sauce 3
37.7,0.65,0,KTT Purple Sauce 3
37.8,0.655,0,KTT Purple Sauce 3
