force,displacement,judge,name
0.1,0,0,KTT Strawberry
0,0,0,KTT Strawberry
-0.1,0,0,KTT Strawberry
-0.1,0,0,KTT Strawberry
-0.1,0,0,KTT Strawberry
-0.1,0,0,KTT Strawberry
0,0,0,KTT Strawberry
0.1,0,0,KTT Strawberry
0,0,0,KTT Strawberry
0,0,0,KTT Strawberry
-0.1,0,0,KTT Strawberry
0,0,0,KTT Strawberry
-0.1,0,0,KTT Strawberry
0,0,0,KTT Strawberry
0.1,0,0,KTT Strawberry
0,0.005,0,KTT Strawberry
-0.1,0.005,0,KTT Strawberry
0.1,0.005,0,KTT Strawberry
0,0.01,0,KTT Strawberry
0,0.01,0,KTT Strawberry
0,0.01,0,KTT Strawberry
0,0.015,0,KTT Strawberry
0.1,0.015,0,KTT Strawberry
0.2,0.015,0,KTT Strawberry
0,0.02,0,KTT Strawberry
-0.1,0.02,0,KTT Strawberry
-0.1,0.025,0,KTT Strawberry
0.1,0.03,0,KTT Strawberry
0.2,0.03,0,KTT Strawberry
0.1,0.035,0,KTT Strawberry
0.1,0.04,0,KTT Strawberry
0,0.04,0,KTT Strawberry
0,0.045,0,KTT Strawberry
-0.1,0.05,0,KTT Strawberry
0,0.05,0,KTT Strawberry
0,0.055,0,KTT Strawberry
0.1,0.055,0,KTT Strawberry
0.1,0.06,0,KTT Strawberry
2,0.06,0,KTT Strawberry
4.4,0.065,0,KTT Strawberry
8.4,0.07,0,KTT Strawberry
11.5,0.075,0,KTT Strawberry
14.1,0.075,0,KTT Strawberry
16.7,0.08,0,KTT Strawberry
19,0.08,0,KTT Strawberry
21,0.085,0,KTT Strawberry
22.9,0.085,0,KTT Strawberry
24.6,0.09,0,KTT Strawberry
26.3,0.09,0,KTT Strawberry
27.8,0.09,0,KTT Strawberry
29.2,0.095,0,KTT Strawberry
30.7,0.095,0,KTT Strawberry
32.3,0.1,0,KTT Strawberry
33.7,0.1,0,KTT Strawberry
34.5,0.105,0,KTT Strawberry
35.2,0.105,0,KTT Strawberry
36,0.11,0,KTT Strawberry
36.5,0.115,0,KTT Strawberry
36.6,0.115,0,KTT Strawberry
36.6,0.12,0,KTT Strawberry
36.6,0.125,0,KTT Strawberry
36.6,0.13,0,KTT Strawberry
36.5,0.13,0,KTT Strawberry
36.5,0.135,0,KTT Strawberry
36.4,0.14,0,KTT Strawberry
36.2,0.14,0,KTT Strawberry
36.4,0.145,0,KTT Strawberry
36.3,0.15,0,KTT Strawberry
36.1,0.15,0,KTT Strawberry
36,0.155,0,KTT Strawberry
36,0.155,0,KTT Strawberry
36,0.16,0,KTT Strawberry
36,0.16,0,KTT Strawberry
36,0.165,0,KTT Strawberry
35.9,0.165,0,KTT Strawberry
35.8,0.17,0,KTT Strawberry
35.7,0.17,0,KTT Strawberry
35.8,0.175,0,KTT Strawberry
35.8,0.175,0,KTT Strawberry
35.7,0.18,0,KTT Strawberry
35.8,0.18,0,KTT Strawberry
36,0.185,0,KTT Strawberry
36,0.185,0,KTT Strawberry
35.9,0.19,0,KTT Strawberry
36,0.195,0,KTT Strawberry
36.1,0.2,0,KTT Strawberry
35.9,0.205,0,KTT Strawberry
35.7,0.21,0,KTT Strawberry
35.6,0.215,0,KTT Strawberry
35.6,0.22,0,KTT Strawberry
35.6,0.225,0,KTT Strawberry
35.4,0.225,0,KTT Strawberry
35.5,0.23,0,KTT Strawberry
35.7,0.235,0,KTT Strawberry
35.8,0.24,0,KTT Strawberry
35.9,0.25,0,KTT Strawberry
35.9,0.255,0,KTT Strawberry
36.1,0.26,0,KTT Strawberry
36,0.27,0,KTT Strawberry
35.8,0.275,0,KTT Strawberry
35.8,0.285,0,KTT Strawberry
35.7,0.295,0,KTT Strawberry
35.7,0.3,0,KTT Strawberry
35.8,0.31,0,KTT Strawberry
35.8,0.315,0,KTT Strawberry
36,0.32,0,KTT Strawberry
36.1,0.325,0,KTT Strawberry
36.2,0.335,0,KTT Strawberry
36.3,0.34,0,KTT Strawberry
36.3,0.345,0,KTT Strawberry
36.4,0.355,0,KTT Strawberry
36.3,0.36,0,KTT Strawberry
36.3,0.365,0,KTT Strawberry
36.6,0.37,0,KTT Strawberry
36.7,0.375,0,KTT Strawberry
36.8,0.38,0,KTT Strawberry
36.8,0.385,0,KTT Strawberry
36.8,0.39,0,KTT Strawberry
36.8,0.395,0,KTT Strawberry
36.8,0.4,0,KTT Strawberry
36.8,0.405,0,KTT Strawberry
36.7,0.41,0,KTT Strawberry
36.7,0.415,0,KTT Strawberry
36.5,0.42,0,KTT Strawberry
36.6,0.42,0,KTT Strawberry
36.6,0.425,0,KTT Strawberry
36.5,0.43,0,KTT Strawberry
36.6,0.435,0,KTT Strawberry
36.7,0.44,0,KTT Strawberry
36.8,0.445,0,KTT Strawberry
36.8,0.45,0,KTT Strawberry
36.8,0.455,0,KTT Strawberry
36.8,0.455,0,KTT Strawberry
37,0.46,0,KTT Strawberry
37,0.465,0,KTT Strawberry
37,0.47,0,KTT Strawberry
37.1,0.47,0,KTT Strawberry
37.1,0.475,0,KTT Strawberry
37.1,0.48,0,KTT Strawberry
37.2,0.48,0,KTT Strawberry
37.2,0.485,0,KTT Strawberry
37.2,0.49,0,KTT Strawberry
37.2,0.495,0,KTT Strawberry
37.1,0.5,0,KTT Strawberry
37.3,0.505,0,KTT Strawberry
37.2,0.51,0,KTT Strawberry
37.2,0.515,0,KTT Strawberry
37.2,0.52,0,KTT Strawberry
37.3,0.52,0,KTT Strawberry
37.3,0.525,0,KTT Strawberry
37.5,0.53,0,KTT Strawberry
37.7,0.535,0,KTT Strawberry
37.7,0.54,0,KTT Strawberry
37.6,0.545,0,KTT Strawberry
37.5,0.55,0,KTT Strawberry
37.5,0.555,0,KTT Strawberry
37.6,0.56,0,KTT Strawberry
37.6,0.565,0,KTT Strawberry
37.7,0.565,0,KTT Strawberry
37.8,0.57,0,KTT Strawberry
37.8,0.575,0,KTT Strawberry
37.7,0.58,0,KTT Strawberry
37.7,0.58,0,KTT Strawberry
37.9,0.585,0,KTT Strawberry
37.8,0.585,0,KTT Strawberry
37.8,0.59,0,KTT Strawberry
37.7,0.595,0,KTT Strawberry
