force,displacement,judge,name
0,0,0,KZZI Encounter
0.1,0,0,KZZI Encounter
0,0,0,KZZI Encounter
0,0,0,KZZI Encounter
0,0,0,KZZI Encounter
0,0,0,KZZI Encounter
0,0,0,KZZI Encounter
0,0,0,KZZI Encounter
0,0,0,KZZI Encounter
0,0,0,KZZI Encounter
-0.2,0,0,KZZI Encounter
0.1,0,0,KZZI Encounter
0.1,0,0,KZZI Encounter
0,0,0,KZZI Encounter
0,0.005,0,KZZI Encounter
0,0.005,0,KZZI Encounter
-0.1,0.005,0,KZZI Encounter
0,0.005,0,KZZI Encounter
0,0.005,0,KZZI Encounter
0,0.005,0,KZZI Encounter
0,0.005,0,KZZI Encounter
0,0.01,0,KZZI Encounter
0,0.01,0,KZZI Encounter
0,0.015,0,KZZI Encounter
0,0.015,0,KZZI Encounter
0,0.02,0,KZZI Encounter
0,0.02,0,KZZI Encounter
0,0.025,0,KZZI Encounter
0,0.025,0,KZZI Encounter
0.1,0.03,0,KZZI Encounter
1.9,0.03,0,KZZI Encounter
3.9,0.035,0,KZZI Encounter
5.7,0.035,0,KZZI Encounter
7.4,0.035,0,KZZI Encounter
8.9,0.04,0,KZZI Encounter
10.4,0.04,0,KZZI Encounter
11.8,0.04,0,KZZI Encounter
13.4,0.045,0,KZZI Encounter
14.6,0.045,0,KZZI Encounter
15.7,0.045,0,KZZI Encounter
16.6,0.045,0,KZZI Encounter
17.6,0.05,0,KZZI Encounter
18.6,0.05,0,KZZI Encounter
19.5,0.05,0,KZZI Encounter
20.5,0.055,0,KZZI Encounter
21.6,0.055,0,KZZI Encounter
22.5,0.055,0,KZZI Encounter
23.4,0.055,0,KZZI Encounter
24.4,0.06,0,KZZI Encounter
25.3,0.06,0,KZZI Encounter
26.1,0.06,0,KZZI Encounter
26.9,0.06,0,KZZI Encounter
27.7,0.065,0,KZZI Encounter
28.4,0.065,0,KZZI Encounter
29.2,0.065,0,KZZI Encounter
30,0.065,0,KZZI Encounter
31.1,0.07,0,KZZI Encounter
32.3,0.07,0,KZZI Encounter
33.5,0.07,0,KZZI Encounter
34.7,0.075,0,KZZI Encounter
35.6,0.075,0,KZZI Encounter
36.3,0.075,0,KZZI Encounter
37.2,0.075,0,KZZI Encounter
37.7,0.075,0,KZZI Encounter
37.7,0.08,0,KZZI Encounter
37.9,0.08,0,KZZI Encounter
37.9,0.08,0,KZZI Encounter
38,0.08,0,KZZI Encounter
38.2,0.08,0,KZZI Encounter
38.3,0.08,0,KZZI Encounter
38.4,0.085,0,KZZI Encounter
38.5,0.085,0,KZZI Encounter
38.6,0.085,0,KZZI Encounter
38.6,0.085,0,KZZI Encounter
38.6,0.085,0,KZZI Encounter
38.6,0.09,0,KZZI Encounter
38.6,0.09,0,KZZI Encounter
38.6,0.09,0,KZZI Encounter
38.6,0.09,0,KZZI Encounter
38.5,0.09,0,KZZI Encounter
38.6,0.09,0,KZZI Encounter
38.6,0.09,0,KZZI Encounter
38.6,0.09,0,KZZI Encounter
38.6,0.095,0,KZZI Encounter
38.5,0.095,0,KZZI Encounter
38.6,0.095,0,KZZI Encounter
38.6,0.095,0,KZZI Encounter
38.6,0.095,0,KZZI Encounter
38.5,0.1,0,KZZI Encounter
38.4,0.1,0,KZZI Encounter
38.4,0.1,0,KZZI Encounter
38.3,0.1,0,KZZI Encounter
38.3,0.1,0,KZZI Encounter
38.2,0.1,0,KZZI Encounter
38.2,0.105,0,KZZI Encounter
38.2,0.105,0,KZZI Encounter
38.2,0.105,0,KZZI Encounter
38.2,0.105,0,KZZI Encounter
38.2,0.105,0,KZZI Encounter
38.2,0.11,0,KZZI Encounter
38,0.11,0,KZZI Encounter
38.1,0.11,0,KZZI Encounter
38,0.11,0,KZZI Encounter
38,0.11,0,KZZI Encounter
38,0.11,0,KZZI Encounter
37.9,0.115,0,KZZI Encounter
37.8,0.115,0,KZZI Encounter
37.8,0.115,0,KZZI Encounter
37.8,0.115,0,KZZI Encounter
37.7,0.115,0,KZZI Encounter
37.7,0.115,0,KZZI Encounter
37.6,0.12,0,KZZI Encounter
37.6,0.12,0,KZZI Encounter
37.6,0.12,0,KZZI Encounter
37.6,0.12,0,KZZI Encounter
37.6,0.12,0,KZZI Encounter
37.6,0.125,0,KZZI Encounter
37.5,0.125,0,KZZI Encounter
37.5,0.125,0,KZZI Encounter
37.7,0.125,0,KZZI Encounter
37.7,0.13,0,KZZI Encounter
37.6,0.13,0,KZZI Encounter
37.5,0.135,0,KZZI Encounter
37.5,0.135,0,KZZI Encounter
37.5,0.14,0,KZZI Encounter
37.6,0.14,0,KZZI Encounter
37.6,0.145,0,KZZI Encounter
37.4,0.15,0,KZZI Encounter
37.4,0.15,0,KZZI Encounter
37.4,0.155,0,KZZI Encounter
37.4,0.155,0,KZZI Encounter
37.4,0.16,0,KZZI Encounter
37.4,0.16,0,KZZI Encounter
37.5,0.165,0,KZZI Encounter
37.5,0.17,0,KZZI Encounter
37.5,0.17,0,KZZI Encounter
37.4,0.175,0,KZZI Encounter
37.5,0.175,0,KZZI Encounter
37.5,0.18,0,KZZI Encounter
37.5,0.185,0,KZZI Encounter
37.3,0.19,0,KZZI Encounter
37.3,0.195,0,KZZI Encounter
37.3,0.195,0,KZZI Encounter
37.4,0.2,0,KZZI Encounter
37.3,0.205,0,KZZI Encounter
37.4,0.205,0,KZZI Encounter
37.4,0.21,0,KZZI Encounter
37.4,0.215,0,KZZI Encounter
37.5,0.22,0,KZZI Encounter
37.4,0.22,0,KZZI Encounter
37.4,0.225,0,KZZI Encounter
37.5,0.23,0,KZZI Encounter
37.5,0.235,0,KZZI Encounter
37.5,0.235,0,KZZI Encounter
37.5,0.24,0,KZZI Encounter
37.5,0.245,0,KZZI Encounter
37.6,0.245,0,KZZI Encounter
37.6,0.25,0,KZZI Encounter
37.6,0.25,0,KZZI Encounter
37.6,0.255,0,KZZI Encounter
37.7,0.26,0,KZZI Encounter
37.8,0.26,0,KZZI Encounter
37.7,0.265,0,KZZI Encounter
37.7,0.27,0,KZZI Encounter
37.7,0.27,0,KZZI Encounter
37.7,0.275,0,KZZI Encounter
37.7,0.275,0,KZZI Encounter
37.7,0.28,0,KZZI Encounter
37.7,0.28,0,KZZI Encounter
37.8,0.285,0,KZZI Encounter
37.8,0.285,0,KZZI Encounter
37.7,0.29,0,KZZI Encounter
37.8,0.295,0,KZZI Encounter
37.7,0.295,0,KZZI Encounter
37.8,0.3,0,KZZI Encounter
37.7,0.3,0,KZZI Encounter
37.8,0.305,0,KZZI Encounter
38,0.305,0,KZZI Encounter
37.9,0.31,0,KZZI Encounter
37.8,0.315,0,KZZI Encounter
37.8,0.315,0,KZZI Encounter
37.9,0.315,0,KZZI Encounter
37.8,0.32,0,KZZI Encounter
37.9,0.32,0,KZZI Encounter
37.9,0.325,0,KZZI Encounter
37.9,0.325,0,KZZI Encounter
37.9,0.325,0,KZZI Encounter
37.9,0.33,0,KZZI Encounter
38,0.33,0,KZZI Encounter
38,0.335,0,KZZI Encounter
37.9,0.335,0,KZZI Encounter
37.8,0.34,0,KZZI Encounter
37.9,0.34,0,KZZI Encounter
38,0.34,0,KZZI Encounter
37.9,0.345,0,KZZI Encounter
37.9,0.345,0,KZZI Encounter
37.9,0.345,0,KZZI Encounter
38,0.35,0,KZZI Encounter
38,0.35,0,KZZI Encounter
38,0.355,0,KZZI Encounter
38,0.355,0,KZZI Encounter
38,0.355,0,KZZI Encounter
38,0.36,0,KZZI Encounter
38,0.36,0,KZZI Encounter
38.1,0.365,0,KZZI Encounter
38,0.365,0,KZZI Encounter
37.9,0.37,0,KZZI Encounter
37.9,0.375,0,KZZI Encounter
38,0.375,0,KZZI Encounter
38,0.38,0,KZZI Encounter
38,0.38,0,KZZI Encounter
38,0.385,0,KZZI Encounter
37.9,0.385,0,KZZI Encounter
37.9,0.39,0,KZZI Encounter
37.9,0.39,0,KZZI Encounter
38,0.395,0,KZZI Encounter
37.9,0.395,0,KZZI Encounter
38,0.4,0,KZZI Encounter
38,0.4,0,KZZI Encounter
38.1,0.405,0,KZZI Encounter
38.1,0.405,0,KZZI Encounter
38.1,0.405,0,KZZI Encounter
38.1,0.41,0,KZZI Encounter
38.2,0.41,0,KZZI Encounter
38.1,0.41,0,KZZI Encounter
38.1,0.415,0,KZZI Encounter
38.3,0.415,0,KZZI Encounter
38.2,0.42,0,KZZI Encounter
38.3,0.42,0,KZZI Encounter
38.3,0.42,0,KZZI Encounter
38.3,0.425,0,KZZI Encounter
38.4,0.425,0,KZZI Encounter
38.4,0.43,0,KZZI Encounter
