force,displacement,judge,name
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0.2,0,0,Kailh Arctic Fox V2
0.1,0,0,Kailh Arctic Fox V2
-0.1,0,0,Kailh Arctic Fox V2
-0.1,0,0,Kailh Arctic Fox V2
0.1,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
0,0,0,Kailh Arctic Fox V2
-0.1,0.005,0,Kailh Arctic Fox V2
0,0.005,0,Kailh Arctic Fox V2
0,0.01,0,Kailh Arctic Fox V2
0,0.01,0,Kailh Arctic Fox V2
0,0.015,0,Kailh Arctic Fox V2
1.3,0.02,0,Kailh Arctic Fox V2
4.3,0.02,0,Kailh Arctic Fox V2
8.3,0.025,0,Kailh Arctic Fox V2
12.2,0.03,0,Kailh Arctic Fox V2
15.6,0.035,0,Kailh Arctic Fox V2
19.1,0.04,0,Kailh Arctic Fox V2
22.1,0.04,0,Kailh Arctic Fox V2
25.4,0.045,0,Kailh Arctic Fox V2
28,0.045,0,Kailh Arctic Fox V2
31,0.05,0,Kailh Arctic Fox V2
33.2,0.055,0,Kailh Arctic Fox V2
34.6,0.055,0,Kailh Arctic Fox V2
36.3,0.06,0,Kailh Arctic Fox V2
36.7,0.065,0,Kailh Arctic Fox V2
37.4,0.07,0,Kailh Arctic Fox V2
37.4,0.075,0,Kailh Arctic Fox V2
37.3,0.08,0,Kailh Arctic Fox V2
37.2,0.08,0,Kailh Arctic Fox V2
37.2,0.085,0,Kailh Arctic Fox V2
37,0.085,0,Kailh Arctic Fox V2
37,0.085,0,Kailh Arctic Fox V2
37.2,0.085,0,Kailh Arctic Fox V2
37.2,0.085,0,Kailh Arctic Fox V2
37.4,0.09,0,Kailh Arctic Fox V2
37.4,0.09,0,Kailh Arctic Fox V2
37.3,0.09,0,Kailh Arctic Fox V2
37.3,0.09,0,Kailh Arctic Fox V2
37.4,0.095,0,Kailh Arctic Fox V2
37.6,0.095,0,Kailh Arctic Fox V2
37.4,0.095,0,Kailh Arctic Fox V2
37.5,0.1,0,Kailh Arctic Fox V2
37.6,0.1,0,Kailh Arctic Fox V2
37.6,0.105,0,Kailh Arctic Fox V2
37.6,0.105,0,Kailh Arctic Fox V2
37.7,0.11,0,Kailh Arctic Fox V2
37.7,0.115,0,Kailh Arctic Fox V2
37.6,0.115,0,Kailh Arctic Fox V2
37.7,0.115,0,Kailh Arctic Fox V2
37.7,0.12,0,Kailh Arctic Fox V2
37.7,0.12,0,Kailh Arctic Fox V2
37.7,0.12,0,Kailh Arctic Fox V2
37.7,0.12,0,Kailh Arctic Fox V2
37.7,0.125,0,Kailh Arctic Fox V2
37.7,0.125,0,Kailh Arctic Fox V2
37.8,0.125,0,Kailh Arctic Fox V2
37.8,0.125,0,Kailh Arctic Fox V2
38,0.125,0,Kailh Arctic Fox V2
37.9,0.125,0,Kailh Arctic Fox V2
37.9,0.13,0,Kailh Arctic Fox V2
37.9,0.13,0,Kailh Arctic Fox V2
37.9,0.13,0,Kailh Arctic Fox V2
38,0.13,0,Kailh Arctic Fox V2
38,0.135,0,Kailh Arctic Fox V2
38,0.135,0,Kailh Arctic Fox V2
38,0.135,0,Kailh Arctic Fox V2
38,0.135,0,Kailh Arctic Fox V2
38,0.14,0,Kailh Arctic Fox V2
38,0.14,0,Kailh Arctic Fox V2
37.9,0.145,0,Kailh Arctic Fox V2
37.8,0.145,0,Kailh Arctic Fox V2
37.8,0.15,0,Kailh Arctic Fox V2
37.8,0.15,0,Kailh Arctic Fox V2
37.8,0.15,0,Kailh Arctic Fox V2
37.8,0.155,0,Kailh Arctic Fox V2
37.8,0.155,0,Kailh Arctic Fox V2
37.8,0.155,0,Kailh Arctic Fox V2
37.8,0.16,0,Kailh Arctic Fox V2
37.9,0.16,0,Kailh Arctic Fox V2
37.8,0.165,0,Kailh Arctic Fox V2
37.9,0.165,0,Kailh Arctic Fox V2
37.8,0.17,0,Kailh Arctic Fox V2
37.9,0.175,0,Kailh Arctic Fox V2
37.8,0.185,0,Kailh Arctic Fox V2
37.8,0.185,0,Kailh Arctic Fox V2
37.8,0.19,0,Kailh Arctic Fox V2
37.8,0.195,0,Kailh Arctic Fox V2
37.8,0.195,0,Kailh Arctic Fox V2
37.8,0.2,0,Kailh Arctic Fox V2
37.9,0.2,0,Kailh Arctic Fox V2
37.9,0.205,0,Kailh Arctic Fox V2
38,0.205,0,Kailh Arctic Fox V2
38,0.21,0,Kailh Arctic Fox V2
38,0.21,0,Kailh Arctic Fox V2
38.1,0.215,0,Kailh Arctic Fox V2
38.1,0.215,0,Kailh Arctic Fox V2
38.1,0.215,0,Kailh Arctic Fox V2
38.1,0.215,0,Kailh Arctic Fox V2
38,0.22,0,Kailh Arctic Fox V2
38,0.22,0,Kailh Arctic Fox V2
38,0.22,0,Kailh Arctic Fox V2
38,0.225,0,Kailh Arctic Fox V2
38,0.225,0,Kailh Arctic Fox V2
38,0.225,0,Kailh Arctic Fox V2
38,0.23,0,Kailh Arctic Fox V2
38,0.23,0,Kailh Arctic Fox V2
38.1,0.23,0,Kailh Arctic Fox V2
38,0.235,0,Kailh Arctic Fox V2
38,0.235,0,Kailh Arctic Fox V2
38,0.24,0,Kailh Arctic Fox V2
37.9,0.245,0,Kailh Arctic Fox V2
37.8,0.25,0,Kailh Arctic Fox V2
37.8,0.255,0,Kailh Arctic Fox V2
37.9,0.26,0,Kailh Arctic Fox V2
37.9,0.26,0,Kailh Arctic Fox V2
37.9,0.265,0,Kailh Arctic Fox V2
37.9,0.265,0,Kailh Arctic Fox V2
37.9,0.27,0,Kailh Arctic Fox V2
37.9,0.27,0,Kailh Arctic Fox V2
37.8,0.27,0,Kailh Arctic Fox V2
37.8,0.275,0,Kailh Arctic Fox V2
37.9,0.275,0,Kailh Arctic Fox V2
37.9,0.275,0,Kailh Arctic Fox V2
37.9,0.275,0,Kailh Arctic Fox V2
37.9,0.28,0,Kailh Arctic Fox V2
37.9,0.28,0,Kailh Arctic Fox V2
37.9,0.285,0,Kailh Arctic Fox V2
37.8,0.285,0,Kailh Arctic Fox V2
37.7,0.29,0,Kailh Arctic Fox V2
37.7,0.29,0,Kailh Arctic Fox V2
37.7,0.295,0,Kailh Arctic Fox V2
37.7,0.295,0,Kailh Arctic Fox V2
37.7,0.3,0,Kailh Arctic Fox V2
37.7,0.3,0,Kailh Arctic Fox V2
37.7,0.305,0,Kailh Arctic Fox V2
37.7,0.305,0,Kailh Arctic Fox V2
37.7,0.305,0,Kailh Arctic Fox V2
37.7,0.31,0,Kailh Arctic Fox V2
37.7,0.31,0,Kailh Arctic Fox V2
37.7,0.315,0,Kailh Arctic Fox V2
37.7,0.315,0,Kailh Arctic Fox V2
37.7,0.32,0,Kailh Arctic Fox V2
37.7,0.32,0,Kailh Arctic Fox V2
37.7,0.325,0,Kailh Arctic Fox V2
37.7,0.325,0,Kailh Arctic Fox V2
37.7,0.33,0,Kailh Arctic Fox V2
37.6,0.335,0,Kailh Arctic Fox V2
37.5,0.335,0,Kailh Arctic Fox V2
37.6,0.34,0,Kailh Arctic Fox V2
37.6,0.34,0,Kailh Arctic Fox V2
37.7,0.345,0,Kailh Arctic Fox V2
37.7,0.345,0,Kailh Arctic Fox V2
37.7,0.35,0,Kailh Arctic Fox V2
37.7,0.35,0,Kailh Arctic Fox V2
37.7,0.355,0,Kailh Arctic Fox V2
37.7,0.355,0,Kailh Arctic Fox V2
37.6,0.36,0,Kailh Arctic Fox V2
37.6,0.365,0,Kailh Arctic Fox V2
37.6,0.37,0,Kailh Arctic Fox V2
37.6,0.375,0,Kailh Arctic Fox V2
37.6,0.38,0,Kailh Arctic Fox V2
37.7,0.385,0,Kailh Arctic Fox V2
37.7,0.39,0,Kailh Arctic Fox V2
37.6,0.395,0,Kailh Arctic Fox V2
37.6,0.4,0,Kailh Arctic Fox V2
37.7,0.405,0,Kailh Arctic Fox V2
37.7,0.41,0,Kailh Arctic Fox V2
37.6,0.415,0,Kailh Arctic Fox V2
37.7,0.415,0,Kailh Arctic Fox V2
37.7,0.42,0,Kailh Arctic Fox V2
37.7,0.425,0,Kailh Arctic Fox V2
37.7,0.425,0,Kailh Arctic Fox V2
37.7,0.43,0,Kailh Arctic Fox V2
37.7,0.435,0,Kailh Arctic Fox V2
37.7,0.435,0,Kailh Arctic Fox V2
37.7,0.44,0,Kailh Arctic Fox V2
37.9,0.445,0,Kailh Arctic Fox V2
37.9,0.445,0,Kailh Arctic Fox V2
38,0.45,0,Kailh Arctic Fox V2
38,0.455,0,Kailh Arctic Fox V2
38,0.455,0,Kailh Arctic Fox V2
37.9,0.46,0,Kailh Arctic Fox V2
37.9,0.46,0,Kailh Arctic Fox V2
38,0.465,0,Kailh Arctic Fox V2
38.1,0.47,0,Kailh Arctic Fox V2
38.1,0.47,0,Kailh Arctic Fox V2
38.1,0.475,0,Kailh Arctic Fox V2
38.2,0.475,0,Kailh Arctic Fox V2
38.2,0.48,0,Kailh Arctic Fox V2
38.2,0.48,0,Kailh Arctic Fox V2
38.2,0.485,0,Kailh Arctic Fox V2
38.2,0.485,0,Kailh Arctic Fox V2
38.2,0.49,0,Kailh Arctic Fox V2
38.1,0.49,0,Kailh Arctic Fox V2
38.1,0.495,0,Kailh Arctic Fox V2
38,0.495,0,Kailh Arctic Fox V2
38,0.5,0,Kailh Arctic Fox V2
38,0.5,0,Kailh Arctic Fox V2
38.1,0.5,0,Kailh Arctic Fox V2
38.1,0.505,0,Kailh Arctic Fox V2
38.1,0.505,0,Kailh Arctic Fox V2
38.1,0.505,0,Kailh Arctic Fox V2
38.1,0.51,0,Kailh Arctic Fox V2
38,0.515,0,Kailh Arctic Fox V2
38,0.515,0,Kailh Arctic Fox V2
38.1,0.52,0,Kailh Arctic Fox V2
38.1,0.525,0,Kailh Arctic Fox V2
38.1,0.53,0,Kailh Arctic Fox V2
38.1,0.535,0,Kailh Arctic Fox V2
38.2,0.54,0,Kailh Arctic Fox V2
38.1,0.545,0,Kailh Arctic Fox V2
38.2,0.555,0,Kailh Arctic Fox V2
38.3,0.56,0,Kailh Arctic Fox V2
38.3,0.565,0,Kailh Arctic Fox V2
38.3,0.57,0,Kailh Arctic Fox V2
38.3,0.575,0,Kailh Arctic Fox V2
38.3,0.575,0,Kailh Arctic Fox V2
38.2,0.58,0,Kailh Arctic Fox V2
38.2,0.585,0,Kailh Arctic Fox V2
38.1,0.585,0,Kailh Arctic Fox V2
38,0.59,0,Kailh Arctic Fox V2
38.1,0.59,0,Kailh Arctic Fox V2
38.1,0.595,0,Kailh Arctic Fox V2
38.6,0.595,0,Kailh Arctic Fox V2
39.6,0.6,0,Kailh Arctic Fox V2
40.7,0.6,0,Kailh Arctic Fox V2
40.5,0.605,0,Kailh Arctic Fox V2
40.5,0.605,0,Kailh Arctic Fox V2
40.6,0.61,0,Kailh Arctic Fox V2
40.7,0.615,0,Kailh Arctic Fox V2
40.7,0.615,0,Kailh Arctic Fox V2
40.8,0.62,0,Kailh Arctic Fox V2
40.8,0.62,0,Kailh Arctic Fox V2
40.7,0.625,0,Kailh Arctic Fox V2
40.6,0.625,0,Kailh Arctic Fox V2
40.7,0.63,0,Kailh Arctic Fox V2
40.7,0.63,0,Kailh Arctic Fox V2
40.7,0.635,0,Kailh Arctic Fox V2
40.8,0.635,0,Kailh Arctic Fox V2
40.9,0.635,0,Kailh Arctic Fox V2
40.8,0.64,0,Kailh Arctic Fox V2
40.9,0.64,0,Kailh Arctic Fox V2
41,0.64,0,Kailh Arctic Fox V2
41.1,0.645,0,Kailh Arctic Fox V2
41.4,0.645,0,Kailh Arctic Fox V2
41.5,0.65,0,Kailh Arctic Fox V2
41.5,0.655,0,Kailh Arctic Fox V2
41.6,0.66,0,Kailh Arctic Fox V2
41.8,0.66,0,Kailh Arctic Fox V2
41.8,0.665,0,Kailh Arctic Fox V2
41.7,0.67,0,Kailh Arctic Fox V2
41.7,0.675,0,Kailh Arctic Fox V2
41.8,0.675,0,Kailh Arctic Fox V2
41.9,0.68,0,Kailh Arctic Fox V2
42,0.685,0,Kailh Arctic Fox V2
42,0.69,0,Kailh Arctic Fox V2
41.9,0.69,0,Kailh Arctic Fox V2
41.9,0.695,0,Kailh Arctic Fox V2
41.8,0.695,0,Kailh Arctic Fox V2
41.7,0.7,0,Kailh Arctic Fox V2
41.6,0.7,0,Kailh Arctic Fox V2
41.6,0.705,0,Kailh Arctic Fox V2
41.5,0.71,0,Kailh Arctic Fox V2
41.5,0.71,0,Kailh Arctic Fox V2
41.6,0.715,0,Kailh Arctic Fox V2
41.8,0.715,0,Kailh Arctic Fox V2
42,0.72,0,Kailh Arctic Fox V2
42.1,0.72,0,Kailh Arctic Fox V2
42.2,0.725,0,Kailh Arctic Fox V2
42.1,0.73,0,Kailh Arctic Fox V2
42.1,0.73,0,Kailh Arctic Fox V2
42.1,0.735,0,Kailh Arctic Fox V2
42.1,0.735,0,Kailh Arctic Fox V2
42.2,0.74,0,Kailh Arctic Fox V2
42.3,0.74,0,Kailh Arctic Fox V2
42.4,0.74,0,Kailh Arctic Fox V2
