force,displacement,judge,name
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
-0.1,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0,0,Kailh Box Blueberry Ice Cream
0,0.005,0,Kailh Box Blueberry Ice Cream
0,0.005,0,Kailh Box Blueberry Ice Cream
0,0.005,0,Kailh Box Blueberry Ice Cream
0,0.005,0,Kailh Box Blueberry Ice Cream
0,0.005,0,Kailh Box Blueberry Ice Cream
0,0.005,0,Kailh Box Blueberry Ice Cream
0,0.005,0,Kailh Box Blueberry Ice Cream
0,0.01,0,Kailh Box Blueberry Ice Cream
0,0.01,0,Kailh Box Blueberry Ice Cream
0,0.01,0,Kailh Box Blueberry Ice Cream
0,0.015,0,Kailh Box Blueberry Ice Cream
0,0.015,0,Kailh Box Blueberry Ice Cream
0,0.02,0,Kailh Box Blueberry Ice Cream
0,0.02,0,Kailh Box Blueberry Ice Cream
0,0.025,0,Kailh Box Blueberry Ice Cream
0,0.03,0,Kailh Box Blueberry Ice Cream
0,0.035,0,Kailh Box Blueberry Ice Cream
0,0.045,0,Kailh Box Blueberry Ice Cream
0.1,0.05,0,Kailh Box Blueberry Ice Cream
0.4,0.055,0,Kailh Box Blueberry Ice Cream
1.9,0.06,0,Kailh Box Blueberry Ice Cream
3.4,0.06,0,Kailh Box Blueberry Ice Cream
4.6,0.06,0,Kailh Box Blueberry Ice Cream
5.3,0.065,0,Kailh Box Blueberry Ice Cream
6.3,0.065,0,Kailh Box Blueberry Ice Cream
7.6,0.065,0,Kailh Box Blueberry Ice Cream
8.3,0.065,0,Kailh Box Blueberry Ice Cream
9.3,0.07,0,Kailh Box Blueberry Ice Cream
10.2,0.07,0,Kailh Box Blueberry Ice Cream
10.4,0.07,0,Kailh Box Blueberry Ice Cream
10.6,0.07,0,Kailh Box Blueberry Ice Cream
11,0.07,0,Kailh Box Blueberry Ice Cream
11.9,0.07,0,Kailh Box Blueberry Ice Cream
12.8,0.07,0,Kailh Box Blueberry Ice Cream
13.4,0.07,0,Kailh Box Blueberry Ice Cream
13.7,0.07,0,Kailh Box Blueberry Ice Cream
15,0.075,0,Kailh Box Blueberry Ice Cream
16.4,0.075,0,Kailh Box Blueberry Ice Cream
17.9,0.075,0,Kailh Box Blueberry Ice Cream
19,0.08,0,Kailh Box Blueberry Ice Cream
20.4,0.08,0,Kailh Box Blueberry Ice Cream
21.8,0.08,0,Kailh Box Blueberry Ice Cream
23.2,0.085,0,Kailh Box Blueberry Ice Cream
24.3,0.085,0,Kailh Box Blueberry Ice Cream
26,0.085,0,Kailh Box Blueberry Ice Cream
28.5,0.09,0,Kailh Box Blueberry Ice Cream
31,0.095,0,Kailh Box Blueberry Ice Cream
31.7,0.095,0,Kailh Box Blueberry Ice Cream
32.8,0.095,0,Kailh Box Blueberry Ice Cream
33.6,0.1,0,Kailh Box Blueberry Ice Cream
34.6,0.1,0,Kailh Box Blueberry Ice Cream
36.4,0.105,0,Kailh Box Blueberry Ice Cream
37.1,0.115,0,Kailh Box Blueberry Ice Cream
36.8,0.12,0,Kailh Box Blueberry Ice Cream
36.4,0.125,0,Kailh Box Blueberry Ice Cream
36.4,0.125,0,Kailh Box Blueberry Ice Cream
36.5,0.125,0,Kailh Box Blueberry Ice Cream
36.6,0.125,0,Kailh Box Blueberry Ice Cream
36.5,0.125,0,Kailh Box Blueberry Ice Cream
36.5,0.125,0,Kailh Box Blueberry Ice Cream
36.6,0.125,0,Kailh Box Blueberry Ice Cream
36.7,0.13,0,Kailh Box Blueberry Ice Cream
36.9,0.13,0,Kailh Box Blueberry Ice Cream
36.9,0.13,0,Kailh Box Blueberry Ice Cream
37,0.135,0,Kailh Box Blueberry Ice Cream
36.9,0.135,0,Kailh Box Blueberry Ice Cream
37.1,0.14,0,Kailh Box Blueberry Ice Cream
37.2,0.14,0,Kailh Box Blueberry Ice Cream
37.2,0.145,0,Kailh Box Blueberry Ice Cream
37.1,0.145,0,Kailh Box Blueberry Ice Cream
37.1,0.145,0,Kailh Box Blueberry Ice Cream
37.1,0.145,0,Kailh Box Blueberry Ice Cream
37.2,0.15,0,Kailh Box Blueberry Ice Cream
37.1,0.15,0,Kailh Box Blueberry Ice Cream
36.8,0.155,0,Kailh Box Blueberry Ice Cream
36.9,0.16,0,Kailh Box Blueberry Ice Cream
37,0.16,0,Kailh Box Blueberry Ice Cream
37,0.165,0,Kailh Box Blueberry Ice Cream
36.8,0.165,0,Kailh Box Blueberry Ice Cream
36.8,0.17,0,Kailh Box Blueberry Ice Cream
