force,displacement,judge,name
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0.1,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
-0.1,0,0,Kailh Box Ice Mint
0.1,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
-0.1,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0,0,Kailh Box Ice Mint
0,0.005,0,Kailh Box Ice Mint
0,0.005,0,Kailh Box Ice Mint
0.2,0.005,0,Kailh Box Ice Mint
0.3,0.005,0,Kailh Box Ice Mint
0.8,0.005,0,Kailh Box Ice Mint
1.7,0.01,0,Kailh Box Ice Mint
2.8,0.01,0,Kailh Box Ice Mint
3.7,0.01,0,Kailh Box Ice Mint
4.6,0.01,0,Kailh Box Ice Mint
5.4,0.01,0,Kailh Box Ice Mint
6.1,0.015,0,Kailh Box Ice Mint
6.8,0.015,0,Kailh Box Ice Mint
7.5,0.015,0,Kailh Box Ice Mint
8.3,0.015,0,Kailh Box Ice Mint
9.4,0.015,0,Kailh Box Ice Mint
10.9,0.02,0,Kailh Box Ice Mint
12,0.02,0,Kailh Box Ice Mint
13,0.02,0,Kailh Box Ice Mint
14.1,0.02,0,Kailh Box Ice Mint
15.1,0.025,0,Kailh Box Ice Mint
16.3,0.025,0,Kailh Box Ice Mint
17.3,0.025,0,Kailh Box Ice Mint
18.2,0.03,0,Kailh Box Ice Mint
18.7,0.03,0,Kailh Box Ice Mint
19.3,0.03,0,Kailh Box Ice Mint
20.1,0.03,0,Kailh Box Ice Mint
20.8,0.03,0,Kailh Box Ice Mint
21.7,0.035,0,Kailh Box Ice Mint
22.4,0.035,0,Kailh Box Ice Mint
23.3,0.035,0,Kailh Box Ice Mint
24.2,0.04,0,Kailh Box Ice Mint
25.3,0.04,0,Kailh Box Ice Mint
26,0.04,0,Kailh Box Ice Mint
26.6,0.045,0,Kailh Box Ice Mint
25.8,0.05,0,Kailh Box Ice Mint
26.1,0.05,0,Kailh Box Ice Mint
26.6,0.055,0,Kailh Box Ice Mint
27.7,0.06,0,Kailh Box Ice Mint
28.6,0.06,0,Kailh Box Ice Mint
28.9,0.065,0,Kailh Box Ice Mint
29.5,0.07,0,Kailh Box Ice Mint
29.6,0.07,0,Kailh Box Ice Mint
29.7,0.07,0,Kailh Box Ice Mint
29.9,0.075,0,Kailh Box Ice Mint
30.2,0.075,0,Kailh Box Ice Mint
30.4,0.08,0,Kailh Box Ice Mint
30.9,0.08,0,Kailh Box Ice Mint
31.2,0.08,0,Kailh Box Ice Mint
31.4,0.085,0,Kailh Box Ice Mint
31.5,0.085,0,Kailh Box Ice Mint
31.4,0.09,0,Kailh Box Ice Mint
31.2,0.09,0,Kailh Box Ice Mint
31.5,0.09,0,Kailh Box Ice Mint
31.4,0.095,0,Kailh Box Ice Mint
31.4,0.095,0,Kailh Box Ice Mint
31.6,0.1,0,Kailh Box Ice Mint
31.7,0.1,0,Kailh Box Ice Mint
31.9,0.105,0,Kailh Box Ice Mint
32,0.105,0,Kailh Box Ice Mint
32.1,0.11,0,Kailh Box Ice Mint
32.1,0.11,0,Kailh Box Ice Mint
32.2,0.11,0,Kailh Box Ice Mint
32.2,0.115,0,Kailh Box Ice Mint
32.3,0.115,0,Kailh Box Ice Mint
32.4,0.12,0,Kailh Box Ice Mint
32.5,0.12,0,Kailh Box Ice Mint
32.6,0.125,0,Kailh Box Ice Mint
32.6,0.13,0,Kailh Box Ice Mint
32.7,0.135,0,Kailh Box Ice Mint
32.8,0.135,0,Kailh Box Ice Mint
32.9,0.14,0,Kailh Box Ice Mint
33,0.145,0,Kailh Box Ice Mint
33,0.15,0,Kailh Box Ice Mint
33.1,0.15,0,Kailh Box Ice Mint
33.2,0.155,0,Kailh Box Ice Mint
33.2,0.16,0,Kailh Box Ice Mint
33.3,0.165,0,Kailh Box Ice Mint
33.3,0.165,0,Kailh Box Ice Mint
33.4,0.17,0,Kailh Box Ice Mint
33.4,0.17,0,Kailh Box Ice Mint
33.5,0.175,0,Kailh Box Ice Mint
33.4,0.18,0,Kailh Box Ice Mint
33.3,0.18,0,Kailh Box Ice Mint
33.3,0.185,0,Kailh Box Ice Mint
33.4,0.185,0,Kailh Box Ice Mint
33.5,0.19,0,Kailh Box Ice Mint
33.5,0.19,0,Kailh Box Ice Mint
33.5,0.195,0,Kailh Box Ice Mint
33.6,0.195,0,Kailh Box Ice Mint
33.7,0.195,0,Kailh Box Ice Mint
33.7,0.2,0,Kailh Box Ice Mint
33.8,0.2,0,Kailh Box Ice Mint
33.9,0.205,0,Kailh Box Ice Mint
34,0.21,0,Kailh Box Ice Mint
34,0.21,0,Kailh Box Ice Mint
34,0.215,0,Kailh Box Ice Mint
34.1,0.22,0,Kailh Box Ice Mint
34,0.22,0,Kailh Box Ice Mint
34,0.225,0,Kailh Box Ice Mint
34.1,0.23,0,Kailh Box Ice Mint
34,0.235,0,Kailh Box Ice Mint
33.8,0.24,0,Kailh Box Ice Mint
33.2,0.245,0,Kailh Box Ice Mint
31.8,0.25,0,Kailh Box Ice Mint
31.6,0.255,0,Kailh Box Ice Mint
31.7,0.255,0,Kailh Box Ice Mint
31.9,0.26,0,Kailh Box Ice Mint
32.2,0.265,0,Kailh Box Ice Mint
32.4,0.265,0,Kailh Box Ice Mint
32.7,0.27,0,Kailh Box Ice Mint
32.7,0.27,0,Kailh Box Ice Mint
32.9,0.275,0,Kailh Box Ice Mint
33.1,0.275,0,Kailh Box Ice Mint
33,0.28,0,Kailh Box Ice Mint
33.1,0.285,0,Kailh Box Ice Mint
33.1,0.29,0,Kailh Box Ice Mint
33.1,0.295,0,Kailh Box Ice Mint
33.2,0.305,0,Kailh Box Ice Mint
33.1,0.31,0,Kailh Box Ice Mint
32.9,0.315,0,Kailh Box Ice Mint
32.9,0.32,0,Kailh Box Ice Mint
33,0.325,0,Kailh Box Ice Mint
33,0.335,0,Kailh Box Ice Mint
33.2,0.34,0,Kailh Box Ice Mint
33.3,0.345,0,Kailh Box Ice Mint
33.4,0.345,0,Kailh Box Ice Mint
33.5,0.35,0,Kailh Box Ice Mint
33.5,0.35,0,Kailh Box Ice Mint
33.4,0.355,0,Kailh Box Ice Mint
33.4,0.36,0,Kailh Box Ice Mint
33.4,0.365,0,Kailh Box Ice Mint
33.6,0.365,0,Kailh Box Ice Mint
33.6,0.37,0,Kailh Box Ice Mint
33.4,0.375,0,Kailh Box Ice Mint
33.4,0.38,0,Kailh Box Ice Mint
33.6,0.385,0,Kailh Box Ice Mint
33.3,0.39,0,Kailh Box Ice Mint
33.5,0.395,0,Kailh Box Ice Mint
33.6,0.4,0,Kailh Box Ice Mint
33.7,0.405,0,Kailh Box Ice Mint
33.7,0.41,0,Kailh Box Ice Mint
33.8,0.415,0,Kailh Box Ice Mint
33.9,0.415,0,Kailh Box Ice Mint
33.9,0.42,0,Kailh Box Ice Mint
33.9,0.425,0,Kailh Box Ice Mint
33.9,0.425,0,Kailh Box Ice Mint
34,0.43,0,Kailh Box Ice Mint
34.2,0.435,0,Kailh Box Ice Mint
34.2,0.44,0,Kailh Box Ice Mint
34,0.44,0,Kailh Box Ice Mint
34,0.445,0,Kailh Box Ice Mint
34.2,0.45,0,Kailh Box Ice Mint
34.4,0.455,0,Kailh Box Ice Mint
34.4,0.46,0,Kailh Box Ice Mint
34.4,0.465,0,Kailh Box Ice Mint
34.5,0.47,0,Kailh Box Ice Mint
34.5,0.47,0,Kailh Box Ice Mint
34.5,0.475,0,Kailh Box Ice Mint
34.5,0.48,0,Kailh Box Ice Mint
34.5,0.48,0,Kailh Box Ice Mint
34.6,0.485,0,Kailh Box Ice Mint
34.7,0.49,0,Kailh Box Ice Mint
34.7,0.49,0,Kailh Box Ice Mint
34.8,0.495,0,Kailh Box Ice Mint
34.8,0.5,0,Kailh Box Ice Mint
34.7,0.505,0,Kailh Box Ice Mint
34.8,0.505,0,Kailh Box Ice Mint
34.8,0.51,0,Kailh Box Ice Mint
34.7,0.515,0,Kailh Box Ice Mint
34.7,0.515,0,Kailh Box Ice Mint
34.5,0.52,0,Kailh Box Ice Mint
34.3,0.52,0,Kailh Box Ice Mint
34.4,0.525,0,Kailh Box Ice Mint
