force,displacement,judge,name
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0,0,Kailh Box Marshmallow Tactile
0,0.005,0,Kailh Box Marshmallow Tactile
0,0.005,0,Kailh Box Marshmallow Tactile
0,0.005,0,Kailh Box Marshmallow Tactile
0,0.005,0,Kailh Box Marshmallow Tactile
0,0.005,0,Kailh Box Marshmallow Tactile
0,0.005,0,Kailh Box Marshmallow Tactile
0,0.01,0,Kailh Box Marshmallow Tactile
0,0.01,0,Kailh Box Marshmallow Tactile
0,0.01,0,Kailh Box Marshmallow Tactile
0,0.01,0,Kailh Box Marshmallow Tactile
0,0.01,0,Kailh Box Marshmallow Tactile
0,0.01,0,Kailh Box Marshmallow Tactile
0,0.01,0,Kailh Box Marshmallow Tactile
0,0.01,0,Kailh Box Marshmallow Tactile
0,0.01,0,Kailh Box Marshmallow Tactile
0,0.01,0,Kailh Box Marshmallow Tactile
0,0.015,0,Kailh Box Marshmallow Tactile
0,0.015,0,Kailh Box Marshmallow Tactile
0,0.015,0,Kailh Box Marshmallow Tactile
0,0.015,0,Kailh Box Marshmallow Tactile
0,0.02,0,Kailh Box Marshmallow Tactile
2.4,0.02,0,Kailh Box Marshmallow Tactile
5.3,0.025,0,Kailh Box Marshmallow Tactile
7.3,0.03,0,Kailh Box Marshmallow Tactile
8.9,0.03,0,Kailh Box Marshmallow Tactile
10.5,0.03,0,Kailh Box Marshmallow Tactile
11.6,0.035,0,Kailh Box Marshmallow Tactile
12.8,0.035,0,Kailh Box Marshmallow Tactile
14.2,0.035,0,Kailh Box Marshmallow Tactile
15.7,0.035,0,Kailh Box Marshmallow Tactile
17.1,0.04,0,Kailh Box Marshmallow Tactile
18.6,0.04,0,Kailh Box Marshmallow Tactile
20.4,0.04,0,Kailh Box Marshmallow Tactile
22.2,0.045,0,Kailh Box Marshmallow Tactile
24.2,0.045,0,Kailh Box Marshmallow Tactile
25.9,0.05,0,Kailh Box Marshmallow Tactile
27.2,0.05,0,Kailh Box Marshmallow Tactile
28.3,0.05,0,Kailh Box Marshmallow Tactile
30.1,0.055,0,Kailh Box Marshmallow Tactile
31.4,0.055,0,Kailh Box Marshmallow Tactile
32.9,0.055,0,Kailh Box Marshmallow Tactile
33.7,0.06,0,Kailh Box Marshmallow Tactile
33.7,0.06,0,Kailh Box Marshmallow Tactile
33.8,0.065,0,Kailh Box Marshmallow Tactile
34,0.065,0,Kailh Box Marshmallow Tactile
34.2,0.065,0,Kailh Box Marshmallow Tactile
34.6,0.065,0,Kailh Box Marshmallow Tactile
35,0.07,0,Kailh Box Marshmallow Tactile
35.5,0.07,0,Kailh Box Marshmallow Tactile
35.6,0.07,0,Kailh Box Marshmallow Tactile
35.9,0.07,0,Kailh Box Marshmallow Tactile
35.7,0.075,0,Kailh Box Marshmallow Tactile
35.1,0.075,0,Kailh Box Marshmallow Tactile
35,0.075,0,Kailh Box Marshmallow Tactile
35.2,0.08,0,Kailh Box Marshmallow Tactile
35.6,0.08,0,Kailh Box Marshmallow Tactile
35.9,0.08,0,Kailh Box Marshmallow Tactile
36.2,0.08,0,Kailh Box Marshmallow Tactile
36.5,0.085,0,Kailh Box Marshmallow Tactile
36.8,0.085,0,Kailh Box Marshmallow Tactile
37.2,0.085,0,Kailh Box Marshmallow Tactile
37.5,0.085,0,Kailh Box Marshmallow Tactile
38,0.085,0,Kailh Box Marshmallow Tactile
39.1,0.09,0,Kailh Box Marshmallow Tactile
40.2,0.09,0,Kailh Box Marshmallow Tactile
41,0.09,0,Kailh Box Marshmallow Tactile
41.4,0.095,0,Kailh Box Marshmallow Tactile
41.7,0.095,0,Kailh Box Marshmallow Tactile
42,0.095,0,Kailh Box Marshmallow Tactile
42.3,0.095,0,Kailh Box Marshmallow Tactile
42.6,0.095,0,Kailh Box Marshmallow Tactile
43,0.095,0,Kailh Box Marshmallow Tactile
43.3,0.1,0,Kailh Box Marshmallow Tactile
43.5,0.1,0,Kailh Box Marshmallow Tactile
43.7,0.1,0,Kailh Box Marshmallow Tactile
43.7,0.105,0,Kailh Box Marshmallow Tactile
43.9,0.105,0,Kailh Box Marshmallow Tactile
44.5,0.105,0,Kailh Box Marshmallow Tactile
44.7,0.11,0,Kailh Box Marshmallow Tactile
44.3,0.11,0,Kailh Box Marshmallow Tactile
44.4,0.115,0,Kailh Box Marshmallow Tactile
44.5,0.115,0,Kailh Box Marshmallow Tactile
44.7,0.115,0,Kailh Box Marshmallow Tactile
44.8,0.12,0,Kailh Box Marshmallow Tactile
44.9,0.12,0,Kailh Box Marshmallow Tactile
44.9,0.125,0,Kailh Box Marshmallow Tactile
45.1,0.125,0,Kailh Box Marshmallow Tactile
45.4,0.125,0,Kailh Box Marshmallow Tactile
45.5,0.13,0,Kailh Box Marshmallow Tactile
45.7,0.13,0,Kailh Box Marshmallow Tactile
45.9,0.13,0,Kailh Box Marshmallow Tactile
46,0.135,0,Kailh Box Marshmallow Tactile
46.1,0.135,0,Kailh Box Marshmallow Tactile
46.2,0.14,0,Kailh Box Marshmallow Tactile
46.5,0.14,0,Kailh Box Marshmallow Tactile
46.5,0.14,0,Kailh Box Marshmallow Tactile
46.6,0.145,0,Kailh Box Marshmallow Tactile
46.6,0.145,0,Kailh Box Marshmallow Tactile
46.9,0.145,0,Kailh Box Marshmallow Tactile
47,0.145,0,Kailh Box Marshmallow Tactile
47,0.15,0,Kailh Box Marshmallow Tactile
47,0.15,0,Kailh Box Marshmallow Tactile
47,0.15,0,Kailh Box Marshmallow Tactile
47.1,0.155,0,Kailh Box Marshmallow Tactile
47.1,0.155,0,Kailh Box Marshmallow Tactile
47.1,0.155,0,Kailh Box Marshmallow Tactile
47.1,0.155,0,Kailh Box Marshmallow Tactile
47.1,0.16,0,Kailh Box Marshmallow Tactile
47,0.16,0,Kailh Box Marshmallow Tactile
46.8,0.165,0,Kailh Box Marshmallow Tactile
46.7,0.17,0,Kailh Box Marshmallow Tactile
46.7,0.17,0,Kailh Box Marshmallow Tactile
46.7,0.175,0,Kailh Box Marshmallow Tactile
46.8,0.175,0,Kailh Box Marshmallow Tactile
46.9,0.18,0,Kailh Box Marshmallow Tactile
47,0.185,0,Kailh Box Marshmallow Tactile
47.1,0.185,0,Kailh Box Marshmallow Tactile
47,0.19,0,Kailh Box Marshmallow Tactile
47,0.19,0,Kailh Box Marshmallow Tactile
46.9,0.195,0,Kailh Box Marshmallow Tactile
46.9,0.195,0,Kailh Box Marshmallow Tactile
46.9,0.2,0,Kailh Box Marshmallow Tactile
46.9,0.2,0,Kailh Box Marshmallow Tactile
47,0.205,0,Kailh Box Marshmallow Tactile
46.9,0.205,0,Kailh Box Marshmallow Tactile
47,0.21,0,Kailh Box Marshmallow Tactile
47.1,0.21,0,Kailh Box Marshmallow Tactile
47.3,0.215,0,Kailh Box Marshmallow Tactile
47.1,0.215,0,Kailh Box Marshmallow Tactile
47.4,0.22,0,Kailh Box Marshmallow Tactile
47.4,0.22,0,Kailh Box Marshmallow Tactile
47.6,0.22,0,Kailh Box Marshmallow Tactile
47.7,0.225,0,Kailh Box Marshmallow Tactile
47.8,0.23,0,Kailh Box Marshmallow Tactile
48,0.23,0,Kailh Box Marshmallow Tactile
48.2,0.235,0,Kailh Box Marshmallow Tactile
48.2,0.235,0,Kailh Box Marshmallow Tactile
48.3,0.24,0,Kailh Box Marshmallow Tactile
48.4,0.245,0,Kailh Box Marshmallow Tactile
48.5,0.245,0,Kailh Box Marshmallow Tactile
48.7,0.25,0,Kailh Box Marshmallow Tactile
48.8,0.25,0,Kailh Box Marshmallow Tactile
49,0.255,0,Kailh Box Marshmallow Tactile
49.2,0.255,0,Kailh Box Marshmallow Tactile
49.3,0.255,0,Kailh Box Marshmallow Tactile
49.5,0.26,0,Kailh Box Marshmallow Tactile
49.5,0.26,0,Kailh Box Marshmallow Tactile
49.6,0.265,0,Kailh Box Marshmallow Tactile
49.6,0.27,0,Kailh Box Marshmallow Tactile
49.8,0.27,0,Kailh Box Marshmallow Tactile
50,0.275,0,Kailh Box Marshmallow Tactile
50.1,0.275,0,Kailh Box Marshmallow Tactile
50.1,0.28,0,Kailh Box Marshmallow Tactile
50.3,0.285,0,Kailh Box Marshmallow Tactile
50.4,0.285,0,Kailh Box Marshmallow Tactile
50.5,0.29,0,Kailh Box Marshmallow Tactile
50.6,0.295,0,Kailh Box Marshmallow Tactile
50.7,0.295,0,Kailh Box Marshmallow Tactile
50.7,0.3,0,Kailh Box Marshmallow Tactile
50.9,0.305,0,Kailh Box Marshmallow Tactile
50.7,0.31,0,Kailh Box Marshmallow Tactile
50.9,0.315,0,Kailh Box Marshmallow Tactile
51,0.315,0,Kailh Box Marshmallow Tactile
51.1,0.32,0,Kailh Box Marshmallow Tactile
51.3,0.32,0,Kailh Box Marshmallow Tactile
