force,displacement,judge,name
0.1,0,0,Kailh Box Navy
0.1,0,0,Kailh Box Navy
0,0,0,Kailh Box Navy
-0.2,0,0,Kailh Box Navy
-0.1,0,0,Kailh Box Navy
0.2,0,0,Kailh Box Navy
0.1,0,0,Kailh Box Navy
0,0,0,Kailh Box Navy
-0.1,0,0,Kailh Box Navy
0,0,0,Kailh Box Navy
0,0,0,Kailh Box Navy
0,0,0,Kailh Box Navy
0.2,0,0,Kailh Box Navy
0,0,0,Kailh Box Navy
-0.1,0,0,Kailh Box Navy
-0.1,0,0,Kailh Box Navy
0.1,0,0,Kailh Box Navy
0.1,0,0,Kailh Box Navy
0.1,0,0,Kailh Box Navy
0,0,0,Kailh Box Navy
-0.1,0,0,Kailh Box Navy
-0.1,0,0,Kailh Box Navy
0.1,0,0,Kailh Box Navy
0.2,0,0,Kailh Box Navy
0,0.005,0,Kailh Box Navy
-0.1,0.005,0,Kailh Box Navy
0.1,0.005,0,Kailh Box Navy
0.2,0.005,0,Kailh Box Navy
0.1,0.01,0,Kailh Box Navy
0,0.01,0,Kailh Box Navy
-0.1,0.01,0,Kailh Box Navy
0,0.015,0,Kailh Box Navy
0,0.02,0,Kailh Box Navy
0.1,0.025,0,Kailh Box Navy
0.1,0.025,0,Kailh Box Navy
0,0.03,0,Kailh Box Navy
0,0.035,0,Kailh Box Navy
-0.1,0.04,0,Kailh Box Navy
0.1,0.045,0,Kailh Box Navy
4,0.055,0,Kailh Box Navy
9.7,0.06,0,Kailh Box Navy
14.5,0.065,0,Kailh Box Navy
18.3,0.07,0,Kailh Box Navy
21.6,0.07,0,Kailh Box Navy
25,0.075,0,Kailh Box Navy
28,0.08,0,Kailh Box Navy
30.5,0.08,0,Kailh Box Navy
33.3,0.085,0,Kailh Box Navy
35.5,0.085,0,Kailh Box Navy
37.7,0.09,0,Kailh Box Navy
39.7,0.09,0,Kailh Box Navy
41.5,0.09,0,Kailh Box Navy
42.9,0.095,0,Kailh Box Navy
44.4,0.095,0,Kailh Box Navy
46.4,0.095,0,Kailh Box Navy
48.1,0.1,0,Kailh Box Navy
49.8,0.1,0,Kailh Box Navy
51.7,0.105,0,Kailh Box Navy
53.1,0.105,0,Kailh Box Navy
54.1,0.105,0,Kailh Box Navy
54.1,0.105,0,Kailh Box Navy
53.8,0.11,0,Kailh Box Navy
54,0.11,0,Kailh Box Navy
54.3,0.115,0,Kailh Box Navy
54.7,0.115,0,Kailh Box Navy
54.8,0.12,0,Kailh Box Navy
54.8,0.12,0,Kailh Box Navy
55,0.12,0,Kailh Box Navy
55.1,0.125,0,Kailh Box Navy
55.2,0.125,0,Kailh Box Navy
55.1,0.13,0,Kailh Box Navy
55.2,0.13,0,Kailh Box Navy
55.7,0.13,0,Kailh Box Navy
55.2,0.13,0,Kailh Box Navy
55.5,0.135,0,Kailh Box Navy
55.3,0.135,0,Kailh Box Navy
55.6,0.135,0,Kailh Box Navy
55.5,0.135,0,Kailh Box Navy
55.2,0.135,0,Kailh Box Navy
55.4,0.135,0,Kailh Box Navy
56.2,0.135,0,Kailh Box Navy
56,0.135,0,Kailh Box Navy
56.1,0.14,0,Kailh Box Navy
56.2,0.14,0,Kailh Box Navy
56,0.14,0,Kailh Box Navy
55.7,0.145,0,Kailh Box Navy
55.7,0.145,0,Kailh Box Navy
55.8,0.15,0,Kailh Box Navy
55.9,0.15,0,Kailh Box Navy
55.8,0.155,0,Kailh Box Navy
55.9,0.16,0,Kailh Box Navy
55.9,0.165,0,Kailh Box Navy
55.9,0.165,0,Kailh Box Navy
55.6,0.17,0,Kailh Box Navy
55.9,0.17,0,Kailh Box Navy
55.9,0.175,0,Kailh Box Navy
56.1,0.18,0,Kailh Box Navy
56.2,0.18,0,Kailh Box Navy
56.1,0.18,0,Kailh Box Navy
56.4,0.185,0,Kailh Box Navy
56.6,0.185,0,Kailh Box Navy
56.3,0.185,0,Kailh Box Navy
56.2,0.19,0,Kailh Box Navy
56.2,0.19,0,Kailh Box Navy
56.2,0.19,0,Kailh Box Navy
56.6,0.195,0,Kailh Box Navy
56.4,0.195,0,Kailh Box Navy
56.3,0.195,0,Kailh Box Navy
56.5,0.2,0,Kailh Box Navy
56.3,0.205,0,Kailh Box Navy
56.2,0.205,0,Kailh Box Navy
56,0.21,0,Kailh Box Navy
56.1,0.215,0,Kailh Box Navy
56,0.215,0,Kailh Box Navy
56.1,0.22,0,Kailh Box Navy
56.4,0.22,0,Kailh Box Navy
56.3,0.225,0,Kailh Box Navy
56.3,0.23,0,Kailh Box Navy
56.1,0.23,0,Kailh Box Navy
55.9,0.235,0,Kailh Box Navy
56,0.24,0,Kailh Box Navy
