force,displacement,judge,name
0,0,0,Kailh Box V2 Red
0,0,0,Kailh Box V2 Red
0,0,0,Kailh Box V2 Red
0.2,0,0,Kailh Box V2 Red
0.2,0,0,Kailh Box V2 Red
0,0,0,Kailh Box V2 Red
-0.2,0,0,Kailh Box V2 Red
0.1,0,0,Kailh Box V2 Red
0.1,0,0,Kailh Box V2 Red
0.1,0,0,Kailh Box V2 Red
-0.1,0,0,Kailh Box V2 Red
-0.1,0,0,Kailh Box V2 Red
-0.1,0,0,Kailh Box V2 Red
0.1,0,0,Kailh Box V2 Red
0.2,0,0,Kailh Box V2 Red
0,0,0,Kailh Box V2 Red
0,0.005,0,Kailh Box V2 Red
0,0.005,0,Kailh Box V2 Red
0,0.005,0,Kailh Box V2 Red
0,0.01,0,Kailh Box V2 Red
0.2,0.01,0,Kailh Box V2 Red
0.1,0.015,0,Kailh Box V2 Red
-0.1,0.015,0,Kailh Box V2 Red
-0.1,0.02,0,Kailh Box V2 Red
0.1,0.02,0,Kailh Box V2 Red
0.2,0.025,0,Kailh Box V2 Red
0,0.025,0,Kailh Box V2 Red
-0.1,0.03,0,Kailh Box V2 Red
0,0.035,0,Kailh Box V2 Red
0,0.04,0,Kailh Box V2 Red
0.1,0.04,0,Kailh Box V2 Red
0.2,0.045,0,Kailh Box V2 Red
0.1,0.05,0,Kailh Box V2 Red
0,0.05,0,Kailh Box V2 Red
-0.1,0.055,0,Kailh Box V2 Red
0,0.06,0,Kailh Box V2 Red
0.1,0.06,0,Kailh Box V2 Red
0.1,0.065,0,Kailh Box V2 Red
0.1,0.07,0,Kailh Box V2 Red
0,0.07,0,Kailh Box V2 Red
-0.1,0.075,0,Kailh Box V2 Red
0,0.08,0,Kailh Box V2 Red
0.2,0.08,0,Kailh Box V2 Red
0.3,0.085,0,Kailh Box V2 Red
1.2,0.09,0,Kailh Box V2 Red
2.9,0.095,0,Kailh Box V2 Red
4.4,0.1,0,Kailh Box V2 Red
5,0.1,0,Kailh Box V2 Red
6.5,0.105,0,Kailh Box V2 Red
8.6,0.105,0,Kailh Box V2 Red
10.7,0.11,0,Kailh Box V2 Red
13,0.11,0,Kailh Box V2 Red
15.4,0.115,0,Kailh Box V2 Red
17.7,0.115,0,Kailh Box V2 Red
19.7,0.12,0,Kailh Box V2 Red
21.7,0.12,0,Kailh Box V2 Red
23.9,0.125,0,Kailh Box V2 Red
25.8,0.125,0,Kailh Box V2 Red
27.4,0.13,0,Kailh Box V2 Red
29.2,0.13,0,Kailh Box V2 Red
30.7,0.13,0,Kailh Box V2 Red
31.8,0.135,0,Kailh Box V2 Red
32.3,0.135,0,Kailh Box V2 Red
31.3,0.14,0,Kailh Box V2 Red
30.6,0.14,0,Kailh Box V2 Red
30.7,0.14,0,Kailh Box V2 Red
31,0.14,0,Kailh Box V2 Red
30.9,0.145,0,Kailh Box V2 Red
30.9,0.145,0,Kailh Box V2 Red
31,0.145,0,Kailh Box V2 Red
31.4,0.15,0,Kailh Box V2 Red
31.4,0.15,0,Kailh Box V2 Red
31.3,0.15,0,Kailh Box V2 Red
31.2,0.155,0,Kailh Box V2 Red
31.1,0.155,0,Kailh Box V2 Red
31,0.155,0,Kailh Box V2 Red
31.2,0.16,0,Kailh Box V2 Red
31.3,0.16,0,Kailh Box V2 Red
31.4,0.16,0,Kailh Box V2 Red
31.4,0.165,0,Kailh Box V2 Red
32,0.165,0,Kailh Box V2 Red
32.6,0.17,0,Kailh Box V2 Red
33.2,0.17,0,Kailh Box V2 Red
33.9,0.175,0,Kailh Box V2 Red
34.2,0.175,0,Kailh Box V2 Red
34.2,0.18,0,Kailh Box V2 Red
34.2,0.18,0,Kailh Box V2 Red
34.3,0.185,0,Kailh Box V2 Red
34.4,0.185,0,Kailh Box V2 Red
34.4,0.19,0,Kailh Box V2 Red
34.4,0.19,0,Kailh Box V2 Red
34.4,0.195,0,Kailh Box V2 Red
34.4,0.2,0,Kailh Box V2 Red
34.4,0.2,0,Kailh Box V2 Red
34.5,0.205,0,Kailh Box V2 Red
34.5,0.21,0,Kailh Box V2 Red
34.5,0.21,0,Kailh Box V2 Red
34.5,0.215,0,Kailh Box V2 Red
34.4,0.22,0,Kailh Box V2 Red
34.5,0.22,0,Kailh Box V2 Red
34.4,0.225,0,Kailh Box V2 Red
34.4,0.225,0,Kailh Box V2 Red
34.3,0.23,0,Kailh Box V2 Red
34.4,0.23,0,Kailh Box V2 Red
34.4,0.235,0,Kailh Box V2 Red
34.4,0.24,0,Kailh Box V2 Red
34.4,0.24,0,Kailh Box V2 Red
34.4,0.245,0,Kailh Box V2 Red
34.4,0.245,0,Kailh Box V2 Red
34.4,0.25,0,Kailh Box V2 Red
34.4,0.255,0,Kailh Box V2 Red
34.5,0.255,0,Kailh Box V2 Red
34.6,0.26,0,Kailh Box V2 Red
34.6,0.265,0,Kailh Box V2 Red
34.5,0.27,0,Kailh Box V2 Red
34.6,0.27,0,Kailh Box V2 Red
34.6,0.275,0,Kailh Box V2 Red
34.5,0.275,0,Kailh Box V2 Red
34.6,0.275,0,Kailh Box V2 Red
34.5,0.28,0,Kailh Box V2 Red
34.5,0.28,0,Kailh Box V2 Red
34.5,0.285,0,Kailh Box V2 Red
34.5,0.285,0,Kailh Box V2 Red
34.5,0.29,0,Kailh Box V2 Red
34.5,0.295,0,Kailh Box V2 Red
34.5,0.295,0,Kailh Box V2 Red
34.6,0.3,0,Kailh Box V2 Red
34.7,0.305,0,Kailh Box V2 Red
34.7,0.305,0,Kailh Box V2 Red
34.6,0.31,0,Kailh Box V2 Red
34.6,0.315,0,Kailh Box V2 Red
34.6,0.32,0,Kailh Box V2 Red
34.5,0.32,0,Kailh Box V2 Red
34.5,0.325,0,Kailh Box V2 Red
34.5,0.335,0,Kailh Box V2 Red
34.3,0.34,0,Kailh Box V2 Red
34.4,0.34,0,Kailh Box V2 Red
34.4,0.345,0,Kailh Box V2 Red
34.4,0.35,0,Kailh Box V2 Red
34.5,0.355,0,Kailh Box V2 Red
34.5,0.355,0,Kailh Box V2 Red
34.6,0.36,0,Kailh Box V2 Red
34.7,0.365,0,Kailh Box V2 Red
34.6,0.37,0,Kailh Box V2 Red
34.6,0.37,0,Kailh Box V2 Red
34.6,0.375,0,Kailh Box V2 Red
34.6,0.375,0,Kailh Box V2 Red
34.6,0.38,0,Kailh Box V2 Red
34.5,0.385,0,Kailh Box V2 Red
34.4,0.39,0,Kailh Box V2 Red
34.5,0.39,0,Kailh Box V2 Red
34.5,0.395,0,Kailh Box V2 Red
34.5,0.395,0,Kailh Box V2 Red
34.6,0.4,0,Kailh Box V2 Red
34.6,0.405,0,Kailh Box V2 Red
34.7,0.405,0,Kailh Box V2 Red
34.8,0.41,0,Kailh Box V2 Red
34.5,0.415,0,Kailh Box V2 Red
34.7,0.42,0,Kailh Box V2 Red
34.8,0.425,0,Kailh Box V2 Red
34.9,0.43,0,Kailh Box V2 Red
34.8,0.435,0,Kailh Box V2 Red
34.8,0.44,0,Kailh Box V2 Red
34.8,0.445,0,Kailh Box V2 Red
34.8,0.45,0,Kailh Box V2 Red
34.8,0.455,0,Kailh Box V2 Red
34.9,0.46,0,Kailh Box V2 Red
35,0.465,0,Kailh Box V2 Red
35,0.47,0,Kailh Box V2 Red
35,0.475,0,Kailh Box V2 Red
34.9,0.48,0,Kailh Box V2 Red
35,0.485,0,Kailh Box V2 Red
35,0.49,0,Kailh Box V2 Red
35,0.495,0,Kailh Box V2 Red
35.1,0.5,0,Kailh Box V2 Red
35.1,0.505,0,Kailh Box V2 Red
35.1,0.505,0,Kailh Box V2 Red
35.2,0.51,0,Kailh Box V2 Red
35.1,0.515,0,Kailh Box V2 Red
35.1,0.52,0,Kailh Box V2 Red
35.1,0.52,0,Kailh Box V2 Red
35.1,0.525,0,Kailh Box V2 Red
35.1,0.525,0,Kailh Box V2 Red
35.1,0.53,0,Kailh Box V2 Red
35.1,0.53,0,Kailh Box V2 Red
35.1,0.535,0,Kailh Box V2 Red
35.2,0.535,0,Kailh Box V2 Red
35.3,0.535,0,Kailh Box V2 Red
35.2,0.535,0,Kailh Box V2 Red
35.3,0.54,0,Kailh Box V2 Red
35.2,0.54,0,Kailh Box V2 Red
35.3,0.54,0,Kailh Box V2 Red
35.2,0.545,0,Kailh Box V2 Red
35.3,0.545,0,Kailh Box V2 Red
35.3,0.545,0,Kailh Box V2 Red
35.3,0.55,0,Kailh Box V2 Red
35.4,0.55,0,Kailh Box V2 Red
35.4,0.555,0,Kailh Box V2 Red
35.5,0.555,0,Kailh Box V2 Red
35.5,0.56,0,Kailh Box V2 Red
35.5,0.56,0,Kailh Box V2 Red
35.6,0.565,0,Kailh Box V2 Red
35.6,0.57,0,Kailh Box V2 Red
35.5,0.575,0,Kailh Box V2 Red
35.4,0.58,0,Kailh Box V2 Red
35.5,0.585,0,Kailh Box V2 Red
35.4,0.585,0,Kailh Box V2 Red
35.5,0.59,0,Kailh Box V2 Red
35.5,0.59,0,Kailh Box V2 Red
35.5,0.595,0,Kailh Box V2 Red
35.4,0.6,0,Kailh Box V2 Red
35.4,0.6,0,Kailh Box V2 Red
35.4,0.605,0,Kailh Box V2 Red
35.4,0.605,0,Kailh Box V2 Red
35.4,0.61,0,Kailh Box V2 Red
35.5,0.615,0,Kailh Box V2 Red
35.5,0.615,0,Kailh Box V2 Red
35.5,0.62,0,Kailh Box V2 Red
35.5,0.62,0,Kailh Box V2 Red
35.5,0.625,0,Kailh Box V2 Red
35.6,0.625,0,Kailh Box V2 Red
35.6,0.63,0,Kailh Box V2 Red
35.6,0.635,0,Kailh Box V2 Red
35.5,0.635,0,Kailh Box V2 Red
35.5,0.64,0,Kailh Box V2 Red
35.6,0.64,0,Kailh Box V2 Red
35.6,0.645,0,Kailh Box V2 Red
35.7,0.645,0,Kailh Box V2 Red
35.7,0.65,0,Kailh Box V2 Red
35.7,0.65,0,Kailh Box V2 Red
35.7,0.655,0,Kailh Box V2 Red
35.7,0.655,0,Kailh Box V2 Red
35.7,0.66,0,Kailh Box V2 Red
35.6,0.66,0,Kailh Box V2 Red
35.6,0.665,0,Kailh Box V2 Red
35.6,0.665,0,Kailh Box V2 Red
