force,displacement,judge,name
0,0,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0.1,0.005,0,Kailh Chinoiserie Delo
0.1,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.005,0,Kailh Chinoiserie Delo
0,0.01,0,Kailh Chinoiserie Delo
0,0.01,0,Kailh Chinoiserie Delo
0,0.015,0,Kailh Chinoiserie Delo
0,0.015,0,Kailh Chinoiserie Delo
0,0.015,0,Kailh Chinoiserie Delo
0,0.02,0,Kailh Chinoiserie Delo
0.4,0.02,0,Kailh Chinoiserie Delo
2.3,0.025,0,Kailh Chinoiserie Delo
4.5,0.025,0,Kailh Chinoiserie Delo
6.5,0.025,0,Kailh Chinoiserie Delo
8.2,0.03,0,Kailh Chinoiserie Delo
9.9,0.03,0,Kailh Chinoiserie Delo
11.5,0.03,0,Kailh Chinoiserie Delo
13.5,0.035,0,Kailh Chinoiserie Delo
15.6,0.035,0,Kailh Chinoiserie Delo
18.1,0.04,0,Kailh Chinoiserie Delo
20.2,0.04,0,Kailh Chinoiserie Delo
22.1,0.045,0,Kailh Chinoiserie Delo
24.1,0.045,0,Kailh Chinoiserie Delo
26.3,0.05,0,Kailh Chinoiserie Delo
28.6,0.05,0,Kailh Chinoiserie Delo
31,0.055,0,Kailh Chinoiserie Delo
32.8,0.055,0,Kailh Chinoiserie Delo
34.5,0.06,0,Kailh Chinoiserie Delo
35.9,0.06,0,Kailh Chinoiserie Delo
37.2,0.06,0,Kailh Chinoiserie Delo
38.5,0.06,0,Kailh Chinoiserie Delo
39.5,0.065,0,Kailh Chinoiserie Delo
40.6,0.065,0,Kailh Chinoiserie Delo
41.4,0.065,0,Kailh Chinoiserie Delo
41.9,0.07,0,Kailh Chinoiserie Delo
41.8,0.07,0,Kailh Chinoiserie Delo
42,0.07,0,Kailh Chinoiserie Delo
42.1,0.075,0,Kailh Chinoiserie Delo
42.2,0.075,0,Kailh Chinoiserie Delo
42.2,0.075,0,Kailh Chinoiserie Delo
42.2,0.075,0,Kailh Chinoiserie Delo
42.2,0.08,0,Kailh Chinoiserie Delo
42.2,0.08,0,Kailh Chinoiserie Delo
42.1,0.08,0,Kailh Chinoiserie Delo
42.3,0.085,0,Kailh Chinoiserie Delo
42.5,0.085,0,Kailh Chinoiserie Delo
42.6,0.085,0,Kailh Chinoiserie Delo
42.8,0.09,0,Kailh Chinoiserie Delo
42.9,0.09,0,Kailh Chinoiserie Delo
43,0.095,0,Kailh Chinoiserie Delo
43.2,0.095,0,Kailh Chinoiserie Delo
43.5,0.1,0,Kailh Chinoiserie Delo
43.7,0.105,0,Kailh Chinoiserie Delo
43.9,0.105,0,Kailh Chinoiserie Delo
44.1,0.11,0,Kailh Chinoiserie Delo
44.3,0.11,0,Kailh Chinoiserie Delo
44.4,0.115,0,Kailh Chinoiserie Delo
44.6,0.115,0,Kailh Chinoiserie Delo
44.8,0.12,0,Kailh Chinoiserie Delo
44.9,0.12,0,Kailh Chinoiserie Delo
45,0.12,0,Kailh Chinoiserie Delo
45.1,0.125,0,Kailh Chinoiserie Delo
45.2,0.125,0,Kailh Chinoiserie Delo
45.3,0.125,0,Kailh Chinoiserie Delo
45.5,0.13,0,Kailh Chinoiserie Delo
45.6,0.13,0,Kailh Chinoiserie Delo
45.6,0.135,0,Kailh Chinoiserie Delo
45.7,0.135,0,Kailh Chinoiserie Delo
45.8,0.14,0,Kailh Chinoiserie Delo
45.9,0.14,0,Kailh Chinoiserie Delo
45.9,0.14,0,Kailh Chinoiserie Delo
46.1,0.145,0,Kailh Chinoiserie Delo
46.1,0.145,0,Kailh Chinoiserie Delo
46.2,0.145,0,Kailh Chinoiserie Delo
46.2,0.15,0,Kailh Chinoiserie Delo
46.2,0.15,0,Kailh Chinoiserie Delo
46.3,0.15,0,Kailh Chinoiserie Delo
46.4,0.155,0,Kailh Chinoiserie Delo
46.4,0.155,0,Kailh Chinoiserie Delo
46.5,0.155,0,Kailh Chinoiserie Delo
46.6,0.16,0,Kailh Chinoiserie Delo
46.7,0.16,0,Kailh Chinoiserie Delo
46.7,0.16,0,Kailh Chinoiserie Delo
46.6,0.165,0,Kailh Chinoiserie Delo
46.7,0.165,0,Kailh Chinoiserie Delo
46.7,0.17,0,Kailh Chinoiserie Delo
46.7,0.17,0,Kailh Chinoiserie Delo
46.7,0.17,0,Kailh Chinoiserie Delo
46.7,0.175,0,Kailh Chinoiserie Delo
46.7,0.175,0,Kailh Chinoiserie Delo
46.7,0.175,0,Kailh Chinoiserie Delo
46.7,0.175,0,Kailh Chinoiserie Delo
46.8,0.18,0,Kailh Chinoiserie Delo
46.9,0.18,0,Kailh Chinoiserie Delo
46.9,0.18,0,Kailh Chinoiserie Delo
46.9,0.185,0,Kailh Chinoiserie Delo
46.9,0.185,0,Kailh Chinoiserie Delo
47,0.19,0,Kailh Chinoiserie Delo
47,0.19,0,Kailh Chinoiserie Delo
47.1,0.195,0,Kailh Chinoiserie Delo
47.1,0.195,0,Kailh Chinoiserie Delo
47.2,0.195,0,Kailh Chinoiserie Delo
47.2,0.2,0,Kailh Chinoiserie Delo
47.3,0.2,0,Kailh Chinoiserie Delo
47.3,0.205,0,Kailh Chinoiserie Delo
47.4,0.205,0,Kailh Chinoiserie Delo
47.4,0.205,0,Kailh Chinoiserie Delo
47.5,0.21,0,Kailh Chinoiserie Delo
47.5,0.21,0,Kailh Chinoiserie Delo
47.6,0.21,0,Kailh Chinoiserie Delo
47.7,0.215,0,Kailh Chinoiserie Delo
47.7,0.215,0,Kailh Chinoiserie Delo
47.8,0.22,0,Kailh Chinoiserie Delo
47.9,0.22,0,Kailh Chinoiserie Delo
48,0.225,0,Kailh Chinoiserie Delo
48.1,0.225,0,Kailh Chinoiserie Delo
48.2,0.225,0,Kailh Chinoiserie Delo
48.3,0.23,0,Kailh Chinoiserie Delo
48.4,0.23,0,Kailh Chinoiserie Delo
48.5,0.23,0,Kailh Chinoiserie Delo
