force,displacement,judge,name
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0,0,Kailh Choc Low Profile Burnt Orange
0,0.005,0,Kailh Choc Low Profile Burnt Orange
0,0.005,0,Kailh Choc Low Profile Burnt Orange
0,0.005,0,Kailh Choc Low Profile Burnt Orange
0,0.005,0,Kailh Choc Low Profile Burnt Orange
0,0.01,0,Kailh Choc Low Profile Burnt Orange
0,0.01,0,Kailh Choc Low Profile Burnt Orange
0,0.01,0,Kailh Choc Low Profile Burnt Orange
0,0.01,0,Kailh Choc Low Profile Burnt Orange
0,0.015,0,Kailh Choc Low Profile Burnt Orange
0,0.015,0,Kailh Choc Low Profile Burnt Orange
0,0.015,0,Kailh Choc Low Profile Burnt Orange
0,0.02,0,Kailh Choc Low Profile Burnt Orange
0,0.025,0,Kailh Choc Low Profile Burnt Orange
0,0.025,0,Kailh Choc Low Profile Burnt Orange
0,0.03,0,Kailh Choc Low Profile Burnt Orange
0,0.03,0,Kailh Choc Low Profile Burnt Orange
0,0.03,0,Kailh Choc Low Profile Burnt Orange
0,0.035,0,Kailh Choc Low Profile Burnt Orange
0,0.035,0,Kailh Choc Low Profile Burnt Orange
0,0.035,0,Kailh Choc Low Profile Burnt Orange
0,0.04,0,Kailh Choc Low Profile Burnt Orange
0,0.04,0,Kailh Choc Low Profile Burnt Orange
0.7,0.045,0,Kailh Choc Low Profile Burnt Orange
2.3,0.045,0,Kailh Choc Low Profile Burnt Orange
3.5,0.045,0,Kailh Choc Low Profile Burnt Orange
4.3,0.045,0,Kailh Choc Low Profile Burnt Orange
5.1,0.05,0,Kailh Choc Low Profile Burnt Orange
5.7,0.05,0,Kailh Choc Low Profile Burnt Orange
6.2,0.05,0,Kailh Choc Low Profile Burnt Orange
6.8,0.05,0,Kailh Choc Low Profile Burnt Orange
7.4,0.05,0,Kailh Choc Low Profile Burnt Orange
7.8,0.05,0,Kailh Choc Low Profile Burnt Orange
8.6,0.05,0,Kailh Choc Low Profile Burnt Orange
9.5,0.05,0,Kailh Choc Low Profile Burnt Orange
10.4,0.055,0,Kailh Choc Low Profile Burnt Orange
11.8,0.055,0,Kailh Choc Low Profile Burnt Orange
13.3,0.055,0,Kailh Choc Low Profile Burnt Orange
14.2,0.055,0,Kailh Choc Low Profile Burnt Orange
15.6,0.06,0,Kailh Choc Low Profile Burnt Orange
17.2,0.06,0,Kailh Choc Low Profile Burnt Orange
19,0.06,0,Kailh Choc Low Profile Burnt Orange
20.6,0.065,0,Kailh Choc Low Profile Burnt Orange
21.8,0.065,0,Kailh Choc Low Profile Burnt Orange
22.9,0.065,0,Kailh Choc Low Profile Burnt Orange
24.5,0.07,0,Kailh Choc Low Profile Burnt Orange
26.3,0.07,0,Kailh Choc Low Profile Burnt Orange
28.1,0.07,0,Kailh Choc Low Profile Burnt Orange
29.7,0.075,0,Kailh Choc Low Profile Burnt Orange
31.5,0.075,0,Kailh Choc Low Profile Burnt Orange
33.4,0.08,0,Kailh Choc Low Profile Burnt Orange
35.1,0.08,0,Kailh Choc Low Profile Burnt Orange
37,0.085,0,Kailh Choc Low Profile Burnt Orange
38.7,0.085,0,Kailh Choc Low Profile Burnt Orange
40.5,0.09,0,Kailh Choc Low Profile Burnt Orange
42.2,0.09,0,Kailh Choc Low Profile Burnt Orange
43.9,0.095,0,Kailh Choc Low Profile Burnt Orange
45.7,0.1,0,Kailh Choc Low Profile Burnt Orange
46.8,0.1,0,Kailh Choc Low Profile Burnt Orange
46.7,0.105,0,Kailh Choc Low Profile Burnt Orange
47.2,0.11,0,Kailh Choc Low Profile Burnt Orange
48.2,0.11,0,Kailh Choc Low Profile Burnt Orange
48.9,0.115,0,Kailh Choc Low Profile Burnt Orange
49.5,0.12,0,Kailh Choc Low Profile Burnt Orange
50.1,0.12,0,Kailh Choc Low Profile Burnt Orange
50.7,0.125,0,Kailh Choc Low Profile Burnt Orange
51.3,0.13,0,Kailh Choc Low Profile Burnt Orange
52.2,0.135,0,Kailh Choc Low Profile Burnt Orange
53,0.135,0,Kailh Choc Low Profile Burnt Orange
53.8,0.14,0,Kailh Choc Low Profile Burnt Orange
54.4,0.145,0,Kailh Choc Low Profile Burnt Orange
54.6,0.15,0,Kailh Choc Low Profile Burnt Orange
54.7,0.155,0,Kailh Choc Low Profile Burnt Orange
54.7,0.16,0,Kailh Choc Low Profile Burnt Orange
54.6,0.16,0,Kailh Choc Low Profile Burnt Orange
54.7,0.165,0,Kailh Choc Low Profile Burnt Orange
54.9,0.165,0,Kailh Choc Low Profile Burnt Orange
55.1,0.17,0,Kailh Choc Low Profile Burnt Orange
55.1,0.17,0,Kailh Choc Low Profile Burnt Orange
55.1,0.17,0,Kailh Choc Low Profile Burnt Orange
55,0.175,0,Kailh Choc Low Profile Burnt Orange
55.1,0.175,0,Kailh Choc Low Profile Burnt Orange
55.2,0.175,0,Kailh Choc Low Profile Burnt Orange
55.2,0.175,0,Kailh Choc Low Profile Burnt Orange
55.2,0.18,0,Kailh Choc Low Profile Burnt Orange
55.2,0.18,0,Kailh Choc Low Profile Burnt Orange
