force,displacement,judge,name
0,0,0,Kailh MX Star
0,0,0,Kailh MX Star
0.1,0,0,Kailh MX Star
0,0,0,Kailh MX Star
0,0,0,Kailh MX Star
-0.1,0,0,Kailh MX Star
0,0,0,Kailh MX Star
0,0,0,Kailh MX Star
0.1,0,0,Kailh MX Star
0,0,0,Kailh MX Star
-0.1,0,0,Kailh MX Star
-0.1,0,0,Kailh MX Star
0.1,0,0,Kailh MX Star
0,0,0,Kailh MX Star
-0.1,0,0,Kailh MX Star
-0.1,0,0,Kailh MX Star
0,0,0,Kailh MX Star
0,0,0,Kailh MX Star
0.6,0.005,0,Kailh MX Star
3.8,0.01,0,Kailh MX Star
10,0.015,0,Kailh MX Star
17,0.02,0,Kailh MX Star
22.1,0.025,0,Kailh MX Star
26.3,0.03,0,Kailh MX Star
29.1,0.035,0,Kailh MX Star
29.1,0.04,0,Kailh MX Star
29.9,0.045,0,Kailh MX Star
30.7,0.045,0,Kailh MX Star
31.4,0.05,0,Kailh MX Star
32.2,0.055,0,Kailh MX Star
32.8,0.055,0,Kailh MX Star
33.5,0.06,0,Kailh MX Star
34.2,0.06,0,Kailh MX Star
35,0.065,0,Kailh MX Star
35.7,0.07,0,Kailh MX Star
36.1,0.07,0,Kailh MX Star
36.5,0.075,0,Kailh MX Star
36.5,0.08,0,Kailh MX Star
35.9,0.08,0,Kailh MX Star
36.1,0.085,0,Kailh MX Star
36.4,0.09,0,Kailh MX Star
36.3,0.09,0,Kailh MX Star
36.3,0.095,0,Kailh MX Star
36.2,0.1,0,Kailh MX Star
36.3,0.105,0,Kailh MX Star
36.2,0.105,0,Kailh MX Star
35.9,0.11,0,Kailh MX Star
35.9,0.115,0,Kailh MX Star
36,0.12,0,Kailh MX Star
35.9,0.125,0,Kailh MX Star
35.7,0.13,0,Kailh MX Star
35.6,0.13,0,Kailh MX Star
35.6,0.135,0,Kailh MX Star
35.6,0.14,0,Kailh MX Star
35.6,0.145,0,Kailh MX Star
35.4,0.145,0,Kailh MX Star
35.4,0.15,0,Kailh MX Star
35.3,0.155,0,Kailh MX Star
35.3,0.155,0,Kailh MX Star
35.3,0.16,0,Kailh MX Star
35.3,0.165,0,Kailh MX Star
35.3,0.165,0,Kailh MX Star
35.2,0.17,0,Kailh MX Star
35,0.175,0,Kailh MX Star
35,0.175,0,Kailh MX Star
35.2,0.175,0,Kailh MX Star
35.2,0.18,0,Kailh MX Star
35.2,0.18,0,Kailh MX Star
35.1,0.185,0,Kailh MX Star
35.1,0.185,0,Kailh MX Star
35.1,0.19,0,Kailh MX Star
35,0.19,0,Kailh MX Star
35,0.195,0,Kailh MX Star
35,0.195,0,Kailh MX Star
35,0.2,0,Kailh MX Star
35,0.205,0,Kailh MX Star
34.9,0.205,0,Kailh MX Star
35,0.21,0,Kailh MX Star
35,0.215,0,Kailh MX Star
35,0.215,0,Kailh MX Star
35,0.22,0,Kailh MX Star
35.1,0.22,0,Kailh MX Star
35,0.225,0,Kailh MX Star
35.1,0.23,0,Kailh MX Star
35.1,0.23,0,Kailh MX Star
35.1,0.235,0,Kailh MX Star
35.2,0.24,0,Kailh MX Star
35.2,0.24,0,Kailh MX Star
35.1,0.245,0,Kailh MX Star
35,0.245,0,Kailh MX Star
35.3,0.25,0,Kailh MX Star
35.4,0.255,0,Kailh MX Star
