force,displacement,judge,name
-0.1,0,0,Kailh Pro Heavy Berry (PCB Mount)
0.1,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
-0.1,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
-0.1,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.005,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.005,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.005,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.005,0,Kailh Pro Heavy Berry (PCB Mount)
0.1,0.005,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.01,0,Kailh Pro Heavy Berry (PCB Mount)
-0.1,0.015,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.015,0,Kailh Pro Heavy Berry (PCB Mount)
0.1,0.02,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.03,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.04,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.04,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.05,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.05,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.05,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.055,0,Kailh Pro Heavy Berry (PCB Mount)
-0.1,0.055,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.055,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.06,0,Kailh Pro Heavy Berry (PCB Mount)
-0.1,0.07,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.085,0,Kailh Pro Heavy Berry (PCB Mount)
0,0.095,0,Kailh Pro Heavy Berry (PCB Mount)
0.1,0.105,0,Kailh Pro Heavy Berry (PCB Mount)
-0.1,0.12,0,Kailh Pro Heavy Berry (PCB Mount)
8.1,0.13,0,Kailh Pro Heavy Berry (PCB Mount)
18.7,0.14,0,Kailh Pro Heavy Berry (PCB Mount)
28.5,0.15,0,Kailh Pro Heavy Berry (PCB Mount)
34.9,0.16,0,Kailh Pro Heavy Berry (PCB Mount)
38.5,0.16,0,Kailh Pro Heavy Berry (PCB Mount)
40.7,0.165,0,Kailh Pro Heavy Berry (PCB Mount)
43.2,0.165,0,Kailh Pro Heavy Berry (PCB Mount)
45.8,0.17,0,Kailh Pro Heavy Berry (PCB Mount)
48.3,0.17,0,Kailh Pro Heavy Berry (PCB Mount)
50.7,0.175,0,Kailh Pro Heavy Berry (PCB Mount)
51.1,0.18,0,Kailh Pro Heavy Berry (PCB Mount)
51.5,0.18,0,Kailh Pro Heavy Berry (PCB Mount)
51.9,0.185,0,Kailh Pro Heavy Berry (PCB Mount)
52.3,0.185,0,Kailh Pro Heavy Berry (PCB Mount)
52.4,0.185,0,Kailh Pro Heavy Berry (PCB Mount)
52.7,0.185,0,Kailh Pro Heavy Berry (PCB Mount)
53.2,0.19,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.19,0,Kailh Pro Heavy Berry (PCB Mount)
53.9,0.195,0,Kailh Pro Heavy Berry (PCB Mount)
54.1,0.195,0,Kailh Pro Heavy Berry (PCB Mount)
54.6,0.2,0,Kailh Pro Heavy Berry (PCB Mount)
54.9,0.2,0,Kailh Pro Heavy Berry (PCB Mount)
54.7,0.205,0,Kailh Pro Heavy Berry (PCB Mount)
54.2,0.205,0,Kailh Pro Heavy Berry (PCB Mount)
53.6,0.21,0,Kailh Pro Heavy Berry (PCB Mount)
53.6,0.21,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.215,0,Kailh Pro Heavy Berry (PCB Mount)
53.6,0.215,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.22,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.22,0,Kailh Pro Heavy Berry (PCB Mount)
53.7,0.225,0,Kailh Pro Heavy Berry (PCB Mount)
53.6,0.225,0,Kailh Pro Heavy Berry (PCB Mount)
53.6,0.23,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.23,0,Kailh Pro Heavy Berry (PCB Mount)
53.6,0.23,0,Kailh Pro Heavy Berry (PCB Mount)
53.8,0.235,0,Kailh Pro Heavy Berry (PCB Mount)
53.9,0.235,0,Kailh Pro Heavy Berry (PCB Mount)
53.9,0.235,0,Kailh Pro Heavy Berry (PCB Mount)
53.6,0.24,0,Kailh Pro Heavy Berry (PCB Mount)
53.7,0.24,0,Kailh Pro Heavy Berry (PCB Mount)
53.8,0.24,0,Kailh Pro Heavy Berry (PCB Mount)
53.9,0.245,0,Kailh Pro Heavy Berry (PCB Mount)
53.7,0.245,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.245,0,Kailh Pro Heavy Berry (PCB Mount)
53.6,0.25,0,Kailh Pro Heavy Berry (PCB Mount)
53.4,0.25,0,Kailh Pro Heavy Berry (PCB Mount)
53.7,0.255,0,Kailh Pro Heavy Berry (PCB Mount)
53.7,0.255,0,Kailh Pro Heavy Berry (PCB Mount)
53.7,0.255,0,Kailh Pro Heavy Berry (PCB Mount)
53.6,0.26,0,Kailh Pro Heavy Berry (PCB Mount)
53.7,0.26,0,Kailh Pro Heavy Berry (PCB Mount)
53.3,0.265,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.265,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.265,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.27,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.27,0,Kailh Pro Heavy Berry (PCB Mount)
53.7,0.27,0,Kailh Pro Heavy Berry (PCB Mount)
53.8,0.275,0,Kailh Pro Heavy Berry (PCB Mount)
53.9,0.275,0,Kailh Pro Heavy Berry (PCB Mount)
53.4,0.28,0,Kailh Pro Heavy Berry (PCB Mount)
53.2,0.28,0,Kailh Pro Heavy Berry (PCB Mount)
53.4,0.28,0,Kailh Pro Heavy Berry (PCB Mount)
53.3,0.28,0,Kailh Pro Heavy Berry (PCB Mount)
53.4,0.285,0,Kailh Pro Heavy Berry (PCB Mount)
53.2,0.285,0,Kailh Pro Heavy Berry (PCB Mount)
53.4,0.285,0,Kailh Pro Heavy Berry (PCB Mount)
52.9,0.285,0,Kailh Pro Heavy Berry (PCB Mount)
53.1,0.285,0,Kailh Pro Heavy Berry (PCB Mount)
53.4,0.29,0,Kailh Pro Heavy Berry (PCB Mount)
53.5,0.29,0,Kailh Pro Heavy Berry (PCB Mount)
53.8,0.29,0,Kailh Pro Heavy Berry (PCB Mount)
54,0.295,0,Kailh Pro Heavy Berry (PCB Mount)
54,0.3,0,Kailh Pro Heavy Berry (PCB Mount)
54.1,0.3,0,Kailh Pro Heavy Berry (PCB Mount)
54.2,0.305,0,Kailh Pro Heavy Berry (PCB Mount)
54.1,0.31,0,Kailh Pro Heavy Berry (PCB Mount)
54,0.315,0,Kailh Pro Heavy Berry (PCB Mount)
54.2,0.315,0,Kailh Pro Heavy Berry (PCB Mount)
54.2,0.32,0,Kailh Pro Heavy Berry (PCB Mount)
54.1,0.32,0,Kailh Pro Heavy Berry (PCB Mount)
54.1,0.32,0,Kailh Pro Heavy Berry (PCB Mount)
54.2,0.325,0,Kailh Pro Heavy Berry (PCB Mount)
54.2,0.325,0,Kailh Pro Heavy Berry (PCB Mount)
54.5,0.33,0,Kailh Pro Heavy Berry (PCB Mount)
54.7,0.33,0,Kailh Pro Heavy Berry (PCB Mount)
54.6,0.335,0,Kailh Pro Heavy Berry (PCB Mount)
54.6,0.335,0,Kailh Pro Heavy Berry (PCB Mount)
54.7,0.34,0,Kailh Pro Heavy Berry (PCB Mount)
54.7,0.34,0,Kailh Pro Heavy Berry (PCB Mount)
54.5,0.34,0,Kailh Pro Heavy Berry (PCB Mount)
54.5,0.345,0,Kailh Pro Heavy Berry (PCB Mount)
54.5,0.345,0,Kailh Pro Heavy Berry (PCB Mount)
54.6,0.345,0,Kailh Pro Heavy Berry (PCB Mount)
54.8,0.35,0,Kailh Pro Heavy Berry (PCB Mount)
54.8,0.35,0,Kailh Pro Heavy Berry (PCB Mount)
54.8,0.35,0,Kailh Pro Heavy Berry (PCB Mount)
54.8,0.35,0,Kailh Pro Heavy Berry (PCB Mount)
54.9,0.355,0,Kailh Pro Heavy Berry (PCB Mount)
55.2,0.355,0,Kailh Pro Heavy Berry (PCB Mount)
55.1,0.355,0,Kailh Pro Heavy Berry (PCB Mount)
55.1,0.36,0,Kailh Pro Heavy Berry (PCB Mount)
55.2,0.36,0,Kailh Pro Heavy Berry (PCB Mount)
55.3,0.36,0,Kailh Pro Heavy Berry (PCB Mount)
55.4,0.36,0,Kailh Pro Heavy Berry (PCB Mount)
55.4,0.365,0,Kailh Pro Heavy Berry (PCB Mount)
55.4,0.365,0,Kailh Pro Heavy Berry (PCB Mount)
55.3,0.365,0,Kailh Pro Heavy Berry (PCB Mount)
55.5,0.37,0,Kailh Pro Heavy Berry (PCB Mount)
55.6,0.37,0,Kailh Pro Heavy Berry (PCB Mount)
55.6,0.37,0,Kailh Pro Heavy Berry (PCB Mount)
55.6,0.375,0,Kailh Pro Heavy Berry (PCB Mount)
55.5,0.375,0,Kailh Pro Heavy Berry (PCB Mount)
55.6,0.375,0,Kailh Pro Heavy Berry (PCB Mount)
55.6,0.375,0,Kailh Pro Heavy Berry (PCB Mount)
55.7,0.375,0,Kailh Pro Heavy Berry (PCB Mount)
55.7,0.38,0,Kailh Pro Heavy Berry (PCB Mount)
55.7,0.38,0,Kailh Pro Heavy Berry (PCB Mount)
55.7,0.38,0,Kailh Pro Heavy Berry (PCB Mount)
55.9,0.38,0,Kailh Pro Heavy Berry (PCB Mount)
56.1,0.385,0,Kailh Pro Heavy Berry (PCB Mount)
56.2,0.385,0,Kailh Pro Heavy Berry (PCB Mount)
56.2,0.385,0,Kailh Pro Heavy Berry (PCB Mount)
56.2,0.385,0,Kailh Pro Heavy Berry (PCB Mount)
56.2,0.39,0,Kailh Pro Heavy Berry (PCB Mount)
55.9,0.39,0,Kailh Pro Heavy Berry (PCB Mount)
55.7,0.395,0,Kailh Pro Heavy Berry (PCB Mount)
55.9,0.395,0,Kailh Pro Heavy Berry (PCB Mount)
56,0.4,0,Kailh Pro Heavy Berry (PCB Mount)
56.1,0.4,0,Kailh Pro Heavy Berry (PCB Mount)
56.1,0.405,0,Kailh Pro Heavy Berry (PCB Mount)
56,0.405,0,Kailh Pro Heavy Berry (PCB Mount)
56,0.405,0,Kailh Pro Heavy Berry (PCB Mount)
55.9,0.41,0,Kailh Pro Heavy Berry (PCB Mount)
56.2,0.415,0,Kailh Pro Heavy Berry (PCB Mount)
56.5,0.415,0,Kailh Pro Heavy Berry (PCB Mount)
56.7,0.42,0,Kailh Pro Heavy Berry (PCB Mount)
56.8,0.425,0,Kailh Pro Heavy Berry (PCB Mount)
56.8,0.43,0,Kailh Pro Heavy Berry (PCB Mount)
56.6,0.435,0,Kailh Pro Heavy Berry (PCB Mount)
56.1,0.44,0,Kailh Pro Heavy Berry (PCB Mount)
56.1,0.44,0,Kailh Pro Heavy Berry (PCB Mount)
56.5,0.445,0,Kailh Pro Heavy Berry (PCB Mount)
56.5,0.45,0,Kailh Pro Heavy Berry (PCB Mount)
56.4,0.45,0,Kailh Pro Heavy Berry (PCB Mount)
56.2,0.455,0,Kailh Pro Heavy Berry (PCB Mount)
56,0.46,0,Kailh Pro Heavy Berry (PCB Mount)
56.3,0.465,0,Kailh Pro Heavy Berry (PCB Mount)
56.5,0.47,0,Kailh Pro Heavy Berry (PCB Mount)
56.4,0.47,0,Kailh Pro Heavy Berry (PCB Mount)
56.4,0.475,0,Kailh Pro Heavy Berry (PCB Mount)
56.5,0.475,0,Kailh Pro Heavy Berry (PCB Mount)
56.1,0.48,0,Kailh Pro Heavy Berry (PCB Mount)
56.2,0.48,0,Kailh Pro Heavy Berry (PCB Mount)
56.2,0.485,0,Kailh Pro Heavy Berry (PCB Mount)
56.2,0.485,0,Kailh Pro Heavy Berry (PCB Mount)
