force,displacement,judge,name
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
-0.1,0,0,Kailh Pro Heavy Sage (PCB Mount)
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
-0.1,0,0,Kailh Pro Heavy Sage (PCB Mount)
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
-0.1,0,0,Kailh Pro Heavy Sage (PCB Mount)
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
0.1,0,0,Kailh Pro Heavy Sage (PCB Mount)
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
0.1,0,0,Kailh Pro Heavy Sage (PCB Mount)
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
-0.1,0,0,Kailh Pro Heavy Sage (PCB Mount)
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
0,0,0,Kailh Pro Heavy Sage (PCB Mount)
-0.1,0.005,0,Kailh Pro Heavy Sage (PCB Mount)
0,0.005,0,Kailh Pro Heavy Sage (PCB Mount)
0,0.005,0,Kailh Pro Heavy Sage (PCB Mount)
0.1,0.005,0,Kailh Pro Heavy Sage (PCB Mount)
0,0.01,0,Kailh Pro Heavy Sage (PCB Mount)
0,0.01,0,Kailh Pro Heavy Sage (PCB Mount)
-0.1,0.015,0,Kailh Pro Heavy Sage (PCB Mount)
0,0.015,0,Kailh Pro Heavy Sage (PCB Mount)
-0.1,0.015,0,Kailh Pro Heavy Sage (PCB Mount)
-0.1,0.02,0,Kailh Pro Heavy Sage (PCB Mount)
1.7,0.02,0,Kailh Pro Heavy Sage (PCB Mount)
5.2,0.025,0,Kailh Pro Heavy Sage (PCB Mount)
8.8,0.03,0,Kailh Pro Heavy Sage (PCB Mount)
12.2,0.035,0,Kailh Pro Heavy Sage (PCB Mount)
14.9,0.035,0,Kailh Pro Heavy Sage (PCB Mount)
17.6,0.04,0,Kailh Pro Heavy Sage (PCB Mount)
20.7,0.04,0,Kailh Pro Heavy Sage (PCB Mount)
23.3,0.045,0,Kailh Pro Heavy Sage (PCB Mount)
25.9,0.045,0,Kailh Pro Heavy Sage (PCB Mount)
28.5,0.05,0,Kailh Pro Heavy Sage (PCB Mount)
30.6,0.05,0,Kailh Pro Heavy Sage (PCB Mount)
32.5,0.055,0,Kailh Pro Heavy Sage (PCB Mount)
34.5,0.055,0,Kailh Pro Heavy Sage (PCB Mount)
