force,displacement,judge,name
0,0,0,Kailh Pro Light Green (Plate Mount)
0,0,0,Kailh Pro Light Green (Plate Mount)
0.1,0,0,Kailh Pro Light Green (Plate Mount)
0,0,0,Kailh Pro Light Green (Plate Mount)
-0.1,0,0,Kailh Pro Light Green (Plate Mount)
-0.1,0,0,Kailh Pro Light Green (Plate Mount)
0,0,0,Kailh Pro Light Green (Plate Mount)
0.1,0,0,Kailh Pro Light Green (Plate Mount)
0,0,0,Kailh Pro Light Green (Plate Mount)
0,0,0,Kailh Pro Light Green (Plate Mount)
0,0,0,Kailh Pro Light Green (Plate Mount)
0.1,0,0,Kailh Pro Light Green (Plate Mount)
-0.1,0,0,Kailh Pro Light Green (Plate Mount)
0,0,0,Kailh Pro Light Green (Plate Mount)
0,0,0,Kailh Pro Light Green (Plate Mount)
0.1,0,0,Kailh Pro Light Green (Plate Mount)
0,0.005,0,Kailh Pro Light Green (Plate Mount)
-0.1,0.005,0,Kailh Pro Light Green (Plate Mount)
0,0.005,0,Kailh Pro Light Green (Plate Mount)
0.1,0.01,0,Kailh Pro Light Green (Plate Mount)
0.1,0.01,0,Kailh Pro Light Green (Plate Mount)
-0.1,0.01,0,Kailh Pro Light Green (Plate Mount)
0.1,0.015,0,Kailh Pro Light Green (Plate Mount)
0,0.015,0,Kailh Pro Light Green (Plate Mount)
0,0.015,0,Kailh Pro Light Green (Plate Mount)
0,0.02,0,Kailh Pro Light Green (Plate Mount)
0.1,0.025,0,Kailh Pro Light Green (Plate Mount)
0.2,0.025,0,Kailh Pro Light Green (Plate Mount)
1.9,0.025,0,Kailh Pro Light Green (Plate Mount)
4.4,0.03,0,Kailh Pro Light Green (Plate Mount)
7.7,0.035,0,Kailh Pro Light Green (Plate Mount)
11,0.035,0,Kailh Pro Light Green (Plate Mount)
13.3,0.04,0,Kailh Pro Light Green (Plate Mount)
15.5,0.04,0,Kailh Pro Light Green (Plate Mount)
17.8,0.045,0,Kailh Pro Light Green (Plate Mount)
20,0.045,0,Kailh Pro Light Green (Plate Mount)
22.2,0.05,0,Kailh Pro Light Green (Plate Mount)
23.5,0.05,0,Kailh Pro Light Green (Plate Mount)
25.1,0.05,0,Kailh Pro Light Green (Plate Mount)
26.9,0.055,0,Kailh Pro Light Green (Plate Mount)
28.5,0.055,0,Kailh Pro Light Green (Plate Mount)
30.1,0.055,0,Kailh Pro Light Green (Plate Mount)
31.7,0.06,0,Kailh Pro Light Green (Plate Mount)
33.1,0.06,0,Kailh Pro Light Green (Plate Mount)
34.2,0.06,0,Kailh Pro Light Green (Plate Mount)
35.2,0.06,0,Kailh Pro Light Green (Plate Mount)
36.4,0.065,0,Kailh Pro Light Green (Plate Mount)
38.1,0.065,0,Kailh Pro Light Green (Plate Mount)
39.3,0.065,0,Kailh Pro Light Green (Plate Mount)
40.2,0.07,0,Kailh Pro Light Green (Plate Mount)
41,0.07,0,Kailh Pro Light Green (Plate Mount)
41.4,0.07,0,Kailh Pro Light Green (Plate Mount)
41.2,0.075,0,Kailh Pro Light Green (Plate Mount)
41.2,0.075,0,Kailh Pro Light Green (Plate Mount)
41.1,0.08,0,Kailh Pro Light Green (Plate Mount)
41.2,0.08,0,Kailh Pro Light Green (Plate Mount)
41.2,0.085,0,Kailh Pro Light Green (Plate Mount)
41.3,0.09,0,Kailh Pro Light Green (Plate Mount)
41.4,0.095,0,Kailh Pro Light Green (Plate Mount)
41.4,0.1,0,Kailh Pro Light Green (Plate Mount)
41.4,0.105,0,Kailh Pro Light Green (Plate Mount)
41.5,0.105,0,Kailh Pro Light Green (Plate Mount)
41.6,0.11,0,Kailh Pro Light Green (Plate Mount)
41.7,0.115,0,Kailh Pro Light Green (Plate Mount)
41.7,0.12,0,Kailh Pro Light Green (Plate Mount)
41.9,0.135,0,Kailh Pro Light Green (Plate Mount)
42,0.15,0,Kailh Pro Light Green (Plate Mount)
42.3,0.17,0,Kailh Pro Light Green (Plate Mount)
42.5,0.18,0,Kailh Pro Light Green (Plate Mount)
42.5,0.185,0,Kailh Pro Light Green (Plate Mount)
42.7,0.185,0,Kailh Pro Light Green (Plate Mount)
42.7,0.19,0,Kailh Pro Light Green (Plate Mount)
