force,displacement,judge,name
0,0,0,Kailh Pro Purple (Plate Mount)
-0.1,0,0,Kailh Pro Purple (Plate Mount)
0,0,0,Kailh Pro Purple (Plate Mount)
0,0,0,Kailh Pro Purple (Plate Mount)
-0.1,0,0,Kailh Pro Purple (Plate Mount)
0.1,0,0,Kailh Pro Purple (Plate Mount)
0.1,0,0,Kailh Pro Purple (Plate Mount)
0,0,0,Kailh Pro Purple (Plate Mount)
-0.1,0,0,Kailh Pro Purple (Plate Mount)
0,0,0,Kailh Pro Purple (Plate Mount)
-0.1,0,0,Kailh Pro Purple (Plate Mount)
-0.2,0,0,Kailh Pro Purple (Plate Mount)
-0.1,0,0,Kailh Pro Purple (Plate Mount)
0,0,0,Kailh Pro Purple (Plate Mount)
0,0,0,Kailh Pro Purple (Plate Mount)
0,0,0,Kailh Pro Purple (Plate Mount)
0,0,0,Kailh Pro Purple (Plate Mount)
0,0.005,0,Kailh Pro Purple (Plate Mount)
0,0.005,0,Kailh Pro Purple (Plate Mount)
0,0.01,0,Kailh Pro Purple (Plate Mount)
0,0.01,0,Kailh Pro Purple (Plate Mount)
0,0.015,0,Kailh Pro Purple (Plate Mount)
0.1,0.02,0,Kailh Pro Purple (Plate Mount)
0.1,0.02,0,Kailh Pro Purple (Plate Mount)
0.1,0.025,0,Kailh Pro Purple (Plate Mount)
0.1,0.03,0,Kailh Pro Purple (Plate Mount)
1.5,0.03,0,Kailh Pro Purple (Plate Mount)
3.4,0.035,0,Kailh Pro Purple (Plate Mount)
5.5,0.035,0,Kailh Pro Purple (Plate Mount)
7.7,0.04,0,Kailh Pro Purple (Plate Mount)
9.7,0.04,0,Kailh Pro Purple (Plate Mount)
12.1,0.045,0,Kailh Pro Purple (Plate Mount)
14.4,0.045,0,Kailh Pro Purple (Plate Mount)
16.5,0.05,0,Kailh Pro Purple (Plate Mount)
18.6,0.05,0,Kailh Pro Purple (Plate Mount)
20.7,0.055,0,Kailh Pro Purple (Plate Mount)
22.4,0.055,0,Kailh Pro Purple (Plate Mount)
24,0.055,0,Kailh Pro Purple (Plate Mount)
25.6,0.06,0,Kailh Pro Purple (Plate Mount)
27.2,0.06,0,Kailh Pro Purple (Plate Mount)
29,0.06,0,Kailh Pro Purple (Plate Mount)
30.5,0.065,0,Kailh Pro Purple (Plate Mount)
32,0.065,0,Kailh Pro Purple (Plate Mount)
33.2,0.065,0,Kailh Pro Purple (Plate Mount)
34.2,0.07,0,Kailh Pro Purple (Plate Mount)
35.2,0.07,0,Kailh Pro Purple (Plate Mount)
36.3,0.07,0,Kailh Pro Purple (Plate Mount)
37.4,0.075,0,Kailh Pro Purple (Plate Mount)
38.6,0.075,0,Kailh Pro Purple (Plate Mount)
39.7,0.075,0,Kailh Pro Purple (Plate Mount)
40.2,0.08,0,Kailh Pro Purple (Plate Mount)
40.5,0.08,0,Kailh Pro Purple (Plate Mount)
41,0.08,0,Kailh Pro Purple (Plate Mount)
41.4,0.085,0,Kailh Pro Purple (Plate Mount)
41.8,0.085,0,Kailh Pro Purple (Plate Mount)
42.2,0.085,0,Kailh Pro Purple (Plate Mount)
42.3,0.09,0,Kailh Pro Purple (Plate Mount)
42.2,0.09,0,Kailh Pro Purple (Plate Mount)
42.1,0.095,0,Kailh Pro Purple (Plate Mount)
42.4,0.095,0,Kailh Pro Purple (Plate Mount)
42.6,0.095,0,Kailh Pro Purple (Plate Mount)
42.6,0.1,0,Kailh Pro Purple (Plate Mount)
42.5,0.105,0,Kailh Pro Purple (Plate Mount)
42,0.105,0,Kailh Pro Purple (Plate Mount)
41.6,0.11,0,Kailh Pro Purple (Plate Mount)
41.5,0.115,0,Kailh Pro Purple (Plate Mount)
41.4,0.115,0,Kailh Pro Purple (Plate Mount)
41.2,0.12,0,Kailh Pro Purple (Plate Mount)
41.2,0.125,0,Kailh Pro Purple (Plate Mount)
41.1,0.125,0,Kailh Pro Purple (Plate Mount)
41,0.13,0,Kailh Pro Purple (Plate Mount)
40.9,0.13,0,Kailh Pro Purple (Plate Mount)
40.9,0.135,0,Kailh Pro Purple (Plate Mount)
41,0.135,0,Kailh Pro Purple (Plate Mount)
41.1,0.14,0,Kailh Pro Purple (Plate Mount)
41,0.14,0,Kailh Pro Purple (Plate Mount)
41,0.145,0,Kailh Pro Purple (Plate Mount)
41.2,0.15,0,Kailh Pro Purple (Plate Mount)
41.1,0.15,0,Kailh Pro Purple (Plate Mount)
41.1,0.155,0,Kailh Pro Purple (Plate Mount)
40.9,0.155,0,Kailh Pro Purple (Plate Mount)
41,0.16,0,Kailh Pro Purple (Plate Mount)
41,0.16,0,Kailh Pro Purple (Plate Mount)
41,0.165,0,Kailh Pro Purple (Plate Mount)
41,0.165,0,Kailh Pro Purple (Plate Mount)
41,0.165,0,Kailh Pro Purple (Plate Mount)
41,0.17,0,Kailh Pro Purple (Plate Mount)
41.2,0.17,0,Kailh Pro Purple (Plate Mount)
41.3,0.175,0,Kailh Pro Purple (Plate Mount)
41.3,0.175,0,Kailh Pro Purple (Plate Mount)
41.3,0.18,0,Kailh Pro Purple (Plate Mount)
41.2,0.18,0,Kailh Pro Purple (Plate Mount)
41.3,0.185,0,Kailh Pro Purple (Plate Mount)
41,0.19,0,Kailh Pro Purple (Plate Mount)
40.8,0.19,0,Kailh Pro Purple (Plate Mount)
40.7,0.19,0,Kailh Pro Purple (Plate Mount)
41.1,0.19,0,Kailh Pro Purple (Plate Mount)
41.3,0.19,0,Kailh Pro Purple (Plate Mount)
41.3,0.195,0,Kailh Pro Purple (Plate Mount)
41.4,0.195,0,Kailh Pro Purple (Plate Mount)
41.4,0.2,0,Kailh Pro Purple (Plate Mount)
41.5,0.2,0,Kailh Pro Purple (Plate Mount)
41.5,0.205,0,Kailh Pro Purple (Plate Mount)
41.4,0.205,0,Kailh Pro Purple (Plate Mount)
41.6,0.21,0,Kailh Pro Purple (Plate Mount)
41.7,0.215,0,Kailh Pro Purple (Plate Mount)
41.4,0.22,0,Kailh Pro Purple (Plate Mount)
41.7,0.22,0,Kailh Pro Purple (Plate Mount)
41.8,0.225,0,Kailh Pro Purple (Plate Mount)
41.8,0.23,0,Kailh Pro Purple (Plate Mount)
41.8,0.235,0,Kailh Pro Purple (Plate Mount)
41.7,0.24,0,Kailh Pro Purple (Plate Mount)
41.8,0.24,0,Kailh Pro Purple (Plate Mount)
41.8,0.245,0,Kailh Pro Purple (Plate Mount)
41.7,0.25,0,Kailh Pro Purple (Plate Mount)
41.8,0.255,0,Kailh Pro Purple (Plate Mount)
41.9,0.255,0,Kailh Pro Purple (Plate Mount)
42,0.26,0,Kailh Pro Purple (Plate Mount)
42,0.26,0,Kailh Pro Purple (Plate Mount)
42,0.265,0,Kailh Pro Purple (Plate Mount)
42,0.27,0,Kailh Pro Purple (Plate Mount)
42,0.27,0,Kailh Pro Purple (Plate Mount)
42,0.275,0,Kailh Pro Purple (Plate Mount)
42,0.28,0,Kailh Pro Purple (Plate Mount)
42.1,0.28,0,Kailh Pro Purple (Plate Mount)
42.1,0.285,0,Kailh Pro Purple (Plate Mount)
41.9,0.285,0,Kailh Pro Purple (Plate Mount)
42.1,0.285,0,Kailh Pro Purple (Plate Mount)
42.2,0.29,0,Kailh Pro Purple (Plate Mount)
42.3,0.29,0,Kailh Pro Purple (Plate Mount)
42,0.295,0,Kailh Pro Purple (Plate Mount)
41.9,0.295,0,Kailh Pro Purple (Plate Mount)
41.8,0.295,0,Kailh Pro Purple (Plate Mount)
41.9,0.295,0,Kailh Pro Purple (Plate Mount)
41.8,0.295,0,Kailh Pro Purple (Plate Mount)
41.9,0.295,0,Kailh Pro Purple (Plate Mount)
41.9,0.295,0,Kailh Pro Purple (Plate Mount)
41.9,0.3,0,Kailh Pro Purple (Plate Mount)
41.9,0.3,0,Kailh Pro Purple (Plate Mount)
42.1,0.3,0,Kailh Pro Purple (Plate Mount)
42.1,0.3,0,Kailh Pro Purple (Plate Mount)
42.1,0.3,0,Kailh Pro Purple (Plate Mount)
42.2,0.3,0,Kailh Pro Purple (Plate Mount)
42.1,0.305,0,Kailh Pro Purple (Plate Mount)
42,0.305,0,Kailh Pro Purple (Plate Mount)
41.9,0.305,0,Kailh Pro Purple (Plate Mount)
41.9,0.305,0,Kailh Pro Purple (Plate Mount)
41.9,0.305,0,Kailh Pro Purple (Plate Mount)
41.9,0.305,0,Kailh Pro Purple (Plate Mount)
42.2,0.305,0,Kailh Pro Purple (Plate Mount)
42.3,0.31,0,Kailh Pro Purple (Plate Mount)
42.1,0.31,0,Kailh Pro Purple (Plate Mount)
42.1,0.31,0,Kailh Pro Purple (Plate Mount)
42.1,0.31,0,Kailh Pro Purple (Plate Mount)
42.1,0.31,0,Kailh Pro Purple (Plate Mount)
42.1,0.315,0,Kailh Pro Purple (Plate Mount)
42,0.315,0,Kailh Pro Purple (Plate Mount)
42,0.315,0,Kailh Pro Purple (Plate Mount)
42,0.315,0,Kailh Pro Purple (Plate Mount)
42.1,0.315,0,Kailh Pro Purple (Plate Mount)
42.1,0.315,0,Kailh Pro Purple (Plate Mount)
42.2,0.315,0,Kailh Pro Purple (Plate Mount)
42.2,0.315,0,Kailh Pro Purple (Plate Mount)
42.2,0.32,0,Kailh Pro Purple (Plate Mount)
42.2,0.32,0,Kailh Pro Purple (Plate Mount)
42.2,0.32,0,Kailh Pro Purple (Plate Mount)
42.3,0.32,0,Kailh Pro Purple (Plate Mount)
42.3,0.32,0,Kailh Pro Purple (Plate Mount)
42.3,0.32,0,Kailh Pro Purple (Plate Mount)
42.4,0.325,0,Kailh Pro Purple (Plate Mount)
42.4,0.325,0,Kailh Pro Purple (Plate Mount)
42.5,0.325,0,Kailh Pro Purple (Plate Mount)
42.5,0.33,0,Kailh Pro Purple (Plate Mount)
42.7,0.33,0,Kailh Pro Purple (Plate Mount)
42.6,0.335,0,Kailh Pro Purple (Plate Mount)
42.4,0.335,0,Kailh Pro Purple (Plate Mount)
42.4,0.335,0,Kailh Pro Purple (Plate Mount)
42.4,0.34,0,Kailh Pro Purple (Plate Mount)
42.5,0.34,0,Kailh Pro Purple (Plate Mount)
42.6,0.34,0,Kailh Pro Purple (Plate Mount)
42.5,0.34,0,Kailh Pro Purple (Plate Mount)
42.6,0.34,0,Kailh Pro Purple (Plate Mount)
42.8,0.345,0,Kailh Pro Purple (Plate Mount)
42.9,0.345,0,Kailh Pro Purple (Plate Mount)
42.9,0.35,0,Kailh Pro Purple (Plate Mount)
42.9,0.355,0,Kailh Pro Purple (Plate Mount)
43,0.355,0,Kailh Pro Purple (Plate Mount)
43.1,0.36,0,Kailh Pro Purple (Plate Mount)
43.2,0.365,0,Kailh Pro Purple (Plate Mount)
43.2,0.37,0,Kailh Pro Purple (Plate Mount)
43.2,0.37,0,Kailh Pro Purple (Plate Mount)
43.2,0.375,0,Kailh Pro Purple (Plate Mount)
43.2,0.375,0,Kailh Pro Purple (Plate Mount)
43.4,0.38,0,Kailh Pro Purple (Plate Mount)
43.5,0.38,0,Kailh Pro Purple (Plate Mount)
43.6,0.385,0,Kailh Pro Purple (Plate Mount)
43.6,0.385,0,Kailh Pro Purple (Plate Mount)
43.8,0.39,0,Kailh Pro Purple (Plate Mount)
43.9,0.39,0,Kailh Pro Purple (Plate Mount)
43.8,0.395,0,Kailh Pro Purple (Plate Mount)
44.1,0.395,0,Kailh Pro Purple (Plate Mount)
44.4,0.4,0,Kailh Pro Purple (Plate Mount)
44.5,0.405,0,Kailh Pro Purple (Plate Mount)
44.5,0.405,0,Kailh Pro Purple (Plate Mount)
44.7,0.41,0,Kailh Pro Purple (Plate Mount)
44.7,0.41,0,Kailh Pro Purple (Plate Mount)
44.9,0.41,0,Kailh Pro Purple (Plate Mount)
45.1,0.415,0,Kailh Pro Purple (Plate Mount)
45.3,0.415,0,Kailh Pro Purple (Plate Mount)
45.4,0.42,0,Kailh Pro Purple (Plate Mount)
45.6,0.42,0,Kailh Pro Purple (Plate Mount)
45.8,0.42,0,Kailh Pro Purple (Plate Mount)
46,0.425,0,Kailh Pro Purple (Plate Mount)
46.2,0.425,0,Kailh Pro Purple (Plate Mount)
46.3,0.425,0,Kailh Pro Purple (Plate Mount)
46.6,0.43,0,Kailh Pro Purple (Plate Mount)
46.8,0.43,0,Kailh Pro Purple (Plate Mount)
47.1,0.435,0,Kailh Pro Purple (Plate Mount)
47.3,0.435,0,Kailh Pro Purple (Plate Mount)
47.6,0.44,0,Kailh Pro Purple (Plate Mount)
47.8,0.44,0,Kailh Pro Purple (Plate Mount)
48.1,0.445,0,Kailh Pro Purple (Plate Mount)
48.3,0.445,0,Kailh Pro Purple (Plate Mount)
48.6,0.45,0,Kailh Pro Purple (Plate Mount)
48.8,0.455,0,Kailh Pro Purple (Plate Mount)
49,0.455,0,Kailh Pro Purple (Plate Mount)
49.1,0.46,0,Kailh Pro Purple (Plate Mount)
49.4,0.465,0,Kailh Pro Purple (Plate Mount)
49.6,0.465,0,Kailh Pro Purple (Plate Mount)
49.7,0.47,0,Kailh Pro Purple (Plate Mount)
49.9,0.475,0,Kailh Pro Purple (Plate Mount)
50.3,0.48,0,Kailh Pro Purple (Plate Mount)
50.6,0.48,0,Kailh Pro Purple (Plate Mount)
50.8,0.485,0,Kailh Pro Purple (Plate Mount)
51.1,0.485,0,Kailh Pro Purple (Plate Mount)
51.4,0.49,0,Kailh Pro Purple (Plate Mount)
51.7,0.49,0,Kailh Pro Purple (Plate Mount)
52,0.495,0,Kailh Pro Purple (Plate Mount)
52.3,0.495,0,Kailh Pro Purple (Plate Mount)
52.5,0.495,0,Kailh Pro Purple (Plate Mount)
52.8,0.5,0,Kailh Pro Purple (Plate Mount)
52.9,0.5,0,Kailh Pro Purple (Plate Mount)
53.1,0.505,0,Kailh Pro Purple (Plate Mount)
53.3,0.505,0,Kailh Pro Purple (Plate Mount)
53.3,0.51,0,Kailh Pro Purple (Plate Mount)
53.4,0.51,0,Kailh Pro Purple (Plate Mount)
53.6,0.515,0,Kailh Pro Purple (Plate Mount)
53.7,0.515,0,Kailh Pro Purple (Plate Mount)
53.7,0.52,0,Kailh Pro Purple (Plate Mount)
53.8,0.52,0,Kailh Pro Purple (Plate Mount)
53.8,0.52,0,Kailh Pro Purple (Plate Mount)
53.9,0.525,0,Kailh Pro Purple (Plate Mount)
53.9,0.525,0,Kailh Pro Purple (Plate Mount)
53.9,0.525,0,Kailh Pro Purple (Plate Mount)
54,0.53,0,Kailh Pro Purple (Plate Mount)
54.1,0.53,0,Kailh Pro Purple (Plate Mount)
54.1,0.53,0,Kailh Pro Purple (Plate Mount)
54.1,0.535,0,Kailh Pro Purple (Plate Mount)
54.2,0.535,0,Kailh Pro Purple (Plate Mount)
54.3,0.535,0,Kailh Pro Purple (Plate Mount)
54.3,0.54,0,Kailh Pro Purple (Plate Mount)
54.2,0.54,0,Kailh Pro Purple (Plate Mount)
54.2,0.54,0,Kailh Pro Purple (Plate Mount)
54.2,0.54,0,Kailh Pro Purple (Plate Mount)
54.2,0.54,0,Kailh Pro Purple (Plate Mount)
54.3,0.545,0,Kailh Pro Purple (Plate Mount)
54.4,0.545,0,Kailh Pro Purple (Plate Mount)
54.4,0.545,0,Kailh Pro Purple (Plate Mount)
54.4,0.545,0,Kailh Pro Purple (Plate Mount)
54.4,0.55,0,Kailh Pro Purple (Plate Mount)
54.4,0.55,0,Kailh Pro Purple (Plate Mount)
54.3,0.55,0,Kailh Pro Purple (Plate Mount)
54.3,0.55,0,Kailh Pro Purple (Plate Mount)
54.4,0.555,0,Kailh Pro Purple (Plate Mount)
54.4,0.555,0,Kailh Pro Purple (Plate Mount)
54.5,0.555,0,Kailh Pro Purple (Plate Mount)
54.5,0.56,0,Kailh Pro Purple (Plate Mount)
54.7,0.56,0,Kailh Pro Purple (Plate Mount)
54.7,0.565,0,Kailh Pro Purple (Plate Mount)
54.4,0.565,0,Kailh Pro Purple (Plate Mount)
54.5,0.57,0,Kailh Pro Purple (Plate Mount)
54.6,0.57,0,Kailh Pro Purple (Plate Mount)
54.6,0.575,0,Kailh Pro Purple (Plate Mount)
54.6,0.575,0,Kailh Pro Purple (Plate Mount)
54.7,0.58,0,Kailh Pro Purple (Plate Mount)
54.6,0.58,0,Kailh Pro Purple (Plate Mount)
54.6,0.585,0,Kailh Pro Purple (Plate Mount)
54.6,0.59,0,Kailh Pro Purple (Plate Mount)
54.6,0.59,0,Kailh Pro Purple (Plate Mount)
54.6,0.595,0,Kailh Pro Purple (Plate Mount)
54.6,0.6,0,Kailh Pro Purple (Plate Mount)
54.5,0.605,0,Kailh Pro Purple (Plate Mount)
