force,displacement,judge,name
0,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
0.1,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
0,0,0,Kailh Speed Copper (Plate Mount)
-0.1,0,0,Kailh Speed Copper (Plate Mount)
0.1,0,0,Kailh Speed Copper (Plate Mount)
0.1,0,0,Kailh Speed Copper (Plate Mount)
-0.1,0.005,0,Kailh Speed Copper (Plate Mount)
0,0.005,0,Kailh Speed Copper (Plate Mount)
0.1,0.005,0,Kailh Speed Copper (Plate Mount)
0.1,0.01,0,Kailh Speed Copper (Plate Mount)
-0.1,0.01,0,Kailh Speed Copper (Plate Mount)
0.1,0.015,0,Kailh Speed Copper (Plate Mount)
1.6,0.015,0,Kailh Speed Copper (Plate Mount)
3.3,0.02,0,Kailh Speed Copper (Plate Mount)
5.5,0.02,0,Kailh Speed Copper (Plate Mount)
8,0.025,0,Kailh Speed Copper (Plate Mount)
10,0.025,0,Kailh Speed Copper (Plate Mount)
11.9,0.025,0,Kailh Speed Copper (Plate Mount)
14.2,0.03,0,Kailh Speed Copper (Plate Mount)
17.4,0.03,0,Kailh Speed Copper (Plate Mount)
20.1,0.035,0,Kailh Speed Copper (Plate Mount)
23.1,0.04,0,Kailh Speed Copper (Plate Mount)
25.8,0.04,0,Kailh Speed Copper (Plate Mount)
28.7,0.045,0,Kailh Speed Copper (Plate Mount)
31.1,0.045,0,Kailh Speed Copper (Plate Mount)
34.4,0.05,0,Kailh Speed Copper (Plate Mount)
37.4,0.055,0,Kailh Speed Copper (Plate Mount)
40.4,0.06,0,Kailh Speed Copper (Plate Mount)
42.3,0.06,0,Kailh Speed Copper (Plate Mount)
43.2,0.065,0,Kailh Speed Copper (Plate Mount)
44,0.07,0,Kailh Speed Copper (Plate Mount)
45,0.07,0,Kailh Speed Copper (Plate Mount)
45.8,0.075,0,Kailh Speed Copper (Plate Mount)
46.7,0.08,0,Kailh Speed Copper (Plate Mount)
47.6,0.085,0,Kailh Speed Copper (Plate Mount)
48.2,0.09,0,Kailh Speed Copper (Plate Mount)
48.7,0.09,0,Kailh Speed Copper (Plate Mount)
49.3,0.095,0,Kailh Speed Copper (Plate Mount)
50,0.1,0,Kailh Speed Copper (Plate Mount)
50.5,0.105,0,Kailh Speed Copper (Plate Mount)
50.8,0.11,0,Kailh Speed Copper (Plate Mount)
50.7,0.11,0,Kailh Speed Copper (Plate Mount)
50.6,0.115,0,Kailh Speed Copper (Plate Mount)
50.8,0.12,0,Kailh Speed Copper (Plate Mount)
50.7,0.125,0,Kailh Speed Copper (Plate Mount)
50.7,0.13,0,Kailh Speed Copper (Plate Mount)
50.8,0.135,0,Kailh Speed Copper (Plate Mount)
50.6,0.14,0,Kailh Speed Copper (Plate Mount)
50.7,0.145,0,Kailh Speed Copper (Plate Mount)
50.9,0.15,0,Kailh Speed Copper (Plate Mount)
51.1,0.155,0,Kailh Speed Copper (Plate Mount)
51.2,0.16,0,Kailh Speed Copper (Plate Mount)
51.1,0.165,0,Kailh Speed Copper (Plate Mount)
51.2,0.17,0,Kailh Speed Copper (Plate Mount)
51.2,0.175,0,Kailh Speed Copper (Plate Mount)
51.1,0.175,0,Kailh Speed Copper (Plate Mount)
51.2,0.175,0,Kailh Speed Copper (Plate Mount)
50.9,0.18,0,Kailh Speed Copper (Plate Mount)
50.8,0.185,0,Kailh Speed Copper (Plate Mount)
50.6,0.185,0,Kailh Speed Copper (Plate Mount)
50.4,0.19,0,Kailh Speed Copper (Plate Mount)
50.5,0.19,0,Kailh Speed Copper (Plate Mount)
50.6,0.195,0,Kailh Speed Copper (Plate Mount)
50.5,0.195,0,Kailh Speed Copper (Plate Mount)
50.3,0.2,0,Kailh Speed Copper (Plate Mount)
50.3,0.205,0,Kailh Speed Copper (Plate Mount)
50.4,0.205,0,Kailh Speed Copper (Plate Mount)
50.4,0.21,0,Kailh Speed Copper (Plate Mount)
50.4,0.21,0,Kailh Speed Copper (Plate Mount)
50.5,0.215,0,Kailh Speed Copper (Plate Mount)
50.5,0.215,0,Kailh Speed Copper (Plate Mount)
50.4,0.22,0,Kailh Speed Copper (Plate Mount)
50.3,0.225,0,Kailh Speed Copper (Plate Mount)
50.5,0.225,0,Kailh Speed Copper (Plate Mount)
50.4,0.225,0,Kailh Speed Copper (Plate Mount)
50.4,0.23,0,Kailh Speed Copper (Plate Mount)
50.4,0.23,0,Kailh Speed Copper (Plate Mount)
50.4,0.235,0,Kailh Speed Copper (Plate Mount)
50.4,0.235,0,Kailh Speed Copper (Plate Mount)
50.2,0.24,0,Kailh Speed Copper (Plate Mount)
50,0.24,0,Kailh Speed Copper (Plate Mount)
50.2,0.24,0,Kailh Speed Copper (Plate Mount)
50.3,0.245,0,Kailh Speed Copper (Plate Mount)
50.2,0.245,0,Kailh Speed Copper (Plate Mount)
50.1,0.245,0,Kailh Speed Copper (Plate Mount)
50.1,0.245,0,Kailh Speed Copper (Plate Mount)
50.1,0.245,0,Kailh Speed Copper (Plate Mount)
50.1,0.245,0,Kailh Speed Copper (Plate Mount)
50.3,0.25,0,Kailh Speed Copper (Plate Mount)
50.3,0.25,0,Kailh Speed Copper (Plate Mount)
50.2,0.25,0,Kailh Speed Copper (Plate Mount)
50.2,0.25,0,Kailh Speed Copper (Plate Mount)
50.2,0.255,0,Kailh Speed Copper (Plate Mount)
50.2,0.255,0,Kailh Speed Copper (Plate Mount)
50.3,0.255,0,Kailh Speed Copper (Plate Mount)
50.3,0.26,0,Kailh Speed Copper (Plate Mount)
50.2,0.265,0,Kailh Speed Copper (Plate Mount)
49.9,0.265,0,Kailh Speed Copper (Plate Mount)
49.9,0.27,0,Kailh Speed Copper (Plate Mount)
49.9,0.27,0,Kailh Speed Copper (Plate Mount)
49.9,0.275,0,Kailh Speed Copper (Plate Mount)
49.9,0.275,0,Kailh Speed Copper (Plate Mount)
49.8,0.28,0,Kailh Speed Copper (Plate Mount)
49.7,0.28,0,Kailh Speed Copper (Plate Mount)
49.7,0.285,0,Kailh Speed Copper (Plate Mount)
49.6,0.29,0,Kailh Speed Copper (Plate Mount)
49.4,0.29,0,Kailh Speed Copper (Plate Mount)
49.4,0.29,0,Kailh Speed Copper (Plate Mount)
49.4,0.295,0,Kailh Speed Copper (Plate Mount)
49.4,0.3,0,Kailh Speed Copper (Plate Mount)
49.2,0.3,0,Kailh Speed Copper (Plate Mount)
49.3,0.305,0,Kailh Speed Copper (Plate Mount)
49.1,0.315,0,Kailh Speed Copper (Plate Mount)
48.9,0.32,0,Kailh Speed Copper (Plate Mount)
48.8,0.325,0,Kailh Speed Copper (Plate Mount)
48.8,0.33,0,Kailh Speed Copper (Plate Mount)
48.5,0.335,0,Kailh Speed Copper (Plate Mount)
48.3,0.345,0,Kailh Speed Copper (Plate Mount)
48.2,0.35,0,Kailh Speed Copper (Plate Mount)
48.1,0.36,0,Kailh Speed Copper (Plate Mount)
48.2,0.365,0,Kailh Speed Copper (Plate Mount)
48.2,0.37,0,Kailh Speed Copper (Plate Mount)
48,0.375,0,Kailh Speed Copper (Plate Mount)
47.4,0.38,0,Kailh Speed Copper (Plate Mount)
47.3,0.385,0,Kailh Speed Copper (Plate Mount)
47.2,0.385,0,Kailh Speed Copper (Plate Mount)
47.2,0.39,0,Kailh Speed Copper (Plate Mount)
47.2,0.39,0,Kailh Speed Copper (Plate Mount)
47.1,0.395,0,Kailh Speed Copper (Plate Mount)
47.2,0.395,0,Kailh Speed Copper (Plate Mount)
47.3,0.4,0,Kailh Speed Copper (Plate Mount)
47.2,0.4,0,Kailh Speed Copper (Plate Mount)
47.1,0.405,0,Kailh Speed Copper (Plate Mount)
47,0.405,0,Kailh Speed Copper (Plate Mount)
47,0.405,0,Kailh Speed Copper (Plate Mount)
47,0.41,0,Kailh Speed Copper (Plate Mount)
47,0.41,0,Kailh Speed Copper (Plate Mount)
47.1,0.415,0,Kailh Speed Copper (Plate Mount)
47.2,0.415,0,Kailh Speed Copper (Plate Mount)
47.3,0.42,0,Kailh Speed Copper (Plate Mount)
47.3,0.42,0,Kailh Speed Copper (Plate Mount)
47.3,0.42,0,Kailh Speed Copper (Plate Mount)
47.2,0.425,0,Kailh Speed Copper (Plate Mount)
47,0.425,0,Kailh Speed Copper (Plate Mount)
46.9,0.43,0,Kailh Speed Copper (Plate Mount)
46.7,0.43,0,Kailh Speed Copper (Plate Mount)
46.7,0.43,0,Kailh Speed Copper (Plate Mount)
46.6,0.435,0,Kailh Speed Copper (Plate Mount)
46.6,0.435,0,Kailh Speed Copper (Plate Mount)
46.4,0.435,0,Kailh Speed Copper (Plate Mount)
46.5,0.44,0,Kailh Speed Copper (Plate Mount)
46.3,0.44,0,Kailh Speed Copper (Plate Mount)
46.3,0.44,0,Kailh Speed Copper (Plate Mount)
46.4,0.44,0,Kailh Speed Copper (Plate Mount)
46.4,0.445,0,Kailh Speed Copper (Plate Mount)
46.4,0.445,0,Kailh Speed Copper (Plate Mount)
46.4,0.445,0,Kailh Speed Copper (Plate Mount)
46.4,0.445,0,Kailh Speed Copper (Plate Mount)
46.4,0.45,0,Kailh Speed Copper (Plate Mount)
46.4,0.45,0,Kailh Speed Copper (Plate Mount)
46.6,0.45,0,Kailh Speed Copper (Plate Mount)
46.5,0.455,0,Kailh Speed Copper (Plate Mount)
46.2,0.46,0,Kailh Speed Copper (Plate Mount)
45.9,0.46,0,Kailh Speed Copper (Plate Mount)
45.9,0.465,0,Kailh Speed Copper (Plate Mount)
45.7,0.465,0,Kailh Speed Copper (Plate Mount)
45.8,0.47,0,Kailh Speed Copper (Plate Mount)
45.8,0.475,0,Kailh Speed Copper (Plate Mount)
45.6,0.48,0,Kailh Speed Copper (Plate Mount)
45.6,0.48,0,Kailh Speed Copper (Plate Mount)
45.8,0.485,0,Kailh Speed Copper (Plate Mount)
45.9,0.49,0,Kailh Speed Copper (Plate Mount)
45.9,0.495,0,Kailh Speed Copper (Plate Mount)
45.7,0.5,0,Kailh Speed Copper (Plate Mount)
45.8,0.5,0,Kailh Speed Copper (Plate Mount)
45.7,0.505,0,Kailh Speed Copper (Plate Mount)
45.7,0.505,0,Kailh Speed Copper (Plate Mount)
45.7,0.505,0,Kailh Speed Copper (Plate Mount)
45.6,0.51,0,Kailh Speed Copper (Plate Mount)
45.7,0.51,0,Kailh Speed Copper (Plate Mount)
45.5,0.51,0,Kailh Speed Copper (Plate Mount)
45.4,0.515,0,Kailh Speed Copper (Plate Mount)
45.6,0.515,0,Kailh Speed Copper (Plate Mount)
45.5,0.52,0,Kailh Speed Copper (Plate Mount)
45.6,0.52,0,Kailh Speed Copper (Plate Mount)
45.5,0.52,0,Kailh Speed Copper (Plate Mount)
45.5,0.525,0,Kailh Speed Copper (Plate Mount)
45.4,0.525,0,Kailh Speed Copper (Plate Mount)
45.5,0.525,0,Kailh Speed Copper (Plate Mount)
45.5,0.525,0,Kailh Speed Copper (Plate Mount)
45.7,0.53,0,Kailh Speed Copper (Plate Mount)
45.4,0.53,0,Kailh Speed Copper (Plate Mount)
45.3,0.53,0,Kailh Speed Copper (Plate Mount)
45.2,0.535,0,Kailh Speed Copper (Plate Mount)
45.3,0.535,0,Kailh Speed Copper (Plate Mount)
45.3,0.535,0,Kailh Speed Copper (Plate Mount)
45.3,0.54,0,Kailh Speed Copper (Plate Mount)
45.2,0.54,0,Kailh Speed Copper (Plate Mount)
45.2,0.545,0,Kailh Speed Copper (Plate Mount)
45.1,0.55,0,Kailh Speed Copper (Plate Mount)
44.6,0.555,0,Kailh Speed Copper (Plate Mount)
44.6,0.56,0,Kailh Speed Copper (Plate Mount)
44.5,0.565,0,Kailh Speed Copper (Plate Mount)
44.4,0.57,0,Kailh Speed Copper (Plate Mount)
44.2,0.575,0,Kailh Speed Copper (Plate Mount)
44.2,0.58,0,Kailh Speed Copper (Plate Mount)
43.8,0.59,0,Kailh Speed Copper (Plate Mount)
43.6,0.595,0,Kailh Speed Copper (Plate Mount)
43.6,0.6,0,Kailh Speed Copper (Plate Mount)
43.7,0.6,0,Kailh Speed Copper (Plate Mount)
43.7,0.605,0,Kailh Speed Copper (Plate Mount)
43.8,0.61,0,Kailh Speed Copper (Plate Mount)
43.9,0.615,0,Kailh Speed Copper (Plate Mount)
43.9,0.62,0,Kailh Speed Copper (Plate Mount)
43.8,0.62,0,Kailh Speed Copper (Plate Mount)
43.7,0.625,0,Kailh Speed Copper (Plate Mount)
43.6,0.625,0,Kailh Speed Copper (Plate Mount)
43.4,0.63,0,Kailh Speed Copper (Plate Mount)
43.3,0.635,0,Kailh Speed Copper (Plate Mount)
43.1,0.635,0,Kailh Speed Copper (Plate Mount)
43,0.64,0,Kailh Speed Copper (Plate Mount)
42.8,0.64,0,Kailh Speed Copper (Plate Mount)
42.8,0.645,0,Kailh Speed Copper (Plate Mount)
42.7,0.645,0,Kailh Speed Copper (Plate Mount)
42.7,0.65,0,Kailh Speed Copper (Plate Mount)
42.7,0.65,0,Kailh Speed Copper (Plate Mount)
42.6,0.655,0,Kailh Speed Copper (Plate Mount)
42.4,0.66,0,Kailh Speed Copper (Plate Mount)
42.5,0.66,0,Kailh Speed Copper (Plate Mount)
42.5,0.665,0,Kailh Speed Copper (Plate Mount)
42.6,0.67,0,Kailh Speed Copper (Plate Mount)
42.3,0.675,0,Kailh Speed Copper (Plate Mount)
42.2,0.675,0,Kailh Speed Copper (Plate Mount)
42.1,0.68,0,Kailh Speed Copper (Plate Mount)
42.2,0.685,0,Kailh Speed Copper (Plate Mount)
42.1,0.69,0,Kailh Speed Copper (Plate Mount)
41.7,0.695,0,Kailh Speed Copper (Plate Mount)
41.7,0.7,0,Kailh Speed Copper (Plate Mount)
41.7,0.7,0,Kailh Speed Copper (Plate Mount)
41.8,0.705,0,Kailh Speed Copper (Plate Mount)
