force,displacement,judge,name
0,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
-0.1,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0.1,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0,0,0,Kailh Super Speed Silver
0,0.005,0,Kailh Super Speed Silver
0,0.005,0,Kailh Super Speed Silver
0,0.005,0,Kailh Super Speed Silver
0,0.01,0,Kailh Super Speed Silver
0,0.01,0,Kailh Super Speed Silver
0,0.015,0,Kailh Super Speed Silver
0,0.02,0,Kailh Super Speed Silver
0,0.025,0,Kailh Super Speed Silver
0,0.035,0,Kailh Super Speed Silver
0,0.04,0,Kailh Super Speed Silver
0,0.045,0,Kailh Super Speed Silver
0.5,0.05,0,Kailh Super Speed Silver
4.4,0.055,0,Kailh Super Speed Silver
8.5,0.055,0,Kailh Super Speed Silver
13.1,0.06,0,Kailh Super Speed Silver
17.5,0.065,0,Kailh Super Speed Silver
21.3,0.07,0,Kailh Super Speed Silver
24.5,0.075,0,Kailh Super Speed Silver
26.2,0.08,0,Kailh Super Speed Silver
27.3,0.085,0,Kailh Super Speed Silver
28.7,0.09,0,Kailh Super Speed Silver
29.9,0.095,0,Kailh Super Speed Silver
31.4,0.105,0,Kailh Super Speed Silver
31.1,0.11,0,Kailh Super Speed Silver
30.5,0.12,0,Kailh Super Speed Silver
29.9,0.125,0,Kailh Super Speed Silver
29.5,0.13,0,Kailh Super Speed Silver
29.7,0.135,0,Kailh Super Speed Silver
29.8,0.14,0,Kailh Super Speed Silver
30.2,0.145,0,Kailh Super Speed Silver
30,0.155,0,Kailh Super Speed Silver
29.5,0.16,0,Kailh Super Speed Silver
29.1,0.165,0,Kailh Super Speed Silver
28.9,0.17,0,Kailh Super Speed Silver
28.8,0.175,0,Kailh Super Speed Silver
28.7,0.18,0,Kailh Super Speed Silver
29,0.185,0,Kailh Super Speed Silver
29.1,0.19,0,Kailh Super Speed Silver
29,0.195,0,Kailh Super Speed Silver
29,0.195,0,Kailh Super Speed Silver
29.1,0.2,0,Kailh Super Speed Silver
29.3,0.205,0,Kailh Super Speed Silver
29.7,0.21,0,Kailh Super Speed Silver
29.7,0.22,0,Kailh Super Speed Silver
29.4,0.23,0,Kailh Super Speed Silver
29.7,0.24,0,Kailh Super Speed Silver
29.1,0.25,0,Kailh Super Speed Silver
28.5,0.25,0,Kailh Super Speed Silver
28.2,0.25,0,Kailh Super Speed Silver
28.6,0.25,0,Kailh Super Speed Silver
29.6,0.255,0,Kailh Super Speed Silver
29.1,0.26,0,Kailh Super Speed Silver
29.3,0.265,0,Kailh Super Speed Silver
29.6,0.27,0,Kailh Super Speed Silver
29,0.275,0,Kailh Super Speed Silver
29.6,0.28,0,Kailh Super Speed Silver
29.3,0.285,0,Kailh Super Speed Silver
29.5,0.285,0,Kailh Super Speed Silver
