force,displacement,judge,name
0,0,0,Kailh x Varmilo Prestige Red
0.1,0,0,Kailh x Varmilo Prestige Red
0.2,0,0,Kailh x Varmilo Prestige Red
0.1,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
0.1,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
0.1,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
-0.1,0,0,Kailh x Varmilo Prestige Red
-0.1,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
0.2,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
-0.2,0,0,Kailh x Varmilo Prestige Red
-0.1,0,0,Kailh x Varmilo Prestige Red
0,0,0,Kailh x Varmilo Prestige Red
0.1,0.005,0,Kailh x Varmilo Prestige Red
0,0.005,0,Kailh x Varmilo Prestige Red
0,0.005,0,Kailh x Varmilo Prestige Red
1,0.01,0,Kailh x Varmilo Prestige Red
2,0.01,0,Kailh x Varmilo Prestige Red
3.2,0.01,0,Kailh x Varmilo Prestige Red
4.3,0.01,0,Kailh x Varmilo Prestige Red
5.2,0.015,0,Kailh x Varmilo Prestige Red
6,0.015,0,Kailh x Varmilo Prestige Red
6.7,0.015,0,Kailh x Varmilo Prestige Red
7.3,0.015,0,Kailh x Varmilo Prestige Red
8,0.015,0,Kailh x Varmilo Prestige Red
8.6,0.015,0,Kailh x Varmilo Prestige Red
9.4,0.015,0,Kailh x Varmilo Prestige Red
9.9,0.02,0,Kailh x Varmilo Prestige Red
10.4,0.02,0,Kailh x Varmilo Prestige Red
11,0.02,0,Kailh x Varmilo Prestige Red
11.3,0.02,0,Kailh x Varmilo Prestige Red
11.6,0.02,0,Kailh x Varmilo Prestige Red
12.4,0.02,0,Kailh x Varmilo Prestige Red
13.3,0.02,0,Kailh x Varmilo Prestige Red
14.4,0.02,0,Kailh x Varmilo Prestige Red
15.5,0.025,0,Kailh x Varmilo Prestige Red
17.9,0.025,0,Kailh x Varmilo Prestige Red
20.2,0.03,0,Kailh x Varmilo Prestige Red
22.2,0.03,0,Kailh x Varmilo Prestige Red
22.9,0.03,0,Kailh x Varmilo Prestige Red
23.6,0.035,0,Kailh x Varmilo Prestige Red
24.3,0.035,0,Kailh x Varmilo Prestige Red
25.3,0.035,0,Kailh x Varmilo Prestige Red
26.2,0.035,0,Kailh x Varmilo Prestige Red
26.8,0.04,0,Kailh x Varmilo Prestige Red
27.7,0.04,0,Kailh x Varmilo Prestige Red
28.4,0.045,0,Kailh x Varmilo Prestige Red
29,0.045,0,Kailh x Varmilo Prestige Red
29.4,0.045,0,Kailh x Varmilo Prestige Red
29.9,0.05,0,Kailh x Varmilo Prestige Red
30.2,0.05,0,Kailh x Varmilo Prestige Red
30.1,0.055,0,Kailh x Varmilo Prestige Red
29.8,0.055,0,Kailh x Varmilo Prestige Red
29.9,0.06,0,Kailh x Varmilo Prestige Red
30.3,0.06,0,Kailh x Varmilo Prestige Red
30.6,0.065,0,Kailh x Varmilo Prestige Red
31.5,0.065,0,Kailh x Varmilo Prestige Red
33.2,0.065,0,Kailh x Varmilo Prestige Red
34.5,0.07,0,Kailh x Varmilo Prestige Red
36.3,0.07,0,Kailh x Varmilo Prestige Red
37.8,0.07,0,Kailh x Varmilo Prestige Red
38.9,0.075,0,Kailh x Varmilo Prestige Red
38.7,0.075,0,Kailh x Varmilo Prestige Red
38.6,0.08,0,Kailh x Varmilo Prestige Red
38.5,0.08,0,Kailh x Varmilo Prestige Red
38.5,0.085,0,Kailh x Varmilo Prestige Red
38.5,0.085,0,Kailh x Varmilo Prestige Red
38.5,0.085,0,Kailh x Varmilo Prestige Red
38.6,0.09,0,Kailh x Varmilo Prestige Red
38.6,0.095,0,Kailh x Varmilo Prestige Red
38.7,0.095,0,Kailh x Varmilo Prestige Red
38.7,0.1,0,Kailh x Varmilo Prestige Red
38.8,0.105,0,Kailh x Varmilo Prestige Red
38.8,0.11,0,Kailh x Varmilo Prestige Red
38.8,0.115,0,Kailh x Varmilo Prestige Red
