force,displacement,judge,name
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0,0,0,KeyGeek Blue and Yellow Sample
0.2,0,0,KeyGeek Blue and Yellow Sample
0.5,0,0,KeyGeek Blue and Yellow Sample
0.9,0,0,KeyGeek Blue and Yellow Sample
1.5,0.005,0,KeyGeek Blue and Yellow Sample
2.4,0.005,0,KeyGeek Blue and Yellow Sample
3.7,0.005,0,KeyGeek Blue and Yellow Sample
4.5,0.005,0,KeyGeek Blue and Yellow Sample
5.5,0.01,0,KeyGeek Blue and Yellow Sample
6.8,0.01,0,KeyGeek Blue and Yellow Sample
8.4,0.01,0,KeyGeek Blue and Yellow Sample
9.9,0.015,0,KeyGeek Blue and Yellow Sample
11,0.015,0,KeyGeek Blue and Yellow Sample
11.6,0.015,0,KeyGeek Blue and Yellow Sample
12.6,0.015,0,KeyGeek Blue and Yellow Sample
13.6,0.02,0,KeyGeek Blue and Yellow Sample
14.6,0.02,0,KeyGeek Blue and Yellow Sample
15.5,0.02,0,KeyGeek Blue and Yellow Sample
16.3,0.02,0,KeyGeek Blue and Yellow Sample
17.2,0.02,0,KeyGeek Blue and Yellow Sample
18,0.025,0,KeyGeek Blue and Yellow Sample
19.2,0.025,0,KeyGeek Blue and Yellow Sample
20.6,0.025,0,KeyGeek Blue and Yellow Sample
21.4,0.03,0,KeyGeek Blue and Yellow Sample
22.5,0.03,0,KeyGeek Blue and Yellow Sample
23.5,0.03,0,KeyGeek Blue and Yellow Sample
