force,displacement,judge,name
0,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
-0.1,0,0,Keychron Low Profile Banana
0.1,0,0,Keychron Low Profile Banana
0.1,0,0,Keychron Low Profile Banana
-0.1,0,0,Keychron Low Profile Banana
-0.1,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
0.1,0,0,Keychron Low Profile Banana
0.1,0,0,Keychron Low Profile Banana
-0.1,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
0.1,0,0,Keychron Low Profile Banana
0.3,0,0,Keychron Low Profile Banana
0.1,0,0,Keychron Low Profile Banana
-0.1,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
-0.1,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
0.1,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
0,0,0,Keychron Low Profile Banana
0,0.005,0,Keychron Low Profile Banana
0,0.005,0,Keychron Low Profile Banana
0,0.005,0,Keychron Low Profile Banana
0,0.005,0,Keychron Low Profile Banana
0,0.01,0,Keychron Low Profile Banana
0,0.01,0,Keychron Low Profile Banana
0,0.01,0,Keychron Low Profile Banana
-0.1,0.01,0,Keychron Low Profile Banana
-0.1,0.01,0,Keychron Low Profile Banana
0,0.015,0,Keychron Low Profile Banana
0,0.015,0,Keychron Low Profile Banana
0,0.015,0,Keychron Low Profile Banana
0.1,0.015,0,Keychron Low Profile Banana
0.3,0.02,0,Keychron Low Profile Banana
1.1,0.02,0,Keychron Low Profile Banana
2.5,0.025,0,Keychron Low Profile Banana
4.2,0.025,0,Keychron Low Profile Banana
5.7,0.025,0,Keychron Low Profile Banana
6.9,0.03,0,Keychron Low Profile Banana
8.2,0.03,0,Keychron Low Profile Banana
9.5,0.03,0,Keychron Low Profile Banana
10.7,0.035,0,Keychron Low Profile Banana
11.7,0.035,0,Keychron Low Profile Banana
12.3,0.035,0,Keychron Low Profile Banana
12.7,0.035,0,Keychron Low Profile Banana
13.3,0.035,0,Keychron Low Profile Banana
13.9,0.035,0,Keychron Low Profile Banana
14.6,0.04,0,Keychron Low Profile Banana
15.3,0.04,0,Keychron Low Profile Banana
16.3,0.04,0,Keychron Low Profile Banana
17.3,0.04,0,Keychron Low Profile Banana
18.4,0.045,0,Keychron Low Profile Banana
19.4,0.045,0,Keychron Low Profile Banana
20.4,0.045,0,Keychron Low Profile Banana
21.3,0.05,0,Keychron Low Profile Banana
22.3,0.05,0,Keychron Low Profile Banana
23.4,0.05,0,Keychron Low Profile Banana
24.3,0.055,0,Keychron Low Profile Banana
25.4,0.055,0,Keychron Low Profile Banana
26.6,0.06,0,Keychron Low Profile Banana
27.6,0.06,0,Keychron Low Profile Banana
28.2,0.065,0,Keychron Low Profile Banana
28.6,0.065,0,Keychron Low Profile Banana
28.8,0.065,0,Keychron Low Profile Banana
29.3,0.07,0,Keychron Low Profile Banana
29.9,0.07,0,Keychron Low Profile Banana
30.8,0.075,0,Keychron Low Profile Banana
31.7,0.075,0,Keychron Low Profile Banana
32,0.08,0,Keychron Low Profile Banana
32.1,0.08,0,Keychron Low Profile Banana
31.9,0.08,0,Keychron Low Profile Banana
32.4,0.08,0,Keychron Low Profile Banana
32.7,0.085,0,Keychron Low Profile Banana
32.7,0.085,0,Keychron Low Profile Banana
32.9,0.085,0,Keychron Low Profile Banana
33.5,0.09,0,Keychron Low Profile Banana
33.8,0.09,0,Keychron Low Profile Banana
34.4,0.095,0,Keychron Low Profile Banana
34.7,0.095,0,Keychron Low Profile Banana
35.2,0.1,0,Keychron Low Profile Banana
35.5,0.1,0,Keychron Low Profile Banana
35.8,0.105,0,Keychron Low Profile Banana
35.9,0.105,0,Keychron Low Profile Banana
36.3,0.11,0,Keychron Low Profile Banana
36.1,0.115,0,Keychron Low Profile Banana
35.9,0.115,0,Keychron Low Profile Banana
36.4,0.12,0,Keychron Low Profile Banana
36.8,0.12,0,Keychron Low Profile Banana
37.1,0.125,0,Keychron Low Profile Banana
37.4,0.13,0,Keychron Low Profile Banana
38,0.13,0,Keychron Low Profile Banana
38.4,0.135,0,Keychron Low Profile Banana
38.7,0.14,0,Keychron Low Profile Banana
39.1,0.14,0,Keychron Low Profile Banana
39.6,0.145,0,Keychron Low Profile Banana
40.1,0.15,0,Keychron Low Profile Banana
40.7,0.15,0,Keychron Low Profile Banana
41.1,0.155,0,Keychron Low Profile Banana
41.5,0.155,0,Keychron Low Profile Banana
42,0.16,0,Keychron Low Profile Banana
42.4,0.16,0,Keychron Low Profile Banana
42.9,0.16,0,Keychron Low Profile Banana
43.4,0.165,0,Keychron Low Profile Banana
44,0.165,0,Keychron Low Profile Banana
44.5,0.165,0,Keychron Low Profile Banana
44.8,0.17,0,Keychron Low Profile Banana
45.2,0.17,0,Keychron Low Profile Banana
45.6,0.17,0,Keychron Low Profile Banana
46,0.175,0,Keychron Low Profile Banana
46.3,0.175,0,Keychron Low Profile Banana
46.6,0.18,0,Keychron Low Profile Banana
47.1,0.18,0,Keychron Low Profile Banana
47.2,0.185,0,Keychron Low Profile Banana
47.2,0.185,0,Keychron Low Profile Banana
47.4,0.185,0,Keychron Low Profile Banana
47.7,0.19,0,Keychron Low Profile Banana
48,0.19,0,Keychron Low Profile Banana
48.4,0.19,0,Keychron Low Profile Banana
48.5,0.195,0,Keychron Low Profile Banana
48.6,0.195,0,Keychron Low Profile Banana
48.6,0.2,0,Keychron Low Profile Banana
48.6,0.2,0,Keychron Low Profile Banana
48.8,0.205,0,Keychron Low Profile Banana
49,0.205,0,Keychron Low Profile Banana
49.2,0.21,0,Keychron Low Profile Banana
49.5,0.21,0,Keychron Low Profile Banana
49.7,0.215,0,Keychron Low Profile Banana
49.8,0.215,0,Keychron Low Profile Banana
49.7,0.215,0,Keychron Low Profile Banana
49.8,0.22,0,Keychron Low Profile Banana
50.2,0.22,0,Keychron Low Profile Banana
50.5,0.225,0,Keychron Low Profile Banana
50.6,0.225,0,Keychron Low Profile Banana
50.4,0.23,0,Keychron Low Profile Banana
50.7,0.23,0,Keychron Low Profile Banana
