force,displacement,judge,name
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0,0,Keychron x Gateron Phantom Yellow
0,0.005,0,Keychron x Gateron Phantom Yellow
0,0.005,0,Keychron x Gateron Phantom Yellow
0,0.005,0,Keychron x Gateron Phantom Yellow
0,0.005,0,Keychron x Gateron Phantom Yellow
0,0.005,0,Keychron x Gateron Phantom Yellow
0,0.005,0,Keychron x Gateron Phantom Yellow
0,0.005,0,Keychron x Gateron Phantom Yellow
0,0.005,0,Keychron x Gateron Phantom Yellow
0,0.01,0,Keychron x Gateron Phantom Yellow
0,0.01,0,Keychron x Gateron Phantom Yellow
0,0.015,0,Keychron x Gateron Phantom Yellow
0,0.02,0,Keychron x Gateron Phantom Yellow
0,0.02,0,Keychron x Gateron Phantom Yellow
0,0.025,0,Keychron x Gateron Phantom Yellow
0,0.03,0,Keychron x Gateron Phantom Yellow
0,0.03,0,Keychron x Gateron Phantom Yellow
0,0.035,0,Keychron x Gateron Phantom Yellow
0,0.035,0,Keychron x Gateron Phantom Yellow
0,0.04,0,Keychron x Gateron Phantom Yellow
0,0.04,0,Keychron x Gateron Phantom Yellow
0,0.045,0,Keychron x Gateron Phantom Yellow
0,0.045,0,Keychron x Gateron Phantom Yellow
0,0.05,0,Keychron x Gateron Phantom Yellow
0,0.055,0,Keychron x Gateron Phantom Yellow
0,0.055,0,Keychron x Gateron Phantom Yellow
0,0.06,0,Keychron x Gateron Phantom Yellow
0,0.065,0,Keychron x Gateron Phantom Yellow
2.7,0.07,0,Keychron x Gateron Phantom Yellow
7.1,0.075,0,Keychron x Gateron Phantom Yellow
11.3,0.08,0,Keychron x Gateron Phantom Yellow
14.9,0.08,0,Keychron x Gateron Phantom Yellow
18.4,0.085,0,Keychron x Gateron Phantom Yellow
21.8,0.09,0,Keychron x Gateron Phantom Yellow
25.1,0.09,0,Keychron x Gateron Phantom Yellow
28.4,0.095,0,Keychron x Gateron Phantom Yellow
31.1,0.095,0,Keychron x Gateron Phantom Yellow
33.7,0.1,0,Keychron x Gateron Phantom Yellow
35.9,0.105,0,Keychron x Gateron Phantom Yellow
37.4,0.105,0,Keychron x Gateron Phantom Yellow
38.7,0.105,0,Keychron x Gateron Phantom Yellow
39.8,0.11,0,Keychron x Gateron Phantom Yellow
40.7,0.11,0,Keychron x Gateron Phantom Yellow
41.6,0.115,0,Keychron x Gateron Phantom Yellow
42.3,0.115,0,Keychron x Gateron Phantom Yellow
42.5,0.115,0,Keychron x Gateron Phantom Yellow
42.6,0.115,0,Keychron x Gateron Phantom Yellow
42.6,0.12,0,Keychron x Gateron Phantom Yellow
42.5,0.12,0,Keychron x Gateron Phantom Yellow
42.4,0.12,0,Keychron x Gateron Phantom Yellow
42.3,0.125,0,Keychron x Gateron Phantom Yellow
42.3,0.125,0,Keychron x Gateron Phantom Yellow
42,0.125,0,Keychron x Gateron Phantom Yellow
42,0.125,0,Keychron x Gateron Phantom Yellow
42,0.125,0,Keychron x Gateron Phantom Yellow
42,0.13,0,Keychron x Gateron Phantom Yellow
41.9,0.13,0,Keychron x Gateron Phantom Yellow
42,0.13,0,Keychron x Gateron Phantom Yellow
42.2,0.13,0,Keychron x Gateron Phantom Yellow
42.2,0.13,0,Keychron x Gateron Phantom Yellow
42.2,0.135,0,Keychron x Gateron Phantom Yellow
42.1,0.14,0,Keychron x Gateron Phantom Yellow
41.9,0.14,0,Keychron x Gateron Phantom Yellow
41.9,0.145,0,Keychron x Gateron Phantom Yellow
41.7,0.145,0,Keychron x Gateron Phantom Yellow
41.7,0.15,0,Keychron x Gateron Phantom Yellow
41.8,0.15,0,Keychron x Gateron Phantom Yellow
41.7,0.155,0,Keychron x Gateron Phantom Yellow
41.6,0.16,0,Keychron x Gateron Phantom Yellow
41.4,0.16,0,Keychron x Gateron Phantom Yellow
41.5,0.165,0,Keychron x Gateron Phantom Yellow
41.4,0.165,0,Keychron x Gateron Phantom Yellow
41.3,0.17,0,Keychron x Gateron Phantom Yellow
40.9,0.17,0,Keychron x Gateron Phantom Yellow
40.7,0.17,0,Keychron x Gateron Phantom Yellow
41.6,0.175,0,Keychron x Gateron Phantom Yellow
41.4,0.175,0,Keychron x Gateron Phantom Yellow
41.2,0.18,0,Keychron x Gateron Phantom Yellow
41,0.185,0,Keychron x Gateron Phantom Yellow
41,0.185,0,Keychron x Gateron Phantom Yellow
40.7,0.185,0,Keychron x Gateron Phantom Yellow
40.7,0.19,0,Keychron x Gateron Phantom Yellow
40.4,0.19,0,Keychron x Gateron Phantom Yellow
