force,displacement,judge,name
-0.3,0,0,Keyfirst Bling Purple
-0.2,0,0,Keyfirst Bling Purple
0.1,0,0,Keyfirst Bling Purple
0.4,0,0,Keyfirst Bling Purple
0,0,0,Keyfirst Bling Purple
0,0,0,Keyfirst Bling Purple
-0.2,0,0,Keyfirst Bling Purple
0,0,0,Keyfirst Bling Purple
0.2,0,0,Keyfirst Bling Purple
0.1,0,0,Keyfirst Bling Purple
-0.1,0,0,Keyfirst Bling Purple
0,0,0,Keyfirst Bling Purple
0,0,0,Keyfirst Bling Purple
-0.1,0,0,Keyfirst Bling Purple
0,0,0,Keyfirst Bling Purple
0.1,0,0,Keyfirst Bling Purple
0.1,0,0,Keyfirst Bling Purple
-0.1,0.005,0,Keyfirst Bling Purple
0,0.005,0,Keyfirst Bling Purple
0.1,0.005,0,Keyfirst Bling Purple
0.1,0.005,0,Keyfirst Bling Purple
0,0.005,0,Keyfirst Bling Purple
0,0.01,0,Keyfirst Bling Purple
0,0.01,0,Keyfirst Bling Purple
0,0.015,0,Keyfirst Bling Purple
0.1,0.02,0,Keyfirst Bling Purple
-0.1,0.02,0,Keyfirst Bling Purple
0.1,0.03,0,Keyfirst Bling Purple
0,0.035,0,Keyfirst Bling Purple
0,0.035,0,Keyfirst Bling Purple
-0.1,0.04,0,Keyfirst Bling Purple
0,0.045,0,Keyfirst Bling Purple
0.1,0.05,0,Keyfirst Bling Purple
0,0.055,0,Keyfirst Bling Purple
1,0.06,0,Keyfirst Bling Purple
5.4,0.065,0,Keyfirst Bling Purple
9.9,0.07,0,Keyfirst Bling Purple
13.2,0.07,0,Keyfirst Bling Purple
15.8,0.075,0,Keyfirst Bling Purple
18.5,0.075,0,Keyfirst Bling Purple
20.6,0.08,0,Keyfirst Bling Purple
23.1,0.085,0,Keyfirst Bling Purple
25.8,0.085,0,Keyfirst Bling Purple
28.6,0.09,0,Keyfirst Bling Purple
31,0.09,0,Keyfirst Bling Purple
32.5,0.095,0,Keyfirst Bling Purple
33.7,0.095,0,Keyfirst Bling Purple
35.2,0.095,0,Keyfirst Bling Purple
36.6,0.095,0,Keyfirst Bling Purple
38,0.1,0,Keyfirst Bling Purple
39.6,0.1,0,Keyfirst Bling Purple
41.5,0.105,0,Keyfirst Bling Purple
43.3,0.105,0,Keyfirst Bling Purple
44.9,0.105,0,Keyfirst Bling Purple
46.2,0.11,0,Keyfirst Bling Purple
47.5,0.11,0,Keyfirst Bling Purple
48.7,0.115,0,Keyfirst Bling Purple
48.2,0.115,0,Keyfirst Bling Purple
48.1,0.12,0,Keyfirst Bling Purple
47.9,0.12,0,Keyfirst Bling Purple
47.8,0.125,0,Keyfirst Bling Purple
47.7,0.13,0,Keyfirst Bling Purple
47.5,0.13,0,Keyfirst Bling Purple
47.5,0.13,0,Keyfirst Bling Purple
47.7,0.135,0,Keyfirst Bling Purple
47.7,0.135,0,Keyfirst Bling Purple
47.8,0.14,0,Keyfirst Bling Purple
47.8,0.14,0,Keyfirst Bling Purple
47.8,0.145,0,Keyfirst Bling Purple
47.8,0.145,0,Keyfirst Bling Purple
47.7,0.15,0,Keyfirst Bling Purple
