force,displacement,judge,name
0,0,0,Kinetic Labs Gecko
0,0,0,Kinetic Labs Gecko
0,0,0,Kinetic Labs Gecko
0,0,0,Kinetic Labs Gecko
0,0,0,Kinetic Labs Gecko
0.2,0,0,Kinetic Labs Gecko
-0.1,0,0,Kinetic Labs Gecko
-0.1,0,0,Kinetic Labs Gecko
0,0,0,Kinetic Labs Gecko
0,0,0,Kinetic Labs Gecko
0,0,0,Kinetic Labs Gecko
0,0,0,Kinetic Labs Gecko
0,0,0,Kinetic Labs Gecko
-0.1,0,0,Kinetic Labs Gecko
0.2,0,0,Kinetic Labs Gecko
0.2,0,0,Kinetic Labs Gecko
0.2,0,0,Kinetic Labs Gecko
0.3,0,0,Kinetic Labs Gecko
0.6,0,0,Kinetic Labs Gecko
0.9,0,0,Kinetic Labs Gecko
1.7,0,0,Kinetic Labs Gecko
2.5,0,0,Kinetic Labs Gecko
3.3,0.005,0,Kinetic Labs Gecko
4.1,0.005,0,Kinetic Labs Gecko
4.7,0.005,0,Kinetic Labs Gecko
5.7,0.005,0,Kinetic Labs Gecko
6.5,0.005,0,Kinetic Labs Gecko
7.4,0.01,0,Kinetic Labs Gecko
8.2,0.01,0,Kinetic Labs Gecko
9.3,0.01,0,Kinetic Labs Gecko
10.2,0.01,0,Kinetic Labs Gecko
11.2,0.01,0,Kinetic Labs Gecko
12.3,0.015,0,Kinetic Labs Gecko
13.5,0.015,0,Kinetic Labs Gecko
14.6,0.015,0,Kinetic Labs Gecko
15.6,0.015,0,Kinetic Labs Gecko
17,0.02,0,Kinetic Labs Gecko
19,0.02,0,Kinetic Labs Gecko
21,0.02,0,Kinetic Labs Gecko
23.4,0.025,0,Kinetic Labs Gecko
27,0.03,0,Kinetic Labs Gecko
31.3,0.035,0,Kinetic Labs Gecko
35.6,0.04,0,Kinetic Labs Gecko
40,0.045,0,Kinetic Labs Gecko
43.8,0.05,0,Kinetic Labs Gecko
47.3,0.055,0,Kinetic Labs Gecko
50.2,0.06,0,Kinetic Labs Gecko
52.2,0.07,0,Kinetic Labs Gecko
52.3,0.075,0,Kinetic Labs Gecko
