force,displacement,judge,name
0,0,0,Kono Sunrise
0,0,0,Kono Sunrise
-0.1,0,0,Kono Sunrise
0,0,0,Kono Sunrise
0,0,0,Kono Sunrise
0.1,0,0,Kono Sunrise
0,0,0,Kono Sunrise
0,0,0,Kono Sunrise
0,0,0,Kono Sunrise
-0.1,0,0,Kono Sunrise
0,0,0,Kono Sunrise
0.1,0,0,Kono Sunrise
0,0,0,Kono Sunrise
-0.1,0,0,Kono Sunrise
0.3,0.005,0,Kono Sunrise
1.2,0.005,0,Kono Sunrise
2.4,0.005,0,Kono Sunrise
3.8,0.005,0,Kono Sunrise
5.3,0.01,0,Kono Sunrise
7.2,0.01,0,Kono Sunrise
8.8,0.01,0,Kono Sunrise
10.3,0.015,0,Kono Sunrise
11.7,0.015,0,Kono Sunrise
13.3,0.015,0,Kono Sunrise
14.9,0.02,0,Kono Sunrise
16.3,0.02,0,Kono Sunrise
17.6,0.02,0,Kono Sunrise
19,0.025,0,Kono Sunrise
20.1,0.025,0,Kono Sunrise
20.8,0.025,0,Kono Sunrise
21.4,0.025,0,Kono Sunrise
22.3,0.025,0,Kono Sunrise
23.1,0.025,0,Kono Sunrise
24.2,0.03,0,Kono Sunrise
25.3,0.03,0,Kono Sunrise
26.7,0.03,0,Kono Sunrise
27.8,0.035,0,Kono Sunrise
28.9,0.035,0,Kono Sunrise
30,0.035,0,Kono Sunrise
31,0.04,0,Kono Sunrise
31.6,0.04,0,Kono Sunrise
32.4,0.045,0,Kono Sunrise
33.2,0.045,0,Kono Sunrise
33.6,0.05,0,Kono Sunrise
32.8,0.05,0,Kono Sunrise
32.1,0.05,0,Kono Sunrise
31.9,0.055,0,Kono Sunrise
31.8,0.055,0,Kono Sunrise
31.8,0.055,0,Kono Sunrise
31.6,0.055,0,Kono Sunrise
31.5,0.06,0,Kono Sunrise
31.5,0.06,0,Kono Sunrise
31.8,0.06,0,Kono Sunrise
32.1,0.065,0,Kono Sunrise
32.1,0.065,0,Kono Sunrise
31.5,0.07,0,Kono Sunrise
31,0.07,0,Kono Sunrise
31.2,0.07,0,Kono Sunrise
31.3,0.075,0,Kono Sunrise
31.1,0.08,0,Kono Sunrise
31,0.08,0,Kono Sunrise
31.3,0.08,0,Kono Sunrise
