force,displacement,judge,name
0,0,0,Kono Sunset
0,0,0,Kono Sunset
0.1,0,0,Kono Sunset
0,0,0,Kono Sunset
0,0,0,Kono Sunset
-0.1,0,0,Kono Sunset
0,0,0,Kono Sunset
0,0,0,Kono Sunset
0,0,0,Kono Sunset
0,0,0,Kono Sunset
0,0,0,Kono Sunset
0,0,0,Kono Sunset
0,0,0,Kono Sunset
0.1,0,0,Kono Sunset
0,0,0,Kono Sunset
-0.1,0,0,Kono Sunset
0,0,0,Kono Sunset
-0.1,0,0,Kono Sunset
-0.1,0,0,Kono Sunset
-0.1,0,0,Kono Sunset
0,0,0,Kono Sunset
0,0,0,Kono Sunset
0.4,0,0,Kono Sunset
1.1,0.005,0,Kono Sunset
1.8,0.005,0,Kono Sunset
2.5,0.005,0,Kono Sunset
3.3,0.005,0,Kono Sunset
4.5,0.005,0,Kono Sunset
5.4,0.01,0,Kono Sunset
6.4,0.01,0,Kono Sunset
7.5,0.01,0,Kono Sunset
8.5,0.01,0,Kono Sunset
9.7,0.015,0,Kono Sunset
11,0.015,0,Kono Sunset
12.4,0.015,0,Kono Sunset
14.4,0.02,0,Kono Sunset
16.8,0.02,0,Kono Sunset
19.4,0.025,0,Kono Sunset
22.2,0.03,0,Kono Sunset
25.1,0.03,0,Kono Sunset
27.9,0.035,0,Kono Sunset
29.8,0.035,0,Kono Sunset
32.1,0.04,0,Kono Sunset
34.3,0.045,0,Kono Sunset
35.2,0.045,0,Kono Sunset
35.2,0.05,0,Kono Sunset
35.2,0.055,0,Kono Sunset
34.9,0.055,0,Kono Sunset
34.8,0.06,0,Kono Sunset
35.1,0.06,0,Kono Sunset
35.2,0.065,0,Kono Sunset
35.4,0.065,0,Kono Sunset
35.2,0.07,0,Kono Sunset
35,0.07,0,Kono Sunset
34.9,0.075,0,Kono Sunset
35.4,0.075,0,Kono Sunset
35.9,0.08,0,Kono Sunset
36.2,0.085,0,Kono Sunset
36.5,0.085,0,Kono Sunset
36.4,0.09,0,Kono Sunset
36.5,0.095,0,Kono Sunset
