force,displacement,judge,name
0.1,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0,0,LCET Ice Clear
0,0.005,0,LCET Ice Clear
0,0.005,0,LCET Ice Clear
0,0.005,0,LCET Ice Clear
0,0.005,0,LCET Ice Clear
0,0.01,0,LCET Ice Clear
0,0.01,0,LCET Ice Clear
0,0.01,0,LCET Ice Clear
0,0.015,0,LCET Ice Clear
0,0.015,0,LCET Ice Clear
0,0.02,0,LCET Ice Clear
0,0.02,0,LCET Ice Clear
0,0.025,0,LCET Ice Clear
0,0.03,0,LCET Ice Clear
0,0.03,0,LCET Ice Clear
0,0.035,0,LCET Ice Clear
0,0.035,0,LCET Ice Clear
0,0.04,0,LCET Ice Clear
1.2,0.045,0,LCET Ice Clear
3.7,0.045,0,LCET Ice Clear
6.2,0.05,0,LCET Ice Clear
8.1,0.05,0,LCET Ice Clear
9.7,0.05,0,LCET Ice Clear
11.1,0.055,0,LCET Ice Clear
12.5,0.055,0,LCET Ice Clear
14.2,0.055,0,LCET Ice Clear
15.8,0.06,0,LCET Ice Clear
18.5,0.06,0,LCET Ice Clear
21.6,0.065,0,LCET Ice Clear
23.5,0.065,0,LCET Ice Clear
24.4,0.065,0,LCET Ice Clear
25.2,0.07,0,LCET Ice Clear
26,0.07,0,LCET Ice Clear
27.2,0.07,0,LCET Ice Clear
28.3,0.07,0,LCET Ice Clear
29.3,0.075,0,LCET Ice Clear
30.2,0.075,0,LCET Ice Clear
31.4,0.075,0,LCET Ice Clear
32.5,0.075,0,LCET Ice Clear
32.8,0.08,0,LCET Ice Clear
33.3,0.08,0,LCET Ice Clear
33.7,0.08,0,LCET Ice Clear
34.2,0.08,0,LCET Ice Clear
34.7,0.085,0,LCET Ice Clear
35.2,0.085,0,LCET Ice Clear
35.7,0.085,0,LCET Ice Clear
36.1,0.09,0,LCET Ice Clear
36.4,0.09,0,LCET Ice Clear
37.1,0.09,0,LCET Ice Clear
37.6,0.095,0,LCET Ice Clear
37.8,0.095,0,LCET Ice Clear
38.5,0.1,0,LCET Ice Clear
39.8,0.105,0,LCET Ice Clear
40.4,0.11,0,LCET Ice Clear
40.3,0.115,0,LCET Ice Clear
40.2,0.12,0,LCET Ice Clear
40.3,0.12,0,LCET Ice Clear
40.3,0.125,0,LCET Ice Clear
40.4,0.13,0,LCET Ice Clear
40.6,0.14,0,LCET Ice Clear
40.7,0.145,0,LCET Ice Clear
40.9,0.155,0,LCET Ice Clear
40.8,0.165,0,LCET Ice Clear
40.6,0.175,0,LCET Ice Clear
40.4,0.185,0,LCET Ice Clear
40.3,0.19,0,LCET Ice Clear
40.2,0.2,0,LCET Ice Clear
40.2,0.205,0,LCET Ice Clear
40.4,0.215,0,LCET Ice Clear
40.4,0.22,0,LCET Ice Clear
40.4,0.225,0,LCET Ice Clear
40.2,0.235,0,LCET Ice Clear
40.3,0.24,0,LCET Ice Clear
40.3,0.25,0,LCET Ice Clear
39.9,0.255,0,LCET Ice Clear
40.1,0.26,0,LCET Ice Clear
40.1,0.265,0,LCET Ice Clear
40.3,0.27,0,LCET Ice Clear
40.3,0.28,0,LCET Ice Clear
40.4,0.29,0,LCET Ice Clear
40.2,0.3,0,LCET Ice Clear
40.1,0.31,0,LCET Ice Clear
40.4,0.32,0,LCET Ice Clear
40.2,0.33,0,LCET Ice Clear
40.2,0.335,0,LCET Ice Clear
