force,displacement,judge,name
0,0,0,LCET Moonlit Night
0,0,0,LCET Moonlit Night
0.1,0,0,LCET Moonlit Night
0,0,0,LCET Moonlit Night
-0.3,0,0,LCET Moonlit Night
-0.1,0,0,LCET Moonlit Night
0.1,0,0,LCET Moonlit Night
-0.1,0,0,LCET Moonlit Night
-0.1,0,0,LCET Moonlit Night
0,0,0,LCET Moonlit Night
-0.1,0,0,LCET Moonlit Night
-0.2,0,0,LCET Moonlit Night
-0.1,0,0,LCET Moonlit Night
0.1,0,0,LCET Moonlit Night
0.3,0,0,LCET Moonlit Night
0,0,0,LCET Moonlit Night
-0.2,0,0,LCET Moonlit Night
0,0,0,LCET Moonlit Night
0,0,0,LCET Moonlit Night
-0.1,0.005,0,LCET Moonlit Night
-0.2,0.005,0,LCET Moonlit Night
-0.1,0.01,0,LCET Moonlit Night
0.1,0.015,0,LCET Moonlit Night
0,0.025,0,LCET Moonlit Night
-0.1,0.035,0,LCET Moonlit Night
0,0.045,0,LCET Moonlit Night
0,0.055,0,LCET Moonlit Night
0,0.065,0,LCET Moonlit Night
0.1,0.075,0,LCET Moonlit Night
0,0.085,0,LCET Moonlit Night
0,0.09,0,LCET Moonlit Night
0,0.1,0,LCET Moonlit Night
0.1,0.11,0,LCET Moonlit Night
0,0.12,0,LCET Moonlit Night
-0.1,0.13,0,LCET Moonlit Night
0,0.14,0,LCET Moonlit Night
0,0.15,0,LCET Moonlit Night
0,0.16,0,LCET Moonlit Night
-0.1,0.17,0,LCET Moonlit Night
2.5,0.18,0,LCET Moonlit Night
10,0.19,0,LCET Moonlit Night
17.6,0.2,0,LCET Moonlit Night
25.2,0.205,0,LCET Moonlit Night
30.1,0.215,0,LCET Moonlit Night
30.8,0.22,0,LCET Moonlit Night
32.2,0.225,0,LCET Moonlit Night
33.7,0.23,0,LCET Moonlit Night
34.7,0.235,0,LCET Moonlit Night
34.8,0.24,0,LCET Moonlit Night
34.8,0.245,0,LCET Moonlit Night
34.7,0.25,0,LCET Moonlit Night
34.6,0.255,0,LCET Moonlit Night
34.5,0.26,0,LCET Moonlit Night
34.5,0.265,0,LCET Moonlit Night
34.6,0.27,0,LCET Moonlit Night
34.5,0.275,0,LCET Moonlit Night
34.6,0.28,0,LCET Moonlit Night
34.6,0.285,0,LCET Moonlit Night
34.8,0.29,0,LCET Moonlit Night
34.9,0.295,0,LCET Moonlit Night
35,0.3,0,LCET Moonlit Night
35,0.31,0,LCET Moonlit Night
