force,displacement,judge,name
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
-0.1,0,0,LICHICX Lucy
0,0,0,LICHICX Lucy
0,0.005,0,LICHICX Lucy
0,0.005,0,LICHICX Lucy
0,0.005,0,LICHICX Lucy
0,0.005,0,LICHICX Lucy
0,0.005,0,LICHICX Lucy
0,0.01,0,LICHICX Lucy
0,0.01,0,LICHICX Lucy
0,0.015,0,LICHICX Lucy
0,0.02,0,LICHICX Lucy
0.6,0.02,0,LICHICX Lucy
2.8,0.02,0,LICHICX Lucy
4.5,0.025,0,LICHICX Lucy
5.8,0.025,0,LICHICX Lucy
6.6,0.025,0,LICHICX Lucy
7.4,0.03,0,LICHICX Lucy
8.2,0.03,0,LICHICX Lucy
9.1,0.03,0,LICHICX Lucy
9.8,0.03,0,LICHICX Lucy
10.8,0.035,0,LICHICX Lucy
11.6,0.035,0,LICHICX Lucy
12.6,0.035,0,LICHICX Lucy
13.3,0.035,0,LICHICX Lucy
14.7,0.04,0,LICHICX Lucy
15.6,0.04,0,LICHICX Lucy
17.1,0.04,0,LICHICX Lucy
17.9,0.045,0,LICHICX Lucy
18.2,0.045,0,LICHICX Lucy
19,0.045,0,LICHICX Lucy
20.3,0.045,0,LICHICX Lucy
21.9,0.05,0,LICHICX Lucy
23.5,0.05,0,LICHICX Lucy
25.1,0.055,0,LICHICX Lucy
26.5,0.055,0,LICHICX Lucy
27.8,0.06,0,LICHICX Lucy
28.8,0.06,0,LICHICX Lucy
29.7,0.065,0,LICHICX Lucy
30.5,0.065,0,LICHICX Lucy
31.2,0.065,0,LICHICX Lucy
31.8,0.07,0,LICHICX Lucy
32.5,0.07,0,LICHICX Lucy
33.1,0.07,0,LICHICX Lucy
33.8,0.075,0,LICHICX Lucy
34.4,0.075,0,LICHICX Lucy
34.8,0.075,0,LICHICX Lucy
34.5,0.08,0,LICHICX Lucy
34.3,0.08,0,LICHICX Lucy
34.4,0.085,0,LICHICX Lucy
34.5,0.085,0,LICHICX Lucy
34.5,0.09,0,LICHICX Lucy
34.3,0.095,0,LICHICX Lucy
34.2,0.1,0,LICHICX Lucy
34.2,0.105,0,LICHICX Lucy
34,0.105,0,LICHICX Lucy
33.8,0.11,0,LICHICX Lucy
33.7,0.11,0,LICHICX Lucy
33.8,0.115,0,LICHICX Lucy
33.7,0.115,0,LICHICX Lucy
33.8,0.12,0,LICHICX Lucy
33.7,0.12,0,LICHICX Lucy
33.7,0.125,0,LICHICX Lucy
33.7,0.125,0,LICHICX Lucy
33.7,0.13,0,LICHICX Lucy
33.6,0.13,0,LICHICX Lucy
33.6,0.13,0,LICHICX Lucy
33.5,0.135,0,LICHICX Lucy
33.6,0.135,0,LICHICX Lucy
33.5,0.135,0,LICHICX Lucy
33.6,0.14,0,LICHICX Lucy
33.6,0.14,0,LICHICX Lucy
33.4,0.14,0,LICHICX Lucy
33.3,0.145,0,LICHICX Lucy
33.4,0.145,0,LICHICX Lucy
33.4,0.145,0,LICHICX Lucy
33.4,0.145,0,LICHICX Lucy
33.7,0.145,0,LICHICX Lucy
33.8,0.15,0,LICHICX Lucy
33.7,0.15,0,LICHICX Lucy
33.5,0.155,0,LICHICX Lucy
33.5,0.155,0,LICHICX Lucy
33.5,0.155,0,LICHICX Lucy
33.5,0.16,0,LICHICX Lucy
33.6,0.16,0,LICHICX Lucy
33.6,0.16,0,LICHICX Lucy
33.6,0.16,0,LICHICX Lucy
33.6,0.16,0,LICHICX Lucy
33.8,0.165,0,LICHICX Lucy
33.9,0.17,0,LICHICX Lucy
33.7,0.17,0,LICHICX Lucy
33.7,0.175,0,LICHICX Lucy
33.8,0.175,0,LICHICX Lucy
33.8,0.18,0,LICHICX Lucy
33.8,0.18,0,LICHICX Lucy
33.8,0.185,0,LICHICX Lucy
33.7,0.185,0,LICHICX Lucy
33.8,0.19,0,LICHICX Lucy
33.8,0.19,0,LICHICX Lucy
33.8,0.195,0,LICHICX Lucy
34,0.2,0,LICHICX Lucy
33.8,0.205,0,LICHICX Lucy
33.6,0.205,0,LICHICX Lucy
33.8,0.21,0,LICHICX Lucy
33.6,0.21,0,LICHICX Lucy
33.9,0.215,0,LICHICX Lucy
33.8,0.22,0,LICHICX Lucy
33.7,0.225,0,LICHICX Lucy
34,0.23,0,LICHICX Lucy
34,0.24,0,LICHICX Lucy
34,0.245,0,LICHICX Lucy
34,0.255,0,LICHICX Lucy
34,0.26,0,LICHICX Lucy
33.9,0.26,0,LICHICX Lucy
34,0.265,0,LICHICX Lucy
33.9,0.27,0,LICHICX Lucy
33.9,0.27,0,LICHICX Lucy
33.9,0.27,0,LICHICX Lucy
33.8,0.275,0,LICHICX Lucy
33.9,0.275,0,LICHICX Lucy
34.1,0.275,0,LICHICX Lucy
34.1,0.28,0,LICHICX Lucy
34.2,0.28,0,LICHICX Lucy
34.2,0.285,0,LICHICX Lucy
34.2,0.285,0,LICHICX Lucy
34.1,0.29,0,LICHICX Lucy
34,0.29,0,LICHICX Lucy
34.3,0.29,0,LICHICX Lucy
34.3,0.295,0,LICHICX Lucy
34.1,0.3,0,LICHICX Lucy
33.9,0.3,0,LICHICX Lucy
34,0.3,0,LICHICX Lucy
34,0.3,0,LICHICX Lucy
34,0.3,0,LICHICX Lucy
33.9,0.305,0,LICHICX Lucy
34.1,0.305,0,LICHICX Lucy
34.1,0.305,0,LICHICX Lucy
34.2,0.31,0,LICHICX Lucy
34.1,0.315,0,LICHICX Lucy
34.1,0.315,0,LICHICX Lucy
33.7,0.315,0,LICHICX Lucy
33.9,0.315,0,LICHICX Lucy
33.9,0.315,0,LICHICX Lucy
34.3,0.32,0,LICHICX Lucy
34.3,0.32,0,LICHICX Lucy
34.2,0.32,0,LICHICX Lucy
34.4,0.325,0,LICHICX Lucy
34.5,0.33,0,LICHICX Lucy
34.6,0.335,0,LICHICX Lucy
34.5,0.34,0,LICHICX Lucy
34.5,0.34,0,LICHICX Lucy
34.4,0.345,0,LICHICX Lucy
34.5,0.35,0,LICHICX Lucy
34.5,0.35,0,LICHICX Lucy
34.3,0.355,0,LICHICX Lucy
34.2,0.36,0,LICHICX Lucy
34.3,0.36,0,LICHICX Lucy
34.2,0.365,0,LICHICX Lucy
34.4,0.365,0,LICHICX Lucy
34.4,0.37,0,LICHICX Lucy
34.5,0.375,0,LICHICX Lucy
34.4,0.375,0,LICHICX Lucy
34.4,0.38,0,LICHICX Lucy
34.4,0.38,0,LICHICX Lucy
34.4,0.385,0,LICHICX Lucy
34.5,0.385,0,LICHICX Lucy
34.5,0.39,0,LICHICX Lucy
34.4,0.39,0,LICHICX Lucy
34.5,0.395,0,LICHICX Lucy
34.5,0.395,0,LICHICX Lucy
34.5,0.4,0,LICHICX Lucy
34.4,0.405,0,LICHICX Lucy
34.4,0.405,0,LICHICX Lucy
34.5,0.41,0,LICHICX Lucy
34.5,0.41,0,LICHICX Lucy
34.6,0.415,0,LICHICX Lucy
34.7,0.415,0,LICHICX Lucy
34.7,0.42,0,LICHICX Lucy
34.6,0.425,0,LICHICX Lucy
34.6,0.425,0,LICHICX Lucy
34.6,0.425,0,LICHICX Lucy
34.6,0.43,0,LICHICX Lucy
34.6,0.435,0,LICHICX Lucy
34.6,0.435,0,LICHICX Lucy
34.7,0.435,0,LICHICX Lucy
34.8,0.44,0,LICHICX Lucy
34.8,0.445,0,LICHICX Lucy
34.7,0.445,0,LICHICX Lucy
34.7,0.445,0,LICHICX Lucy
34.7,0.445,0,LICHICX Lucy
34.8,0.45,0,LICHICX Lucy
34.8,0.45,0,LICHICX Lucy
34.7,0.45,0,LICHICX Lucy
