force,displacement,judge,name
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
-0.1,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0,0,Leobog Ice Blue
0,0.005,0,Leobog Ice Blue
0,0.005,0,Leobog Ice Blue
0,0.005,0,Leobog Ice Blue
0,0.01,0,Leobog Ice Blue
0,0.015,0,Leobog Ice Blue
0,0.02,0,Leobog Ice Blue
0,0.03,0,Leobog Ice Blue
0,0.035,0,Leobog Ice Blue
0,0.04,0,Leobog Ice Blue
0,0.04,0,Leobog Ice Blue
0,0.04,0,Leobog Ice Blue
0,0.045,0,Leobog Ice Blue
0,0.045,0,Leobog Ice Blue
0,0.045,0,Leobog Ice Blue
0,0.045,0,Leobog Ice Blue
0,0.05,0,Leobog Ice Blue
0,0.05,0,Leobog Ice Blue
0,0.05,0,Leobog Ice Blue
0,0.055,0,Leobog Ice Blue
0,0.055,0,Leobog Ice Blue
0,0.055,0,Leobog Ice Blue
0,0.06,0,Leobog Ice Blue
0,0.06,0,Leobog Ice Blue
0,0.065,0,Leobog Ice Blue
0,0.065,0,Leobog Ice Blue
0,0.065,0,Leobog Ice Blue
0,0.07,0,Leobog Ice Blue
0,0.07,0,Leobog Ice Blue
0,0.075,0,Leobog Ice Blue
0,0.075,0,Leobog Ice Blue
0,0.075,0,Leobog Ice Blue
0,0.08,0,Leobog Ice Blue
0,0.08,0,Leobog Ice Blue
0,0.085,0,Leobog Ice Blue
0,0.085,0,Leobog Ice Blue
0,0.085,0,Leobog Ice Blue
0,0.09,0,Leobog Ice Blue
0,0.09,0,Leobog Ice Blue
0,0.095,0,Leobog Ice Blue
0,0.095,0,Leobog Ice Blue
0,0.1,0,Leobog Ice Blue
0,0.1,0,Leobog Ice Blue
0,0.105,0,Leobog Ice Blue
0,0.11,0,Leobog Ice Blue
0,0.11,0,Leobog Ice Blue
0,0.115,0,Leobog Ice Blue
0,0.12,0,Leobog Ice Blue
0,0.12,0,Leobog Ice Blue
0,0.125,0,Leobog Ice Blue
0,0.13,0,Leobog Ice Blue
0,0.135,0,Leobog Ice Blue
0,0.14,0,Leobog Ice Blue
0,0.145,0,Leobog Ice Blue
0,0.15,0,Leobog Ice Blue
0,0.15,0,Leobog Ice Blue
0,0.155,0,Leobog Ice Blue
0.1,0.155,0,Leobog Ice Blue
1,0.16,0,Leobog Ice Blue
3.5,0.165,0,Leobog Ice Blue
5.8,0.165,0,Leobog Ice Blue
7.8,0.17,0,Leobog Ice Blue
9.4,0.17,0,Leobog Ice Blue
11,0.17,0,Leobog Ice Blue
12.4,0.175,0,Leobog Ice Blue
13.8,0.175,0,Leobog Ice Blue
15.1,0.175,0,Leobog Ice Blue
16.4,0.175,0,Leobog Ice Blue
17.5,0.18,0,Leobog Ice Blue
18.9,0.18,0,Leobog Ice Blue
20.4,0.18,0,Leobog Ice Blue
22.1,0.185,0,Leobog Ice Blue
