force,displacement,judge,name
-0.1,0,0,Leobog Ice Soul
0,0,0,Leobog Ice Soul
0.1,0,0,Leobog Ice Soul
0.2,0,0,Leobog Ice Soul
0.1,0,0,Leobog Ice Soul
0.2,0,0,Leobog Ice Soul
0.1,0,0,Leobog Ice Soul
0,0,0,Leobog Ice Soul
0,0,0,Leobog Ice Soul
-0.1,0,0,Leobog Ice Soul
0,0,0,Leobog Ice Soul
-0.1,0,0,Leobog Ice Soul
0,0,0,Leobog Ice Soul
0,0,0,Leobog Ice Soul
0,0,0,Leobog Ice Soul
0,0,0,Leobog Ice Soul
0,0,0,Leobog Ice Soul
0.1,0,0,Leobog Ice Soul
0.1,0,0,Leobog Ice Soul
0,0,0,Leobog Ice Soul
0.1,0,0,Leobog Ice Soul
-0.3,0,0,Leobog Ice Soul
0.3,0.005,0,Leobog Ice Soul
0.7,0.005,0,Leobog Ice Soul
1.5,0.005,0,Leobog Ice Soul
2.1,0.005,0,Leobog Ice Soul
2.5,0.005,0,Leobog Ice Soul
3.3,0.005,0,Leobog Ice Soul
4.4,0.01,0,Leobog Ice Soul
6.1,0.01,0,Leobog Ice Soul
8.1,0.015,0,Leobog Ice Soul
8.7,0.015,0,Leobog Ice Soul
8.9,0.015,0,Leobog Ice Soul
9.2,0.02,0,Leobog Ice Soul
10.2,0.02,0,Leobog Ice Soul
11.9,0.02,0,Leobog Ice Soul
12.8,0.02,0,Leobog Ice Soul
13.6,0.025,0,Leobog Ice Soul
14,0.025,0,Leobog Ice Soul
14.8,0.025,0,Leobog Ice Soul
16.3,0.025,0,Leobog Ice Soul
17.7,0.03,0,Leobog Ice Soul
18.2,0.03,0,Leobog Ice Soul
18.9,0.03,0,Leobog Ice Soul
19.8,0.03,0,Leobog Ice Soul
20.9,0.03,0,Leobog Ice Soul
22.1,0.035,0,Leobog Ice Soul
24.4,0.035,0,Leobog Ice Soul
26.9,0.04,0,Leobog Ice Soul
28.3,0.04,0,Leobog Ice Soul
31.1,0.04,0,Leobog Ice Soul
36.2,0.05,0,Leobog Ice Soul
44.1,0.055,0,Leobog Ice Soul
52.7,0.065,0,Leobog Ice Soul
50,0.07,0,Leobog Ice Soul
49.9,0.08,0,Leobog Ice Soul
50.8,0.085,0,Leobog Ice Soul
50.1,0.09,0,Leobog Ice Soul
49.1,0.095,0,Leobog Ice Soul
48.8,0.095,0,Leobog Ice Soul
49.4,0.1,0,Leobog Ice Soul
50.6,0.11,0,Leobog Ice Soul
50.9,0.11,0,Leobog Ice Soul
51.6,0.115,0,Leobog Ice Soul
52.2,0.115,0,Leobog Ice Soul
52.6,0.12,0,Leobog Ice Soul
52.9,0.12,0,Leobog Ice Soul
53.2,0.125,0,Leobog Ice Soul
53.1,0.13,0,Leobog Ice Soul
53.6,0.135,0,Leobog Ice Soul
54,0.14,0,Leobog Ice Soul
54.7,0.14,0,Leobog Ice Soul
55,0.145,0,Leobog Ice Soul
55.2,0.145,0,Leobog Ice Soul
55.5,0.145,0,Leobog Ice Soul
55.3,0.15,0,Leobog Ice Soul
55,0.15,0,Leobog Ice Soul
54.8,0.155,0,Leobog Ice Soul
54.7,0.155,0,Leobog Ice Soul
54.7,0.16,0,Leobog Ice Soul
54.6,0.165,0,Leobog Ice Soul
54.6,0.165,0,Leobog Ice Soul
54.7,0.17,0,Leobog Ice Soul
54.7,0.175,0,Leobog Ice Soul
54.6,0.175,0,Leobog Ice Soul
54.5,0.18,0,Leobog Ice Soul
54.6,0.185,0,Leobog Ice Soul
54.4,0.195,0,Leobog Ice Soul
54.1,0.2,0,Leobog Ice Soul
54,0.205,0,Leobog Ice Soul
53.9,0.205,0,Leobog Ice Soul
54.1,0.21,0,Leobog Ice Soul
54,0.21,0,Leobog Ice Soul
53.9,0.215,0,Leobog Ice Soul
53.9,0.215,0,Leobog Ice Soul
53.9,0.22,0,Leobog Ice Soul
53.9,0.22,0,Leobog Ice Soul
54,0.22,0,Leobog Ice Soul
54,0.225,0,Leobog Ice Soul
54,0.225,0,Leobog Ice Soul
54,0.23,0,Leobog Ice Soul
54,0.23,0,Leobog Ice Soul
54,0.235,0,Leobog Ice Soul
53.9,0.235,0,Leobog Ice Soul
53.8,0.235,0,Leobog Ice Soul
53.8,0.24,0,Leobog Ice Soul
53.8,0.24,0,Leobog Ice Soul
53.8,0.245,0,Leobog Ice Soul
53.8,0.245,0,Leobog Ice Soul
53.8,0.25,0,Leobog Ice Soul
53.7,0.25,0,Leobog Ice Soul
53.6,0.255,0,Leobog Ice Soul
53.5,0.255,0,Leobog Ice Soul
53.4,0.255,0,Leobog Ice Soul
53.4,0.26,0,Leobog Ice Soul
53.5,0.26,0,Leobog Ice Soul
53.5,0.26,0,Leobog Ice Soul
53.4,0.265,0,Leobog Ice Soul
