force,displacement,judge,name
0.1,0,0,Leobog Nimbus
-0.2,0,0,Leobog Nimbus
0.1,0,0,Leobog Nimbus
0.1,0,0,Leobog Nimbus
0.1,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
-0.4,0,0,Leobog Nimbus
0.1,0,0,Leobog Nimbus
0.1,0,0,Leobog Nimbus
-0.2,0,0,Leobog Nimbus
-0.2,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
0.2,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
0.1,0,0,Leobog Nimbus
0,0,0,Leobog Nimbus
-0.1,0,0,Leobog Nimbus
-0.1,0.005,0,Leobog Nimbus
0,0.005,0,Leobog Nimbus
0,0.005,0,Leobog Nimbus
0,0.01,0,Leobog Nimbus
0,0.015,0,Leobog Nimbus
-0.1,0.025,0,Leobog Nimbus
-0.2,0.04,0,Leobog Nimbus
8.2,0.055,0,Leobog Nimbus
18.1,0.065,0,Leobog Nimbus
26.8,0.07,0,Leobog Nimbus
35.6,0.08,0,Leobog Nimbus
34.8,0.09,0,Leobog Nimbus
34.7,0.095,0,Leobog Nimbus
34.9,0.1,0,Leobog Nimbus
34.9,0.11,0,Leobog Nimbus
34.9,0.115,0,Leobog Nimbus
35,0.125,0,Leobog Nimbus
35.1,0.13,0,Leobog Nimbus
35.3,0.135,0,Leobog Nimbus
35.6,0.14,0,Leobog Nimbus
35.9,0.145,0,Leobog Nimbus
36.1,0.15,0,Leobog Nimbus
36.3,0.155,0,Leobog Nimbus
36.4,0.16,0,Leobog Nimbus
36.7,0.16,0,Leobog Nimbus
37.2,0.165,0,Leobog Nimbus
37.3,0.165,0,Leobog Nimbus
37.4,0.17,0,Leobog Nimbus
37.5,0.17,0,Leobog Nimbus
37.4,0.175,0,Leobog Nimbus
37.8,0.18,0,Leobog Nimbus
37.6,0.185,0,Leobog Nimbus
37.6,0.185,0,Leobog Nimbus
37.5,0.19,0,Leobog Nimbus
37.4,0.195,0,Leobog Nimbus
37.2,0.205,0,Leobog Nimbus
37.1,0.21,0,Leobog Nimbus
37.3,0.215,0,Leobog Nimbus
37.6,0.215,0,Leobog Nimbus
37.9,0.22,0,Leobog Nimbus
37.6,0.225,0,Leobog Nimbus
37.6,0.225,0,Leobog Nimbus
37.6,0.23,0,Leobog Nimbus
37.6,0.235,0,Leobog Nimbus
37.6,0.245,0,Leobog Nimbus
37.9,0.25,0,Leobog Nimbus
38.1,0.255,0,Leobog Nimbus
38,0.26,0,Leobog Nimbus
38.2,0.265,0,Leobog Nimbus
37.9,0.27,0,Leobog Nimbus
38,0.275,0,Leobog Nimbus
38,0.275,0,Leobog Nimbus
37.9,0.28,0,Leobog Nimbus
37.9,0.285,0,Leobog Nimbus
37.8,0.29,0,Leobog Nimbus
37.7,0.295,0,Leobog Nimbus
