force,displacement,judge,name
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0,0.005,0,Leobog Purple King
0.1,0.01,0,Leobog Purple King
0,0.01,0,Leobog Purple King
0,0.01,0,Leobog Purple King
-0.1,0.01,0,Leobog Purple King
0,0.01,0,Leobog Purple King
0,0.01,0,Leobog Purple King
0,0.01,0,Leobog Purple King
0,0.015,0,Leobog Purple King
0,0.015,0,Leobog Purple King
0,0.015,0,Leobog Purple King
0,0.02,0,Leobog Purple King
0,0.02,0,Leobog Purple King
0,0.025,0,Leobog Purple King
0,0.025,0,Leobog Purple King
0,0.03,0,Leobog Purple King
0,0.03,0,Leobog Purple King
0,0.03,0,Leobog Purple King
0,0.035,0,Leobog Purple King
0,0.04,0,Leobog Purple King
1.4,0.04,0,Leobog Purple King
5.3,0.045,0,Leobog Purple King
9.1,0.05,0,Leobog Purple King
12.6,0.055,0,Leobog Purple King
15,0.055,0,Leobog Purple King
16.6,0.06,0,Leobog Purple King
18.1,0.06,0,Leobog Purple King
19.5,0.06,0,Leobog Purple King
20.8,0.06,0,Leobog Purple King
21.8,0.065,0,Leobog Purple King
22.5,0.065,0,Leobog Purple King
23.3,0.065,0,Leobog Purple King
24.1,0.065,0,Leobog Purple King
25,0.07,0,Leobog Purple King
26,0.07,0,Leobog Purple King
26.7,0.07,0,Leobog Purple King
27.2,0.075,0,Leobog Purple King
27.4,0.075,0,Leobog Purple King
27.9,0.075,0,Leobog Purple King
28.2,0.08,0,Leobog Purple King
28.6,0.08,0,Leobog Purple King
29,0.085,0,Leobog Purple King
28.6,0.085,0,Leobog Purple King
28.2,0.09,0,Leobog Purple King
28,0.09,0,Leobog Purple King
27.8,0.095,0,Leobog Purple King
28.1,0.095,0,Leobog Purple King
28.8,0.095,0,Leobog Purple King
29.7,0.1,0,Leobog Purple King
30.4,0.1,0,Leobog Purple King
31,0.105,0,Leobog Purple King
31.2,0.105,0,Leobog Purple King
31,0.11,0,Leobog Purple King
30.9,0.11,0,Leobog Purple King
30.9,0.115,0,Leobog Purple King
31,0.115,0,Leobog Purple King
31,0.12,0,Leobog Purple King
31,0.12,0,Leobog Purple King
31,0.12,0,Leobog Purple King
31.1,0.125,0,Leobog Purple King
31,0.125,0,Leobog Purple King
31,0.13,0,Leobog Purple King
31.1,0.13,0,Leobog Purple King
31.1,0.135,0,Leobog Purple King
31,0.135,0,Leobog Purple King
30.9,0.135,0,Leobog Purple King
30.9,0.14,0,Leobog Purple King
30.9,0.14,0,Leobog Purple King
30.7,0.145,0,Leobog Purple King
30.8,0.145,0,Leobog Purple King
30.8,0.145,0,Leobog Purple King
30.7,0.15,0,Leobog Purple King
30.7,0.15,0,Leobog Purple King
30.9,0.15,0,Leobog Purple King
30.9,0.155,0,Leobog Purple King
30.9,0.155,0,Leobog Purple King
30.9,0.16,0,Leobog Purple King
30.9,0.16,0,Leobog Purple King
30.8,0.165,0,Leobog Purple King
30.7,0.165,0,Leobog Purple King
30.6,0.165,0,Leobog Purple King
30.7,0.17,0,Leobog Purple King
30.6,0.17,0,Leobog Purple King
30.4,0.17,0,Leobog Purple King
30.3,0.175,0,Leobog Purple King
30.4,0.175,0,Leobog Purple King
30.3,0.175,0,Leobog Purple King
30.2,0.18,0,Leobog Purple King
30.3,0.18,0,Leobog Purple King
30.4,0.185,0,Leobog Purple King
30.4,0.185,0,Leobog Purple King
30.4,0.19,0,Leobog Purple King
30.4,0.195,0,Leobog Purple King
30.6,0.2,0,Leobog Purple King
30.5,0.2,0,Leobog Purple King
30.4,0.205,0,Leobog Purple King
30.3,0.21,0,Leobog Purple King
30.3,0.21,0,Leobog Purple King
30.2,0.215,0,Leobog Purple King
30.2,0.215,0,Leobog Purple King
30.3,0.215,0,Leobog Purple King
30.2,0.215,0,Leobog Purple King
30.3,0.22,0,Leobog Purple King
30.5,0.22,0,Leobog Purple King
30.7,0.22,0,Leobog Purple King
30.6,0.225,0,Leobog Purple King
30.5,0.225,0,Leobog Purple King
30.5,0.23,0,Leobog Purple King
30.6,0.235,0,Leobog Purple King
30.5,0.235,0,Leobog Purple King
30.5,0.24,0,Leobog Purple King
30.5,0.245,0,Leobog Purple King
30.4,0.25,0,Leobog Purple King
30.5,0.255,0,Leobog Purple King
30.4,0.255,0,Leobog Purple King
30.4,0.26,0,Leobog Purple King
30.4,0.265,0,Leobog Purple King
30.4,0.27,0,Leobog Purple King
30.5,0.275,0,Leobog Purple King
30.6,0.275,0,Leobog Purple King
30.5,0.28,0,Leobog Purple King
30.4,0.285,0,Leobog Purple King
30.4,0.285,0,Leobog Purple King
30.4,0.29,0,Leobog Purple King
30.4,0.295,0,Leobog Purple King
30.4,0.295,0,Leobog Purple King
30.6,0.3,0,Leobog Purple King
30.7,0.3,0,Leobog Purple King
30.8,0.305,0,Leobog Purple King
30.7,0.305,0,Leobog Purple King
30.7,0.31,0,Leobog Purple King
30.8,0.315,0,Leobog Purple King
30.9,0.315,0,Leobog Purple King
30.8,0.32,0,Leobog Purple King
30.7,0.325,0,Leobog Purple King
30.6,0.325,0,Leobog Purple King
30.5,0.33,0,Leobog Purple King
30.5,0.335,0,Leobog Purple King
30.5,0.335,0,Leobog Purple King
30.6,0.335,0,Leobog Purple King
30.4,0.34,0,Leobog Purple King
30.6,0.34,0,Leobog Purple King
30.9,0.34,0,Leobog Purple King
30.8,0.345,0,Leobog Purple King
30.8,0.345,0,Leobog Purple King
30.9,0.345,0,Leobog Purple King
30.7,0.35,0,Leobog Purple King
30.9,0.35,0,Leobog Purple King
30.9,0.35,0,Leobog Purple King
30.8,0.355,0,Leobog Purple King
30.7,0.355,0,Leobog Purple King
30.6,0.355,0,Leobog Purple King
30.6,0.36,0,Leobog Purple King
30.5,0.36,0,Leobog Purple King
30.6,0.365,0,Leobog Purple King
30.7,0.365,0,Leobog Purple King
30.8,0.37,0,Leobog Purple King
30.7,0.375,0,Leobog Purple King
30.9,0.375,0,Leobog Purple King
31,0.38,0,Leobog Purple King
30.8,0.385,0,Leobog Purple King
30.7,0.39,0,Leobog Purple King
30.7,0.39,0,Leobog Purple King
30.7,0.395,0,Leobog Purple King
30.6,0.395,0,Leobog Purple King
30.7,0.4,0,Leobog Purple King
30.8,0.4,0,Leobog Purple King
30.8,0.405,0,Leobog Purple King
30.9,0.405,0,Leobog Purple King
30.8,0.41,0,Leobog Purple King
30.6,0.41,0,Leobog Purple King
30.9,0.41,0,Leobog Purple King
31,0.415,0,Leobog Purple King
31.1,0.415,0,Leobog Purple King
31.1,0.42,0,Leobog Purple King
31.2,0.425,0,Leobog Purple King
31.2,0.43,0,Leobog Purple King
31.2,0.435,0,Leobog Purple King
31,0.435,0,Leobog Purple King
31.2,0.44,0,Leobog Purple King
31.2,0.44,0,Leobog Purple King
31.2,0.445,0,Leobog Purple King
31.3,0.45,0,Leobog Purple King
31.3,0.455,0,Leobog Purple King
31.3,0.455,0,Leobog Purple King
31.2,0.46,0,Leobog Purple King
31.2,0.465,0,Leobog Purple King
31,0.47,0,Leobog Purple King
31.2,0.47,0,Leobog Purple King
31.2,0.475,0,Leobog Purple King
31.4,0.48,0,Leobog Purple King
31.5,0.48,0,Leobog Purple King
31.4,0.485,0,Leobog Purple King
31.4,0.485,0,Leobog Purple King
31.3,0.49,0,Leobog Purple King
31.2,0.49,0,Leobog Purple King
31.2,0.495,0,Leobog Purple King
31.2,0.495,0,Leobog Purple King
31.3,0.5,0,Leobog Purple King
31.3,0.505,0,Leobog Purple King
31.4,0.51,0,Leobog Purple King
31.3,0.515,0,Leobog Purple King
31.4,0.52,0,Leobog Purple King
31.5,0.525,0,Leobog Purple King
31.5,0.53,0,Leobog Purple King
31.5,0.53,0,Leobog Purple King
31.6,0.535,0,Leobog Purple King
31.8,0.535,0,Leobog Purple King
31.6,0.54,0,Leobog Purple King
31.8,0.545,0,Leobog Purple King
31.7,0.545,0,Leobog Purple King
31.8,0.55,0,Leobog Purple King
31.6,0.555,0,Leobog Purple King
31.6,0.555,0,Leobog Purple King
31.7,0.56,0,Leobog Purple King
31.5,0.56,0,Leobog Purple King
31.5,0.565,0,Leobog Purple King
31.6,0.565,0,Leobog Purple King
31.8,0.57,0,Leobog Purple King
32,0.57,0,Leobog Purple King
32,0.575,0,Leobog Purple King
32.1,0.585,0,Leobog Purple King
32.1,0.585,0,Leobog Purple King
31.9,0.59,0,Leobog Purple King
31.7,0.595,0,Leobog Purple King
