force,displacement,judge,name
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
-0.1,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0,0,MMD 'Ice'
0,0.005,0,MMD 'Ice'
0,0.005,0,MMD 'Ice'
0,0.01,0,MMD 'Ice'
0,0.01,0,MMD 'Ice'
0,0.015,0,MMD 'Ice'
0,0.02,0,MMD 'Ice'
0,0.025,0,MMD 'Ice'
0,0.025,0,MMD 'Ice'
0,0.03,0,MMD 'Ice'
0,0.035,0,MMD 'Ice'
0,0.04,0,MMD 'Ice'
2.3,0.045,0,MMD 'Ice'
6.3,0.045,0,MMD 'Ice'
9,0.05,0,MMD 'Ice'
11,0.05,0,MMD 'Ice'
12.6,0.055,0,MMD 'Ice'
14.1,0.055,0,MMD 'Ice'
15.2,0.055,0,MMD 'Ice'
16.4,0.055,0,MMD 'Ice'
17.5,0.06,0,MMD 'Ice'
18.9,0.06,0,MMD 'Ice'
20.3,0.06,0,MMD 'Ice'
21.8,0.065,0,MMD 'Ice'
23.4,0.065,0,MMD 'Ice'
25.1,0.065,0,MMD 'Ice'
27,0.07,0,MMD 'Ice'
28.9,0.07,0,MMD 'Ice'
30.7,0.07,0,MMD 'Ice'
32.3,0.075,0,MMD 'Ice'
33.8,0.075,0,MMD 'Ice'
35.3,0.075,0,MMD 'Ice'
36.3,0.08,0,MMD 'Ice'
37.7,0.08,0,MMD 'Ice'
