force,displacement,judge,name
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
-0.1,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0.1,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
-0.1,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0,0,MMD Matcha Ice Cream
0,0.005,0,MMD Matcha Ice Cream
0,0.005,0,MMD Matcha Ice Cream
0,0.005,0,MMD Matcha Ice Cream
0,0.005,0,MMD Matcha Ice Cream
-0.1,0.01,0,MMD Matcha Ice Cream
0,0.01,0,MMD Matcha Ice Cream
0,0.01,0,MMD Matcha Ice Cream
0,0.015,0,MMD Matcha Ice Cream
0,0.015,0,MMD Matcha Ice Cream
0,0.02,0,MMD Matcha Ice Cream
0,0.025,0,MMD Matcha Ice Cream
3.1,0.03,0,MMD Matcha Ice Cream
7.6,0.035,0,MMD Matcha Ice Cream
12.2,0.04,0,MMD Matcha Ice Cream
16.2,0.045,0,MMD Matcha Ice Cream
19.9,0.045,0,MMD Matcha Ice Cream
23.1,0.05,0,MMD Matcha Ice Cream
25.8,0.055,0,MMD Matcha Ice Cream
29.7,0.06,0,MMD Matcha Ice Cream
34.1,0.065,0,MMD Matcha Ice Cream
38.2,0.065,0,MMD Matcha Ice Cream
41.3,0.07,0,MMD Matcha Ice Cream
41.7,0.075,0,MMD Matcha Ice Cream
41.7,0.08,0,MMD Matcha Ice Cream
42,0.08,0,MMD Matcha Ice Cream
41.8,0.085,0,MMD Matcha Ice Cream
41.8,0.085,0,MMD Matcha Ice Cream
41.8,0.09,0,MMD Matcha Ice Cream
42,0.09,0,MMD Matcha Ice Cream
42.1,0.09,0,MMD Matcha Ice Cream
41.9,0.095,0,MMD Matcha Ice Cream
42.1,0.095,0,MMD Matcha Ice Cream
41.7,0.095,0,MMD Matcha Ice Cream
41.8,0.1,0,MMD Matcha Ice Cream
41.7,0.1,0,MMD Matcha Ice Cream
42,0.105,0,MMD Matcha Ice Cream
41.7,0.105,0,MMD Matcha Ice Cream
41.8,0.11,0,MMD Matcha Ice Cream
41.9,0.11,0,MMD Matcha Ice Cream
41.9,0.11,0,MMD Matcha Ice Cream
41.9,0.115,0,MMD Matcha Ice Cream
41.9,0.115,0,MMD Matcha Ice Cream
