force,displacement,judge,name
0,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
-0.1,0,0,MOD-M Tactile
-0.1,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0.1,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0.1,0,0,MOD-M Tactile
0.1,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
-0.1,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0.1,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0,0,0,MOD-M Tactile
0,0.005,0,MOD-M Tactile
0,0.005,0,MOD-M Tactile
0,0.005,0,MOD-M Tactile
0,0.005,0,MOD-M Tactile
0,0.005,0,MOD-M Tactile
0.1,0.005,0,MOD-M Tactile
0,0.005,0,MOD-M Tactile
-0.1,0.01,0,MOD-M Tactile
-0.1,0.01,0,MOD-M Tactile
0,0.01,0,MOD-M Tactile
-0.1,0.015,0,MOD-M Tactile
0,0.015,0,MOD-M Tactile
0.1,0.015,0,MOD-M Tactile
0,0.02,0,MOD-M Tactile
0,0.025,0,MOD-M Tactile
-0.1,0.025,0,MOD-M Tactile
0,0.03,0,MOD-M Tactile
0,0.035,0,MOD-M Tactile
-0.1,0.04,0,MOD-M Tactile
-0.1,0.045,0,MOD-M Tactile
0,0.05,0,MOD-M Tactile
0,0.055,0,MOD-M Tactile
0,0.06,0,MOD-M Tactile
0,0.065,0,MOD-M Tactile
0.1,0.07,0,MOD-M Tactile
0,0.075,0,MOD-M Tactile
0,0.08,0,MOD-M Tactile
0,0.085,0,MOD-M Tactile
0,0.09,0,MOD-M Tactile
0,0.095,0,MOD-M Tactile
0,0.1,0,MOD-M Tactile
0,0.105,0,MOD-M Tactile
0.1,0.11,0,MOD-M Tactile
0,0.115,0,MOD-M Tactile
-0.1,0.12,0,MOD-M Tactile
-0.1,0.125,0,MOD-M Tactile
0,0.13,0,MOD-M Tactile
2.8,0.135,0,MOD-M Tactile
8.5,0.14,0,MOD-M Tactile
13.4,0.145,0,MOD-M Tactile
17.8,0.15,0,MOD-M Tactile
21.2,0.155,0,MOD-M Tactile
23.5,0.16,0,MOD-M Tactile
26,0.16,0,MOD-M Tactile
28,0.165,0,MOD-M Tactile
29.4,0.17,0,MOD-M Tactile
29.8,0.17,0,MOD-M Tactile
30.1,0.17,0,MOD-M Tactile
30.6,0.175,0,MOD-M Tactile
30.9,0.175,0,MOD-M Tactile
31.1,0.175,0,MOD-M Tactile
31.4,0.175,0,MOD-M Tactile
31.8,0.175,0,MOD-M Tactile
32.1,0.18,0,MOD-M Tactile
32.4,0.18,0,MOD-M Tactile
32.7,0.18,0,MOD-M Tactile
33,0.18,0,MOD-M Tactile
33.4,0.185,0,MOD-M Tactile
33.7,0.185,0,MOD-M Tactile
34,0.185,0,MOD-M Tactile
34,0.185,0,MOD-M Tactile
34.1,0.19,0,MOD-M Tactile
34,0.19,0,MOD-M Tactile
33.7,0.19,0,MOD-M Tactile
33.7,0.19,0,MOD-M Tactile
33.8,0.19,0,MOD-M Tactile
34,0.195,0,MOD-M Tactile
34,0.195,0,MOD-M Tactile
34.2,0.195,0,MOD-M Tactile
34.5,0.195,0,MOD-M Tactile
34.8,0.2,0,MOD-M Tactile
34.9,0.2,0,MOD-M Tactile
34.9,0.205,0,MOD-M Tactile
34.8,0.205,0,MOD-M Tactile
33.9,0.205,0,MOD-M Tactile
33.7,0.21,0,MOD-M Tactile
33.9,0.21,0,MOD-M Tactile
34.3,0.21,0,MOD-M Tactile
34.3,0.215,0,MOD-M Tactile
34.5,0.215,0,MOD-M Tactile
34.9,0.22,0,MOD-M Tactile
35.3,0.22,0,MOD-M Tactile
35.2,0.22,0,MOD-M Tactile
35.4,0.225,0,MOD-M Tactile
35.5,0.225,0,MOD-M Tactile
35.6,0.23,0,MOD-M Tactile
35.6,0.23,0,MOD-M Tactile
35.7,0.23,0,MOD-M Tactile
35.6,0.235,0,MOD-M Tactile
35.5,0.235,0,MOD-M Tactile
35.5,0.235,0,MOD-M Tactile
35.6,0.24,0,MOD-M Tactile
35.6,0.24,0,MOD-M Tactile
35.6,0.24,0,MOD-M Tactile
35.6,0.245,0,MOD-M Tactile
35.8,0.245,0,MOD-M Tactile
35.6,0.25,0,MOD-M Tactile
35.5,0.255,0,MOD-M Tactile
35.5,0.26,0,MOD-M Tactile
35.5,0.26,0,MOD-M Tactile
35.6,0.265,0,MOD-M Tactile
35.5,0.27,0,MOD-M Tactile
35.5,0.27,0,MOD-M Tactile
35.5,0.275,0,MOD-M Tactile
35.6,0.28,0,MOD-M Tactile
35.5,0.285,0,MOD-M Tactile
35.5,0.285,0,MOD-M Tactile
35.7,0.29,0,MOD-M Tactile
35.5,0.295,0,MOD-M Tactile
35.6,0.3,0,MOD-M Tactile
35.5,0.31,0,MOD-M Tactile
35.4,0.315,0,MOD-M Tactile
35.5,0.315,0,MOD-M Tactile
35.5,0.32,0,MOD-M Tactile
35.5,0.325,0,MOD-M Tactile
35.5,0.33,0,MOD-M Tactile
35.6,0.335,0,MOD-M Tactile
35.5,0.335,0,MOD-M Tactile
35.6,0.34,0,MOD-M Tactile
35.7,0.345,0,MOD-M Tactile
35.8,0.35,0,MOD-M Tactile
35.9,0.35,0,MOD-M Tactile
35.9,0.355,0,MOD-M Tactile
36,0.36,0,MOD-M Tactile
35.9,0.36,0,MOD-M Tactile
35.9,0.365,0,MOD-M Tactile
35.9,0.37,0,MOD-M Tactile
35.9,0.37,0,MOD-M Tactile
35.9,0.375,0,MOD-M Tactile
35.9,0.375,0,MOD-M Tactile
36,0.38,0,MOD-M Tactile
35.9,0.38,0,MOD-M Tactile
35.9,0.385,0,MOD-M Tactile
36,0.385,0,MOD-M Tactile
36,0.39,0,MOD-M Tactile
36,0.39,0,MOD-M Tactile
36,0.39,0,MOD-M Tactile
36.1,0.395,0,MOD-M Tactile
36,0.395,0,MOD-M Tactile
36,0.4,0,MOD-M Tactile
36.1,0.4,0,MOD-M Tactile
36.1,0.405,0,MOD-M Tactile
36.2,0.405,0,MOD-M Tactile
36.1,0.41,0,MOD-M Tactile
